event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,44,544.2738150051089,61.43653592152836,34,170,8.840909090909092,347484.8272517996,1356.856201171875
1,1,545.0,78.0,1,5,1.0,39303.2810638519,1104.96630859375
2,1,560.0,67.0,1,5,1.0,39303.2042011912,1123.3916015625
3,1,547.0,82.0,1,5,1.0,39303.050476716606,1105.972900390625
4,2,547.0,73.5,2,10,1.0,39302.8006936137,1168.9873046875
5,1,744.0,107.0,1,5,1.0,39304.6646006855,1107.465576171875
6,6,745.638888888889,104.05555555555556,6,30,2.5,98261.2259227441,1284.60205078125
7,1,1739.0,304.0,1,5,1.0,39304.6646006855,1123.1968994140625
8,1,1740.0,300.0,1,5,1.0,39304.3571357457,1098.2783203125
9,1,1737.0,302.0,1,5,1.0,39304.0881225776,1128.22021484375
10,1,1731.0,306.0,1,5,1.0,39303.9728199021,1105.133544921875
11,1,1734.0,304.0,1,5,1.0,39303.780659081596,1172.512451171875
12,4,1366.375,319.0,4,20,2.0,78609.22350334139,1225.684326171875
13,1,1923.0,452.6666666666667,1,5,3.0,117913.9938020565,1127.05224609375
14,1,1925.0,450.0,1,5,1.0,39304.4724361492,1098.230224609375
15,2,1925.0,449.0,2,10,1.0,39304.37635226395,1115.464599609375
16,1,679.0,527.5,1,5,2.0,78609.329201371,1100.065185546875
17,1,691.0,515.0,1,5,1.0,39303.3194895688,1101.214111328125
18,3,689.0,514.6666666666666,3,15,1.0,39303.12733577107,1116.400390625
19,1,693.0,514.0,1,5,1.0,39303.0120468032,1106.60302734375
20,2,573.25,821.0,2,10,3.0,117913.9169303342,1137.1927490234375
21,1,1629.0,864.0,1,5,1.0,39304.6646006855,1170.4794921875
22,18,1632.1115079365077,859.6093434343434,18,90,6.777777777777778,266395.019818994,1315.496826171875
23,4,536.2083333333334,879.6666666666666,4,20,2.0,78609.22350304938,1143.3153076171875
24,1,537.0,879.0,1,5,1.0,39304.4724361492,1106.613525390625
25,1,537.0,879.0,1,5,1.0,39304.3955687822,1112.703857421875
26,1,537.0,878.0,1,5,1.0,39304.280275296995,1109.4324951171875
27,2,534.0,881.0,2,10,1.0,39303.684587236705,1116.78515625
28,3,530.6666666666666,893.0,3,15,1.0,39303.35791934486,1143.50537109375
29,2,353.0,971.5,2,10,1.0,39304.6453827549,1130.8978271484375
30,2,344.0,946.0,2,10,1.0,39304.3379195797,1137.550537109375
31,2,344.0,947.5,2,10,1.0,39304.22262499305,1120.88671875
32,1,345.75,956.25,1,5,3.0,117912.2643677328,1123.4666748046875
33,1,343.0,951.0,1,5,1.0,39303.9728199021,1098.163818359375
34,14,350.26111111111106,965.0400793650795,13,65,4.285714285714286,168444.23074822035,1173.814208984375
35,8,352.37916666666666,970.5458333333333,8,40,3.875,152298.6913262942,1226.074951171875
36,1,374.0,1008.0,1,5,1.0,39304.6646006855,1132.10400390625
37,1,376.0,1002.0,1,5,1.0,39304.5877296676,1116.043212890625
38,1,659.0,1176.5,1,5,2.0,78609.329201371,1177.3702392578125
39,1,660.3333333333334,1174.0,1,5,3.0,117911.1114083944,1161.33984375
40,12,660.4305555555555,1177.8958333333333,12,60,2.6666666666666665,104809.16583140397,1303.315185546875
41,5,662.7166666666667,1173.6833333333332,5,25,3.6,141490.21314580608,1305.80712890625
42,38,533.927067669173,1424.493671679198,38,190,3.5526315789473686,139632.45412048287,1347.355224609375
43,10,62.714999999999996,1496.9333333333332,10,50,3.6,141496.2083741029,1303.56689453125
44,1,62.0,1499.0,1,5,1.0,39303.626941022805,1107.683349609375
45,1,63.0,1499.5,1,5,2.0,78607.1001545367,1212.5654296875
46,1,63.0,1499.0,1,5,1.0,39303.4732193731,1201.3868408203125
47,1,62.0,1500.0,1,5,1.0,39303.396349317,1158.5970458984375
48,1,1580.0,1568.0,1,5,1.0,39304.6646006855,1126.12158203125
49,2,1586.5,1557.5,2,10,1.5,58956.78551609715,1141.354736328125
50,1,1580.0,1568.0,1,5,1.0,39304.3571357457,1119.4287109375
51,2,1583.0,1561.75,2,10,1.5,58956.2859028479,1130.1134033203125
52,2,1581.25,1563.0,2,10,1.5,58956.05531350115,1137.39306640625
53,1,1580.0,1566.0,1,5,1.0,39303.8190914985,1098.899169921875
54,1,1093.75,1728.5,1,5,3.0,117913.9938020565,1248.6707763671875
55,1,1096.0,1723.0,1,5,1.0,39304.4724361492,1157.027587890625
56,3,1093.0,1718.6666666666667,3,15,1.6666666666666667,65507.185031055764,1237.033447265625
57,7,542.5714285714286,1952.142857142857,7,35,1.8571428571428572,72994.17945569925,1298.4156494140625
58,2,510.08333333333337,2010.6666666666665,2,10,3.5,137566.30688446865,1327.7705078125
59,7,953.7619047619047,2008.404761904762,7,35,2.7142857142857144,106683.83157333852,1309.5576171875
60,19,1729.1813530037214,118.43400167084378,19,95,7.7368421052631575,304090.97010054137,1317.677490234375
61,1,97.0,1155.0,1,5,1.0,39304.6261648243,1120.2376708984375
62,2,96.5,1153.5,2,10,1.0,39304.491652787445,1146.6182861328125
63,5,102.8,1159.9333333333334,5,25,1.4,55026.023127186774,1148.193603515625
64,7,102.69642857142857,1165.375,7,35,2.4285714285714284,95452.4724782404,1167.3380126953125
65,3,98.9861111111111,1161.3194444444443,3,15,4.0,157214.95610846768,1188.311767578125
66,7,101.71428571428571,1164.7142857142858,7,35,1.7142857142857142,67377.40461677425,1149.48388671875
67,1,100.25,1160.75,1,5,3.0,117909.9584687067,1126.21533203125
68,13,101.65833333333333,1158.4820512820513,13,65,2.5384615384615383,99769.13122734644,1145.14208984375
69,1,908.0,1326.0,1,5,1.0,39304.6261648243,1135.49267578125
70,1,912.0,1328.0,1,5,1.0,39304.011252096505,1123.1563720703125
71,10,912.6866666666667,1328.3483333333336,10,50,3.7,145423.92311652566,1232.6912841796875
72,1,913.0,1331.0,1,5,1.0,39303.5116522398,1098.9329833984375
73,1,2041.0,1540.0,1,5,1.0,39304.6261648243,1114.1954345703125
74,1,2042.0,1535.0,1,5,1.0,39304.0496874529,1104.3409423828125
75,4,7.25,1637.0,4,20,1.0,39304.56851431512,1111.51220703125
76,17,5.96078431372549,1637.9313725490194,17,85,1.8823529411764706,73983.63686815751,1207.59521484375
77,19,5.935776942355889,1638.0595238095239,19,95,2.6315789473684212,103429.09234741406,1247.929931640625
78,1,1261.0,1782.0,1,5,1.0,39304.6261648243,1106.9814453125
79,1,1263.0,1779.0,1,5,1.0,39304.5492933429,1106.393798828125
80,1,1264.5,1777.0,1,5,2.0,78608.6374068275,1133.58935546875
81,1,1261.0,1780.0,1,5,1.0,39304.241841214105,1098.5546875
82,1,1259.0,1781.0,1,5,1.0,39304.1649881517,1106.1854248046875
83,1,1260.0,1781.0,1,5,1.0,39303.7038027981,1104.8660888671875
84,1,1262.0,1780.0,1,5,1.0,39303.3579191488,1103.2921142578125
85,1,234.0,90.0,1,5,1.0,39304.5877296676,1106.827880859375
86,2,235.25,92.5,2,10,1.5,58956.7278708621,1139.0731201171875
87,2,235.25,89.5,2,10,2.0,78608.5989787108,1123.1561279296875
88,2,206.0,432.0,2,10,1.0,39304.56851150525,1102.1964111328125
89,1,214.0,413.0,1,5,1.0,39304.4340017039,1106.657958984375
90,1,214.0,410.0,1,5,1.0,39304.241841214105,1104.2210693359375
91,1,216.0,422.0,1,5,1.0,39303.5500772683,1102.40380859375
92,1,216.0,409.0,1,5,1.0,39303.3194895688,1101.4071044921875
93,1,213.0,411.0,1,5,1.0,39303.165765300604,1104.5244140625
94,1,217.0,411.0,1,5,2.0,78606.10095343321,1115.45068359375
95,3,220.0,412.0,3,15,1.0,39302.935187296665,1104.455322265625
96,1,223.0,409.0,1,5,1.0,39302.7814825839,1124.4971923828125
97,1,292.0,826.0,1,5,1.0,39304.5877296676,1099.40234375
98,2,309.75,826.0,2,10,2.0,78608.90643785315,1110.6715087890625
99,1,307.0,817.0,1,5,1.0,39304.1649881517,1099.994873046875
100,1,304.0,819.0,1,5,1.0,39304.0881225776,1099.4781494140625
101,1,298.0,820.0,1,5,1.0,39304.011252096505,1105.0472412109375
102,1,318.0,827.0,1,5,1.0,39303.8575219284,1102.1240234375
103,1,284.0,827.0,1,5,1.0,39303.4732193731,1104.4193115234375
