event_id,num_detections,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,mean_area_px,mean_area_km2,peak_intensity,frame_start,frame_end
0,1,1,5,538.1111111111112,63.12222222222223,19.0,746788.6274130244,1265.7314453125,0,0
1,2,2,10,1992.1041666666665,413.21875,9.5,373394.1599630676,1192.882568359375,0,1
2,1,1,5,1224.1536458333333,671.8645833333334,37.0,1454272.5902253636,1324.690673828125,0,0
3,2,2,10,1257.3472222222222,689.7222222222222,9.0,353741.8468806555,1205.0662841796875,0,1
4,1,1,5,572.5,822.5,2.0,78609.329201371,1129.843994140625,0,0
5,1,1,5,536.0,881.0,2.0,78609.329201371,1143.3153076171875,0,0
6,2,2,10,534.75,1426.25,2.0,78609.29076550985,1338.0069580078125,0,1
7,2,2,10,61.83333333333333,1499.6666666666665,2.5,98261.603847922,1226.379150390625,0,1
8,1,1,5,509.25,1662.75,4.0,157218.658402742,1165.0289306640625,0,0
9,1,1,5,541.0,1954.5,2.0,78609.329201371,1236.728271484375,0,0
10,1,1,5,510.1666666666667,2012.3333333333333,6.0,235827.987604113,1327.7705078125,0,0
11,1,1,5,952.5,2011.5,4.0,157218.658402742,1309.5576171875,0,0
12,1,1,5,535.625,61.34375,18.0,707483.2709668383,1325.582275390625,1,1
13,1,1,5,1366.0,320.5,2.0,78609.2523296487,1176.4788818359375,1,1
14,1,1,5,1222.3695652173913,668.0072463768116,27.0,1061224.9064502576,1325.490478515625,1,1
15,1,1,5,574.0,819.5,2.0,78609.2523296487,1137.1927490234375,1,1
16,1,1,5,534.5,883.5,2.0,78609.2523296487,1128.117919921875,1,1
17,1,1,5,1583.2,1562.6,6.0,235827.7569889461,1174.2962646484375,1,1
18,1,1,5,542.0,1952.5,2.0,78609.2523296487,1228.676513671875,1,1
19,1,1,5,953.0,2009.5,2.0,78609.2523296487,1192.8365478515625,1,1
20,1,1,5,537.1538461538462,58.53846153846154,14.0,550264.2282153472,1242.0107421875,2,2
21,2,2,10,1728.4166666666665,116.08333333333334,2.5,98261.41166968204,1161.86376953125,2,3
22,1,1,5,1367.0,316.5,2.0,78609.1754593353,1225.684326171875,2,2
23,3,3,15,1993.1583333333335,408.44166666666666,6.0,235827.23173673896,1165.104736328125,2,4
24,1,1,5,1225.6666666666667,662.7894736842105,21.0,825396.3423230208,1302.962890625,2,2
25,1,1,5,1255.0416666666667,682.7916666666666,7.0,275132.1141076736,1150.9697265625,2,2
26,2,2,10,536.0,1422.0,2.0,78609.1370230106,1336.607421875,2,3
27,6,6,30,62.883333333333326,1496.6888888888889,4.0,157217.9794101009,1303.56689453125,2,7
28,3,3,15,543.0,1950.5,2.0,78609.09859495754,1298.4156494140625,2,4
29,4,4,20,954.25,2007.25,2.5,98261.33481406613,1287.83984375,2,5
30,2,2,10,534.5423076923078,58.17307692307692,11.5,452002.067117982,1339.283447265625,3,4
31,4,4,20,745.6666666666666,104.375,2.75,108087.36645004038,1284.60205078125,3,6
32,2,2,10,548.1666666666667,358.91666666666663,2.5,98261.3348094401,1214.36572265625,3,4
33,1,1,5,1228.175,663.625,19.0,746786.4365735161,1271.368896484375,3,3
34,1,1,5,1254.0,678.25,3.0,117913.6478800288,1169.2225341796875,3,3
35,1,1,5,1751.5,1349.0,2.0,78609.0985866859,1292.72802734375,3,3
36,5,5,25,1049.1299999999999,1439.0700000000002,4.2,165078.83034301052,1333.22900390625,3,7
37,5,5,25,1214.4633333333334,2021.3416666666667,5.4,212244.17420392152,1339.489501953125,3,7
38,14,14,70,1729.4852350030922,118.27529375386517,8.571428571428571,336893.6854461544,1317.677490234375,4,17
39,1,1,5,1230.28125,660.96875,14.0,550263.1521719603,1224.17724609375,4,4
40,1,1,5,1254.0,682.3333333333334,3.0,117913.5326082772,1134.07861328125,4,4
41,1,1,5,1631.5,859.5,2.0,78609.0217388514,1190.3634033203125,4,4
42,1,1,5,1584.25,1560.0,4.0,157218.04347770291,1188.903564453125,4,4
43,1,1,5,539.2727272727273,60.5,12.0,471653.66923379136,1356.856201171875,5,5
44,1,1,5,234.5,92.0,2.0,78608.9448722985,1139.0731201171875,5,5
45,1,1,5,488.25,278.25,3.0,117913.4173084478,1136.8116455078125,5,5
46,3,3,15,1991.8333333333333,410.4444444444444,2.6666666666666665,104811.81119458559,1185.2840576171875,5,7
47,3,3,15,687.4,473.2,3.6666666666666665,144116.21957434173,1331.05419921875,5,7
48,1,1,5,1225.6,671.1,10.0,393044.7243614928,1228.4569091796875,5,5
49,2,2,10,1634.5,858.5,2.0,78608.90643785315,1169.9881591796875,5,6
50,3,3,15,534.8888888888888,1424.111111111111,2.3333333333333335,91710.34600499154,1337.5382080078125,5,7
51,2,2,10,534.9388888888889,60.17777777777778,9.5,373391.93085157865,1295.02978515625,6,7
52,5,5,25,547.62,359.46,3.2,125773.9428379968,1218.0645751953125,6,10
53,1,1,5,1227.3653846153848,663.4423076923076,18.0,707479.8120306703,1306.560546875,6,6
54,1,1,5,1585.6666666666663,1559.7666666666669,11.0,432348.7740187429,1160.7857666015625,6,6
55,1,1,5,1228.2291666666667,665.8125,15.0,589565.9335317333,1316.475830078125,7,7
56,1,1,5,1262.0,683.0,2.0,78608.7911375644,1128.6602783203125,7,7
57,1,1,5,1632.5,859.75,4.0,157217.5822751289,1173.622314453125,7,7
58,2,2,10,534.7689393939395,57.07954545454545,11.5,451999.87646708393,1263.615234375,8,9
59,1,1,5,488.25,264.125,5.0,196521.7856787286,1165.127197265625,8,8
60,3,3,15,687.5333333333333,470.17777777777775,3.6666666666666665,144115.86087162033,1231.779052734375,8,10
61,1,1,5,1225.5,670.5,14.0,550260.9999004402,1300.3267822265625,8,8
62,1,1,5,1269.125,678.0,5.0,196521.7856787286,1191.3004150390625,8,8
63,2,2,10,1632.767857142857,857.25,5.0,196521.65116556664,1245.66162109375,8,9
64,10,10,50,534.1533333333333,1422.6066666666666,4.0,157216.6637712586,1346.053955078125,8,17
65,2,2,10,63.0,1495.0,2.0,78608.67583915945,1286.267578125,8,9
66,1,1,5,1584.888888888889,1559.6666666666667,7.0,275130.49995022,1177.733642578125,8,8
