event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_Mm2,peak_intensity
0,1,983.0,43.0,1,5,2.0,0.078609329201371,1271.82470703125
1,1,984.0,38.0,1,5,5.0,0.1965227464667147,1295.039306640625
2,40,972.9293124757187,45.130530589202465,38,190,11.575,0.45494323177628965,1335.96630859375
3,10,534.5510714285715,59.24988095238094,10,50,6.5,0.25547942824535563,1356.856201171875
4,15,534.5700056116723,60.17001122334456,15,75,6.666666666666667,0.26202682368009905,1356.5081787109375
5,8,239.70208333333332,172.96666666666667,8,40,3.0,0.11791363828793285,1323.8822021484375
6,15,249.79455687830693,167.70506613756615,15,75,7.333333333333333,0.2882279836417937,1316.5771484375
7,2,522.5714285714287,294.4428571428572,2,10,11.5,0.4520034507285775,1300.85009765625
8,15,528.7000882069999,289.2350758990464,15,75,16.8,0.6603110682720399,1334.9403076171875
9,7,513.528231292517,306.26088435374146,7,35,5.428571428571429,0.2133615635182238,1316.8695068359375
10,44,1549.2710356363466,287.3367457502625,41,205,9.772727272727273,0.3841071993008515,1333.1536865234375
11,1,4.5,340.0,1,5,2.0,0.078609329201371,1250.066650390625
12,12,7.693005952380953,312.90223214285714,12,60,6.75,0.26530410323130255,1361.6959228515625
13,3,9.555555555555555,311.0555555555556,3,15,2.6666666666666665,0.10481037640114539,1341.6630859375
14,16,9.099751984126986,323.61354166666666,13,65,5.75,0.22599551623056408,1347.2713623046875
15,1,10.0,342.0,1,5,3.0,0.117909266719546,1200.8846435546875
16,1,6.5,341.0,1,5,2.0,0.0786055629651678,1189.642578125
17,20,1978.2805934343432,447.1999696969697,20,100,6.9,0.27119990092613117,1277.7440185546875
18,1,1978.8,449.2,1,5,5.0,0.1965190954574929,1195.056396484375
19,1,1978.5,452.5,1,5,2.0,0.0786071770160664,1184.9002685546875
20,8,2020.5236038156163,795.029815048367,8,40,18.875,0.7418734208661963,1335.436767578125
21,3,2022.0,790.8333333333334,3,15,2.0,0.07860856054661663,1301.5648193359375
22,1,2017.5,803.0,1,5,2.0,0.0786071001545367,1262.50390625
23,19,2020.765186129262,796.184386119117,19,95,18.105263157894736,0.7115914873166898,1336.451416015625
24,5,96.38333333333334,1013.7666666666668,5,25,3.2,0.12577471148910832,1292.935791015625
25,1,97.0,1013.5,1,5,2.0,0.0786087142714914,1235.250732421875
26,6,92.68055555555556,1001.7847222222223,6,30,4.0,0.15721665352246475,1265.916015625
27,1,92.5,1008.5,1,5,2.0,0.0786079456398043,1219.139892578125
28,1,94.5,1008.5,1,5,2.0,0.078607791908934,1221.15234375
29,1,91.0,999.0,1,5,2.0,0.0786075613181632,1215.2181396484375
30,1,1575.5,1271.5,1,5,2.0,0.078609329201371,1222.3707275390625
31,41,1576.3088020868418,1268.881226310952,41,205,13.146341463414634,0.5166986559015317,1319.109130859375
32,29,716.4576951020041,1479.4302772145013,29,145,31.413793103448278,1.2346925781372757,1327.2711181640625
33,11,714.6705568273081,1483.4831180406045,11,55,8.090909090909092,0.3179985054161726,1323.799560546875
34,31,1154.5556730218968,1517.7629920785519,31,155,9.258064516129032,0.3638809699660406,1321.941162109375
35,1,1154.5,1517.0,1,5,2.0,0.0786066389791377,1315.7777099609375
36,1,1154.5,1522.5,1,5,2.0,0.0786064852650408,1313.92236328125
37,3,1150.3333333333333,1517.1666666666667,3,15,2.6666666666666665,0.10480832675221304,1299.145751953125
38,2,1145.0,1515.5,2,10,2.0,0.07860598566392929,1331.01318359375
39,4,1156.0666666666666,1516.8833333333332,4,20,3.5,0.13755988888638523,1317.45458984375
40,1,746.5,1743.5,1,5,2.0,0.078609329201371,1192.7470703125
41,16,743.1022296873448,1737.8276804883712,15,75,11.5,0.45199622548962387,1311.1353759765625
42,22,744.4704717504717,1737.4049941052215,22,110,12.727272727272727,0.5002220696321477,1314.30224609375
43,9,1318.8650793650793,1933.9847883597884,9,45,5.222222222222222,0.20525697975618978,1319.825439453125
