event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,31,538.2170752186881,60.33172248898056,29,145,8.35483870967742,328380.4264143599,1356.856201171875
1,2,549.5,64.0,1,5,1.0,39303.5116522398,1201.7132568359375
2,1,548.0,74.0,1,5,1.0,39302.7814825839,1168.9873046875
3,8,1991.5520833333335,409.65625,8,40,2.75,108087.56822330866,1192.882568359375
4,1,1988.0,411.0,1,5,1.0,39303.9728199021,1132.341796875
5,1,1989.5,411.5,1,5,2.0,78607.791908934,1175.283447265625
6,22,1990.0694444444443,411.7733585858586,22,110,2.272727272727273,89325.63178875759,1236.212158203125
7,1,1993.0,413.0,1,5,1.0,39302.819904643504,1138.4898681640625
8,16,1228.6273024456123,664.6142418850284,14,70,9.375,368479.8542343266,1325.490478515625
9,1,1216.0,678.0,1,5,1.0,39303.4732193731,1144.0521240234375
10,1,1222.0,670.0,1,5,1.0,39303.0120468032,1130.443603515625
11,8,1257.1510416666665,682.78125,7,35,2.25,88435.34641838529,1205.0662841796875
12,1,1274.5,682.0,1,5,2.0,78608.7142714914,1191.3004150390625
13,8,1266.9010416666665,683.15625,8,40,2.5,98260.35961411685,1225.8157958984375
14,2,1259.0833333333335,682.4166666666667,2,10,2.5,98259.77831882545,1155.5426025390625
15,1,1264.5,681.0,1,5,2.0,78607.56131816319,1147.2939453125
16,1,1649.0,758.8,1,5,5.0,196523.3230034274,1203.404541015625
17,10,1650.0666666666668,763.3266666666666,9,45,2.9,113982.8816620323,1218.146728515625
18,5,1653.4,810.9,5,25,1.4,55025.661875107464,1195.87158203125
19,7,1658.8452380952383,779.1785714285714,7,35,2.2857142857142856,89836.94941595115,1218.2554931640625
20,8,1658.6875,781.1875,8,40,1.75,68780.86675769264,1190.5238037109375
21,2,1651.0,811.0,2,10,1.0,39303.1081210063,1143.9156494140625
22,2,1656.5,794.0,2,10,1.0,39302.91597238195,1148.0782470703125
23,14,2020.989387100994,793.6912120617478,14,70,13.785714285714286,541840.9546038205,1335.436767578125
24,26,2020.1197218092211,797.0428173981569,26,130,15.76923076923077,619778.8788790795,1336.451416015625
25,1,1629.0,864.0,1,5,1.0,39304.6646006855,1170.4794921875
26,15,1631.9395767195767,859.5267195767195,15,75,5.2,204381.7475774743,1315.496826171875
27,1,1631.0,863.0,1,5,1.0,39303.895954467,1130.61962890625
28,1,536.0,882.0,1,5,1.0,39304.6646006855,1143.3153076171875
29,1,537.0,877.0,1,5,1.0,39304.5877296676,1135.683349609375
30,2,530.0,893.5,2,10,1.0,39303.3771342329,1143.50537109375
31,1,999.0,1085.0,1,5,2.0,78609.329201371,1171.742431640625
32,1,1000.0,1080.0,1,5,1.0,39304.5877296676,1157.8873291015625
33,20,995.0608333333333,1081.2841666666666,19,95,3.25,127737.17379028776,1321.034423828125
34,1,659.0,1176.0,1,5,1.0,39304.6646006855,1177.3702392578125
35,1,660.5,1174.0,1,5,2.0,78607.4076055963,1161.33984375
36,1,660.0,1177.5,1,5,2.0,78607.2538820457,1194.974609375
37,9,660.5666666666667,1177.7444444444445,9,45,2.3333333333333335,91707.96325604821,1303.315185546875
38,5,662.7666666666667,1173.4333333333332,5,25,3.4,133629.65684928928,1305.80712890625
39,21,1639.1866170205453,1180.3949933003505,21,105,7.0,275130.1101685609,1271.124267578125
40,1,1636.0,1180.0,1,5,1.0,39303.7422250286,1132.3095703125
41,1,1647.5,1184.0,1,5,2.0,78607.1770160664,1155.8974609375
42,2,1648.0,1185.75,2,10,1.5,58955.248261926354,1160.19677734375
43,1,1635.0,1176.0,1,5,1.0,39303.3579191488,1133.2777099609375
44,1,1635.0,1182.5,1,5,2.0,78606.4852650408,1141.89697265625
45,1,1636.0,1176.0,1,5,1.0,39303.0889065153,1133.769287109375
46,1,1641.0,1174.0,1,5,1.0,39302.9351871012,1131.8919677734375
47,2,1635.5,1179.0,2,10,1.0,39302.8006936137,1140.7059326171875
48,34,472.0581630107265,1271.128202324722,34,170,17.294117647058822,679730.2021097499,1330.16845703125
49,1,468.0,1274.0,1,5,1.0,39303.2042011912,1145.3365478515625
50,1,473.0,1273.0,1,5,1.0,39303.050476716606,1143.434326171875
51,1,477.0,1272.0,1,5,1.0,39302.9351871012,1163.6358642578125
52,38,533.8833333333333,1424.4798245614033,38,190,3.1315789473684212,123083.41192051905,1347.355224609375
53,10,62.651666666666664,1497.0516666666667,10,50,2.9,113983.02386310506,1303.56689453125
54,1,63.0,1499.5,1,5,2.0,78607.1001545367,1212.5654296875
55,1,63.0,1499.0,1,5,1.0,39303.4732193731,1201.3868408203125
56,1,62.0,1500.0,1,5,1.0,39303.396349317,1158.5970458984375
57,2,512.25,1663.5,2,10,1.5,58956.97768309765,1169.241943359375
58,1,516.0,1662.0,1,5,1.0,39304.5108694257,1157.195556640625
59,1,515.0,1664.0,1,5,1.0,39304.4340017039,1133.7994384765625
60,2,493.5,1671.0,1,5,1.0,39304.280275296995,1131.74267578125
61,3,487.0,1681.0,2,10,1.0,39304.15217675406,1157.258544921875
62,3,496.3333333333333,1670.3333333333333,3,15,1.0,39303.89595450677,1167.1123046875
63,1,490.5,1672.0,1,5,2.0,78607.48445005731,1134.735107421875
64,2,495.25,1671.25,2,10,1.5,58955.42119503945,1147.200439453125
65,1,486.0,1688.0,1,5,1.0,39303.5116522398,1144.362548828125
66,1,487.0,1682.0,1,5,1.0,39303.3194895688,1173.84716796875
67,1,1095.0,1726.0,1,5,1.0,39304.6646006855,1248.6707763671875
68,1,1096.0,1723.0,1,5,1.0,39304.4724361492,1157.027587890625
69,3,1093.0,1718.6666666666667,3,15,1.6666666666666667,65507.185031055764,1237.033447265625
70,7,542.5714285714286,1952.142857142857,7,35,1.5714285714285714,61764.31920862891,1298.4156494140625
71,2,510.2,2010.8,2,10,3.0,117913.97458412584,1327.7705078125
72,7,953.8571428571429,2008.357142857143,7,35,2.0,78609.14252308544,1309.5576171875
73,19,1729.1221908939015,118.55192147034253,19,95,5.368421052631579,211001.87107682938,1317.677490234375
74,2,1366.5,318.5,2,10,2.0,78609.213894492,1225.684326171875
75,1,353.0,970.0,1,5,1.0,39304.6261648243,1130.8978271484375
76,1,344.0,948.0,1,5,1.0,39304.3571357457,1137.550537109375
77,3,353.8333333333333,968.3333333333334,3,15,1.3333333333333333,52405.13055313084,1164.6834716796875
78,7,347.06190476190477,966.0476190476192,7,35,2.0,78607.26486093304,1173.814208984375
79,1,353.0,969.0,1,5,1.0,39303.4347874449,1154.1314697265625
80,7,352.42857142857144,970.4285714285714,7,35,2.142857142857143,84220.47110006968,1226.074951171875
81,1,908.0,1326.0,1,5,1.0,39304.6261648243,1135.49267578125
82,9,913.1944444444445,1328.3796296296298,9,45,2.3333333333333335,91708.77457350423,1232.6912841796875
83,1,111.0,1595.0,1,5,1.0,39304.5877296676,1142.9154052734375
84,1,111.0,1595.0,1,5,1.0,39304.4724361492,1190.6292724609375
85,1,111.0,1595.0,1,5,1.0,39304.3571357457,1171.5535888671875
86,1,111.0,1595.0,1,5,1.0,39304.203408771995,1140.39404296875
87,1,111.0,1595.0,1,5,1.0,39303.5116522398,1148.6385498046875
88,1,111.0,1595.0,1,5,1.0,39303.050476716606,1159.4512939453125
89,1,111.0,1595.0,1,5,1.0,39302.819904643504,1149.9267578125
90,5,745.6,104.53333333333335,5,25,2.2,86469.87778655889,1284.60205078125
91,1,487.0,278.0,1,5,1.0,39304.5492933429,1132.667724609375
92,1,487.5,279.5,1,5,2.0,78608.9448722985,1136.8116455078125
93,8,488.31562499999995,266.62916666666666,8,40,4.125,162130.05044265924,1231.7681884765625
94,1,487.0,270.0,1,5,1.0,39304.011252096505,1145.537353515625
95,1,488.0,266.0,1,5,1.0,39303.895954467,1131.75244140625
96,1,488.5,275.0,1,5,2.0,78607.4076055963,1217.60546875
97,25,487.9999957194508,273.9208643169696,23,115,11.68,459059.82483091846,1338.4005126953125
98,1,1751.5,1349.0,1,5,2.0,78609.0985866859,1292.72802734375
99,17,1766.9658029878617,1346.6426937441643,17,85,4.9411764705882355,194203.63603157902,1312.27197265625
100,11,1049.221717171717,1438.8540404040405,11,55,4.7272727272727275,185802.36315648517,1342.6246337890625
101,14,1213.7325396825397,2020.7299603174602,14,70,4.214285714285714,165639.8429531118,1340.671630859375
102,1,1213.0,2025.0,1,5,1.0,39303.9728199021,1168.1962890625
103,13,1213.0128205128206,2023.423076923077,13,65,3.6923076923076925,145120.78254970803,1345.1029052734375
104,1,1206.0,2024.0,1,5,1.0,39303.2426325204,1231.294189453125
105,1,548.0,359.5,1,5,2.0,78609.0217388514,1214.36572265625
106,11,547.3333333333333,359.66666666666663,11,55,2.1818181818181817,85754.73742945993,1225.7786865234375
107,2,546.0,363.5,2,10,1.0,39303.953603513495,1160.618408203125
108,2,549.5,362.5,2,10,1.0,39303.454003409,1327.8756103515625
109,1,1691.5,764.0,1,5,2.0,78609.0217388514,1157.4110107421875
110,1,1693.0,760.0,1,5,1.0,39304.3187034137,1149.9656982421875
111,1,1695.0,781.0,1,5,1.0,39303.9728199021,1140.940185546875
112,1,1688.0,768.0,1,5,1.0,39303.665371675306,1152.7080078125
113,1,1687.0,768.0,1,5,1.0,39303.5885080332,1143.0477294921875
114,1,1689.5,768.0,1,5,2.0,78606.9464387462,1134.076171875
115,1,1698.0,797.0,1,5,1.0,39303.2426325204,1133.4775390625
116,1,1686.0,768.0,1,5,1.0,39302.8583329072,1132.39208984375
117,1,99.0,1151.0,1,5,1.0,39304.5108694257,1146.6182861328125
118,1,111.0,1160.0,1,5,1.0,39304.3571357457,1132.67529296875
119,1,100.0,1167.0,1,5,1.0,39304.280275296995,1148.193603515625
120,1,107.0,1164.0,1,5,1.0,39304.011252096505,1167.3380126953125
121,1,105.0,1166.0,1,5,1.0,39303.895954467,1142.81591796875
122,2,102.5,1163.25,2,10,1.5,58955.57491531245,1188.311767578125
123,1,103.0,1167.0,1,5,1.0,39303.5500772683,1149.48388671875
124,1,97.5,1165.5,1,5,2.0,78606.4084023824,1145.14208984375
125,1,108.0,1163.0,1,5,1.0,39303.0120468032,1142.3897705078125
126,1,100.0,1168.0,1,5,1.0,39302.7814825839,1130.637939453125
127,7,687.1428571428571,471.75,7,35,2.5714285714285716,101068.40731722351,1331.05419921875
128,2,967.5,1090.0,2,10,1.0,39304.453218926545,1227.5660400390625
129,18,967.1977051679257,1085.887182486631,18,90,11.5,451984.879827267,1321.806884765625
130,1,538.0,1799.0,1,5,1.0,39304.3955687822,1140.266845703125
131,16,535.4040045024419,1799.3484584859584,16,80,7.0625,277582.8020050669,1317.455810546875
132,1,535.0,1795.0,1,5,1.0,39303.3579191488,1143.083740234375
133,1,542.0,1799.0,1,5,1.0,39303.0889065153,1160.9739990234375
134,2,1304.5,668.0,2,10,1.0,39304.3379195797,1142.868896484375
135,1,1304.0,673.0,1,5,1.0,39303.9728199021,1130.713134765625
136,1,1307.0,671.0,1,5,1.0,39303.8190914985,1163.3350830078125
137,1,1918.0,1178.0,1,5,1.0,39304.280275296995,1136.149658203125
138,1,1914.0,1193.0,1,5,1.0,39303.5500772683,1171.3984375
139,1,1926.0,1180.0,1,5,1.0,39303.3194895688,1140.4111328125
140,1,1916.0,1189.0,1,5,1.0,39303.2042011912,1144.4476318359375
141,5,1131.4666666666667,1703.3666666666663,5,25,2.6,102190.9211880967,1326.0966796875
142,1,311.0,94.0,1,5,1.0,39304.241841214105,1204.01513671875
143,1,309.0,95.0,1,5,1.0,39303.8190914985,1149.638916015625
144,2,381.5,220.5,2,10,1.0,39304.22262499305,1163.2412109375
145,13,380.7713675213675,222.02350427350424,13,65,2.6153846153846154,102794.3938916417,1204.496826171875
146,5,1363.6533333333332,585.88,5,25,3.8,149355.85768012662,1323.6697998046875
147,3,726.0,436.0,3,15,1.0,39304.1649836275,1168.223388671875
148,3,725.1666666666666,438.5,3,15,1.6666666666666667,65506.557311954406,1261.916259765625
149,1,726.0,437.0,1,5,1.0,39303.8190914985,1183.6783447265625
150,1,725.0,436.0,1,5,1.0,39303.7038027981,1131.724853515625
151,1,727.0,764.0,1,5,1.0,39304.203408771995,1143.6905517578125
152,3,726.3333333333334,764.0,3,15,1.0,39303.93438716466,1211.34228515625
153,10,1233.6,836.65,10,50,2.4,94329.74230635553,1314.9298095703125
154,12,1217.9361111111111,844.3861111111111,12,60,3.0,117910.27232886024,1326.39013671875
155,5,1220.7333333333331,840.4333333333334,5,25,2.8,110048.5567061699,1325.896484375
156,2,1220.0,840.0,2,10,1.0,39302.8006936137,1282.82177734375
157,1,155.0,898.0,1,5,1.0,39304.203408771995,1132.9537353515625
158,1,154.0,898.0,1,5,1.0,39304.0881225776,1145.347900390625
159,1,155.0,900.0,1,5,1.0,39303.895954467,1136.0428466796875
160,6,51.27777777777777,1054.9444444444446,6,30,1.6666666666666667,65506.85196608864,1287.1112060546875
161,17,51.037254901960786,1056.3549019607842,17,85,3.5294117647058822,138718.69235769784,1300.7435302734375
162,3,1702.4166666666667,319.0833333333333,3,15,3.3333333333333335,131013.75518267443,1248.338623046875
163,4,1526.8458333333333,270.0291666666667,4,20,3.5,137564.2027303253,1315.9163818359375
164,3,7.5,1636.6666666666667,3,15,1.3333333333333333,52405.3995831933,1156.9622802734375
165,1,5.0,1638.0,1,5,1.0,39303.9343871249,1131.0302734375
166,1,6.0,1636.0,1,5,1.0,39303.8575219284,1158.89111328125
167,4,5.0,1637.0,4,20,1.0,39303.723014645904,1207.59521484375
168,2,4.75,1640.75,2,10,2.0,78607.13858530155,1184.9842529296875
169,1,5.0,1640.0,1,5,1.0,39303.4732193731,1133.533935546875
170,1,5.0,1638.0,1,5,1.0,39303.3579191488,1247.929931640625
171,1,6.0,1639.0,1,5,1.0,39303.2810638519,1143.0374755859375
172,4,5.125,1636.75,4,20,1.5,58954.642966815445,1168.901611328125
173,5,7.2666666666666675,1636.7,5,25,2.6,102187.54694626664,1199.5262451171875
174,1,376.0,1867.0,1,5,1.0,39304.0881225776,1208.026611328125
175,1,375.0,1866.5,1,5,2.0,78605.5629651678,1257.6519775390625
176,1,1591.0,1927.0,1,5,1.0,39304.0881225776,1135.1055908203125
177,4,1588.625,1934.5,4,20,1.25,49129.41838354571,1302.955078125
178,3,1591.0,1916.75,3,15,3.6666666666666665,144110.27561566167,1324.544921875
179,4,1889.0,401.0,4,20,1.5,58955.74785199639,1261.390625
180,22,1892.3515571865007,397.9848467126308,22,110,15.227272727272727,598478.747299487,1327.7100830078125
181,1,1433.0,1647.0,1,5,1.0,39303.8190914985,1148.4324951171875
182,1,1432.0,1651.0,1,5,1.0,39303.4347874449,1141.8204345703125
183,1,1435.0,1647.0,1,5,1.0,39303.3194895688,1147.7984619140625
184,1,1452.0,1641.0,1,5,1.0,39302.973617126096,1146.9229736328125
185,1,452.0,1755.0,1,5,1.0,39303.780659081596,1132.17578125
186,3,451.8888888888889,1756.2222222222224,3,15,1.6666666666666667,65506.1345736975,1219.529541015625
187,2,452.5,1759.0,2,10,1.0,39303.454003409,1217.78759765625
188,16,452.57351190476186,1756.6057043650794,16,80,5.4375,213710.12321764533,1316.198974609375
189,5,1299.4,1165.6,5,25,1.0,39303.6653697116,1279.1116943359375
190,8,224.5,1434.78125,8,40,1.5,58955.39717612415,1297.944091796875
191,1,225.0,1432.0,1,5,1.0,39303.0889065153,1138.368408203125
192,7,227.31666666666663,1431.5523809523809,7,35,3.4285714285714284,134752.83281129217,1292.848388671875
193,3,1060.8333333333333,1732.3333333333333,3,15,1.6666666666666667,65506.185809109644,1180.385009765625
