event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,21,721.3851580784891,46.01504528366139,46,230,21.571428571428573,847857.7649576444,1343.48828125
1,20,238.85666666666665,173.31833333333333,35,175,2.8,110053.06088191943,1323.8822021484375
2,5,1294.2,259.2,49,245,1.4,55026.53044095971,1221.3077392578125
3,22,9.856686999868819,310.940854978355,34,170,4.681818181818182,184017.29335775485,1347.2713623046875
4,13,8.538461538461538,342.46153846153845,50,250,1.4615384615384615,57445.27903177112,1270.8448486328125
5,13,632.0826979737097,540.4812703183105,46,230,10.692307692307692,420257.5676534834,1337.9183349609375
6,5,1650.5,755.9,10,50,1.2,47165.59752082261,1218.146728515625
7,31,2020.8213193825857,795.4868057965601,50,250,15.225806451612904,598445.2158555987,1336.451416015625
8,20,1577.845320961718,1270.2791129785246,45,225,9.25,363568.147556341,1319.109130859375
9,35,533.8938095238095,1424.3023809523809,36,180,3.085714285714286,121282.96505354387,1347.355224609375
10,14,744.3340239125954,1741.0585446299733,39,195,8.642857142857142,339704.601191639,1310.4725341796875
11,13,1319.2912087912086,1933.3804945054944,44,220,3.6923076923076925,145124.91544868491,1319.825439453125
12,7,542.5714285714286,1952.142857142857,7,35,1.5714285714285714,61764.47294393438,1298.4156494140625
13,12,676.0000000000001,2003.7083333333333,50,250,2.6666666666666665,104812.43893516134,1298.5836181640625
14,7,953.8571428571429,2008.4285714285713,7,35,1.5714285714285714,61764.47294393437,1309.5576171875
15,30,197.41666666666666,2023.4527777777778,50,250,2.3,90400.72858157667,1963.6666259765625
16,25,534.46013997114,59.702606060606065,30,150,5.76,226394.86809994854,1356.856201171875
17,7,1990.7142857142858,411.42857142857144,45,225,1.0,39304.66460068551,1236.212158203125
18,7,97.28571428571429,1014.2857142857143,22,110,1.5714285714285714,61764.47294393438,1292.935791015625
19,10,1638.83,1180.16,17,85,1.9,74678.86274130247,1242.1239013671875
20,5,464.06012533875344,1219.0553590785908,14,70,84.4,3317313.6922978573,1340.7760009765625
21,32,716.1109071361204,1480.4058277274135,49,245,24.65625,969105.6365606522,1326.592529296875
22,10,1273.3922222222222,1480.3277777777778,48,240,2.7,106122.5944218509,1314.193359375
23,11,62.810606060606055,1497.1742424242425,31,155,2.3636363636363638,92901.9345107112,1303.56689453125
24,26,1154.2405491438387,1518.6474525474523,49,245,7.0,275132.65220479853,1317.45458984375
25,4,619.610119047619,106.14285714285714,4,20,4.0,157218.65840274203,1293.312744140625
26,8,1296.9333333333334,245.31666666666666,27,135,2.0,78609.32920137102,1262.2994384765625
27,22,1551.9536130137806,287.7446012619757,27,135,11.318181818181818,444857.34025321325,1331.1690673828125
28,2,1402.5,601.0,2,10,1.0,39304.66460068551,1247.2469482421875
29,6,1367.3333333333333,1507.7222222222224,44,220,3.5,137566.32610239927,1288.287353515625
30,5,1524.8666666666666,1573.2333333333333,44,220,2.0,78609.32920137103,1244.218505859375
31,2,260.19780219780216,1581.8868131868132,2,10,67.5,2653064.860546272,1339.4842529296875
32,3,678.5213675213676,1936.2051282051282,48,240,13.666666666666666,537163.7495427019,1322.16748046875
33,9,1568.5,2035.148148148148,42,210,1.7777777777777777,69874.95929010757,1262.6444091796875
34,1,984.0,38.0,1,5,5.0,196523.32300342756,1295.039306640625
35,2,1020.0,627.5,14,70,1.0,39304.66460068551,1187.0450439453125
36,21,454.0824514991182,1194.0202569916858,47,235,9.952380952380953,391174.99531158427,1327.1680908203125
37,1,1751.0,1349.0,1,5,1.0,39304.66460068551,1292.72802734375
38,10,1049.2233333333334,1438.7183333333335,11,55,4.1,161149.12486281057,1342.6246337890625
39,5,100.2,1856.2,11,55,1.0,39304.66460068551,1204.9849853515625
40,8,701.0583333333334,2007.3625,32,160,2.625,103174.74457679945,1328.646240234375
41,13,1729.3205128205127,118.93333333333332,15,75,4.0,157218.65840274203,1317.677490234375
42,10,1630.8392857142858,860.2071428571428,15,75,3.3,129705.39318226215,1315.496826171875
43,29,678.5206457344622,1058.0464176582432,44,220,40.3448275862069,1585739.9166483462,1322.930908203125
44,18,1214.0061728395062,2022.0216049382716,32,160,3.1666666666666665,124464.77123550413,1339.489501953125
45,18,966.7927520010855,1086.5374881291548,45,225,7.944444444444445,312253.7243276682,1321.806884765625
46,3,325.1027777777778,1968.4277777777777,4,20,14.333333333333334,563366.8592764923,1306.5335693359375
47,5,687.3333333333334,471.35,5,25,2.4,94331.19504164523,1331.05419921875
48,2,910.0,605.0,8,40,1.0,39304.66460068551,1200.4132080078125
49,6,997.3833333333333,684.6722222222223,19,95,5.0,196523.32300342756,1274.2255859375
50,10,472.253956043956,1220.882783882784,40,200,4.1,161149.12486281057,1337.7030029296875
51,1,1281.0,1472.0,1,5,1.0,39304.66460068551,1195.1783447265625
52,4,896.7708333333334,603.1875,20,100,3.75,147392.49225257066,1243.841552734375
53,1,1403.1764705882354,618.0588235294117,1,5,17.0,668179.2982116536,1318.177001953125
54,10,470.3748981900452,1271.040750377074,22,110,9.4,365533.38078637526,1330.16845703125
55,7,35.17721088435374,481.24132653061224,42,210,4.857142857142857,190908.3709176153,1343.1514892578125
56,3,490.77777777777777,268.27777777777777,3,15,2.0,78609.32920137102,1231.7681884765625
57,5,64.25454545454545,779.7454545454545,40,200,3.8,149357.72548260496,1259.252685546875
58,8,90.0625,998.9166666666667,31,155,1.625,63870.07997611395,1263.4114990234375
59,5,1131.6666666666665,1703.3666666666663,5,25,2.2,86470.26212150812,1326.0966796875
60,9,250.64814814814812,433.72222222222223,32,160,1.5555555555555556,61140.58937884412,1242.90869140625
61,7,1234.0,836.5,7,35,2.142857142857143,84224.28128718321,1314.9298095703125
62,1,637.0,1171.0,1,5,1.0,39304.66460068551,1319.3251953125
63,19,50.91228070175438,1056.0833333333335,21,105,2.5789473684210527,101364.66133860999,1300.7435302734375
64,2,1527.1666666666665,270.08333333333337,2,10,3.5,137566.32610239927,1315.9163818359375
65,17,994.0735294117648,1081.8039215686276,18,90,2.411764705882353,94793.6028604768,1321.034423828125
66,4,239.4861111111111,1574.8194444444443,15,75,4.25,167044.8245529134,1340.318359375
67,8,1016.7083333333333,641.9166666666667,25,125,1.625,63870.07997611395,1250.2884521484375
68,8,536.0104166666667,1800.375,14,70,1.875,73696.24612628532,1317.455810546875
69,4,997.4416666666666,659.8583333333333,32,160,3.25,127740.1599522279,1271.3216552734375
70,12,960.1944444444445,683.7465277777778,30,150,3.25,127740.15995222791,1285.812744140625
71,5,260.5,1594.1,12,60,1.4,55026.53044095971,1306.632568359375
72,15,1978.7666666666667,450.1666666666667,31,155,1.0666666666666667,41924.97557406454,1219.7628173828125
73,8,913.5625,1328.25,9,45,1.125,44217.7476757712,1232.6912841796875
74,2,724.5,1714.0,4,20,1.0,39304.66460068551,1187.009765625
75,4,1598.0,2041.6666666666667,22,110,1.5,58956.99690102826,1204.50439453125
76,17,1891.963405857801,397.95361481184943,28,140,11.294117647058824,443911.50607833045,1327.7100830078125
77,3,1010.1666666666666,686.0,17,85,1.3333333333333333,52406.219467580675,1216.133544921875
78,2,991.25,656.25,2,10,1.5,58956.996901028266,1228.906494140625
79,10,1344.0941727716727,1931.7126831501832,23,115,14.6,573848.1031700084,1317.240478515625
80,4,671.5416666666666,1975.375,22,110,1.75,68783.16305119963,1291.379150390625
81,1,743.0,1713.5,1,5,2.0,78609.32920137102,1191.59326171875
82,11,225.90151515151513,1433.0757575757577,25,125,2.0,78609.329201371,1297.944091796875
83,6,1657.75,781.5833333333334,14,70,1.3333333333333333,52406.219467580675,1218.2554931640625
84,8,5.875,1637.4375,24,120,1.125,44217.7476757712,1247.929931640625
85,12,1060.875,1734.2916666666667,16,80,1.4166666666666667,55681.60818430447,1309.1112060546875
86,19,452.610275689223,1756.8255639097747,25,125,3.6842105263157894,144806.65905515713,1316.198974609375
87,6,1398.0575375026644,622.4380539840811,24,120,63.5,2495846.20214353,1325.603759765625
88,18,1218.824074074074,843.0185185185186,23,115,2.611111111111111,102628.84645734547,1326.39013671875
89,14,661.4166666666666,1176.0773809523812,23,115,2.4285714285714284,95454.18545880765,1305.80712890625
90,4,984.047619047619,657.2559523809525,7,35,4.25,167044.8245529134,1267.051513671875
91,1,1662.0,769.0,1,5,1.0,39304.66460068551,1189.0994873046875
92,4,1588.625,1934.5,4,20,1.25,49130.83075085688,1302.955078125
93,6,249.08333333333334,443.6666666666667,11,55,1.5,58956.996901028266,1254.0843505859375
94,14,971.2202380952382,46.13095238095237,15,75,3.2142857142857144,126336.42193077484,1332.958740234375
95,1,253.0,1579.0,1,5,1.0,39304.66460068551,1197.28173828125
96,6,191.83333333333334,1106.0,18,90,1.3333333333333333,52406.21946758069,1286.97265625
97,2,676.7352941176471,1945.7352941176468,14,70,17.5,687831.6305119963,1325.5877685546875
98,14,1766.9226190476188,1346.8971088435374,14,70,4.571428571428571,179678.46674599085,1312.27197265625
99,2,635.5208333333333,93.85416666666666,2,10,7.0,275132.65220479853,1347.9249267578125
100,8,488.830975877193,277.3853618421052,14,70,12.75,501134.47365874023,1338.4005126953125
101,11,466.5363636363636,376.1175324675325,16,80,2.5454545454545454,100048.23716538129,1319.7470703125
102,1,668.8,1981.0,1,5,5.0,196523.32300342756,1225.308349609375
103,1,1206.0,2024.0,1,5,1.0,39304.66460068551,1231.294189453125
104,1,1291.0,271.0,1,5,1.0,39304.66460068551,1199.2265625
105,8,1124.3125,729.46875,8,40,2.5,98261.66150171377,1331.58837890625
106,2,1544.4166666666665,286.33333333333337,2,10,2.5,98261.66150171377,1306.66796875
107,2,994.5,649.5,4,20,1.0,39304.66460068551,1190.903076171875
108,6,478.86111111111114,1120.2222222222222,6,30,1.6666666666666667,65507.77433447584,1315.317626953125
109,5,961.8,68.8,5,25,1.4,55026.53044095971,1258.0682373046875
110,3,338.5555555555556,1966.1777777777777,6,30,3.0,117913.99380205653,1305.404296875
111,4,250.48214285714286,1573.0,6,30,5.5,216175.6553037703,1339.451416015625
112,1,1024.0,643.0,1,5,1.0,39304.66460068551,1185.458251953125
113,3,1145.0,1515.6666666666667,3,15,1.6666666666666667,65507.77433447584,1331.01318359375
114,3,78.66666666666667,1846.6666666666667,7,35,1.0,39304.66460068551,1218.970703125
115,4,1066.2416666666668,1727.8472222222224,4,20,7.75,304611.1506553127,1327.8216552734375
116,1,1590.0,1928.0,1,5,1.0,39304.66460068551,1319.7725830078125
117,1,81.0,991.0,1,5,1.0,39304.66460068551,1189.71533203125
