event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,13,1495.576923076923,391.3076923076923,157,785,1.0769230769230769,11931.823640640872,11096.1845703125
1,5,1228.9514285714286,502.9157142857142,32,160,3.8,42102.29198911851,11714.369140625
2,2,1199.0,508.0,2,10,1.0,11079.55052345224,10642.6416015625
3,12,1920.5555555555557,503.47222222222223,198,990,1.1666666666666667,12926.142277360945,12189.4658203125
4,1,1611.0,658.0,1,5,1.0,11079.55052345224,10493.744140625
5,1,1013.0,702.0,1,5,1.0,11079.55052345224,11248.7421875
6,22,1477.1530303030304,758.8530303030303,157,785,2.090909090909091,23166.33291267286,18623.125
7,10,1730.4333333333332,847.0416666666666,61,305,2.2,24375.011151594925,15058.26171875
8,8,1179.7083333333335,874.3541666666667,163,815,2.5,27698.8763086306,13167.5439453125
9,28,1170.197023809524,905.5749999999999,147,735,2.2857142857142856,25324.686910747976,13167.7607421875
10,2,1585.5,727.25,22,110,1.5,16619.32578517836,13670.78515625
11,1,779.0,823.0,1,5,3.0,33238.65157035671,13001.169921875
12,1,908.5,744.0,1,5,2.0,22159.10104690448,10943.263671875
13,10,1595.6785714285713,774.6303571428572,178,890,2.8,31022.741465666266,12349.2998046875
14,1,1039.0,698.0,1,5,1.0,11079.55052345224,10943.263671875
15,2,850.5,692.0,166,830,1.0,11079.55052345224,10199.5205078125
16,1,585.0,712.0,1,5,1.0,11079.55052345224,10053.2900390625
17,14,306.0119047619047,784.1785714285714,131,655,1.7142857142857142,18993.515183060983,10345.765625
18,15,600.9888888888889,966.1222222222223,185,925,1.8,19943.190942214027,14183.3232421875
19,2,487.0,1087.0,2,10,1.0,11079.55052345224,10943.2626953125
20,19,1075.3333333333333,305.6929824561404,29,145,1.4736842105263157,16327.75866614014,12189.41015625
21,7,592.9761904761905,720.952380952381,179,895,1.4285714285714286,15827.929319217485,10346.052734375
22,6,901.8333333333334,735.8333333333334,32,160,1.0,11079.55052345224,10943.2626953125
23,1,773.0,821.0,1,5,1.0,11079.55052345224,10053.5390625
24,4,681.5208333333334,609.5833333333334,4,20,3.0,33238.65157035672,13839.8857421875
25,4,1186.25,858.125,144,720,1.25,13849.438154315301,11714.7744140625
26,19,635.5535087719298,1057.5140350877195,91,455,3.1578947368421053,34988.05428458602,10943.2626953125
27,13,1268.7307692307693,810.3846153846154,151,755,1.3076923076923077,14488.642992206773,11403.146484375
28,8,357.375,803.5,189,945,1.0,11079.55052345224,10642.6416015625
29,8,1327.1041666666665,482.35416666666663,107,535,1.75,19389.21341604142,14010.3095703125
30,14,1209.607142857143,523.2142857142857,68,340,1.5714285714285714,17410.722251139232,13334.150390625
31,1,314.0,814.3333333333334,1,5,3.0,33238.65157035671,10199.74609375
32,14,1079.7259637188208,344.9521541950113,40,200,3.857142857142857,42735.409161887204,30567.1171875
33,17,1426.877450980392,675.7254901960783,177,885,2.588235294117647,28676.48370775874,11871.41015625
34,22,1619.990927128427,724.4286796536798,146,730,2.590909090909091,28706.10817439898,11871.33203125
35,1,366.0,807.0,1,5,1.0,11079.55052345224,10053.400390625
36,1,1162.0,845.0,1,5,1.0,11079.55052345224,10199.537109375
37,21,671.4126984126984,603.2460317460317,169,845,1.5714285714285714,17410.722251139232,11871.33203125
38,34,1541.5406862745097,668.4098039215687,170,850,1.8823529411764706,20855.624514733627,10493.3740234375
39,1,1174.0,859.0,1,5,1.0,11079.55052345224,10493.361328125
40,2,551.75,810.75,24,120,2.0,22159.10104690448,10493.4453125
