event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,4,982.075,40.975,8,80,3.25,127740.1599522279,1316.095458984375
1,4,1535.75,215.75,18,180,1.0,39304.66460068551,1298.2576904296875
2,1,280.0,232.0,1,10,1.0,39304.66460068551,1296.21923828125
3,29,1550.323145245559,287.8487983281087,41,410,6.0,235827.98760411306,1331.8935546875
4,12,631.2627314814814,541.0127314814814,15,150,3.8333333333333335,150667.88096929443,1337.9183349609375
5,1,1400.0,606.0,1,10,1.0,39304.66460068551,1284.3875732421875
6,8,1225.65625,670.5625,10,100,1.875,73696.24612628533,1325.490478515625
7,25,2021.0738511125019,795.3104618386087,50,500,12.16,477944.72154433577,1336.451416015625
8,3,96.33333333333333,1014.8333333333334,3,30,1.3333333333333333,52406.219467580675,1292.935791015625
9,1,780.0,1029.0,1,10,1.0,39304.66460068551,1299.719970703125
10,35,678.6145675881787,1057.4691101265655,47,470,30.114285714285714,1183631.899689215,1322.930908203125
11,1,1980.0,1114.5,1,10,2.0,78609.32920137102,1311.640380859375
12,12,563.1287912570522,1143.630018693062,23,230,13.083333333333334,514236.0285256354,1331.922119140625
13,11,1949.8181818181818,1136.7272727272727,26,260,1.0,39304.664600685515,1294.39501953125
14,38,1688.931135951037,1291.5105378357023,49,490,8.578947368421053,337192.6489427231,1318.873291015625
15,4,447.2708333333333,1397.8958333333333,5,50,4.25,167044.8245529134,1338.716064453125
16,42,450.6900820409911,1427.0338286240167,49,490,22.023809523809526,865638.4465627165,1336.540771484375
17,32,533.9395833333333,1424.0645833333333,36,360,2.4375,95805.11996417094,1347.355224609375
18,36,716.6114727719668,1479.8298847334881,43,430,20.166666666666668,792644.0694471578,1327.2711181640625
19,1,258.05263157894734,1587.2368421052631,1,10,38.0,1493577.254826049,1333.442626953125
20,12,1319.3791666666666,1933.1402777777778,44,440,2.9166666666666665,114638.60508533272,1319.825439453125
21,20,674.7815638201668,1942.1198655307112,41,410,12.7,499169.240428706,1328.808349609375
22,1,510.5,2012.5,1,10,4.0,157218.65840274203,1327.7705078125
23,1,952.5,2011.5,1,10,2.0,78609.32920137102,1309.5576171875
24,44,197.48863636363637,2023.5113636363637,50,500,1.9772727272727273,77716.04136953726,1963.6666259765625
25,17,534.3617647058824,59.981862745098034,24,240,3.176470588235294,124850.11108453044,1356.856201171875
26,32,109.73892887199364,1043.2611151176816,48,480,19.375,761527.8766382817,1319.29541015625
27,19,256.3160453581506,167.9072438526386,26,260,9.631578947368421,378565.98010133934,1316.580322265625
28,8,1524.0080086580087,183.1214962121212,20,200,10.75,422525.1444573692,1333.176025390625
29,18,1565.6296296296296,185.60185185185185,48,480,1.3888888888888888,54589.811945396534,1314.3861083984375
30,3,128.66666666666666,370.0,46,460,1.0,39304.66460068551,1317.1365966796875
31,4,980.5,658.0,12,120,1.0,39304.66460068551,1284.114501953125
32,13,959.6153846153846,682.9230769230769,45,450,1.0,39304.664600685515,1289.67529296875
33,1,451.0,1358.0,1,10,1.0,39304.66460068551,1300.1812744140625
34,6,62.916666666666664,1496.4166666666667,7,70,1.3333333333333333,52406.219467580675,1303.56689453125
35,27,1154.612148563129,1518.502375765121,48,480,4.814814814814815,189244.68141070803,1317.45458984375
36,1,260.3181818181818,1582.4772727272727,1,10,44.0,1729405.2424301624,1328.6981201171875
37,1,1389.0,1764.0,1,10,1.0,39304.66460068551,1293.6507568359375
38,2,543.0,1950.75,3,30,1.5,58956.996901028266,1298.4156494140625
39,6,696.4444444444443,88.52777777777777,47,470,1.8333333333333333,72058.55176792343,1317.5858154296875
40,3,346.5555555555556,93.77777777777777,10,100,3.6666666666666665,144117.1035358469,1317.77978515625
41,2,619.5,106.5,2,20,1.0,39304.66460068551,1293.312744140625
42,5,536.6,297.0,10,100,1.6,62887.463361096816,1326.3489990234375
43,3,630.2222222222222,483.77777777777777,8,80,1.6666666666666667,65507.77433447584,1338.102783203125
44,1,544.0,1138.0,1,10,1.0,39304.66460068551,1278.3558349609375
45,9,550.7777777777778,1184.111111111111,46,460,1.4444444444444444,56773.4044232124,1316.919677734375
46,10,470.6,1270.35,17,170,1.1,43235.131060754065,1330.16845703125
47,1,1751.0,1349.0,1,10,1.0,39304.66460068551,1292.72802734375
48,1,1271.0,1479.0,1,10,1.0,39304.66460068551,1314.193359375
49,1,1515.0,1570.0,1,10,1.0,39304.66460068551,1280.029541015625
50,1,408.0,1741.0,1,10,1.0,39304.66460068551,1280.6138916015625
51,8,88.89920634920635,1852.3663690476192,47,470,7.875,309524.23373039835,1311.211669921875
52,1,670.0,1886.0,1,10,1.0,39304.66460068551,1302.77001953125
53,1,1138.0,1953.0,1,10,1.0,39304.66460068551,1305.745361328125
54,11,701.1636363636363,2007.2636363636366,33,330,2.0,78609.32920137102,1328.646240234375
55,1,954.5,2006.0,1,10,2.0,78609.32920137102,1287.83984375
56,20,1213.9975,2021.8575,33,330,2.35,92365.96181161093,1340.671630859375
57,16,721.86866501554,46.043949106449105,46,460,8.625,339002.7321809125,1343.48828125
58,1,746.0,104.0,1,10,1.0,39304.66460068551,1284.60205078125
59,1,1086.0,310.0,1,10,1.0,39304.66460068551,1331.4820556640625
60,14,1399.408940248429,621.1721204590774,45,450,28.142857142857142,1106145.5609050062,1327.7064208984375
61,21,454.0652310652311,1193.9495563959852,46,460,5.380952380952381,211496.5285655934,1325.87451171875
62,4,464.1783207011087,1218.7770826018348,8,80,72.25,2839762.017399528,1340.4322509765625
63,7,1049.3428571428572,1439.0142857142857,10,100,3.2857142857142856,129143.89797368096,1342.6246337890625
64,1,1012.0,1495.0,1,10,1.0,39304.66460068551,1301.56884765625
65,5,1367.6,1509.2,42,420,1.0,39304.66460068551,1329.8140869140625
66,2,1735.5,1793.75,2,20,1.5,58956.996901028266,1311.2391357421875
67,6,670.0,1974.8333333333333,37,370,1.6666666666666667,65507.77433447586,1306.00732421875
68,1,1869.0,180.0,1,10,1.0,39304.66460068551,1306.205810546875
69,22,10.091125541125542,310.7811688311688,27,270,3.909090909090909,153645.507075407,1361.6959228515625
70,2,687.0,473.0,2,20,1.0,39304.66460068551,1331.05419921875
71,8,1729.6458333333335,118.16666666666666,9,90,1.625,63870.07997611395,1317.677490234375
72,1,1737.0,1159.5,1,10,2.0,78609.32920137102,1301.2086181640625
73,6,904.3055555555555,1741.5277777777776,9,90,2.1666666666666665,85160.10663481861,1320.469970703125
74,17,1545.649019607843,232.49411764705883,42,420,1.8235294117647058,71673.21191889711,1321.431884765625
75,1,1841.0,1161.0,1,10,3.0,117913.99380205652,1299.2281494140625
76,1,1637.0,1174.0,1,10,1.0,39304.66460068551,1271.124267578125
77,1,710.0,1932.0,1,10,1.0,39304.66460068551,1329.709228515625
78,1,451.0,1093.0,1,10,1.0,39304.66460068551,1317.43505859375
79,8,1976.4375,1106.3125,33,330,1.125,44217.7476757712,1308.56689453125
80,5,1131.9,1703.4,5,50,1.2,47165.59752082261,1326.0966796875
81,12,742.40625,1742.051388888889,35,350,3.4166666666666665,134290.93738567547,1311.1353759765625
82,1,127.0,1908.0,1,10,1.0,39304.66460068551,1276.545654296875
83,1,1472.0,1975.0,1,10,1.0,39304.66460068551,1330.330322265625
84,1,1981.0,448.0,1,10,1.0,39304.66460068551,1277.7440185546875
85,1,1775.0,1166.0,1,10,1.0,39304.66460068551,1267.2779541015625
86,3,1234.5,835.8333333333334,5,50,1.3333333333333333,52406.219467580675,1314.9298095703125
87,1,637.0,1171.0,1,10,1.0,39304.66460068551,1319.3251953125
88,1,1568.0,1255.0,1,10,1.0,39304.66460068551,1303.25439453125
89,1,1052.0,1769.0,1,10,1.0,39304.66460068551,1329.993408203125
90,3,1156.3333333333333,1805.3333333333333,3,30,1.0,39304.66460068551,1319.943359375
91,2,1364.25,585.75,2,20,1.5,58956.996901028266,1323.6697998046875
92,1,1982.0,1096.0,1,10,1.0,39304.66460068551,1305.816650390625
93,1,961.0,672.0,1,10,1.0,39304.66460068551,1278.8206787109375
94,3,1000.1666666666666,689.6666666666666,6,60,1.3333333333333333,52406.219467580675,1278.4727783203125
95,2,1631.25,860.0,2,20,1.5,58956.996901028266,1315.496826171875
96,9,50.85185185185185,1055.7407407407409,18,180,1.2222222222222223,48039.03451194896,1300.7435302734375
97,7,238.68877551020407,1573.2363945578234,8,80,3.4285714285714284,134758.85005949315,1343.71630859375
98,5,261.5,1596.2,15,150,1.8,70748.39628123393,1318.584228515625
99,8,673.5,2005.125,28,280,1.0,39304.66460068551,1318.74169921875
100,2,1527.0,270.0,2,20,2.0,78609.32920137102,1315.9163818359375
101,6,993.6666666666666,1082.1666666666667,16,160,1.3333333333333333,52406.21946758069,1321.034423828125
102,1,1744.0,410.0,1,10,1.0,39304.66460068551,1312.473876953125
103,8,334.125,119.25,29,290,1.0,39304.66460068551,1313.144775390625
104,1,240.0,126.0,1,10,1.0,39304.66460068551,1283.591796875
105,2,530.640350877193,286.3771929824561,25,250,41.0,1611491.2486281055,1334.6064453125
106,2,1564.344155844156,392.55194805194805,3,30,9.0,353741.9814061696,1327.61767578125
107,23,1578.845962732919,1271.4875258799173,31,310,3.8260869565217392,150383.06455914458,1319.109130859375
108,1,1446.5,1750.0,1,10,2.0,78609.32920137102,1298.96826171875
109,1,130.0,1029.0,1,10,1.0,39304.66460068551,1275.2841796875
110,2,1967.25,1115.75,8,80,1.5,58956.996901028266,1283.9879150390625
111,1,985.0,1628.0,1,10,1.0,39304.66460068551,1299.7386474609375
112,1,1131.0,204.0,1,10,1.0,39304.66460068551,1324.65283203125
113,1,911.0,561.8,1,10,5.0,196523.32300342756,1274.8309326171875
114,1,307.0,865.0,1,10,1.0,39304.66460068551,1335.017333984375
115,1,151.0,1687.0,1,10,1.0,39304.66460068551,1310.118408203125
116,10,1342.5148284313725,1932.0308823529413,14,140,6.0,235827.98760411306,1317.578369140625
117,1,1879.0,433.5,1,10,2.0,78609.32920137102,1323.2716064453125
118,1,212.0,501.0,1,10,1.0,39304.66460068551,1271.1695556640625
119,6,536.9166666666666,1798.25,6,60,1.1666666666666667,45855.44203413309,1317.455810546875
120,2,238.5,174.0,8,80,1.0,39304.66460068551,1280.803466796875
121,1,186.0,276.0,1,10,1.0,39304.66460068551,1282.3428955078125
122,1,489.0,391.5,1,10,2.0,78609.32920137102,1315.9801025390625
123,1,1294.0,469.0,1,10,1.0,39304.66460068551,1338.12109375
124,1,311.0,170.0,1,10,1.0,39304.66460068551,1319.1934814453125
125,1,121.0,1232.0,1,10,1.0,39304.66460068551,1295.0086669921875
126,1,1525.0,975.0,1,10,1.0,39304.66460068551,1286.6334228515625
127,1,1042.0,1928.0,1,10,1.0,39304.66460068551,1317.786376953125
128,1,734.0,319.0,1,10,1.0,39304.66460068551,1303.33056640625
129,1,1422.0,1588.0,1,10,1.0,39304.66460068551,1301.107666015625
130,1,297.0,46.0,1,10,1.0,39304.66460068551,1354.81201171875
131,4,1540.875,128.5,4,40,1.25,49130.83075085688,1293.16845703125
132,1,1854.0,501.0,1,10,1.0,39304.66460068551,1321.423828125
133,17,1218.9411764705883,842.8529411764706,23,230,1.9411764705882353,76297.29010721305,1326.39013671875
134,1,1299.0,1167.0,1,10,1.0,39304.66460068551,1279.1116943359375
135,4,225.5,1434.25,20,200,1.0,39304.66460068551,1297.944091796875
136,3,8.0,343.6666666666667,8,80,1.0,39304.66460068551,1272.115234375
137,1,1096.0,737.0,1,10,1.0,39304.66460068551,1332.0419921875
138,2,1588.5,1934.5,3,30,1.0,39304.66460068551,1302.955078125
139,6,633.7791666666667,96.49166666666667,7,70,5.833333333333333,229277.2101706655,1350.571044921875
140,1,750.0,621.0,1,10,1.0,39304.66460068551,1295.095703125
141,1,102.0,1790.0,1,10,1.0,39304.66460068551,1302.493896484375
142,1,617.0,1982.0,1,10,1.0,39304.66460068551,1330.20947265625
143,14,971.2142857142857,46.08333333333333,15,150,2.9285714285714284,115106.5177591504,1332.958740234375
144,2,1535.4464285714284,198.08928571428572,11,110,5.5,216175.65530377027,1300.116455078125
145,1,552.0,362.0,1,10,1.0,39304.66460068551,1327.8756103515625
146,12,1892.6098977411477,396.1219195156695,19,190,6.083333333333333,239103.37632083686,1325.464599609375
147,1,952.0,682.0,1,10,1.0,39304.66460068551,1276.61328125
148,8,661.3958333333334,1175.6875,19,190,2.125,83522.4122764567,1305.80712890625
149,1,146.5,9.0,1,10,2.0,78609.32920137102,1352.54638671875
150,2,36.5,289.5,4,40,1.0,39304.66460068551,1347.124755859375
151,12,966.5783249158249,1085.6742724867727,18,180,5.75,226001.82145394167,1321.806884765625
152,1,2025.0,1507.0,1,10,1.0,39304.66460068551,1305.2490234375
153,8,1063.730357142857,1731.3755952380952,18,180,3.125,122827.07687714222,1327.8216552734375
154,1,749.0,590.0,1,10,1.0,39304.66460068551,1306.301513671875
155,1,303.0,910.0,1,10,1.0,39304.66460068551,1301.90087890625
156,6,470.96111111111117,1222.5555555555554,10,100,4.333333333333333,170320.21326963723,1333.29345703125
157,13,1767.0540293040294,1346.658424908425,13,130,3.769230769230769,148148.35118719924,1312.27197265625
158,1,986.0,655.0,1,10,1.0,39304.66460068551,1270.185791015625
159,2,193.0,1102.5,6,60,1.0,39304.66460068551,1286.97265625
