event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,2,721.5,44.0,2,10,1.0,39304.66460068551,1217.8507080078125
1,1,722.6666666666666,43.66666666666666,1,5,3.0,117913.99380205652,1312.576904296875
2,9,721.3340911418331,45.10261782572266,12,60,29.0,1139835.2734198796,1338.724609375
3,1,721.16,45.32,1,5,25.0,982616.6150171376,1326.275146484375
4,7,721.0364046721579,48.05796055124549,8,40,23.0,904007.2858157668,1343.48828125
5,1,723.0,47.0,1,5,1.0,39304.66460068551,1196.7679443359375
6,1,1522.4827586206898,185.3448275862069,1,5,30.0,1139835.2734198798,1304.0849609375
7,1,1528.0,186.0,1,5,1.0,39304.66460068551,1192.50244140625
8,1,1527.0,185.0,1,5,1.0,39304.66460068551,1176.37939453125
9,2,1530.0,178.83333333333331,2,10,2.0,78609.32920137102,1230.5921630859375
10,1,1522.5384615384614,187.2692307692308,1,5,26.0,1021921.2796178232,1314.967529296875
11,1,1526.321428571429,180.28571428571428,1,5,28.0,1100530.608819194,1267.5323486328125
12,1,1530.8666666666666,180.6,1,5,30.0,1179139.9380205653,1319.2315673828125
13,1,1295.0,256.0,1,5,1.0,39304.66460068551,1182.4219970703125
14,1,1295.0,257.0,1,5,1.0,39304.66460068551,1218.725830078125
15,1,1296.0,259.0,1,5,1.0,39304.66460068551,1205.3760986328125
16,1,1292.0,262.5,1,5,2.0,78609.32920137102,1221.3077392578125
17,1,1293.0,261.5,1,5,2.0,78609.32920137102,1218.216552734375
18,2,9.5,306.0,2,10,1.0,39304.66460068551,1210.051513671875
19,1,10.25,309.375,1,5,8.0,314437.31680548406,1344.6710205078125
20,3,10.200000000000001,310.59999999999997,4,20,3.6666666666666665,144117.1035358469,1341.6688232421875
21,16,9.812319624819626,311.7202380952381,16,80,5.125,201436.40607851325,1347.2713623046875
22,1,4.5,340.0,1,5,2.0,78609.32920137102,1250.066650390625
23,1,7.0,340.0,1,5,1.0,39304.66460068551,1177.7882080078125
24,3,7.5,342.6666666666667,4,20,1.3333333333333333,52406.219467580675,1270.8448486328125
25,1,8.5,346.0,1,5,2.0,78609.32920137102,1233.4791259765625
26,1,7.0,350.0,1,5,1.0,39304.66460068551,1249.699462890625
27,2,9.5,342.0,2,10,2.0,78609.32920137102,1230.855712890625
