event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,2,2003.75,423.25,2,20,2.0,24728.752698625824,642.14599609375
1,1,2029.0,426.0,1,10,1.0,12364.376349312912,612.20361328125
2,25,2025.425573292205,416.6896460381724,17,170,9.4,116225.13768354137,1258.6910400390625
3,4,1995.2722222222224,400.7416666666667,4,40,7.5,92732.82261984685,1017.5694580078124
4,2,2047.0,425.5,2,20,1.0,12364.376349312912,642.1521606445312
5,1,2036.0,414.0,1,10,1.0,12364.376349312912,612.2655639648438
6,1,2018.0,397.0,1,10,1.0,12364.376349312912,736.0111694335938
7,3,768.4490998482726,544.9449112978524,3,30,40.666666666666664,502817.97153872513,1258.765625
8,12,756.7270883892112,536.4592629999505,11,110,31.333333333333332,387417.1256118045,5599.9892578125
9,5,765.5301587301587,544.0168253968254,5,50,7.0,86550.63444519039,1134.90869140625
10,1,763.0,541.0,1,10,1.0,12364.376349312912,583.1181640625
11,1,696.0,565.0,1,10,1.0,12364.376349312912,583.112060546875
12,1,717.0,550.5,1,10,2.0,24728.752698625824,612.306640625
13,6,717.8865689865689,549.7207722832723,6,60,10.5,129825.95166778559,1095.0986328125
14,2,717.625,551.25,2,20,3.0,37093.12904793874,672.67578125
15,1,723.0,542.0,1,10,1.0,12364.376349312912,612.2749633789062
16,1,716.75,569.25,1,10,4.0,49457.50539725165,642.1495361328125
17,5,715.375,570.075,5,50,2.8,34620.253778076156,871.090576171875
18,8,709.9429632867133,565.1744401431902,8,80,11.75,145281.42210442672,1619.9163818359375
19,1,717.0,571.0,1,10,1.0,12364.376349312912,612.2809448242188
20,1,729.0,525.0,1,10,1.0,12364.376349312912,1817.612060546875
21,1,1396.0,826.0,1,10,1.0,12364.376349312912,583.12158203125
22,2,1383.875,818.25,2,20,2.5,30910.94087328228,612.291259765625
23,3,1385.0,819.5,3,30,1.3333333333333333,16485.835132417214,672.72900390625
24,3,1402.8722222222223,771.9944444444445,3,30,4.0,49457.505397251654,906.74462890625
25,4,1388.55,822.8249999999999,4,40,11.25,139099.23392977024,704.024169921875
26,1,1394.0,805.5,1,10,2.0,24728.752698625824,672.689453125
27,5,1393.5241666666666,802.1341666666667,5,50,5.4,66767.63228628974,768.70751953125
28,2,1403.25,738.0,2,20,2.5,30910.94087328228,703.969482421875
29,2,1399.25,737.5,2,20,2.5,30910.94087328228,642.1123046875
30,11,444.49327164038635,826.6089693234309,11,110,26.363636363636363,325969.9219364313,703.97265625
31,8,446.57536629284425,823.5806916946233,8,80,51.875,641402.0231206072,736.0205078125
32,1,453.4488214798114,820.1282639885223,1,10,67.0,828413.2154039651,672.66796875
33,3,449.80380896023127,822.5164757130924,3,30,62.333333333333336,770712.7924405049,768.685302734375
34,7,449.1637094812382,821.9314085020981,6,60,56.0,692405.0755615231,1017.5794677734376
35,27,446.66199587184104,823.4393349896513,27,270,37.666666666666664,465724.84249078634,979.885986328125
36,1,441.0,808.0,1,10,1.0,12364.376349312912,906.690673828125
37,2,423.75,839.5,2,20,1.5,18546.56452396937,642.13134765625
38,1,422.5,840.5,1,10,2.0,24728.752698625824,612.2791748046875
39,1,422.25,845.0,1,10,3.0,37093.12904793874,612.2713623046875
40,2,423.5,822.0,2,20,1.0,12364.376349312912,768.735595703125
41,2,425.66666666666663,837.1666666666667,2,20,2.0,24728.752698625824,612.272216796875
42,1,423.0,835.0,1,10,1.0,12364.376349312912,612.2452392578125
43,1,408.0,810.0,1,10,1.0,12364.376349312912,906.6826171875
44,12,1046.5386072022945,1013.1571777902154,10,100,14.5,179283.45706503722,1388.79931640625
45,1,1049.0,1044.0,1,10,1.0,12364.376349312912,612.2813720703125
46,1,1043.6666666666667,977.6666666666666,1,10,3.0,37093.12904793874,642.0955810546875
47,4,1052.5555555555557,1043.1186868686868,4,40,5.5,68004.06992122102,735.9658203125
48,2,1052.0,984.5,2,20,1.0,12364.376349312912,703.986572265625
49,2,1047.625,1048.875,2,20,7.5,92732.82261984685,836.2789306640625
50,5,1043.331111111111,1016.1933333333334,5,50,5.4,66767.63228628972,768.7183837890625
51,1,1047.0,1046.0,1,10,1.0,12364.376349312912,612.248291015625
52,1,1082.0,1030.0,1,10,1.0,12364.376349312912,642.13330078125
53,8,1084.0034722222222,1025.9947916666665,8,80,3.75,46366.411309923424,703.9778442382812
54,2,914.1666666666667,1115.8333333333335,2,20,2.0,24728.752698625824,703.953125
55,15,915.4788835725678,1117.7334715576824,15,150,8.8,108806.51187395364,2190.95654296875
56,3,916.4444444444445,1117.0,3,30,2.3333333333333335,28850.21148173013,736.0205078125
57,1,916.0,1115.0,1,10,1.0,12364.376349312912,583.056640625
58,1,917.0,1115.5,1,10,2.0,24728.752698625824,612.27783203125
59,9,920.0753561253563,1117.2606125356126,9,90,7.111111111111111,87924.45403955849,1817.6259765625
60,16,920.2218300610529,1116.8300491239086,16,160,18.6875,231059.28302778507,6820.17578125
61,2,919.625,1118.5,2,20,2.5,30910.94087328228,642.1585693359375
62,1,919.0,1118.5,1,10,2.0,24728.752698625824,672.68798828125
63,3,945.3333333333334,1114.6666666666667,3,30,1.6666666666666667,20607.293915521517,735.977294921875
64,1,945.0,1112.0,1,10,1.0,12364.376349312912,642.112060546875
65,1,940.0,1104.0,1,10,3.0,37093.12904793874,703.98779296875
66,1,938.5,1103.0,1,10,2.0,24728.752698625824,703.98779296875
67,19,939.03383531673,1101.817832898096,19,190,7.947368421052632,98264.25414453947,1717.338623046875
68,1,906.0,1131.6666666666667,1,10,3.0,37093.12904793874,672.6973266601562
69,10,940.8957121212121,1103.9248582251082,10,100,13.3,164446.20544586173,3310.9677734375
70,9,939.7645502645503,1104.0806878306878,9,90,5.222222222222222,64569.52093530077,1258.6455078125
71,2,942.5,1101.75,2,20,1.5,18546.56452396937,642.1226806640625
72,2,924.0,1120.25,2,20,1.5,18546.56452396937,704.0133666992188
73,10,936.6547453025789,1106.489444000164,10,100,45.6,563815.5615286687,4825.599609375
74,27,942.2155897782725,1103.7114114060525,27,270,28.925925925925927,357651.03440049576,5870.93359375
75,1,976.0,1148.5,1,10,2.0,24728.752698625824,735.94970703125
76,7,976.2698412698412,1148.7903207903207,7,70,7.571428571428571,93615.99235908348,1135.0029296875
77,7,1655.1368962564782,1203.9065574947929,7,70,11.857142857142858,146606.1767132817,1095.06689453125
78,9,1655.1031705948374,1200.2921436588103,9,90,6.333333333333333,78307.71687898178,802.156494140625
79,10,1661.8781951381952,1194.2397385947388,10,100,12.2,150845.39146161752,943.01318359375
80,1,1612.0,1234.5,1,10,4.0,49457.50539725165,672.7164306640625
81,1,1650.0,1221.0,1,10,1.0,12364.376349312912,735.99951171875
82,1,1616.0,1223.0,1,10,1.0,12364.376349312912,672.7138671875
83,9,1482.2036639389567,1360.266049876903,8,80,49.888888888888886,616844.9978712774,802.1728515625
84,5,1475.5814935064936,1353.7205757575757,5,50,19.2,237396.02590680792,672.697998046875
85,15,1462.229106280193,1347.2809903381642,12,120,7.933333333333334,98090.71903788246,768.72412109375
86,4,1465.0,1357.125,4,40,1.75,21637.658611297597,642.1458740234375
87,2,163.0,1372.0,2,20,1.0,12364.376349312912,583.12158203125
88,1,157.0,1364.875,1,10,8.0,98915.0107945033,672.74951171875
89,1,81.0,1446.0,1,10,2.0,24728.752698625824,583.12158203125
90,1,87.0,1442.0,1,10,1.0,12364.376349312912,583.1480712890625
