event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,10,762.5073861914641,540.0463455195202,11,110,17.2,212667.27320818213,5599.9892578125
1,4,766.9,545.3,4,40,2.5,30910.940873282278,1134.90869140625
2,4,1041.3884615384616,981.2807692307692,5,50,8.0,98915.0107945033,1388.79931640625
3,1,2012.357142857143,1075.0714285714284,1,10,8.0,98915.0107945033,768.7412109375
4,1,640.5,1131.0,1,10,2.0,24728.752698625824,735.94970703125
5,1,976.0,1148.0,1,10,1.0,12364.376349312912,735.94970703125
6,5,975.7714285714286,1147.8904761904762,5,50,3.2,39566.00431780132,1135.0029296875
7,6,1654.7611111111112,1203.9194444444445,6,60,4.166666666666667,51518.2347888038,1095.06689453125
8,1,1720.142857142857,1249.0,1,10,9.0,111279.3871438162,906.66455078125
9,6,1725.472702589808,1246.5147730437204,6,60,26.666666666666668,329716.7026483443,2190.9697265625
10,4,1726.6288986354778,1247.2288011695905,5,50,10.25,126734.85758045735,1216.753662109375
11,9,1728.1509895177956,1245.0304183624985,9,90,26.444444444444443,326969.06345960806,1920.760009765625
12,2,1725.322916666667,1243.6458333333335,2,20,10.0,123643.76349312912,906.6376953125
13,9,1718.5740740740741,1245.8333333333333,10,100,2.5555555555555554,31597.85067046633,1017.6182861328124
14,1,1478.0,1359.0,1,10,1.0,12364.376349312912,735.94970703125
15,1,192.0,1408.0,1,10,1.0,12364.376349312912,735.94970703125
16,1,503.0,1889.0,1,10,1.0,12364.376349312912,735.94970703125
17,1,501.0,1887.0,1,10,1.0,12364.376349312912,736.02685546875
18,1,503.0,1893.0,1,10,1.0,12364.376349312912,735.9993896484375
19,2,502.5,1890.5,2,20,1.0,12364.376349312912,735.9716796875
20,1,784.1785714285714,2004.392857142857,1,10,15.0,185465.6452396937,802.12890625
21,1,750.0,2044.0,1,10,6.0,74186.25809587748,836.3115234375
22,2,2008.625,1072.1875,3,30,3.0,37093.12904793874,802.1162109375
23,1,2008.0,1070.0,1,10,1.0,12364.376349312912,736.00390625
24,5,1711.7900000000002,1251.42,5,50,3.0,37093.12904793874,836.271240234375
25,1,497.0,1895.0,1,10,1.0,12364.376349312912,735.9970703125
26,1,787.0,1998.0,1,10,1.0,12364.376349312912,735.9970703125
27,5,2019.2,1070.288888888889,8,80,3.8,46984.63012738907,768.806640625
28,1,2021.0,1067.0,1,10,1.0,12364.376349312912,735.9954833984375
29,2,2021.0,1069.5,2,20,1.0,12364.376349312912,736.0478515625
30,1,2021.0,1073.0,1,10,1.0,12364.376349312912,768.65380859375
31,2,2018.0,1072.0,3,30,1.0,12364.376349312912,736.031494140625
32,1,2024.0,1065.0,1,10,1.0,12364.376349312912,736.034912109375
33,1,1856.0,728.0,1,10,1.0,12364.376349312912,735.957275390625
34,2,975.0,869.0,3,30,1.0,12364.376349312912,768.67333984375
35,7,975.3043650793651,866.0952380952382,7,70,6.142857142857143,75952.59757435076,1344.709716796875
36,13,915.4339133089135,1117.5517399267399,14,140,6.230769230769231,77039.5757149497,2190.95654296875
37,1,915.0,1117.0,1,10,1.0,12364.376349312912,736.0205078125
38,9,920.2172839506173,1117.187037037037,9,90,4.0,49457.50539725165,1817.6259765625
39,16,920.6461998426582,1116.9646963763973,16,160,12.25,151463.6102790832,6820.17578125
40,3,1057.3444444444444,1044.6888888888889,3,30,3.3333333333333335,41214.587831043034,979.878173828125
41,1,1738.0,1273.0,1,10,1.0,12364.376349312912,736.029296875
42,5,1491.1071428571427,1366.2285714285713,5,50,9.0,111279.38714381619,802.1728515625
43,2,138.5,1541.5,2,20,2.0,24728.752698625824,768.6640625
44,1,2036.0,1061.0,1,10,1.0,12364.376349312912,736.028076171875
45,1,2046.0,1063.0,1,10,1.0,12364.376349312912,736.056396484375
46,1,2043.0,1063.0,1,10,1.0,12364.376349312912,736.0084228515625
47,1,2039.0,1062.0,1,10,1.0,12364.376349312912,736.0478515625
48,1,2039.0,1065.0,1,10,2.0,24728.752698625824,735.97900390625
49,1,2039.25,1061.25,1,10,3.0,37093.12904793874,768.71484375
50,2,2039.0,1061.25,3,30,2.0,24728.752698625824,736.033203125
51,3,2042.2222222222224,1064.0555555555557,3,30,2.3333333333333335,28850.21148173013,736.0111694335938
52,1,2047.0,1065.0,1,10,1.0,12364.376349312912,736.0146484375
53,2,2043.75,1063.25,2,20,1.5,18546.56452396937,768.7245483398438
54,2,2036.5,1060.5,2,20,1.0,12364.376349312912,736.0040283203125
55,1,2023.0,1086.0,1,10,1.0,12364.376349312912,736.028076171875
56,1,789.0,2006.0,1,10,1.0,12364.376349312912,736.028076171875
57,1,792.0,2006.0,1,10,1.0,12364.376349312912,735.9908447265625
58,1,1504.0,34.0,1,10,1.0,12364.376349312912,735.97216796875
59,3,1720.0,1869.0,3,30,1.0,12364.376349312914,768.6923828125
60,3,1722.8333333333333,1867.861111111111,3,30,4.0,49457.505397251654,836.2607421875
61,2,1149.0,2047.0,3,30,1.0,12364.376349312912,736.034423828125
62,1,1159.0,2045.0,1,10,1.0,12364.376349312912,735.9954833984375
63,44,1155.5802928511478,2042.8456934640067,46,460,16.772727272727273,207384.31240438475,1668.347900390625
64,8,1151.81875,2040.7951388888887,9,90,4.0,49457.50539725165,906.64453125
65,6,1157.8047619047618,2042.5690476190475,9,90,5.833333333333333,72125.52870432532,836.252197265625
66,12,1156.9332455191009,2038.2801759765578,12,120,10.916666666666666,134977.77514666595,1017.6149291992188
67,11,1161.5569264069266,2042.506277056277,11,110,4.7272727272727275,58449.779105842856,802.1536865234375
68,7,1161.8436507936508,2044.0440476190477,8,80,7.571428571428571,93615.99235908348,836.245361328125
69,2,1167.0,2046.5,3,30,1.0,12364.376349312912,802.11279296875
70,1,756.6304347826087,535.2934782608695,1,10,26.0,321473.7850821357,3242.619140625
71,1,900.0,596.5,1,10,2.0,24728.752698625824,736.026611328125
72,1,1281.0,635.0,1,10,1.0,12364.376349312912,736.026611328125
73,1,738.5,529.0,1,10,2.0,24728.752698625824,802.133544921875
74,1,1048.5,1045.0,1,10,2.0,24728.752698625824,768.70556640625
75,1,1651.5,1187.5,1,10,2.0,24728.752698625824,802.133544921875
76,1,123.0,532.0,1,10,1.0,12364.376349312912,906.619140625
77,1,966.0,536.0,1,10,1.0,12364.376349312912,735.9989013671875
78,2,1654.5,1191.0,2,20,1.0,12364.376349312912,802.156494140625
79,1,1104.0,1432.0,1,10,1.0,12364.376349312912,735.9989013671875
80,3,751.8333333333334,530.6666666666666,3,30,2.0,24728.752698625827,1017.60595703125
81,1,182.0,1384.0,1,10,1.0,12364.376349312912,736.00390625
82,1,1091.0,1455.0,1,10,1.0,12364.376349312912,736.00390625
83,1,870.0,1738.0,1,10,1.0,12364.376349312912,736.00390625
84,4,818.1666666666666,758.7291666666666,5,50,3.25,40184.22313526696,1017.615234375
85,1,2022.0,1060.6666666666667,1,10,3.0,37093.12904793874,736.019287109375
86,1,1313.0,1458.0,1,10,1.0,12364.376349312912,1175.4547119140625
87,1,526.25,535.5,1,10,6.0,74186.25809587748,942.96142578125
88,2,632.375,1145.229166666667,2,20,6.0,74186.25809587748,1017.615234375
89,1,193.0,1387.0,1,10,1.0,12364.376349312912,736.01171875
