event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,3,1495.2555555555555,40.34444444444444,1,10,6.0,74186.25809587746,642.14599609375
1,2,1483.0,35.5,1,10,1.0,12364.376349312912,583.173583984375
2,5,1529.6,55.5,3,30,1.6,19783.002158900657,642.1317138671875
3,1,1514.0,65.0,1,10,3.0,37093.12904793874,612.29638671875
4,7,1513.981746031746,81.78888888888889,5,50,10.857142857142858,134241.80036396874,703.92578125
5,5,1473.84,25.85333333333333,4,40,3.8,46984.63012738907,672.6907958984375
6,2,1492.8333333333335,31.33333333333333,1,10,2.0,24728.752698625824,583.090576171875
7,2,1484.8095238095239,33.452380952380956,1,10,11.0,136008.13984244203,704.0908203125
8,2,1441.25,73.75,1,10,1.5,18546.56452396937,583.06396484375
9,1,1426.0,11.0,1,10,1.0,12364.376349312912,583.099609375
10,2,1455.25,141.25,2,20,3.0,37093.12904793874,642.111572265625
11,3,1478.3333333333333,151.5,2,20,2.0,24728.752698625827,672.7218017578125
12,5,1487.4,107.1,3,30,1.6,19783.002158900657,672.7218017578125
13,2,1499.5,97.5,2,20,2.0,24728.752698625824,672.67431640625
14,6,1484.097222222222,151.15833333333333,3,30,3.5,43275.31722259519,768.685302734375
15,6,1518.0,99.91666666666667,5,50,1.1666666666666667,14425.105740865061,612.32666015625
16,2,1514.0743243243244,147.0641891891892,2,20,74.5,921146.038023812,768.7861328125
17,2,1520.0,55.0,2,20,1.0,12364.376349312912,612.2705078125
18,7,1516.9523809523812,43.04761904761905,6,60,1.2857142857142858,15897.055306259457,612.336181640625
19,2,1531.0,49.5,1,10,1.0,12364.376349312912,612.240234375
20,1,1517.5,45.0,1,10,2.0,24728.752698625824,612.234619140625
21,3,1513.111111111111,31.222222222222225,3,30,1.6666666666666667,20607.29391552152,642.12890625
22,4,1523.75,64.29464285714286,3,30,3.5,43275.31722259519,642.134033203125
23,1,1515.5,31.125,1,10,8.0,98915.0107945033,642.1329345703125
24,4,1499.0,133.5,4,40,1.5,18546.56452396937,642.1458740234375
25,7,1522.5,105.28571428571429,3,30,1.4285714285714286,17663.39478473273,642.1534423828125
26,1,1504.0,132.0,1,10,1.0,12364.376349312912,612.2584228515625
27,1,1528.92,55.24,1,10,25.0,309109.4087328228,703.9933471679688
28,1,1534.0,69.0,1,10,1.0,12364.376349312912,612.2565307617188
29,2,1531.5,170.5,2,20,1.0,12364.376349312912,612.2655639648438
30,13,1528.0512820512822,87.34615384615384,8,80,1.3076923076923077,16168.799841409196,642.1397705078125
31,2,1556.75,175.0,2,20,1.5,18546.56452396937,612.30712890625
32,9,1546.4470899470898,181.5846560846561,7,70,2.4444444444444446,30224.03107609823,642.1387939453125
33,2,1519.9101123595506,165.4241573033708,1,10,94.5,1168433.56501007,672.72802734375
34,2,1549.7647058823532,96.08823529411765,2,20,9.0,111279.38714381622,642.121826171875
35,2,1576.25,145.5,2,20,1.5,18546.56452396937,612.2811279296875
36,2,1576.5,145.0,2,20,1.0,12364.376349312912,612.2535400390625
37,7,1558.3333333333335,106.4047619047619,6,60,1.7142857142857142,21196.07374167928,672.7374267578125
38,4,1554.7048611111113,124.56944444444446,2,20,6.0,74186.25809587748,612.2791748046875
39,1,1577.5,144.0,1,10,4.0,49457.50539725165,642.157958984375
40,12,1515.96164021164,67.48743386243386,8,80,4.666666666666667,57700.422963460245,704.0206298828125
41,3,1534.6666666666667,99.0,2,20,1.0,12364.376349312914,612.2967529296875
42,12,1537.2083333333333,101.27083333333333,8,80,1.6666666666666667,20607.293915521524,672.7010498046875
43,3,1552.004127966976,109.97213622291024,2,20,12.333333333333334,152493.97497485924,672.6937255859375
44,1,1521.0,108.0,1,10,1.0,12364.376349312912,736.0152587890625
45,2,1541.75,171.5,1,10,1.5,18546.56452396937,642.1546630859375
46,1,1457.0,9.0,1,10,1.0,12364.376349312912,612.234619140625
47,5,1519.9333333333334,35.96666666666667,4,40,1.6,19783.002158900657,642.1359252929688
48,2,1534.0,28.0,1,10,1.0,12364.376349312912,612.260986328125
49,10,1516.3833333333334,77.43333333333332,5,50,2.1,25965.190333557115,642.1070556640625
50,1,1513.0,162.0,1,10,1.0,12364.376349312912,612.26806640625
51,1,1527.5333333333333,53.6,1,10,15.0,185465.64523969367,642.147705078125
52,4,1535.3062403697998,66.61171032357473,3,30,20.5,253469.7151609147,703.98193359375
53,3,1537.6666666666667,72.66666666666667,2,20,1.0,12364.376349312914,612.2809448242188
54,34,1504.4652476674282,53.16691684587775,15,150,23.058823529411764,285107.9722900389,802.1377563476562
55,5,1529.9625,61.0375,2,20,4.2,51930.38066711424,642.1461181640625
56,6,1517.3027027027028,94.92612612612614,5,50,14.166666666666666,175161.99828193293,768.7095947265625
57,1,1552.3333333333333,12.666666666666666,1,10,6.0,74186.25809587748,642.1546630859375
58,1,1569.0,45.0,1,10,1.0,12364.376349312912,612.2646484375
59,1,1565.5,44.0,1,10,4.0,49457.50539725165,612.2589721679688
60,7,1537.7142857142858,34.28947368421053,3,30,3.7142857142857144,45924.82644030509,642.1398315429688
61,20,1525.7050599968834,63.19513966806919,6,60,5.55,68622.28873868668,768.691162109375
62,7,1529.0,78.75,4,40,2.0,24728.75269862582,642.1275634765625
63,3,1537.6666666666667,124.0,2,20,1.0,12364.376349312914,612.2658081054688
64,3,1537.1666666666667,93.66666666666667,2,20,1.3333333333333333,16485.835132417214,642.11083984375
65,4,1530.625,68.6875,3,30,2.0,24728.752698625824,703.99951171875
66,1,1582.0,38.0,1,10,1.0,12364.376349312912,612.2967529296875
67,1,1512.0,38.25,1,10,4.0,49457.50539725165,612.2509155273438
68,1,1535.0,24.0,1,10,1.0,12364.376349312912,612.2722778320312
69,1,1487.0,22.0,1,10,1.0,12364.376349312912,612.2860107421875
70,3,1529.3333333333333,47.666666666666664,3,30,1.0,12364.376349312914,612.2780151367188
71,2,1498.0,11.0,1,10,2.0,24728.752698625824,642.21337890625
72,5,1540.2,107.6,3,30,1.4,17310.126889038078,642.1597900390625
73,7,1538.1989795918366,49.086734693877546,4,40,6.0,74186.25809587746,642.1412353515625
