event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,13,147.20717884804674,233.41206398942117,13,130,74.15384615384616,916866.0615952036,1017.60595703125
1,3,145.25174027760235,232.80718662722973,3,30,92.66666666666667,1145765.5417029967,1055.9825439453125
2,5,151.91820519039533,225.72339154337456,5,50,23.8,294272.15711364726,942.9150390625
3,1,148.0,225.0,1,10,1.0,12364.376349312912,736.02685546875
4,2,150.0,226.0,2,20,1.0,12364.376349312912,736.051513671875
5,1,160.0,223.5,1,10,2.0,24728.752698625824,735.9847412109375
6,1,159.0,224.0,1,10,1.0,12364.376349312912,736.0478515625
7,2,150.32407407407408,222.14814814814815,2,20,15.0,185465.64523969367,979.9425048828124
8,1,151.0,226.75,1,10,4.0,49457.50539725165,736.0015869140625
9,2,150.58333333333331,224.25,2,20,4.0,49457.50539725165,768.7285766601562
10,3,161.0,241.16666666666666,3,30,3.3333333333333335,41214.58783104304,768.72607421875
11,3,154.18206143377768,221.55026424757546,3,30,50.0,618218.8174656456,1095.1229248046875
12,4,156.5,236.125,4,40,1.25,15455.470436641139,768.7261962890625
13,1,163.0,234.0,1,10,1.0,12364.376349312912,1095.1336669921875
14,6,151.9183760683761,231.1846153846154,6,60,8.166666666666666,100975.74018605544,942.9495849609376
15,3,157.66666666666666,242.66666666666666,3,30,1.0,12364.376349312914,768.691162109375
16,16,157.79054727951785,234.5259804759224,16,160,14.9375,184692.87171786162,942.9495849609376
17,11,761.4560071187678,539.4089375242196,11,110,18.181818181818183,224806.8427147802,5599.9892578125
18,4,766.9,545.3,4,40,2.5,30910.940873282278,1134.90869140625
19,3,1040.8512820512822,981.0410256410256,3,30,10.333333333333334,127765.22227623343,1388.79931640625
20,1,1043.0,982.0,1,10,1.0,12364.376349312912,768.75341796875
21,4,2009.8660714285713,1073.796130952381,4,40,4.75,58730.78765923634,802.1162109375
22,1,2008.0,1070.0,1,10,1.0,12364.376349312912,736.00390625
23,1,640.5,1131.0,1,10,2.0,24728.752698625824,735.94970703125
24,1,976.0,1148.0,1,10,1.0,12364.376349312912,735.94970703125
25,5,975.7714285714286,1147.8904761904762,5,50,3.2,39566.00431780132,1135.0029296875
26,6,1654.7611111111112,1203.9194444444445,6,60,4.166666666666667,51518.2347888038,1095.06689453125
27,1,1478.0,1359.0,1,10,1.0,12364.376349312912,735.94970703125
28,1,192.0,1408.0,1,10,1.0,12364.376349312912,735.94970703125
29,1,190.0,1411.0,1,10,1.0,12364.376349312912,735.9993896484375
30,1,192.5,1405.0,1,10,2.0,24728.752698625824,735.97705078125
31,1,193.0,1402.0,1,10,1.0,12364.376349312912,736.01953125
32,1,195.0,1401.0,1,10,1.0,12364.376349312912,768.65673828125
33,9,197.91666666666666,1397.9166666666667,9,90,3.6666666666666665,45336.046614147344,768.759765625
34,3,201.64583333333334,1399.7916666666667,3,30,4.333333333333333,53578.96418035595,768.6895751953125
35,4,200.8125,1398.8125,4,40,2.25,27819.846785954054,736.0146484375
36,1,199.0,1393.0,1,10,1.0,12364.376349312912,735.9998168945312
37,2,198.0,1404.5,2,20,1.0,12364.376349312912,736.0111694335938
38,1,196.0,1415.0,1,10,1.0,12364.376349312912,735.9906005859375
39,1,198.0,1399.0,1,10,1.0,12364.376349312912,735.9885864257812
40,1,191.0,1404.0,1,10,1.0,12364.376349312912,736.0146484375
41,2,196.33333333333331,1396.0,2,20,2.0,24728.752698625824,768.7021484375
42,2,206.22916666666666,1402.75,2,20,10.0,123643.76349312912,802.1536865234375
43,1,203.0,1414.0,1,10,1.0,12364.376349312912,735.98193359375
44,1,1494.0,1846.0,1,10,1.0,12364.376349312912,768.6630859375
45,1,13.0,1937.0,1,10,1.0,12364.376349312912,735.9970703125
46,1,157.33333333333334,169.83333333333334,1,10,5.0,61821.88174656456,735.957275390625
47,1,159.0,173.0,1,10,1.0,12364.376349312912,735.97216796875
48,2,159.75,172.75,2,20,1.5,18546.56452396937,768.7245483398438
49,1,159.4193548387097,172.1290322580645,1,10,31.0,383295.6668287003,1017.6066284179688
50,1,1856.0,728.0,1,10,1.0,12364.376349312912,735.957275390625
51,6,916.0787037037038,1117.665343915344,6,60,4.333333333333333,53578.96418035595,1479.0947265625
52,7,914.8812358276643,1117.454365079365,7,70,7.857142857142857,97148.67131603004,2190.95654296875
53,1,915.0,1117.0,1,10,1.0,12364.376349312912,736.0205078125
54,9,920.2172839506173,1117.187037037037,9,90,4.0,49457.50539725165,1817.6259765625
55,16,920.6461998426582,1116.9646963763973,16,160,12.25,151463.6102790832,6820.17578125
56,3,1057.3444444444444,1044.6888888888889,3,30,3.3333333333333335,41214.587831043034,979.878173828125
57,1,2006.0,1060.0,1,10,1.0,12364.376349312912,736.029296875
58,2,2023.5,1086.0,2,20,1.0,12364.376349312912,736.029296875
59,5,1491.1071428571427,1366.2285714285713,5,50,9.0,111279.38714381619,802.1728515625
60,2,138.5,1541.5,2,20,2.0,24728.752698625824,768.6640625
61,1,1504.0,34.0,1,10,1.0,12364.376349312912,735.97216796875
62,3,1720.0,1869.0,3,30,1.0,12364.376349312914,768.6923828125
63,4,1724.0,1868.0208333333333,4,40,3.5,43275.31722259519,836.2607421875
64,1,1149.0,2047.0,1,10,1.0,12364.376349312912,735.97216796875
65,1,1149.0,2047.0,1,10,1.0,12364.376349312912,736.034423828125
66,1,1159.0,2045.0,1,10,1.0,12364.376349312912,735.9954833984375
67,46,1156.8393018576194,2042.5187844314098,46,460,16.5,204012.209763663,1668.347900390625
68,4,1152.1375,2042.548611111111,4,40,5.75,71095.16400854924,906.64453125
69,4,1151.5,2039.0416666666665,4,40,2.25,27819.84678595405,836.28955078125
70,2,1154.7,2043.1,2,20,3.0,37093.12904793874,768.71728515625
71,1,1158.0,2045.5,1,10,4.0,49457.50539725165,768.715576171875
72,4,1156.575892857143,2037.0223214285716,4,40,10.5,129825.95166778559,871.1015625
73,15,1159.912032923217,2035.9323352256908,15,150,11.866666666666667,146723.93267851326,1017.6149291992188
74,11,1161.5569264069266,2042.506277056277,11,110,4.7272727272727275,58449.779105842856,802.1536865234375
75,8,1162.8631944444446,2043.3302083333333,8,80,7.0,86550.63444519039,836.245361328125
76,1,1167.0,2046.0,1,10,1.0,12364.376349312912,736.013916015625
77,1,1167.0,2047.0,1,10,1.0,12364.376349312912,802.11279296875
