event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,1,143.5,234.0,1,5,2.0,24728.752698625824,802.12890625
1,1,148.0,235.0,1,5,1.0,12364.376349312912,802.15380859375
2,2,153.25,233.75,2,10,1.5,18546.56452396937,871.09228515625
3,1,147.5,233.66666666666663,1,5,6.0,74186.25809587748,979.869140625
4,2,145.86111111111111,233.86752136752136,2,10,15.5,191647.8334143501,979.9379272460938
5,1,148.75,240.75,1,5,4.0,49457.50539725165,906.65771484375
6,2,149.36666666666667,239.4333333333333,2,10,4.0,49457.50539725165,1017.607177734375
7,1,140.0,237.0,1,5,1.0,12364.376349312912,906.6629638671876
8,1,152.0,235.0,1,5,1.0,12364.376349312912,871.1019287109375
9,1,764.1666666666666,539.6666666666666,1,5,6.0,74186.25809587748,1135.0126953125
10,3,765.436507936508,541.0223665223665,3,15,11.666666666666666,144251.05740865064,3242.619140625
11,2,765.9,543.4,2,10,15.0,185465.6452396937,3662.88818359375
12,2,766.25,544.5,2,10,1.5,18546.56452396937,1134.90869140625
13,1,1281.24,787.62,1,5,50.0,618218.8174656456,7735.4501953125
14,3,1040.8545454545456,981.278787878788,3,15,7.666666666666667,94793.552011399,1388.79931640625
15,1,1656.0,1205.0,1,5,3.0,37093.12904793874,1095.06689453125
16,1,1654.0,1203.5,1,5,2.0,24728.752698625824,871.05712890625
17,2,1656.75,1205.25,2,10,2.5,30910.940873282278,1017.61181640625
18,3,349.8666666666666,1248.0333333333333,3,15,5.666666666666667,70064.79931277318,979.998046875
19,4,354.25,1250.1875,4,20,2.25,27819.84678595405,906.63623046875
20,12,323.31096483846494,1253.8046850147207,12,60,36.75,454390.8308372495,2538.66650390625
21,1,322.3783783783784,1252.7837837837835,1,5,37.0,457481.92492457776,1344.719482421875
22,2,324.8474025974026,1251.4220779220782,2,10,18.0,222558.77428763243,1095.1044921875
23,2,328.65,1249.35,2,10,5.5,68004.06992122102,1175.452392578125
24,15,324.02839681988786,1251.9966609368832,15,75,40.13333333333333,496223.63748575834,3808.7109375
25,2,334.5,1250.5,2,10,2.0,24728.752698625824,1017.603759765625
26,1,343.0,1249.0,1,5,1.0,12364.376349312912,836.2637939453125
27,1,340.0,1248.0,1,5,1.0,12364.376349312912,802.119140625
28,3,335.6666666666667,1248.8333333333333,3,15,1.3333333333333333,16485.835132417214,871.09375
29,1,1729.0,1248.0,1,5,1.0,12364.376349312912,906.66455078125
30,1,1721.8333333333333,1247.3333333333333,1,5,6.0,74186.25809587748,1017.6002197265624
31,3,1722.4666666666665,1246.7333333333333,3,15,2.3333333333333335,28850.21148173013,1216.753662109375
32,3,1726.9413919413919,1244.9395604395606,3,15,14.333333333333334,177222.72767348506,1920.760009765625
33,1,1720.0,1245.5,1,5,4.0,49457.50539725165,836.243408203125
34,2,1718.4166666666665,1246.1666666666665,2,10,2.5,30910.94087328228,1017.6182861328124
35,1,1718.0,1246.0,1,5,1.0,12364.376349312912,802.1536865234375
36,1,1719.0,1245.0,1,5,1.0,12364.376349312912,836.337890625
37,1,374.0,1733.7272727272727,1,5,11.0,136008.13984244203,836.3115234375
38,1,368.0,1736.0,1,5,1.0,12364.376349312912,836.2789306640625
39,1,367.0,1738.0,1,5,1.0,12364.376349312912,802.1345825195312
40,1,372.2,1734.2666666666669,1,5,15.0,185465.64523969367,942.9111938476562
41,9,1164.5040279074592,1928.910856935367,9,45,15.88888888888889,196456.2019946385,2912.04931640625
42,3,1163.5,1930.0833333333333,3,15,3.0,37093.12904793873,1134.925537109375
43,1,785.6666666666666,2001.6666666666667,1,5,3.0,37093.12904793874,802.12890625
44,1,503.5,240.0,1,5,2.0,24728.752698625824,836.3564453125
45,1,759.5072463768116,461.1304347826087,1,5,69.0,853141.9681025909,1055.966796875
46,1,760.0,461.0,1,5,1.0,12364.376349312912,802.1728515625
47,1,760.0,465.0,1,5,1.0,12364.376349312912,802.133544921875
48,1,1524.0,459.0,1,5,1.0,12364.376349312912,836.3564453125
49,1,1525.0,460.0,1,5,3.0,37093.12904793874,871.07080078125
50,1,1527.0,457.0,1,5,1.0,12364.376349312912,802.2119140625
51,2,170.5,725.75,2,10,3.0,37093.12904793874,871.18701171875
52,1,172.0,733.0,1,5,1.0,12364.376349312912,802.1728515625
53,1,170.5,727.0,1,5,2.0,24728.752698625824,802.1077880859375
54,1,169.5,728.0,1,5,2.0,24728.752698625824,871.11474609375
55,1,168.54545454545453,728.3636363636364,1,5,11.0,136008.13984244203,942.889892578125
56,1,171.5,731.0,1,5,2.0,24728.752698625824,906.70361328125
57,1,1532.5,1708.5,1,5,2.0,24728.752698625824,802.1162109375
58,5,1535.4838095238094,1708.0578354978356,5,25,9.8,121170.88822326653,1525.312255859375
59,1,1531.0,1705.0,1,5,1.0,12364.376349312912,802.156494140625
60,1,1534.0,1706.0,1,5,1.0,12364.376349312912,802.0994873046875
61,3,556.6777777777778,318.17777777777775,3,15,4.0,49457.505397251654,1301.35302734375
62,8,555.988458110517,312.8528743315508,8,40,11.5,142190.32801709848,1525.32275390625
63,1,1711.0,1250.0,1,5,1.0,12364.376349312912,802.15380859375
64,2,1712.25,1252.25,2,10,1.5,18546.56452396937,836.271240234375
65,1,915.0,1117.0,1,5,1.0,12364.376349312912,1056.000244140625
66,3,916.2380952380951,1118.142857142857,3,15,5.0,61821.88174656456,1479.0947265625
67,6,914.8400793650794,1117.1085317460318,6,30,7.666666666666667,94793.552011399,2190.95654296875
68,8,919.9427083333334,1117.09375,8,40,3.25,40184.22313526696,1817.6259765625
69,4,921.2613095238096,1116.4642857142858,4,20,10.25,126734.85758045735,5422.955078125
70,5,920.6614025974026,1116.609950937951,5,25,17.8,220085.89901776984,6820.17578125
71,1,921.4,1117.6,1,5,5.0,61821.88174656456,1134.8896484375
72,1,919.0,1117.0,1,5,1.0,12364.376349312912,836.301025390625
73,2,122.25,696.75,2,10,1.5,18546.56452396937,836.196044921875
74,2,121.66666666666666,696.6666666666667,2,10,2.0,24728.752698625824,836.318359375
75,1,125.0,694.0,1,5,1.0,12364.376349312912,802.113037109375
76,1,1760.5,1376.0,1,5,2.0,24728.752698625824,1388.82958984375
77,2,1057.25,1044.25,2,10,2.5,30910.940873282278,979.878173828125
78,3,145.66666666666666,1069.3333333333333,3,15,2.3333333333333335,28850.21148173013,942.94482421875
79,1,1558.0,436.0,1,5,1.0,12364.376349312912,836.2626953125
80,1,1554.0,438.0,1,5,1.0,12364.376349312912,836.267578125
81,1,1559.8979591836735,437.8979591836735,1,5,98.0,1211708.882232665,1095.1044921875
82,1,1561.6666666666667,434.6666666666667,1,5,3.0,37093.12904793874,836.244140625
83,1,1561.6666666666667,437.3333333333333,1,5,3.0,37093.12904793874,871.12939453125
84,1,1556.428571428571,434.8571428571428,1,5,7.0,86550.63444519039,1017.599609375
85,1,1554.857142857143,434.8571428571428,1,5,7.0,86550.63444519039,1056.02197265625
86,1,1554.0,437.0,1,5,1.0,12364.376349312912,906.6636962890624
87,3,1553.75,437.0833333333333,3,15,2.3333333333333335,28850.21148173013,871.1038818359375
88,1,838.0,1953.0,1,5,1.0,12364.376349312912,802.1728515625
89,3,1312.5684210526315,760.2842105263157,3,15,11.666666666666666,144251.05740865064,1817.5977783203125
90,1,1308.0,762.0,1,5,1.0,12364.376349312912,802.10205078125
91,2,1308.25,760.25,2,10,1.5,18546.56452396937,979.8831787109376
92,1,1305.5,760.5,1,5,2.0,24728.752698625824,871.140625
93,1,1313.2,759.0,1,5,10.0,123643.76349312912,1095.08740234375
94,1,1313.5,758.0,1,5,2.0,24728.752698625824,836.349609375
95,1,1305.5,761.0,1,5,2.0,24728.752698625824,906.7265625
96,1,1304.5,762.8125,1,5,16.0,197830.0215890066,979.87890625
97,1,262.0,1263.0,1,5,1.0,12364.376349312912,836.279052734375
98,1,270.5833333333333,1259.5833333333333,1,5,12.0,148372.51619175496,906.6777954101562
99,2,266.5,1262.6666666666665,2,10,2.0,24728.752698625824,836.2874755859375
100,2,1488.45,154.7,2,10,3.5,43275.31722259519,979.869140625
101,1,1489.0,153.0,1,5,1.0,12364.376349312912,802.156494140625
102,1,1490.0,156.0,1,5,1.0,12364.376349312912,802.115234375
103,3,1487.4285714285713,148.64285714285714,3,15,3.3333333333333335,41214.58783104304,1216.690673828125
104,1,1652.0,1188.0,1,5,1.0,12364.376349312912,802.133544921875
105,2,1654.5,1191.0,2,10,1.0,12364.376349312912,802.156494140625
106,1,1549.0,452.0,1,5,1.0,12364.376349312912,802.109619140625
107,1,381.9,1750.4,1,5,10.0,123643.76349312912,1388.7750244140625
108,2,387.9666666666667,1753.0444444444445,2,10,9.5,117461.57531847266,1095.11865234375
109,5,387.2041666666667,1758.5916666666667,5,25,8.0,98915.0107945033,979.885986328125
110,6,379.024696969697,1758.7894444444444,6,30,14.833333333333334,183404.91584814154,1868.797119140625
111,1,373.0,1766.0,1,5,1.0,12364.376349312912,802.159423828125
112,1,369.89473684210526,1762.9473684210527,1,5,19.0,234923.15063694533,942.9495849609376
113,1,375.0,1765.2,1,5,5.0,61821.88174656456,836.252197265625
114,2,379.51235521235526,1765.854054054054,2,10,36.0,445117.54857526487,1095.0914306640625
115,1,375.125,1766.625,1,5,8.0,98915.0107945033,906.6573486328124
116,2,370.6981981981982,1761.7058558558558,2,10,33.5,414206.6077019825,1258.6578369140625
117,1,383.0,1765.0,1,5,7.0,86550.63444519039,871.1118774414062
118,3,371.8333333333333,1759.0,3,15,4.0,49457.505397251654,906.6637573242188
119,1,384.0,1745.625,1,5,8.0,98915.0107945033,906.6637573242188
120,1,387.45238095238096,1747.892857142857,1,5,86.0,1063336.3660409104,1388.791259765625
121,2,384.66666666666663,1747.3333333333335,2,10,2.0,24728.752698625824,836.222412109375
122,1,390.5,1753.0,1,5,2.0,24728.752698625824,836.280517578125
123,1,535.5,261.0,1,5,2.0,24728.752698625824,836.2637939453125
124,1,535.0,266.0,1,5,1.0,12364.376349312912,836.24365234375
125,1,534.5,261.14473684210526,1,5,77.0,952056.9788970944,1017.62646484375
126,1,534.4333333333333,261.7,1,5,30.0,370931.2904793873,1017.6066284179688
127,1,531.0,262.0,1,5,1.0,12364.376349312912,871.1163330078125
128,2,534.3083333333334,269.04166666666663,2,10,41.0,506939.4303218294,979.9204711914062
129,1,533.0,266.0,1,5,1.0,12364.376349312912,802.118896484375
130,1,532.5454545454545,267.90909090909093,1,5,11.0,136008.13984244203,942.9112548828124
131,1,531.0,262.25,1,5,4.0,49457.50539725165,871.1051025390625
132,1,768.0,476.0,1,5,1.0,12364.376349312912,802.156494140625
133,2,751.75,530.5,2,10,1.5,18546.56452396937,1017.60595703125
134,1,691.3333333333334,1358.3333333333333,1,5,3.0,37093.12904793874,836.2864990234375
135,3,1592.1666666666667,453.0,3,15,3.6666666666666665,45336.046614147344,1301.314697265625
136,1,1592.0,453.0,1,5,1.0,12364.376349312912,836.27392578125
137,2,818.5,759.25,2,10,3.0,37093.12904793874,1017.615234375
138,2,923.0,1432.875,2,10,3.0,37093.12904793874,906.65771484375
139,1,924.0,1433.0,1,5,1.0,12364.376349312912,802.11279296875
