event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,14,148.9794784580499,235.0707003314146,14,70,9.428571428571429,116578.40557923602,1017.60595703125
1,2,149.36666666666667,239.4333333333333,2,10,4.0,49457.50539725165,1017.607177734375
2,1,140.0,237.0,1,5,1.0,12364.376349312912,906.6629638671876
3,1,163.0,234.0,1,5,1.0,12364.376349312912,1095.1336669921875
4,1,152.0,235.0,1,5,1.0,12364.376349312912,871.1019287109375
5,7,157.61785714285716,238.74642857142857,7,35,3.0,37093.12904793874,942.8681640625
6,4,160.0,239.875,4,20,5.75,71095.16400854924,906.66064453125
7,2,759.6864935587762,464.46105072463763,2,10,64.0,791320.0863560264,1055.966796875
8,1,760.0,461.0,1,5,1.0,12364.376349312912,802.1728515625
9,1,760.0,465.0,1,5,1.0,12364.376349312912,802.133544921875
10,8,764.0395136113887,540.7776109307359,8,40,10.625,131371.49871144968,3242.619140625
11,2,765.9,543.4,2,10,15.0,185465.6452396937,3662.88818359375
12,2,766.25,544.5,2,10,1.5,18546.56452396937,1134.90869140625
13,3,1040.8545454545456,981.278787878788,3,15,7.666666666666667,94793.552011399,1388.79931640625
14,1,1656.0,1205.0,1,5,3.0,37093.12904793874,1095.06689453125
15,1,1654.0,1203.5,1,5,2.0,24728.752698625824,871.05712890625
16,2,1656.75,1205.25,2,10,2.5,30910.940873282278,1017.61181640625
17,1,1729.0,1248.0,1,5,1.0,12364.376349312912,906.66455078125
18,5,1727.0734609609613,1246.605743243243,5,25,21.0,259651.9033355712,2190.9697265625
19,3,1722.4666666666665,1246.7333333333333,3,15,2.3333333333333335,28850.21148173013,1216.753662109375
20,8,1727.1541583416583,1245.2806053668555,8,40,15.0,185465.6452396937,1920.760009765625
21,2,1720.0625,1245.0,2,10,5.0,61821.88174656456,906.6376953125
22,2,1718.4166666666665,1246.1666666666665,2,10,2.5,30910.94087328228,1017.6182861328124
23,1,1718.0,1246.0,1,5,1.0,12364.376349312912,802.1536865234375
24,1,1719.0,1245.0,1,5,1.0,12364.376349312912,836.337890625
25,13,1164.2239423974718,1929.3036701860233,13,65,12.153846153846153,150274.72793780308,2912.04931640625
26,1,785.6666666666666,2001.6666666666667,1,5,3.0,37093.12904793874,802.12890625
27,1,750.0,2044.0,1,5,2.0,24728.752698625824,836.3115234375
28,4,556.2583333333333,318.0083333333333,4,20,3.5,43275.31722259519,1301.35302734375
29,13,546.0819031323689,323.01891178061817,13,65,35.61538461538461,440362.0192101445,2784.74462890625
30,8,555.988458110517,312.8528743315508,8,40,11.5,142190.32801709848,1525.32275390625
31,2,170.5,725.75,2,10,3.0,37093.12904793874,871.18701171875
32,1,172.0,733.0,1,5,1.0,12364.376349312912,802.1728515625
33,2,172.0,729.25,2,10,2.0,24728.752698625824,802.113037109375
34,1,169.5,728.0,1,5,2.0,24728.752698625824,871.11474609375
35,3,171.0151515151515,729.5378787878789,3,15,8.0,98915.01079450331,942.95947265625
36,1,1532.5,1708.5,1,5,2.0,24728.752698625824,802.1162109375
37,7,1534.8812925170066,1707.93416821274,7,35,8.714285714285714,107746.70818686966,1525.312255859375
38,1,1531.0,1705.0,1,5,1.0,12364.376349312912,802.156494140625
39,1,1534.0,1706.0,1,5,1.0,12364.376349312912,802.0994873046875
40,1,1711.0,1250.0,1,5,1.0,12364.376349312912,802.15380859375
41,2,1712.25,1252.25,2,10,1.5,18546.56452396937,836.271240234375
42,1,1710.9166666666667,1247.6666666666667,1,5,6.0,74186.25809587748,979.9423828125
43,6,916.2023809523808,1117.8214285714287,6,30,3.3333333333333335,41214.58783104304,1479.0947265625
44,7,914.862925170068,1117.3787414965986,7,35,6.857142857142857,84784.29496671712,2190.95654296875
45,8,919.9427083333334,1117.09375,8,40,3.25,40184.22313526696,1817.6259765625
46,13,920.9360705960705,1116.7142057942058,13,65,13.153846153846153,162639.104287116,6820.17578125
47,1,919.0,1117.0,1,5,1.0,12364.376349312912,836.301025390625
48,2,122.25,696.75,2,10,1.5,18546.56452396937,836.196044921875
49,2,121.66666666666666,696.6666666666667,2,10,2.0,24728.752698625824,836.318359375
50,1,125.0,694.0,1,5,1.0,12364.376349312912,802.113037109375
51,1,1760.5,1376.0,1,5,2.0,24728.752698625824,1388.82958984375
52,2,1057.25,1044.25,2,10,2.5,30910.940873282278,979.878173828125
53,2,1491.75,1367.5,2,10,1.5,18546.56452396937,802.1728515625
54,1,1492.0,1366.0,1,5,1.0,12364.376349312912,802.133544921875
55,2,1488.45,154.7,2,10,3.5,43275.31722259519,979.869140625
56,1,1489.0,153.0,1,5,1.0,12364.376349312912,802.156494140625
57,1,1490.0,156.0,1,5,1.0,12364.376349312912,802.115234375
58,3,1487.4285714285713,148.64285714285714,3,15,3.3333333333333335,41214.58783104304,1216.690673828125
59,1,754.7307692307692,536.0769230769231,1,5,28.0,346202.53778076154,5599.9892578125
60,1,1652.0,1188.0,1,5,1.0,12364.376349312912,802.133544921875
61,2,1654.5,1191.0,2,10,1.0,12364.376349312912,802.156494140625
62,1,768.0,476.0,1,5,1.0,12364.376349312912,802.156494140625
63,2,751.75,530.5,2,10,1.5,18546.56452396937,1017.60595703125
64,2,818.5,759.25,2,10,3.0,37093.12904793874,1017.615234375
65,3,442.8333333333333,702.0833333333334,3,15,5.333333333333333,65943.34052966886,1017.5693359375
66,1,630.5,1144.5,1,5,4.0,49457.50539725165,1017.615234375
67,1,157.25,722.5,1,5,3.0,37093.12904793874,802.111083984375
68,1,1294.0,2005.0,1,5,1.0,12364.376349312912,802.111083984375
69,1,118.0,709.0,1,5,1.0,12364.376349312912,836.27392578125
70,2,114.33333333333334,708.5833333333333,2,10,2.5,30910.94087328228,836.29296875
71,1,119.0,703.0,1,5,1.0,12364.376349312912,802.121337890625
72,1,121.5,704.5,1,5,2.0,24728.752698625824,802.14404296875
73,1,115.0,704.0,1,5,1.0,12364.376349312912,802.0888671875
74,1,679.0,1418.0,1,5,1.0,12364.376349312912,802.10595703125
75,1,164.3939393939394,723.8181818181819,1,5,13.0,160736.89254106785,942.965087890625
76,3,163.16666666666666,720.5,3,15,1.3333333333333333,16485.835132417214,802.12158203125
77,2,1513.0,150.5,2,10,1.5,18546.56452396937,871.13916015625
78,3,1511.6666666666667,148.5,3,15,1.6666666666666667,20607.29391552152,836.318115234375
79,1,1512.0,145.0,1,5,3.0,37093.12904793874,871.0865478515625
80,1,1508.0,147.0,1,5,1.0,12364.376349312912,836.259033203125
81,1,1503.0,151.0,1,5,1.0,12364.376349312912,802.0888671875
82,2,1507.5,149.0,2,10,1.0,12364.376349312912,836.32470703125
83,2,1504.5,150.75,2,10,3.5,43275.31722259519,871.080810546875
84,1,1508.0,146.0,1,5,1.0,12364.376349312912,802.135498046875
85,1,1506.0,148.0,1,5,1.0,12364.376349312912,802.159423828125
86,1,1507.0,147.0,1,5,1.0,12364.376349312912,802.1600341796875
87,6,1503.4166666666667,149.79166666666666,6,30,2.5,30910.940873282278,871.1015625
88,2,1499.425,149.1,2,10,4.0,49457.50539725165,836.2703247070312
89,1,1499.5,149.0,1,5,2.0,24728.752698625824,836.277099609375
90,2,1502.25,152.08333333333331,2,10,2.5,30910.940873282278,906.66259765625
91,3,1502.0833333333333,144.66666666666666,3,15,2.0,24728.752698625827,871.1505126953125
92,1,1504.0,145.0,1,5,1.0,12364.376349312912,906.6461791992188
93,1,1502.0,144.0,1,5,1.0,12364.376349312912,802.1085205078125
94,1,1504.0,144.0,1,5,1.0,12364.376349312912,802.1566162109375
95,5,1521.9215384615386,147.05897435897435,5,25,10.4,128589.51403285428,942.9521484375
96,1,1520.0,144.0,1,5,1.0,12364.376349312912,802.1377563476562
97,1,1507.0,145.0,1,5,1.0,12364.376349312912,802.14990234375
98,1,1524.0,141.0,1,5,1.0,12364.376349312912,802.171875
99,6,977.0,560.4166666666666,6,30,2.8333333333333335,35032.39965638659,942.96484375
100,1,978.0,552.0,1,5,1.0,12364.376349312912,802.0888671875
101,1,987.0,552.0,1,5,3.0,37093.12904793874,1055.9696044921875
102,1,982.5,553.75,1,5,3.0,37093.12904793874,979.940185546875
103,3,977.5416666666666,542.4583333333334,3,15,4.666666666666667,57700.42296346026,1056.0023193359375
104,1,982.0,545.0,1,5,1.0,12364.376349312912,906.6573486328124
105,4,981.5911111111111,544.2105555555555,4,20,14.25,176192.362977709,1134.96435546875
106,4,982.1145833333334,543.2708333333334,4,20,7.25,89641.72853251861,1056.0390625
107,3,980.7777777777778,539.7222222222222,3,15,2.0,24728.752698625827,942.9436645507812
108,1,988.8333333333331,536.1666666666667,1,5,4.0,49457.50539725165,942.904052734375
109,1,981.375,566.375,1,5,8.0,98915.0107945033,1017.6173706054688
110,5,983.2732352941177,561.3817647058823,5,25,8.6,106333.63660409107,979.9369506835938
111,2,981.5,551.0,2,10,1.0,12364.376349312912,802.1566162109375
112,7,984.3588744588743,546.4062770562771,6,30,9.285714285714286,114812.06610076274,1017.6028442382812
113,17,982.7671331580377,563.5407407817053,17,85,20.764705882352942,256742.63831220337,1388.799560546875
114,2,978.5,566.0,2,10,2.0,24728.752698625824,906.68408203125
115,1,979.0,556.0,1,5,1.0,12364.376349312912,836.2706298828125
116,2,986.6666666666667,536.25,2,10,2.5,30910.94087328228,871.1248779296875
117,1,987.0,538.5,1,5,2.0,24728.752698625824,942.9464721679688
118,3,1717.2222222222224,1342.3333333333333,3,15,1.6666666666666667,20607.293915521517,871.13916015625
119,1,1719.0,1341.0,1,5,1.0,12364.376349312912,802.1345825195312
120,2,1989.5,1690.5,2,10,1.0,12364.376349312912,802.1884765625
121,4,1990.9583333333333,1690.0833333333333,4,20,2.5,30910.94087328228,1433.618408203125
122,1,1991.5,1690.0,1,5,2.0,24728.752698625824,802.120849609375
123,5,1990.8283333333334,1687.3983333333333,5,25,4.8,59349.00647670198,1525.3468017578125
124,4,1990.5583333333334,1688.5333333333333,4,20,3.25,40184.22313526697,1619.9298095703125
125,1,1155.0,2045.0,1,5,1.0,12364.376349312912,802.1884765625
126,3,1155.5555555555554,2042.3888888888887,3,15,2.3333333333333335,28850.21148173013,871.08447265625
127,1,1149.0,2033.0,1,5,1.0,12364.376349312912,836.318115234375
128,2,1153.5,2046.0,2,10,1.0,12364.376349312912,802.195556640625
129,6,1161.7482323232323,2044.6861111111111,6,30,7.333333333333333,90672.09322829469,906.7265625
130,5,1156.3355555555559,2043.0977777777778,5,25,18.4,227504.52482735756,1668.347900390625
131,4,1151.3,2041.0708333333332,4,20,3.75,46366.41130992342,1175.443359375
132,2,1153.0,2045.5,2,10,1.0,12364.376349312912,836.21728515625
133,3,1152.6666666666667,2041.0,3,15,1.3333333333333333,16485.835132417214,906.64453125
134,1,1152.0,2040.0,1,5,1.0,12364.376349312912,802.113525390625
135,1,1152.0,2039.0,1,5,1.0,12364.376349312912,836.28955078125
136,3,1154.2083333333333,2033.8194444444446,3,15,5.0,61821.88174656456,871.1015625
137,4,1154.6994047619048,2036.529761904762,4,20,3.5,43275.31722259519,1017.6149291992188
138,2,1155.6666666666665,2039.25,2,10,2.5,30910.94087328228,871.1004028320312
139,1,1156.1666666666667,2035.111111111111,1,5,6.0,74186.25809587748,871.1038818359375
140,1,1162.0,2039.0,1,5,1.0,12364.376349312912,802.1536865234375
141,1,1161.0,2045.5,1,5,2.0,24728.752698625824,802.1456298828125
142,3,1161.0,2044.8333333333333,3,15,1.6666666666666667,20607.293915521517,836.245361328125
143,1,1167.0,2047.0,1,5,1.0,12364.376349312912,802.11279296875
144,10,448.74037372953137,825.5109139139846,10,50,16.7,206485.08503352565,1056.0390625
145,6,448.34920634920627,827.4007936507936,6,30,4.166666666666667,51518.23478880379,1017.5794677734376
146,5,445.4666666666666,820.2666666666667,5,25,5.6,69240.50755615231,979.885986328125
147,2,661.75,1504.5,2,10,2.0,24728.752698625824,836.28955078125
148,2,672.0,1515.25,2,10,1.5,18546.56452396937,871.0939331054688
149,2,673.0,1516.25,2,10,2.0,24728.752698625824,871.139892578125
150,4,668.2583333333334,1516.8666666666668,4,20,6.25,77277.3521832057,1095.1123046875
151,2,670.3333333333333,1513.1666666666665,2,10,2.0,24728.752698625824,836.27490234375
152,4,665.4444444444445,1510.3472222222222,4,20,5.75,71095.16400854925,1767.117919921875
153,3,166.52777777777777,1520.4444444444446,3,15,4.666666666666667,57700.42296346026,871.1343994140625
154,3,173.62857142857146,1514.234632034632,3,15,7.666666666666667,94793.55201139899,1056.015380859375
155,1,164.0,1518.3333333333333,1,5,3.0,37093.12904793874,871.11376953125
156,4,170.25892857142856,1515.6696428571427,4,20,6.5,80368.44627053392,1017.650146484375
157,7,167.06665358451073,1522.415859933717,7,35,11.428571428571429,141307.15827786186,1433.601318359375
158,5,168.12,1521.8866666666665,5,25,3.2,39566.004317801315,1017.584228515625
159,8,167.63157051282053,1523.1538461538462,8,40,7.375,91187.27557618273,1301.28662109375
160,1,167.0,1524.0,1,5,1.0,12364.376349312912,802.16943359375
161,2,167.66666666666669,1526.1666666666665,2,10,2.0,24728.752698625824,942.9305419921876
162,6,344.72222222222223,1718.3657407407409,6,30,5.333333333333333,65943.34052966887,1258.698486328125
163,3,741.8222222222222,1647.7333333333333,3,15,3.0,37093.12904793873,1095.1275634765625
164,2,1177.0,2037.5,2,10,1.0,12364.376349312912,802.092529296875
165,2,1177.0,2036.0,2,10,1.0,12364.376349312912,802.120849609375
166,1,1177.0,2038.0,1,5,1.0,12364.376349312912,802.1304931640625
167,1,196.0,1378.0,1,5,1.0,12364.376349312912,802.130859375
