event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,1,764.2,539.8,1,5,5.0,61821.88174656456,1135.0126953125
1,1,762.875,543.125,1,5,8.0,98915.0107945033,1258.765625
2,6,766.0353835978835,542.0542388167388,6,30,14.166666666666666,175161.9982819329,5599.9892578125
3,1,766.5,545.0,1,5,2.0,24728.752698625824,1134.90869140625
4,2,1957.5833333333335,774.1666666666667,2,10,2.5,30910.94087328228,906.66455078125
5,1,1963.5,780.5,1,5,2.0,24728.752698625824,836.238525390625
6,2,1962.375,781.0,2,10,3.0,37093.12904793874,871.10498046875
7,2,1960.0,780.5,2,10,2.0,24728.752698625824,871.07666015625
8,1,1957.0,780.0,1,5,3.0,37093.12904793874,871.09375
9,1,1961.5,781.0,1,5,2.0,24728.752698625824,871.117431640625
10,1,1954.25,779.25,1,5,4.0,49457.50539725165,871.09765625
11,1,1953.2222222222224,779.7777777777778,1,5,9.0,111279.3871438162,942.99169921875
12,8,1955.5544642857144,781.0566468253969,8,40,6.125,75731.8051395416,1095.09814453125
13,2,1958.0,781.75,2,10,2.0,24728.752698625824,836.2713623046875
14,4,1955.6652077497665,779.3913398692811,4,20,11.0,136008.13984244203,1056.0081787109375
15,2,1964.2,780.15,2,10,3.5,43275.31722259519,942.9305419921876
16,1,1281.204081632653,787.5510204081633,1,5,49.0,605854.4411163327,7735.4501953125
17,2,309.13947368421054,922.2480263157895,2,10,39.0,482210.6776232036,1301.35546875
18,2,306.0340909090909,921.0397727272727,2,10,19.0,234923.15063694533,1134.927001953125
19,2,311.75,921.5,2,10,2.0,24728.752698625824,906.684814453125
20,5,325.0643722943723,959.2067099567099,5,25,11.4,140953.8903821672,1095.14453125
21,1,324.6666666666667,958.6666666666666,1,5,3.0,37093.12904793874,942.89453125
22,1,1655.5,1205.0,1,5,2.0,24728.752698625824,1095.06689453125
23,1,1656.6666666666667,1205.3333333333333,1,5,3.0,37093.12904793874,1017.61181640625
24,4,560.9177489177489,1308.2327672327674,4,20,8.5,105097.19896915976,1388.73828125
25,1,373.5,1734.0,1,5,4.0,49457.50539725165,836.3115234375
26,12,1164.3949784080298,1929.202027894491,12,60,11.333333333333334,140129.59862554635,2912.04931640625
27,1,170.54545454545453,178.27272727272728,1,5,11.0,136008.13984244203,980.00830078125
28,1,172.125,177.25,1,5,8.0,98915.0107945033,942.928955078125
29,1,175.2,180.26666666666668,1,5,15.0,185465.64523969367,979.916748046875
30,1,176.25,168.25,1,5,4.0,49457.50539725165,942.861328125
31,1,178.5,171.5,1,5,2.0,24728.752698625824,836.2417602539062
32,3,174.11060606060605,173.96136363636364,3,15,8.0,98915.01079450331,942.9476318359376
33,1,174.33333333333334,172.0,1,5,3.0,37093.12904793874,906.6927490234376
34,1,142.66666666666666,234.0,1,5,3.0,37093.12904793874,871.18701171875
35,2,152.8095238095238,234.23809523809524,2,10,5.0,61821.88174656456,942.980224609375
36,2,147.55,234.2,2,10,3.5,43275.31722259519,979.869140625
37,1,145.72727272727272,233.72727272727272,1,5,11.0,136008.13984244203,979.93212890625
38,1,146.61111111111111,233.77777777777777,1,5,18.0,222558.7742876324,1017.60595703125
39,1,149.14545454545456,233.5090909090909,1,5,55.0,680040.6992122101,1095.11865234375
40,2,149.16666666666669,239.08333333333331,2,10,2.5,30910.94087328228,1017.607177734375
41,1,139.5,237.0,1,5,2.0,24728.752698625824,942.9150390625
42,1,157.0,239.5,1,5,2.0,24728.752698625824,871.1248779296875
43,1,156.5,237.5,1,5,2.0,24728.752698625824,942.8681640625
44,1,159.0,241.5,1,5,2.0,24728.752698625824,906.66064453125
45,3,757.9028415300546,459.09967213114754,3,15,45.333333333333336,560518.3945021854,1095.0439453125
46,1,171.66666666666666,725.3333333333334,1,5,3.0,37093.12904793874,871.18701171875
47,5,169.94285714285715,728.9,5,25,5.2,64294.75701642715,942.965087890625
48,1,352.0,1246.0,1,5,3.0,37093.12904793874,906.60791015625
49,1,353.5,1251.0,1,5,2.0,24728.752698625824,906.63623046875
50,1,355.0,1249.0,1,5,3.0,37093.12904793874,871.0865478515625
51,1,357.5,1249.0,1,5,2.0,24728.752698625824,906.67236328125
52,3,556.6222222222223,318.28888888888883,3,15,3.6666666666666665,45336.046614147344,1301.35302734375
53,7,556.5914365746298,312.2903161264506,7,35,11.857142857142858,146606.1767132817,1525.32275390625
54,3,1950.7777777777776,769.5555555555555,3,15,2.3333333333333335,28850.21148173013,906.63427734375
55,1,535.3218390804598,244.5632183908046,1,5,88.0,1088065.1187395365,1056.02685546875
56,6,1535.4201058201058,1707.7817460317458,6,30,7.833333333333333,96854.28140295115,1525.312255859375
57,1,1293.9166666666667,787.0,1,5,12.0,148372.51619175496,1095.162841796875
58,1,1294.5862068965516,789.5172413793103,1,5,29.0,358566.91413007444,1344.737060546875
59,1,1295.0,794.0,1,5,3.0,37093.12904793874,979.8739013671876
60,1,1297.5,793.0,1,5,2.0,24728.752698625824,942.886474609375
61,3,1297.3511904761904,794.7142857142857,3,15,6.333333333333333,78307.71687898178,1017.6123046875
62,1,1300.5,794.5,1,5,2.0,24728.752698625824,871.09375
63,1,1305.2142857142858,793.5,1,5,70.0,865506.3444519038,1479.092041015625
64,3,1300.1835880022638,798.3928692699492,3,15,18.333333333333332,226680.23307073672,2080.720458984375
65,1,1304.4615384615386,793.3076923076923,1,5,13.0,160736.89254106785,1216.77099609375
66,2,1306.0868421052633,797.1986842105264,2,10,19.5,241105.3388116018,1216.63916015625
67,2,975.9761904761906,67.33333333333334,2,10,5.0,61821.88174656456,1095.04052734375
68,1,963.5,62.0,1,5,2.0,24728.752698625824,979.8447265625
69,1,973.5,74.0,1,5,2.0,24728.752698625824,906.74462890625
70,3,971.1952380952381,65.00952380952381,3,15,4.666666666666667,57700.42296346026,1258.678466796875
71,5,970.4288888888889,65.02666666666667,5,25,5.0,61821.88174656457,1095.1055908203125
72,2,972.95,66.05,2,10,3.5,43275.31722259519,1017.5751953125
73,1,967.4285714285714,64.71428571428571,1,5,7.0,86550.63444519039,1175.490478515625
74,2,970.7777777777778,68.25,2,10,11.0,136008.13984244203,1175.45068359375
