event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,4,170.91761363636363,177.0473484848485,4,20,8.75,108188.29305648798,980.00830078125
1,1,176.16666666666669,184.61111111111111,1,5,12.0,148372.51619175496,942.9495849609376
2,1,175.2,180.26666666666668,1,5,15.0,185465.64523969367,979.916748046875
3,1,176.25,168.25,1,5,4.0,49457.50539725165,942.861328125
4,1,178.5,171.5,1,5,2.0,24728.752698625824,836.2417602539062
5,3,174.11060606060605,173.96136363636364,3,15,8.0,98915.01079450331,942.9476318359376
6,2,177.31666666666666,169.08333333333334,2,10,5.5,68004.06992122102,906.6927490234376
7,1,760.1805555555555,467.59722222222223,1,5,39.0,482210.6776232036,1017.5595703125
8,1,764.2,539.8,1,5,5.0,61821.88174656456,1135.0126953125
9,9,764.8797338464005,541.975468975469,9,45,13.555555555555555,167605.99051290835,5599.9892578125
10,1,766.5,545.0,1,5,2.0,24728.752698625824,1134.90869140625
11,8,308.7033613864206,921.4417414274321,8,40,21.625,267379.63855389174,1301.35546875
12,2,311.75,921.5,2,10,2.0,24728.752698625824,906.684814453125
13,8,324.279816017316,958.7646103896104,8,40,10.375,128280.40462412147,1095.14453125
14,1,1655.5,1205.0,1,5,2.0,24728.752698625824,1095.06689453125
15,1,1656.6666666666667,1205.3333333333333,1,5,3.0,37093.12904793874,1017.61181640625
16,2,351.125,1247.666666666667,2,10,5.0,61821.88174656456,979.998046875
17,1,353.5,1251.0,1,5,2.0,24728.752698625824,906.63623046875
18,1,355.0,1249.0,1,5,3.0,37093.12904793874,871.0865478515625
19,1,357.5,1249.0,1,5,2.0,24728.752698625824,906.67236328125
20,4,560.9177489177489,1308.2327672327674,4,20,8.5,105097.19896915976,1388.73828125
21,23,1752.7849184453612,1324.0451572102152,23,115,40.21739130434783,497262.96187454095,1017.6002197265624
22,7,1755.5231259170334,1326.6876583966919,7,35,10.142857142857142,125410.10297160239,906.70556640625
23,1,1758.0,1325.5,1,5,2.0,24728.752698625824,871.09521484375
24,7,1758.8907029478457,1325.2147392290249,7,35,8.428571428571429,104214.02922992311,942.926025390625
25,1,1765.5,1329.0,1,5,2.0,24728.752698625824,836.2545166015625
26,24,1763.0535529145982,1326.668254174585,24,120,15.708333333333334,194223.74515379034,979.92578125
27,1,1766.0,1319.5,1,5,2.0,24728.752698625824,836.2789306640625
28,1,1774.0,1320.5,1,5,2.0,24728.752698625824,871.111083984375
29,1,1760.6666666666667,1316.3333333333333,1,5,3.0,37093.12904793874,906.669189453125
30,6,1767.8690539706452,1318.0026402096476,6,30,17.5,216376.58611297596,942.965087890625
31,1,1768.0,1317.3333333333333,1,5,3.0,37093.12904793874,836.2691650390625
32,13,1765.5160657174367,1317.3803848123205,13,65,12.153846153846153,150274.7279378031,1017.6026611328124
33,1,1757.5,1314.5,1,5,4.0,49457.50539725165,871.1111450195312
34,1,1752.0,1320.5,1,5,4.0,49457.50539725165,906.63623046875
35,12,1164.3949784080298,1929.202027894491,12,60,11.333333333333334,140129.59862554635,2912.04931640625
36,1,142.66666666666666,234.0,1,5,3.0,37093.12904793874,871.18701171875
37,2,152.8095238095238,234.23809523809524,2,10,5.0,61821.88174656456,942.980224609375
38,8,147.71173560518073,234.38796831555976,8,40,19.75,244196.43289892998,1095.11865234375
39,2,149.16666666666669,239.08333333333331,2,10,2.5,30910.94087328228,1017.607177734375
40,1,139.5,237.0,1,5,2.0,24728.752698625824,942.9150390625
41,1,157.0,239.5,1,5,2.0,24728.752698625824,871.1248779296875
42,1,156.5,237.5,1,5,2.0,24728.752698625824,942.8681640625
43,1,159.0,241.5,1,5,2.0,24728.752698625824,906.66064453125
44,3,757.9028415300546,459.09967213114754,3,15,45.333333333333336,560518.3945021854,1095.0439453125
45,1,171.66666666666666,725.3333333333334,1,5,3.0,37093.12904793874,871.18701171875
