event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,9,331.30527544351077,1.6148718746757964,23,230,8.777777777777779,304164.2544216758,9341.0048828125
1,2,103.0,29.0,10,100,1.0,34651.62392145673,3921.7958984375
2,31,1174.1990143369176,36.531451612903226,179,1790,2.3225806451612905,80481.19104338338,4981.6142578125
3,4,1702.3033459595958,324.0770202020202,15,150,29.5,1022222.9056829736,6870.87890625
4,18,1744.2407407407406,336.3564814814815,181,1810,1.5555555555555556,53902.52610004382,3831.9130859375
5,1,1424.0,664.0,1,10,1.0,34651.62392145673,3654.671875
6,2,124.5,767.0,2,20,1.0,34651.62392145673,3654.671875
7,5,1137.5333333333333,793.0333333333333,125,1250,1.6,55442.59827433077,4387.349609375
8,2,1000.5,880.0,15,150,1.0,34651.62392145673,3741.8486328125
9,4,851.25,911.125,4,40,2.0,69303.24784291346,7113.76123046875
10,3,28.333333333333332,942.6666666666666,4,40,1.0,34651.62392145673,3831.822265625
11,46,724.8077467218772,1130.1888457556936,196,1960,3.847826086956522,133333.42248038788,4012.98974609375
12,17,29.36700687517331,1291.634613818145,18,180,41.470588235294116,1437023.2273309997,18230.00390625
13,31,1817.348650532474,2027.8772419863503,132,1320,6.032258064516129,209027.53784878738,10053.44921875
14,9,121.88888888888889,2.2777777777777777,176,1760,1.5555555555555556,53902.52610004381,3921.751953125
15,1,95.0,32.0,1,10,1.0,34651.62392145673,3567.4951171875
16,6,155.9413011416688,194.77911202359732,7,70,11.833333333333334,410044.21640390466,6751.5361328125
17,26,1358.6587052653229,505.3706242287125,106,1060,5.884615384615385,203911.47923011074,7235.92138671875
18,36,1084.2024691358024,783.0067901234568,196,1960,2.0277777777777777,70265.79295184283,4881.203125
19,38,1294.6407894736844,820.9504385964913,195,1950,2.1315789473684212,73862.67204310515,4981.79931640625
20,12,1416.2825231481481,891.0630787037038,138,1380,5.583333333333333,193471.56689480008,5293.11767578125
21,20,1401.0668452380953,948.9906547619048,191,1910,3.35,116082.94013688006,4292.048828125
22,2,1012.5,1007.5,2,20,3.0,103954.8717643702,4484.1240234375
23,43,295.0772807015433,1289.274049839013,173,1730,17.046511627906977,588271.7549456609,4582.06103515625
24,1,627.0,686.0,1,10,1.0,34651.62392145673,3567.6689453125
25,1,1356.0,726.5,1,10,2.0,69303.24784291346,3831.931640625
26,1,1408.0,726.0,1,10,1.0,34651.62392145673,3654.6591796875
27,30,1494.1998015873019,923.012142857143,196,1960,3.1666666666666665,109730.14241794634,4105.666015625
28,4,64.875,939.125,11,110,1.75,60640.341862549285,4013.080078125
29,31,913.3548387096774,668.233870967742,194,1940,1.4516129032258065,50300.744402114615,3832.0849609375
30,2,1395.0,705.75,136,1360,1.5,51977.4358821851,3741.8486328125
31,6,1366.222222222222,709.3055555555557,165,1650,1.5,51977.4358821851,4292.0751953125
32,1,70.0,951.0,1,10,1.0,34651.62392145673,3567.4951171875
33,2,750.8333333333333,4.333333333333334,2,20,2.0,69303.24784291346,4679.734375
34,19,1840.94895572264,357.24871269081797,193,1930,5.631578947368421,195143.3557682037,4387.41162109375
35,8,1117.0625,874.4375,174,1740,1.25,43314.52990182092,3921.93017578125
36,10,680.3,1286.7,106,1060,1.0,34651.62392145673,3654.75
37,3,1118.2083333333333,5.25,44,440,5.0,173258.11960728365,5506.5126953125
38,1,1418.0,667.0,1,10,1.0,34651.62392145673,3567.4150390625
39,2,633.0,675.5,99,990,1.0,34651.62392145673,3567.4150390625
40,2,140.0,689.25,2,20,1.5,51977.4358821851,4105.8505859375
41,5,1141.2833333333333,913.8166666666668,132,1320,10.2,353446.56399885874,4483.888671875
