event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,9,331.26309862976524,1.6443766110432776,21,210,8.555555555555555,296463.89355024096,9341.0048828125
1,43,1210.1038458583866,132.03746372859186,189,1890,6.372093023255814,219997.51931529504,4881.1884765625
2,3,79.33333333333333,149.0,95,950,1.0,34651.62392145673,4105.4716796875
3,21,25.976190476190474,186.71428571428572,131,1310,1.2380952380952381,42902.01056942263,4198.2099609375
4,31,1723.3443388635983,398.46662258935186,143,1430,8.870967741935484,307393.4380129225,9623.005859375
5,39,655.0477609748863,509.6133853464073,154,1540,34.717948717948715,1201256.2959438334,4780.6396484375
6,17,58.64662487945998,1002.7888230702117,198,1980,11.882352941176471,409704.4946007532,5399.21044921875
7,16,29.616192500087745,1290.7892961721172,17,170,40.9375,1418550.8542846353,18230.00390625
8,2,301.0,1279.5,94,940,2.0,69303.24784291346,4484.013671875
9,52,1260.1011023698522,116.85889665889665,187,1870,3.3846153846153846,117282.41942646896,4881.3515625
10,14,1750.5976190476192,414.7642857142857,171,1710,2.2142857142857144,76728.59582608278,6399.9560546875
11,43,680.2945736434109,542.289534883721,173,1730,2.186046511627907,75750.06159574263,4387.4208984375
12,3,1297.6666666666667,769.6666666666666,118,1180,1.0,34651.62392145673,4013.16796875
13,13,1417.1868131868132,890.5531135531136,172,1720,2.230769230769231,77299.77644017272,5188.3212890625
14,25,1817.1685188145188,2028.2393881673884,53,530,5.68,196821.22387387426,10053.44921875
15,8,1313.7875,134.16250000000002,129,1290,3.125,108286.32475455229,4581.9287109375
16,1,1928.0,315.0,1,10,1.0,34651.62392145673,3831.931640625
17,10,121.75,804.0333333333334,156,1560,2.1,72768.41023505914,5506.6171875
18,20,1119.9441666666667,831.4133333333335,169,1690,1.95,67570.66664684063,4981.96484375
19,71,296.1623220346905,1287.8713847982917,186,1860,7.929577464788732,273308.5830424756,4679.9501953125
20,2,1925.6666666666665,294.33333333333337,9,90,2.0,69303.24784291346,3921.7958984375
21,15,1726.347619047619,366.1984126984127,111,1110,2.066666666666667,71613.35610434391,5506.3779296875
22,1,1367.0,712.0,1,10,1.0,34651.62392145673,3921.7958984375
23,27,1494.3456790123455,922.8364197530865,195,1950,1.5925925925925926,55185.91957861628,4105.666015625
24,2,750.75,4.5,2,20,1.5,51977.4358821851,4679.734375
25,2,1548.25,245.25,37,370,2.5,86629.05980364184,4679.734375
26,4,1106.75,839.125,40,400,1.25,43314.52990182092,4012.95703125
27,11,1175.2581267217631,947.7439853076216,172,1720,5.818181818181818,201609.4482702937,7737.908203125
28,4,130.625,99.625,140,1400,1.75,60640.34186254929,6284.59716796875
29,3,1726.6666666666667,382.3333333333333,178,1780,1.6666666666666667,57752.70653576122,4484.16015625
30,1,1377.0,713.0,1,10,1.0,34651.62392145673,3832.15234375
31,5,1215.0,46.4,24,240,1.0,34651.62392145673,4013.01953125
32,7,694.6428571428571,56.857142857142854,142,1420,1.1428571428571428,39601.85591023627,4292.1201171875
33,2,86.0,188.5,2,20,2.0,69303.24784291346,4292.27099609375
34,5,1913.8,304.1,32,320,1.2,41581.94870574808,3832.166015625
35,3,1382.2666666666667,863.2333333333332,170,1700,4.666666666666667,161707.5783001314,4582.044921875
36,25,747.6762049062049,512.7588888888889,47,470,4.28,148308.95038383483,4292.3369140625
37,3,1446.9166666666667,714.9166666666666,3,30,5.666666666666667,196359.20222158814,6870.7939453125
38,4,680.0,552.25,8,80,1.0,34651.62392145673,4013.2978515625
39,5,1212.7666666666667,64.76666666666667,5,50,1.6,55442.59827433077,4013.2216796875
40,6,175.29166666666666,63.333333333333336,8,80,2.1666666666666665,75078.5184964896,5945.0556640625
41,5,1292.2,127.2,5,50,1.0,34651.62392145673,4387.5068359375
42,1,1469.0,375.0,1,10,3.0,103954.8717643702,5084.8955078125
43,18,987.0462962962964,739.75,177,1770,1.1666666666666667,40426.89457503286,4198.2333984375
44,3,1135.3333333333333,798.6666666666666,165,1650,1.0,34651.62392145673,3921.884033203125
45,9,891.8967291967293,737.3316979316979,126,1260,4.333333333333333,150157.03699297918,4387.392578125
46,1,1713.9384615384615,365.7076923076923,1,10,65.0,2252355.554894688,7113.8173828125
47,7,717.0619047619047,7.8999999999999995,8,80,3.142857142857143,108905.10375314973,5615.2568359375
48,35,4.088278200496246,186.78418461863947,162,1620,6.828571428571428,236621.0890636617,4680.03369140625
49,1,1691.25,467.375,1,10,8.0,277212.99137165386,4881.2509765625
50,27,1190.666560599894,805.4498415165082,168,1680,7.2592592592592595,251545.1218002044,5506.591796875
51,6,55.975589225589225,150.51515151515153,56,560,4.166666666666667,144381.76633940302,10345.7646484375
52,1,1691.6666666666667,472.6666666666667,1,10,3.0,103954.8717643702,3921.998046875
53,2,130.5,820.0,40,400,1.0,34651.62392145673,4387.2783203125
54,15,1833.8111111111111,501.06666666666666,167,1670,1.4666666666666666,50822.38175146988,4013.193359375
55,9,724.6666666666666,528.4444444444445,112,1120,1.4444444444444444,50052.34566432639,4013.1650390625
56,3,1305.1666666666667,719.8333333333334,29,290,1.6666666666666667,57752.70653576122,4292.26171875
57,1,1731.2,389.8666666666667,1,10,30.0,1039548.717643702,5399.212890625
58,2,121.2,134.6,49,490,3.0,103954.87176437021,5399.28515625
59,1,1879.0,488.0,1,10,1.0,34651.62392145673,4013.1767578125
60,1,738.5,13.0,1,10,2.0,69303.24784291346,4105.5986328125
61,5,93.26666666666667,852.6333333333332,114,1140,1.6,55442.59827433077,8519.9580078125
62,1,1460.0,372.0,1,10,1.0,34651.62392145673,4105.8447265625
63,2,127.97222222222223,126.0,2,20,8.5,294538.80333238223,5085.1826171875
64,1,1707.5,454.0,1,10,2.0,69303.24784291346,4105.796875
65,16,899.3833333333333,721.3854166666666,55,550,2.1875,75800.4273281866,4198.2802734375
66,2,1702.6666666666665,460.66666666666663,2,20,2.0,69303.24784291346,4105.796875
67,3,62.06666666666666,146.93333333333334,25,250,2.3333333333333335,80853.78915006573,4291.9794921875
68,13,1128.179487179487,788.8205128205128,62,620,1.8461538461538463,63972.22877807398,4387.515625
69,1,1677.0,470.0,1,10,1.0,34651.62392145673,3921.7431640625
70,6,1264.1157407407406,690.4351851851852,8,80,5.333333333333333,184808.6609144359,6284.501953125
71,7,654.0714285714286,565.1428571428571,154,1540,1.2857142857142858,44552.08789901581,4105.7666015625
72,3,1915.3333333333333,315.8333333333333,43,430,1.3333333333333333,46202.165228608974,4012.95703125
73,35,1281.9033333333334,802.0880952380952,154,1540,2.3142857142857145,80193.75821822844,5506.6142578125
