event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,14,331.8434807256236,1.123922902494331,22,220,6.0,207909.74352874042,9341.0048828125
1,24,1119.4541501322751,4.885929232804233,122,1220,5.541666666666667,192027.74923140605,7235.9990234375
2,1,1712.0,331.6666666666667,1,10,3.0,103954.8717643702,4013.16796875
3,2,1089.1190476190477,792.1666666666667,2,20,5.0,173258.11960728365,4881.203125
4,1,1013.0,1006.5,1,10,4.0,138606.49568582693,4780.5078125
5,2,303.33333333333337,1279.1666666666665,35,350,3.0,103954.8717643702,4484.013671875
6,19,1817.3565162907269,2028.275271512114,45,450,5.947368421052632,206085.97384866374,10053.44921875
7,1,147.0,90.0,1,10,3.0,103954.8717643702,4881.203125
8,6,155.71924603174602,194.4593253968254,6,60,6.666666666666667,231010.8261430449,6751.5361328125
9,1,852.0,911.0,1,10,3.0,103954.8717643702,7113.76123046875
10,10,725.6666666666667,1130.8666666666668,154,1540,3.3,114350.35894080721,4387.498046875
11,3,1194.7333333333333,815.8000000000001,3,30,3.6666666666666665,127055.9543786747,4105.8505859375
12,1,338.0,6.0,1,10,3.0,103954.8717643702,4387.2587890625
13,1,1109.6666666666667,794.3333333333334,1,10,3.0,103954.8717643702,4387.62890625
14,5,1170.9466666666667,946.7933333333334,167,1670,5.0,173258.11960728368,5188.6357421875
15,5,24.250000000000004,188.51666666666665,86,860,4.0,138606.49568582693,4292.123046875
16,3,1703.7407407407409,325.38888888888886,3,30,5.333333333333333,184808.6609144359,4680.08984375
17,6,1264.5833333333333,824.4722222222222,186,1860,3.5,121280.68372509856,4292.07177734375
18,3,1446.9166666666667,714.9166666666666,3,30,5.666666666666667,196359.20222158814,6870.7939453125
19,5,350.82666666666665,4.8,13,130,5.4,187118.7691758664,4880.9814453125
20,1,1311.6666666666667,802.3333333333334,1,10,3.0,103954.8717643702,6991.716796875
21,2,22.333333333333336,181.0,2,20,3.0,103954.8717643702,4387.298828125
22,2,30.833333333333336,190.83333333333331,2,20,3.0,103954.8717643702,4012.90625
