event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,32,534.7930781024531,59.85750473484849,31,155,5.0625,198979.8645409704,1356.856201171875
1,51,256.8948485262905,165.7305156594738,31,155,7.803921568627451,306730.5198249575,1321.633056640625
2,20,238.85666666666665,173.31833333333333,35,175,2.8,110053.06088191943,1323.8822021484375
3,21,513.0323129251701,305.48384353741494,37,185,2.0952380952380953,82352.63059191249,1316.8695068359375
4,30,9.989070466570466,310.50329365079364,34,170,4.566666666666666,179491.30167646386,1361.6959228515625
5,21,8.119047619047619,342.5238095238095,50,250,1.4761904761904763,58021.171553392895,1338.3477783203125
6,26,630.7256147211206,540.3463461148662,46,230,7.1923076923076925,282691.2415510842,1337.9183349609375
7,19,1224.8026315789473,669.0548245614034,11,55,3.210526315789474,126188.6600337798,1325.490478515625
8,5,1650.5,755.9,10,50,1.2,47165.59752082261,1218.146728515625
9,20,90.675,999.1666666666667,41,205,1.35,53061.29721092543,1265.916015625
10,33,531.2121212121212,1009.4545454545455,50,250,1.0,39304.66460068551,1216.931396484375
11,18,97.16666666666667,1014.6527777777778,23,115,1.6666666666666667,65507.774334475835,1292.935791015625
12,64,471.3086953028589,1270.219193222525,29,145,4.015625,157218.65840274203,1330.16845703125
13,9,447.46165624498957,1399.5441718775053,25,125,5.111111111111111,200890.50795905926,1338.716064453125
14,5,1878.6,1399.6,8,40,1.0,39304.66460068551,1198.304443359375
15,26,1653.1346153846155,1401.5961538461538,48,240,1.0384615384615385,40816.38246994264,1238.8758544921875
16,1,1095.0,1726.0,1,5,1.0,39304.66460068551,1248.6707763671875
17,8,1938.25,1817.25,24,120,1.0,39304.66460068551,1260.51416015625
18,17,1319.6932773109243,1932.96743697479,44,220,3.3529411764705883,131786.22836700437,1319.825439453125
19,7,542.5714285714286,1952.142857142857,7,35,1.5714285714285714,61764.47294393438,1298.4156494140625
20,7,953.8571428571429,2008.4285714285713,7,35,1.5714285714285714,61764.47294393437,1309.5576171875
21,7,1990.7142857142858,411.42857142857144,45,225,1.0,39304.66460068551,1236.212158203125
22,23,1638.9804347826089,1180.091304347826,17,85,1.7826086956521738,70064.83689687416,1271.124267578125
23,5,1861.0,1408.1666666666665,11,55,1.6,62887.463361096816,1269.662353515625
24,25,1273.0635555555555,1480.3711111111113,48,240,2.08,81753.70236942585,1314.193359375
25,11,62.810606060606055,1497.1742424242425,31,155,2.3636363636363638,92901.9345107112,1303.56689453125
26,47,99.90156350741456,1858.949161831077,48,240,2.425531914893617,95334.7183931521,1307.393310546875
27,16,447.63541666666663,470.58333333333337,48,240,1.5625,61413.53843857111,1249.623291015625
