event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,82,974.7516814198202,43.06109907783953,45,225,6.7682926829268295,266025.4738217129,1335.96630859375
1,40,536.3988704351204,60.177599206349214,31,155,6.35,249584.62021435294,1356.856201171875
2,1,1344.0,338.0,1,5,1.0,39304.66460068551,1146.5501708984375
3,26,105.82692307692308,471.6923076923077,37,185,1.4615384615384615,57445.279031771126,1237.2431640625
4,43,446.5715443471258,471.02794221282596,50,250,2.3488372093023258,92320.25871323804,1249.623291015625
5,21,638.8214285714286,486.7420634920635,43,215,1.619047619047619,63636.12363920509,1247.9212646484375
6,114,624.665948362856,541.2930366099342,50,250,4.657894736842105,183076.99037687728,1337.9183349609375
7,8,1237.4375,654.25,14,70,1.125,44217.7476757712,1184.498046875
8,23,1224.3247247958516,668.6693867222203,12,60,5.956521739130435,234119.0891432137,1325.490478515625
9,1,1218.0,687.0,1,5,1.0,39304.66460068551,1144.7998046875
10,18,1272.0833333333333,682.3333333333334,24,120,1.1666666666666667,45855.44203413309,1199.02734375
11,1,1260.0,694.0,1,5,1.0,39304.66460068551,1135.22802734375
12,4,1253.875,693.875,3,15,2.0,78609.32920137102,1205.0662841796875
13,10,1650.686666666667,754.8666666666667,11,55,3.2,125774.92672219363,1218.146728515625
14,43,2020.3633370654177,795.8947847932169,50,250,13.906976744186046,546609.0565397658,1336.451416015625
15,21,1631.9727135298565,859.5960695389267,19,95,3.761904761904762,147860.40492638838,1315.496826171875
16,2,535.0,884.0,35,175,1.0,39304.66460068551,1143.3153076171875
17,21,994.7944444444445,1081.9388888888886,33,165,3.0476190476190474,119785.64449732726,1321.034423828125
18,18,661.0518518518519,1176.0203703703703,50,250,2.388888888888889,93894.47654608205,1305.80712890625
19,56,1637.7499806740877,1180.2638502370646,50,250,2.607142857142857,102472.87556607292,1271.124267578125
20,73,472.3352881822874,1271.0285504923647,46,230,8.04109589041096,313898.896742461,1330.16845703125
21,38,533.8833333333333,1424.4798245614033,38,190,3.1315789473684212,123085.66019688353,1347.355224609375
22,43,1277.559496124031,1477.6393410852713,46,230,1.7906976744186047,70382.7714942508,1273.645751953125
23,56,715.8428742353392,1480.8250426770414,50,250,19.892857142857142,781882.0779493509,1327.2711181640625
24,13,62.65512820512821,1497.6551282051282,34,170,2.4615384615384617,96749.94363245662,1303.56689453125
25,79,1352.31582278481,1510.4727848101268,50,250,1.6455696202531647,64678.56200112805,1327.25341796875
26,5,1687.6,1520.6,49,245,1.0,39304.66460068551,1146.9974365234375
27,66,1152.859434786411,1517.7006708103052,50,250,5.333333333333333,209624.8778703227,1331.01318359375
28,4,1251.25,1558.5,20,100,1.0,39304.66460068551,1156.0771484375
29,96,2028.3544270833336,1629.3688368055555,50,250,1.4270833333333333,56091.03177389494,1208.9056396484375
30,2,509.5,1663.0,1,5,1.0,39304.66460068551,1165.0289306640625
31,5,1094.0,1721.0,11,55,1.4,55026.53044095971,1248.6707763671875
32,86,744.5430730745825,1741.0964938602813,50,250,7.313953488372093,287472.48876547883,1311.1353759765625
33,75,1149.9345566975862,1878.6230934157052,50,250,3.48,136780.23281038558,1325.510498046875
34,27,117.11111111111111,1878.9938271604935,50,250,1.1111111111111112,43671.849556317226,1265.8836669921875
35,1,1157.0,1902.5,1,5,2.0,78609.32920137102,1194.6968994140625
36,19,1319.70559732665,1933.2381787802844,44,220,3.8421052631578947,151012.65872894964,1319.825439453125
37,7,542.5714285714286,1952.142857142857,7,35,1.5714285714285714,61764.47294393438,1298.4156494140625
38,7,953.8571428571429,2008.357142857143,7,35,2.0,78609.32920137102,1309.5576171875
39,23,1729.2532953761215,118.45810904071773,19,95,4.434782608695652,174307.64301173572,1317.677490234375
40,2,1366.5,318.5,2,10,2.0,78609.32920137102,1225.684326171875
41,20,429.15,337.60833333333335,48,240,1.15,45200.364290788326,1218.5775146484375
42,9,344.05555555555554,366.72222222222223,46,230,1.3333333333333333,52406.219467580675,1154.404052734375
43,1,363.0,503.0,1,5,1.0,39304.66460068551,1152.7923583984375
44,15,1254.8333333333333,681.7333333333333,23,115,1.0666666666666667,41924.97557406454,1225.8157958984375
45,11,912.75,1328.2045454545455,27,135,1.9090909090909092,75036.17787403597,1232.6912841796875
46,1,1735.0,1494.0,1,5,1.0,39304.66460068551,1142.476806640625
47,4,1655.25,1504.25,48,240,1.0,39304.66460068551,1172.413818359375
48,47,1317.628672745694,1505.7659574468084,49,245,1.297872340425532,51012.437034932285,1237.297119140625
49,26,1245.496153846154,1534.9346153846154,49,245,1.5769230769230769,61980.43263954253,1209.32373046875
50,6,1263.6666666666667,1549.5,45,225,1.0,39304.66460068551,1139.04150390625
51,3,515.3333333333334,1663.3333333333333,6,30,1.0,39304.66460068551,1169.241943359375
52,2,1853.0,1698.0,30,150,1.0,39304.66460068551,1160.87060546875
53,1,1089.0,1853.0,1,5,1.0,39304.66460068551,1134.849365234375
54,55,97.26498316498318,1857.987946127946,48,240,2.0545454545454547,80753.21999777203,1251.7315673828125
55,24,374.2604166666667,332.75,48,240,1.625,63870.07997611395,1223.4296875
56,1,411.0,353.0,1,5,1.0,39304.66460068551,1150.364990234375
57,12,441.42261904761904,367.0345238095238,47,235,3.9166666666666665,153943.26968601826,1311.5777587890625
58,37,345.10032760032755,475.71849771849776,48,240,2.0,78609.32920137102,1205.1287841796875
59,6,624.6666666666666,481.7222222222222,45,225,1.6666666666666667,65507.77433447586,1230.6795654296875
60,10,382.4,484.9,45,225,1.0,39304.664600685515,1175.658447265625
61,13,193.6153846153846,523.0769230769231,47,235,1.0,39304.664600685515,1159.30029296875
62,1,537.0,877.0,1,5,1.0,39304.66460068551,1135.683349609375
