event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,3,983.6666666666666,40.666666666666664,4,20,3.0,117913.99380205653,1295.039306640625
1,24,721.8879486323434,45.187136649927346,50,250,28.583333333333332,1123458.3298362608,1342.4793701171875
2,7,1568.5442176870747,189.9047619047619,34,170,2.4285714285714284,95454.18545880765,1236.500244140625
3,10,96.15,378.5666666666667,45,225,1.3,51096.063980891166,1193.682861328125
4,14,106.11666666666666,470.35952380952375,40,200,1.7857142857142858,70186.90107265269,1237.2431640625
5,16,445.7837301587301,471.53794642857144,50,250,3.625,142479.40917748498,1249.623291015625
6,17,33.568627450980394,481.89901960784323,48,240,3.8823529411764706,152594.5802144261,1338.934814453125
7,1,632.0,488.6666666666667,1,5,3.0,117913.99380205652,1246.122802734375
8,4,562.125,500.125,50,250,1.5,58956.99690102826,1156.9571533203125
9,7,629.6169866365518,541.6120082815735,42,210,13.285714285714286,522190.54398053617,1337.9183349609375
10,11,1650.8515151515153,755.7454545454547,13,65,2.6363636363636362,103621.38849271633,1218.146728515625
11,4,61.5,785.5,21,105,2.0,78609.32920137102,1170.390380859375
12,36,2020.5279964498961,795.8171911115969,50,250,16.11111111111111,633241.8185665996,1336.451416015625
13,12,1630.9781866281864,860.6303872053871,21,105,5.583333333333333,219451.0440204941,1315.496826171875
14,10,1786.0333333333335,1145.4333333333334,44,220,2.2,86470.26212150812,1181.9080810546875
15,17,661.1137254901961,1176.4039215686275,50,250,2.6470588235294117,104041.7592371087,1305.80712890625
16,10,1815.45,1233.45,49,245,1.3,51096.06398089116,1192.315185546875
17,16,1576.8799416427473,1270.04498983429,48,240,12.6875,498677.93212119746,1317.786376953125
18,9,447.4302672636006,1398.2426400759734,27,135,7.333333333333333,288234.2070716938,1338.716064453125
19,38,533.8986842105263,1424.4907894736841,38,190,3.210526315789474,126188.66003377976,1347.355224609375
20,9,1547.2981481481484,1454.5055555555555,49,245,4.0,157218.65840274203,1302.1163330078125
21,1,1508.0,1468.0,1,5,1.0,39304.66460068551,1137.51025390625
22,33,716.3991072326497,1480.054282653186,50,250,28.666666666666668,1126733.7185529848,1326.592529296875
23,13,62.65512820512821,1497.6166666666666,34,170,2.5384615384615383,99773.37937097088,1303.56689453125
24,2,1353.75,1505.75,8,40,1.5,58956.996901028266,1143.6697998046875
25,2,1565.25,1523.75,11,55,1.5,58956.996901028266,1141.98583984375
26,1,509.25,1662.75,1,5,4.0,157218.65840274203,1165.0289306640625
27,5,1094.0,1721.0,11,55,1.4,55026.53044095971,1248.6707763671875
28,7,903.8376623376623,1741.974025974026,17,85,5.0,196523.32300342753,1316.6875
29,1,1951.0,1846.0,1,5,1.0,39304.66460068551,1134.93994140625
30,2,840.0,1850.5,2,10,1.0,39304.66460068551,1133.539794921875
31,2,1149.3333333333335,1873.3333333333335,8,40,2.0,78609.32920137102,1156.5650634765625
32,13,1318.9509462759463,1933.8926129426131,17,85,4.6923076923076925,184429.58004937044,1319.825439453125
33,7,542.5714285714286,1952.2142857142858,7,35,1.7142857142857142,67379.42502974659,1298.4156494140625
34,2,675.8730158730159,2006.2857142857144,26,130,8.0,314437.31680548406,1207.4813232421875
35,2,510.2,2010.8,2,10,3.0,117913.99380205653,1327.7705078125
36,7,953.7857142857143,2008.4285714285713,7,35,2.4285714285714284,95454.18545880765,1309.5576171875
37,18,534.3187829146162,60.03190073815074,30,150,8.277777777777779,325355.27919456334,1356.5081787109375
38,2,260.5,107.5,5,25,1.0,39304.66460068551,1132.699951171875
39,17,1729.0066569051862,118.4615949410067,19,95,5.823529411764706,228891.87032163914,1317.0155029296875
40,8,487.5875,278.5333333333333,39,195,4.125,162131.74147782772,1272.7235107421875
41,16,10.260664682539682,309.17321428571427,49,245,4.625,181784.07377817048,1347.2713623046875
42,2,1366.5,318.5,2,10,2.0,78609.32920137102,1225.684326171875
43,16,7.833333333333334,342.171875,49,245,1.9375,76152.78766382817,1270.8448486328125
44,12,429.75,337.4305555555556,48,240,1.4166666666666667,55681.60818430446,1193.946044921875
45,7,133.54285714285714,373.74285714285713,49,245,1.5714285714285714,61764.47294393439,1278.974365234375
46,2,252.0,446.0,4,20,1.0,39304.66460068551,1146.497314453125
47,14,639.9583333333333,487.5386904761905,42,210,2.2142857142857144,87031.75733008933,1236.5069580078125
48,10,564.0081592320723,528.9606154714851,49,245,7.7,302645.91742527846,1225.6474609375
49,6,1304.8333333333333,670.3333333333334,37,185,1.0,39304.66460068551,1163.3350830078125
50,6,1007.0,687.75,38,190,1.3333333333333333,52406.219467580675,1216.133544921875
51,2,534.0,885.5,34,170,1.0,39304.66460068551,1139.2645263671875
52,15,351.61111111111114,969.0111111111112,49,245,1.8,70748.39628123393,1226.074951171875
53,31,678.1103213065367,1058.1623272422698,48,240,45.064516129032256,1771245.6918437951,1322.930908203125
54,18,994.6231481481482,1081.6212962962964,32,160,3.388888888888889,133199.14114676756,1321.034423828125
55,13,1770.9038461538462,1167.6858974358975,49,245,1.6153846153846154,63492.15050879964,1205.870361328125
56,9,912.4722222222222,1328.1907407407407,27,135,2.5555555555555554,100445.25397952965,1232.6912841796875
57,28,450.79558525923545,1427.5710773523056,49,245,20.25,795919.4581638816,1334.511962890625
58,1,1969.0,1564.0,1,5,1.0,39304.66460068551,1137.077880859375
