event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,30,333.2889972554678,1.6261883541295306,23,230,7.866666666666666,272592.774848793,9341.0048828125
1,3,146.0,91.33333333333333,2,20,2.3333333333333335,80853.7891500657,4881.203125
2,3,1457.0,175.7222222222222,11,110,2.6666666666666665,92404.33045721795,3741.8486328125
3,3,1452.6666666666667,185.66666666666666,3,30,1.0,34651.62392145673,3741.8486328125
4,3,1449.0,194.0,148,1480,1.0,34651.62392145673,3567.57763671875
5,25,1743.7666666666669,336.2266666666667,192,1920,1.36,47126.208533181154,3831.9638671875
6,5,107.19428571428571,838.3571428571428,10,100,3.2,110885.19654866154,4198.2431640625
7,21,1053.4325396825395,933.6507936507937,197,1970,2.5238095238095237,87454.09846843842,4105.7666015625
8,3,28.333333333333332,942.6666666666666,4,40,1.0,34651.62392145673,3831.822265625
9,20,29.271530311982424,1292.210166426274,18,180,37.75,1308098.8030349915,18230.00390625
10,35,1817.3516619001912,2027.8293667117196,132,1320,5.628571428571429,195039.1403579136,10053.44921875
11,12,121.75,2.5416666666666665,176,1760,1.4166666666666667,49089.800555397036,3921.751953125
12,8,155.5559758562516,194.359334017698,7,70,9.625,333521.8802440211,6751.5361328125
13,1,1733.0,334.0,1,10,1.0,34651.62392145673,3741.8486328125
14,28,1359.183083460657,505.629865355233,77,770,5.607142857142857,194296.60555959665,7235.92138671875
15,65,1294.59358974359,821.1066666666667,197,1970,2.0923076923076924,72501.85928181716,4981.79931640625
16,1,1195.5,867.5,1,10,2.0,69303.24784291346,3741.8486328125
17,1,1173.0,878.0,1,10,1.0,34651.62392145673,3567.4951171875
18,24,1401.1612599206348,949.1172123015873,191,1910,3.0833333333333335,106842.50709115826,4292.048828125
19,1,627.0,686.0,1,10,1.0,34651.62392145673,3567.6689453125
20,50,120.22833333333334,808.3515000000001,173,1730,2.38,82470.86493306703,5615.16796875
21,4,64.875,939.125,11,110,1.75,60640.341862549285,4013.080078125
22,26,913.6923076923077,668.2307692307693,145,1450,1.2307692307692308,42648.15251871598,3832.0849609375
23,6,1366.222222222222,709.3055555555557,165,1650,1.5,51977.4358821851,4292.0751953125
24,1,124.0,841.5,1,10,2.0,69303.24784291346,3741.8486328125
25,42,1284.642857142857,901.2083333333334,194,1940,1.4523809523809523,50327.35855259192,4291.9931640625
26,1,70.0,951.0,1,10,1.0,34651.62392145673,3567.4951171875
27,20,1546.2366666666667,235.24333333333334,194,1940,1.7,58907.760666476446,4680.056640625
28,23,1840.710248447205,357.34986824769436,194,1940,4.826086956521739,167231.75022963903,4387.41162109375
29,10,680.3,1286.7,106,1060,1.0,34651.62392145673,3654.75
30,15,1829.228811928812,2027.1043674843675,190,1900,5.2,180188.44439157503,14705.2412109375
31,3,632.5555555555555,675.2777777777778,106,1060,2.0,69303.24784291346,4105.587890625
32,10,1140.8791666666668,914.4270833333334,132,1320,6.9,239096.20505805145,4483.888671875
33,24,624.559197968485,675.5863686123836,180,1800,5.625,194915.3845581941,4105.6650390625
34,1,1377.0,713.0,1,10,1.0,34651.62392145673,3832.15234375
35,5,110.8,1.65,168,1680,2.0,69303.24784291346,4105.5556640625
36,5,128.2,62.1,168,1680,1.2,41581.94870574809,3921.861328125
37,1,1819.0,358.0,1,10,1.0,34651.62392145673,3742.05029296875
38,14,351.3251752216038,4.2244588744588745,16,160,7.714285714285714,267312.5273940948,5615.2001953125
39,18,693.8981481481482,58.71296296296297,142,1420,1.3888888888888888,48127.255446467694,4292.1201171875
40,12,120.45833333333333,59.916666666666664,96,960,1.6666666666666667,57752.70653576122,4105.73046875
41,2,86.125,189.25,2,20,3.5,121280.68372509856,4292.27099609375
42,38,1208.2637901572114,917.0618525480369,185,1850,4.552631578947368,157756.077326632,4981.630859375
43,4,1446.75,714.89375,4,40,5.75,199246.8375483762,6870.7939453125
44,9,1131.148148148148,882.1851851851851,181,1810,1.5555555555555556,53902.52610004381,4780.71484375
45,19,1056.2968671679198,918.0694235588974,149,1490,2.526315789473684,87540.94464368018,4387.3447265625
46,2,933.5,654.5,99,990,1.0,34651.62392145673,3742.060546875
