event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,2,1174.2666666666667,24.5,2,20,4.0,138606.49568582693,3312.4921875
1,2,1197.5,62.5,2,20,3.0,103954.8717643702,2908.7763671875
2,3,143.9,93.26666666666667,4,40,4.0,138606.49568582693,4013.16796875
3,3,1543.888888888889,93.25,187,1870,3.6666666666666665,127055.95437867468,2908.7666015625
4,1,147.0,107.25,1,10,4.0,138606.49568582693,3567.4951171875
5,13,1574.471794871795,180.38717948717945,93,930,3.5384615384615383,122613.43849130845,3067.357421875
6,1,1727.5,247.0,1,10,4.0,138606.49568582693,3067.279296875
7,20,1595.0841666666665,262.69916666666666,158,1580,3.6,124745.84611724425,4780.361328125
8,18,1589.2796296296299,286.3601851851852,156,1560,3.7222222222222223,128981.0445965334,3229.58203125
9,5,1571.3200000000002,329.9733333333333,26,260,3.4,117815.52133295289,2988.02734375
10,13,1498.823076923077,341.0358974358975,185,1850,3.769230769230769,130609.9670885677,3312.7939453125
11,2,129.66666666666669,434.45833333333337,2,20,3.5,121280.68372509856,2988.02734375
12,1,1348.0,512.0,1,10,5.0,173258.11960728368,2988.02734375
13,2,1358.0,560.5,5,50,3.0,103954.8717643702,2908.8935546875
14,18,0.8037037037037037,672.2527777777777,169,1690,3.5,121280.68372509856,3067.3935546875
15,22,1457.2356060606062,679.1833333333333,142,1420,3.6363636363636362,126005.90516893358,3481.799560546875
16,22,1284.5363636363636,717.0469696969697,105,1050,4.409090909090909,152782.16001733197,3567.5947265625
17,2,1309.6666666666665,787.8333333333333,148,1480,3.0,103954.8717643702,3481.716796875
18,11,101.8181818181818,850.9696969696969,121,1210,3.1818181818181817,110255.16702281688,5293.06640625
19,16,265.265625,879.8229166666666,189,1890,3.625,125612.13671528065,4981.75390625
20,2,851.6,911.4,3,30,4.0,138606.49568582693,4679.734375
21,4,664.2083333333333,974.8333333333333,100,1000,4.25,147269.40166619112,3481.77099609375
22,1,997.0,998.0,1,10,3.0,103954.8717643702,3067.279296875
23,2,1008.625,1011.0,55,550,3.5,121280.68372509856,4387.484375
24,1,297.6666666666667,1286.6666666666667,1,10,3.0,103954.8717643702,3067.279296875
25,20,1821.6908333333333,2027.5091666666667,194,1940,4.6,159397.470038701,8926.390625
26,1,1600.0,181.0,1,10,3.0,103954.8717643702,2988.02734375
27,4,1686.3208333333332,368.73333333333335,33,330,4.0,138606.49568582693,3067.26025390625
28,1,1691.3333333333333,458.1666666666667,1,10,6.0,207909.7435287404,3067.279296875
29,23,700.8471014492753,565.8753623188406,182,1820,3.782608695652174,131073.53396377113,3312.7939453125
30,3,626.6666666666666,618.6111111111112,3,30,4.0,138606.49568582693,3067.357421875
31,1,1470.6666666666667,675.3333333333334,1,10,3.0,103954.8717643702,2908.7763671875
32,1,1470.6666666666667,710.6666666666666,1,10,3.0,103954.8717643702,3395.939453125
33,10,893.2533333333333,712.1933333333334,64,640,4.1,142071.65807797262,3147.6708984375
34,22,1300.5371212121213,727.0393939393939,165,1650,3.772727272727273,130731.1266127686,4292.07421875
35,12,1145.3944444444446,835.2249999999999,42,420,3.8333333333333335,132831.22503225083,3567.6533203125
36,12,1373.4791666666667,859.513888888889,195,1950,4.083333333333333,141494.13101261502,3147.7646484375
37,2,1057.6666666666665,889.4583333333333,3,30,3.5,121280.68372509856,3067.279296875
38,2,955.75,899.875,3,30,4.0,138606.49568582693,2988.02734375
39,11,299.48333333333335,1293.880303030303,176,1760,3.3636363636363638,116555.46228126356,3481.65087890625
40,1,704.0,59.5,1,10,4.0,138606.49568582693,2987.890625
41,2,1508.3333333333335,189.66666666666666,23,230,3.0,103954.8717643702,2987.935546875
42,1,1711.3333333333333,245.66666666666663,1,10,3.0,103954.8717643702,2830.837890625
43,2,649.9166666666667,580.5833333333333,2,20,3.5,121280.68372509856,2988.02734375
44,2,912.1666666666666,721.0,2,20,3.0,103954.8717643702,2908.8935546875
45,3,1409.4555555555555,724.5888888888888,162,1620,4.0,138606.49568582693,3654.6591796875
46,1,129.0,767.5,1,10,4.0,138606.49568582693,3147.7646484375
47,18,64.65462962962962,950.2824074074075,156,1560,4.055555555555555,140531.58590368566,4013.02734375
48,1,35.5,1262.5,1,10,4.0,138606.49568582693,3229.58203125
49,1,338.0,6.0,1,10,3.0,103954.8717643702,3312.4921875
50,11,193.79999999999998,142.18030303030307,138,1380,4.090909090909091,141756.64331505029,3921.77734375
51,1,1432.6666666666667,192.33333333333331,1,10,3.0,103954.8717643702,2988.02734375
52,7,1683.6761904761902,463.31428571428575,38,380,4.857142857142857,168307.88761850414,3481.8994140625
53,2,1395.0,706.0,136,1360,5.0,173258.11960728368,3741.8486328125
54,2,1017.8333333333333,736.6666666666667,11,110,3.0,103954.8717643702,3147.63818359375
55,1,926.3333333333334,768.3333333333334,1,10,3.0,103954.8717643702,2988.02734375
56,4,1089.8333333333333,825.8125,53,530,5.0,173258.11960728368,3655.072265625
57,6,1352.2777777777776,830.2222222222222,71,710,3.0,103954.8717643702,3067.1787109375
58,21,95.82063492063493,883.0555555555557,187,1870,3.7142857142857144,128706.03170826787,5085.26171875
59,22,843.5295454545453,1198.9189393939396,182,1820,4.0,138606.49568582696,3229.6220703125
60,1,339.3333333333333,0.3333333333333333,1,10,3.0,103954.8717643702,3147.7646484375
61,2,1353.2666666666667,509.3,2,20,4.0,138606.49568582693,3147.7646484375
62,8,1111.5125,796.6333333333334,111,1110,4.0,138606.49568582693,4387.62890625
63,9,1175.7592592592591,948.7592592592591,193,1930,4.222222222222222,146306.85655726178,3742.04296875
64,3,31.76666666666667,965.9,3,30,4.666666666666667,161707.5783001314,3832.0849609375
65,1,750.75,3.0,1,10,4.0,138606.49568582693,3832.0849609375
66,4,1270.9916666666668,67.925,28,280,4.0,138606.49568582693,2988.2353515625
67,3,1568.25,304.5833333333333,23,230,3.3333333333333335,115505.41307152245,2909.0458984375
68,1,1586.3333333333333,370.6666666666667,1,10,3.0,103954.8717643702,2988.0498046875
69,19,1316.2394736842105,731.9754385964912,119,1190,3.8421052631578947,133135.18664559693,3831.99609375
70,12,1416.4083333333335,820.9749999999999,174,1740,3.5,121280.68372509857,3067.35546875
71,3,1202.0,909.7777777777778,122,1220,3.0,103954.8717643702,3147.6181640625
72,7,1120.0261904761903,1023.0119047619048,193,1930,4.0,138606.49568582696,3229.533935546875
73,1,888.0,1121.3333333333333,1,10,3.0,103954.8717643702,2908.921875
74,2,802.7916666666667,1193.0833333333335,40,400,3.5,121280.68372509856,3147.6708984375
75,8,275.5395833333333,36.608333333333334,117,1170,3.5,121280.68372509856,3312.857421875
76,24,1341.2409722222221,684.9215277777779,165,1650,4.333333333333333,150157.03699297918,3654.6591796875
77,1,1331.0,687.5,1,10,4.0,138606.49568582693,3147.7724609375
78,1,913.5,732.5,1,10,4.0,138606.49568582693,2908.953125
79,7,1307.1190476190475,779.5,161,1610,3.5714285714285716,123755.79971948835,2988.13720703125
80,1,1215.0,902.5,1,10,6.0,207909.7435287404,3147.7724609375
81,8,945.7249999999999,906.19375,77,770,4.875,168926.66661710158,3567.4150390625
82,25,1674.872,218.03066666666666,189,1890,3.84,133062.23585839386,3067.1787109375
83,1,1713.5,331.3333333333333,1,10,6.0,207909.7435287404,3567.6494140625
84,26,1841.66858974359,495.74679487179486,111,1110,3.6923076923076925,127944.45755614796,3481.9609375
85,12,712.4055555555556,502.77500000000003,81,810,3.5,121280.68372509857,3395.67578125
86,12,1412.6472222222221,615.7388888888889,30,300,4.5,155932.30764655533,3147.7041015625
87,11,154.04848484848483,648.0121212121212,143,1430,3.6363636363636362,126005.90516893358,3067.130859375
88,1,1377.0,713.0,1,10,3.0,103954.8717643702,3832.15234375
89,1,1352.3333333333333,453.3333333333333,1,10,3.0,103954.8717643702,2987.93359375
90,7,1538.6833333333332,612.5380952380953,30,300,4.0,138606.49568582693,2988.091796875
91,18,1369.4092592592592,655.4453703703704,189,1890,3.888888888888889,134756.31525010953,3147.7744140625
92,20,659.5291666666667,663.135,157,1570,4.05,140339.0768818998,3395.75390625
93,2,1250.25,807.5,81,810,5.5,190583.93156801205,3832.05810546875
94,7,1385.5333333333333,866.547619047619,162,1620,4.142857142857143,143556.72767460646,3567.70703125
95,1,1269.75,884.25,1,10,4.0,138606.49568582693,2830.8544921875
96,2,1168.0833333333335,947.5833333333333,167,1670,5.5,190583.93156801205,3921.7177734375
97,3,258.47222222222223,1985.5277777777776,4,40,4.666666666666667,161707.57830013143,3396.0927734375
98,5,1712.1833333333336,423.7833333333334,40,400,3.8,131676.1709015356,3742.1767578125
99,2,1580.0,429.66666666666663,44,440,3.0,103954.8717643702,2909.015625
100,1,1590.6,477.8,1,10,5.0,173258.11960728368,2908.8212890625
101,3,621.2333333333333,613.3444444444444,5,50,5.333333333333333,184808.6609144359,3067.1787109375
102,1,1372.0,726.0,1,10,3.0,103954.8717643702,3229.4921875
103,15,108.21222222222221,20.58888888888889,185,1850,3.8,131676.1709015356,3312.7490234375
104,1,1928.6666666666667,279.0,1,10,3.0,103954.8717643702,2908.7177734375
105,1,1698.5,338.0,1,10,4.0,138606.49568582693,2908.7177734375
106,18,1258.474074074074,161.15555555555557,143,1430,3.888888888888889,134756.31525010953,3229.5771484375
107,1,86.0,188.5,1,10,4.0,138606.49568582693,3921.9345703125
108,1,1536.0,201.0,1,10,3.0,103954.8717643702,2831.0224609375
109,1,1779.0,368.0,1,10,3.0,103954.8717643702,2908.646484375
110,2,1309.1666666666665,458.66666666666663,4,40,3.0,103954.8717643702,2908.8427734375
111,6,608.7055555555556,634.7694444444445,151,1510,3.6666666666666665,127055.9543786747,2988.146484375
112,1,1224.0,809.0,1,10,3.0,103954.8717643702,3147.779296875
