event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,9025,67.8831794450548,56.590245981934345,198,1980,1.9683102493074793,68205.1465197515,4198.337890625
1,1743,1284.5478512893517,66.78439748769028,198,1980,2.9667240390131955,102801.8056786304,4198.337890625
2,8198,1517.9403312559773,139.00883616222464,198,1980,1.8250792876311295,63241.96110183408,4198.3203125
3,1,145.0,94.0,1,10,1.0,34651.62392145673,4013.16796875
4,12537,1642.1995406005183,177.98737393567944,198,1980,1.95142378559464,67620.00312981088,4198.337890625
5,374,1207.5810658459625,132.8004734578972,197,1970,3.0481283422459895,105622.59697984139,4198.3330078125
6,74,195.45045045045043,128.51126126126124,174,1740,1.472972972972973,51040.90550592952,4198.3134765625
7,552,1291.6760488555324,141.93573513342537,198,1980,1.6322463768115942,56559.98759643572,4198.337890625
8,101,161.74662501964482,144.35817617476033,189,1890,1.801980198019802,62441.54013569432,4198.337890625
9,1085,1442.0695479609442,177.74465294211788,198,1980,2.4202764976958524,83866.51098409713,4198.3330078125
10,45,26.777777777777782,187.1814814814815,131,1310,1.4,48512.27349003943,4198.2099609375
11,1346,1660.4928915541284,312.34656373426805,198,1980,1.8187221396731055,63021.67560157956,4198.326171875
12,1331,1590.8915098675427,341.0542957042957,198,1980,1.56198347107438,54125.26381120102,4198.2802734375
13,853,1917.9356952771739,300.98562492772334,198,1980,3.0586166471277845,105986.03377617894,4198.337890625
14,1660,1759.0855567508604,324.2338182298708,198,1980,2.4975903614457833,86545.56191467447,4198.337890625
15,9,1699.7777777777778,322.6111111111111,12,120,1.3333333333333333,46202.16522860898,4105.8505859375
16,3,1713.3333333333333,331.3888888888889,10,100,2.3333333333333335,80853.78915006571,4198.0546875
17,5497,1818.4326853971982,395.0230694337017,198,1980,2.455157358559214,85075.18945679099,4198.337890625
18,192,1644.0518229166664,358.8159722222222,195,1950,1.4375,49811.70938709405,4198.2080078125
19,1976,1578.0155995931664,439.0947587222766,198,1980,1.9741902834008098,68408.89924979897,4198.30078125
20,25543,68.67147834819721,613.8832006832341,198,1980,2.023959597541401,70133.48680622755,4198.337890625
21,516,1326.866159943348,498.2108632892675,197,1970,1.8934108527131783,65609.76079702177,4198.2802734375
22,327,656.88988975256,514.711129925239,198,1980,3.6483180428134556,126420.14476543694,4198.326171875
23,58,747.5514188876258,514.494402340954,58,580,3.396551724137931,117696.03297460306,4198.2734375
24,5253,1339.0313905586684,613.5327673556709,198,1980,2.1288787359604036,73769.1053328861,4198.322265625
25,7,0.7619047619047619,585.1904761904763,165,1650,1.7142857142857142,59402.783865354395,3921.9345703125
26,11,0.0,600.3636363636364,190,1900,1.5454545454545454,53552.50969679677,4105.5419921875
