event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,9,331.26309862976524,1.6443766110432776,21,210,8.555555555555555,296463.89355024096,9341.0048828125
1,1,1230.0,0.0,1,10,1.0,34651.62392145673,4291.9462890625
2,33,1209.3863244013323,131.97053354533685,189,1890,6.7272727272727275,233110.92456252713,4881.1884765625
3,19,25.289473684210527,186.6315789473684,90,900,1.263157894736842,43770.47232184009,4198.2099609375
4,33,655.2461829908932,509.4949147874644,154,1540,33.303030303030305,1154004.0815054832,4780.6396484375
5,1,204.0,133.0,1,10,1.0,34651.62392145673,3831.822265625
6,12,1725.744024387528,399.4800337637509,143,1430,13.916666666666666,482235.0995736062,9623.005859375
7,1,1840.0,462.0,1,10,1.0,34651.62392145673,3831.822265625
8,2,301.0,1279.5,94,940,2.0,69303.24784291346,4484.013671875
9,43,725.0368217054263,1129.9748062015503,193,1930,1.441860465116279,49962.80658442598,4105.7236328125
10,2,1355.4523809523812,723.4126984126983,2,20,8.0,277212.99137165386,5945.0361328125
11,3,851.3333333333334,911.1666666666666,3,30,2.3333333333333335,80853.78915006571,7113.76123046875
12,17,58.64662487945998,1002.7888230702117,198,1980,11.823529411764707,409704.4946007532,5399.21044921875
13,35,1400.6617441080223,943.0479141034405,196,1960,5.828571428571428,201969.46514220495,4780.56884765625
14,9,1818.1205128205129,2027.4666666666667,53,530,4.111111111111111,142456.67612154435,9764.953125
15,2,1012.5,1008.0,2,20,2.0,69303.24784291346,4484.1240234375
16,17,681.5078431372549,543.3921568627451,51,510,2.588235294117647,89686.55603200567,4387.4208984375
17,2,158.1125,195.5875,2,20,11.5,398493.6750967524,6633.490234375
18,46,1230.230072463768,19.66123188405797,192,1920,1.7608695652173914,61016.98994865208,4780.3994140625
19,68,296.2230547294982,1287.8809539048411,186,1860,7.367647058823529,255300.93506837977,4679.9501953125
20,1,859.9252158894645,1164.5582037996546,1,10,5790.0,200632902.50523448,10053.384765625
21,5,1120.3799999999999,6.34,13,130,3.6,124745.84611724425,5506.5126953125
22,2,750.75,4.5,2,20,1.5,51977.4358821851,4679.734375
23,1,1550.0,247.0,1,10,1.0,34651.62392145673,4679.734375
24,1,1609.271536034943,347.5748604707595,1,10,4121.0,142799342.18032318,9341.0048828125
25,15,642.6035497835497,606.4296103896104,136,1360,4.333333333333333,150157.03699297918,4387.32373046875
26,14,787.6785714285714,1161.7142857142858,83,830,1.3571428571428572,47027.20389340557,4105.486328125
27,1,1419.0,684.0,1,10,1.0,34651.62392145673,3831.9814453125
28,12,95.4513888888889,894.4444444444445,192,1920,1.75,60640.341862549285,4780.5849609375
29,1,113.0,479.0,1,10,1.0,34651.62392145673,3831.9814453125
30,1,1723.0,389.0,1,10,1.0,34651.62392145673,3831.9814453125
31,1,152.0,193.0,1,10,1.0,34651.62392145673,3921.861328125
32,3,1726.6666666666667,382.3333333333333,178,1780,1.6666666666666667,57752.70653576122,4484.16015625
33,2,1746.8333333333335,414.66666666666663,165,1650,2.0,69303.24784291346,6399.9560546875
34,2,84.0,916.0,14,140,1.0,34651.62392145673,3921.861328125
35,3,39.083333333333336,921.2727272727274,136,1360,5.333333333333333,184808.66091443587,4582.193359375
36,15,1.4333333333333333,942.5333333333333,186,1860,1.3333333333333333,46202.16522860899,4198.12060546875
37,2,1214.5,45.0,23,230,1.0,34651.62392145673,4012.95703125
38,15,162.8879702970297,148.4085588558856,160,1600,11.866666666666667,411199.2705346199,8255.6376953125
