event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,2,1174.2666666666667,24.5,2,20,4.0,138606.49568582693,3312.4921875
1,2,1197.5,62.5,2,20,3.0,103954.8717643702,2908.7763671875
2,1,147.0,107.25,1,10,4.0,138606.49568582693,3567.4951171875
3,1,1727.5,247.0,1,10,4.0,138606.49568582693,3067.279296875
4,13,1498.823076923077,341.0358974358975,185,1850,3.769230769230769,130609.9670885677,3312.7939453125
5,2,851.6,911.4,3,30,4.0,138606.49568582693,4679.734375
6,4,664.2083333333333,974.8333333333333,100,1000,4.25,147269.40166619112,3481.77099609375
7,1,997.0,998.0,1,10,3.0,103954.8717643702,3067.279296875
8,2,1008.625,1011.0,55,550,3.5,121280.68372509856,4387.484375
9,1,297.6666666666667,1286.6666666666667,1,10,3.0,103954.8717643702,3067.279296875
10,20,1821.6908333333333,2027.5091666666667,194,1940,4.6,159397.470038701,8926.390625
11,23,700.8471014492753,565.8753623188406,182,1820,3.782608695652174,131073.53396377113,3312.7939453125
12,1,1470.6666666666667,710.6666666666666,1,10,3.0,103954.8717643702,3395.939453125
13,12,1145.3944444444446,835.2249999999999,42,420,3.8333333333333335,132831.22503225083,3567.6533203125
14,2,955.75,899.875,3,30,4.0,138606.49568582693,2988.02734375
15,11,299.48333333333335,1293.880303030303,176,1760,3.3636363636363638,116555.46228126356,3481.65087890625
16,1,704.0,59.5,1,10,4.0,138606.49568582693,2987.890625
17,3,1409.4555555555555,724.5888888888888,162,1620,4.0,138606.49568582693,3654.6591796875
18,1,129.0,767.5,1,10,4.0,138606.49568582693,3147.7646484375
19,7,68.66666666666666,949.9285714285714,155,1550,3.2857142857142856,113855.33574192927,3567.4951171875
20,1,35.5,1262.5,1,10,4.0,138606.49568582693,3229.58203125
21,1,338.0,6.0,1,10,3.0,103954.8717643702,3312.4921875
22,11,193.79999999999998,142.18030303030307,138,1380,4.090909090909091,141756.64331505029,3921.77734375
23,4,1089.8333333333333,825.8125,53,530,5.0,173258.11960728368,3655.072265625
24,1,339.3333333333333,0.3333333333333333,1,10,3.0,103954.8717643702,3147.7646484375
25,5,1682.3133333333335,463.50666666666666,37,370,5.4,187118.76917586636,3481.8994140625
26,8,1111.5125,796.6333333333334,111,1110,4.0,138606.49568582693,4387.62890625
27,3,31.76666666666667,965.9,3,30,4.666666666666667,161707.5783001314,3832.0849609375
28,1,750.75,3.0,1,10,4.0,138606.49568582693,3832.0849609375
29,8,275.5395833333333,36.608333333333334,117,1170,3.5,121280.68372509856,3312.857421875
30,1,1331.0,687.5,1,10,4.0,138606.49568582693,3147.7724609375
31,8,945.7249999999999,906.19375,77,770,4.875,168926.66661710158,3567.4150390625
32,4,1174.625,948.4166666666666,191,1910,3.25,112617.77774473437,3067.1494140625
33,1,1713.5,331.3333333333333,1,10,6.0,207909.7435287404,3567.6494140625
34,26,1841.66858974359,495.74679487179486,111,1110,3.6923076923076925,127944.45755614796,3481.9609375
35,12,712.4055555555556,502.77500000000003,81,810,3.5,121280.68372509857,3395.67578125
36,1,1377.0,713.0,1,10,3.0,103954.8717643702,3832.15234375
37,2,1250.25,807.5,81,810,5.5,190583.93156801205,3832.05810546875
38,2,1168.0833333333335,947.5833333333333,167,1670,5.5,190583.93156801205,3921.7177734375
39,3,258.47222222222223,1985.5277777777776,4,40,4.666666666666667,161707.57830013143,3396.0927734375
40,1,1372.0,726.0,1,10,3.0,103954.8717643702,3229.4921875
41,1,86.0,188.5,1,10,4.0,138606.49568582693,3921.9345703125
42,1,1224.0,809.0,1,10,3.0,103954.8717643702,3147.779296875
43,3,1746.3333333333333,368.0666666666666,84,840,4.333333333333333,150157.03699297918,3396.046875
44,3,1654.0666666666666,506.2,26,260,4.333333333333333,150157.03699297918,2988.15087890625
45,5,1310.7533333333333,804.8933333333333,61,610,3.6,124745.84611724425,7235.97705078125
46,20,688.7216666666666,581.6791666666667,101,1010,4.2,145536.82047011828,3312.8330078125
47,1,1446.1666666666667,715.0,1,10,6.0,207909.7435287404,3567.57666015625
48,1,716.6666666666666,8.0,1,10,3.0,103954.8717643702,3312.779296875
49,6,1469.0555555555557,379.4166666666667,151,1510,3.8333333333333335,132831.22503225083,3481.919921875
50,1,1636.0,521.8,1,10,5.0,173258.11960728368,2988.228515625
51,10,265.19166666666666,881.7166666666666,173,1730,3.7,128211.00850938991,4981.75390625
52,1,423.4,871.8,1,10,5.0,173258.11960728368,3312.8330078125
53,1,710.3333333333334,1085.6666666666667,1,10,3.0,103954.8717643702,2987.845703125
54,1,348.2,2.0,1,10,5.0,173258.11960728368,3481.75
55,5,175.43333333333334,63.7,6,60,4.2,145536.82047011828,5945.0556640625
56,2,1039.5,764.0,2,20,3.0,103954.8717643702,3067.228515625
57,1,25.0,1298.5,1,10,6.0,207909.7435287404,3229.7119140625
58,2,1025.8333333333335,754.3333333333333,179,1790,3.0,103954.8717643702,3229.4482421875
59,5,267.65,2003.9833333333331,165,1650,3.4,117815.52133295289,3832.166015625
60,4,1184.0333333333333,57.83333333333333,63,630,4.0,138606.49568582693,3229.52734375
61,2,1354.5833333333335,69.58333333333334,2,20,3.5,121280.68372509856,3229.52734375
62,12,114.12638888888888,126.04305555555557,68,680,4.333333333333333,150157.0369929792,6633.3583984375
63,1,422.0,878.0,1,10,3.0,103954.8717643702,3147.462890625
64,1,332.0,0.0,1,10,3.0,103954.8717643702,3567.4814453125
65,1,1691.5,472.8333333333333,1,10,6.0,207909.7435287404,3067.1044921875
66,21,1316.4357142857143,699.5619047619048,172,1720,3.619047619047619,125405.87704908152,4387.4189453125
67,1,351.0,6.5,1,10,4.0,138606.49568582693,3831.99609375
68,9,1319.1703703703704,730.3037037037036,101,1010,4.111111111111111,142456.67612154435,3742.04296875
69,1,1694.8,446.8,1,10,5.0,173258.11960728368,3067.2822265625
70,1,1685.8333333333333,473.0,1,10,6.0,207909.7435287404,3147.5458984375
71,2,241.83333333333331,2000.0833333333335,149,1490,3.5,121280.68372509856,3312.6337890625
72,2,1688.3166666666666,482.1,2,20,5.5,190583.93156801205,3147.7744140625
73,1,931.0,1448.3333333333333,1,10,3.0,103954.8717643702,3567.4150390625
74,21,58.734126984127,183.91984126984127,49,490,4.333333333333333,150157.03699297918,3229.37109375
75,3,863.8888888888888,912.6666666666666,63,630,3.0,103954.8717643702,3481.66015625
76,1,925.0,1447.0,1,10,3.0,103954.8717643702,4582.0107421875
77,1,1632.0,580.0,1,10,3.0,103954.8717643702,2908.765625
78,1,1629.75,593.0,1,10,4.0,138606.49568582693,2908.763671875
79,2,245.66666666666663,1990.0,2,20,3.0,103954.8717643702,3067.3134765625
80,2,1880.25,487.25,2,20,3.5,121280.68372509856,4013.1767578125
81,1,1684.2,489.4,1,10,5.0,173258.11960728368,3067.25390625
82,1,1627.6666666666667,599.8333333333334,1,10,6.0,207909.7435287404,3229.37109375
83,1,49.0,152.0,1,10,3.0,103954.8717643702,3229.42578125
84,1,1625.0,606.0,1,10,3.0,103954.8717643702,3229.42578125
85,3,1545.488888888889,688.9555555555556,4,40,3.6666666666666665,127055.95437867468,3312.5068359375
86,1,1324.0,1335.75,1,10,4.0,138606.49568582693,4198.41796875
87,3,737.5277777777778,12.638888888888888,4,40,3.3333333333333335,115505.41307152243,4105.5986328125
88,1,915.0,900.75,1,10,4.0,138606.49568582693,3312.5068359375
89,2,1495.3666666666668,362.1333333333333,26,260,4.0,138606.49568582693,3395.828125
90,1,915.6666666666666,909.6666666666666,1,10,3.0,103954.8717643702,3395.8603515625
91,1,877.6666666666666,836.3333333333334,1,10,3.0,103954.8717643702,3481.552734375
92,4,1488.6666666666665,346.25,160,1600,3.0,103954.8717643702,3481.552734375
93,3,1757.1777777777777,437.82222222222225,10,100,4.333333333333333,150157.03699297918,3481.8994140625
94,1,1652.2,528.4,1,10,5.0,173258.11960728368,2988.2353515625
95,4,1648.9375,541.0208333333333,9,90,3.25,112617.77774473438,2987.845703125
96,3,1020.8888888888888,977.4722222222222,9,90,3.6666666666666665,127055.95437867468,3567.4150390625
97,16,131.86458333333331,33.86458333333333,153,1530,3.5625,123446.4102201896,3312.6435546875
98,9,1454.7425925925925,350.23333333333335,15,150,4.333333333333333,150157.03699297918,3921.912109375
99,1,1265.0,816.0,1,10,3.0,103954.8717643702,3147.837890625
100,3,1755.6666666666667,426.72222222222223,79,790,3.3333333333333335,115505.41307152243,3229.630859375
101,1,1673.3333333333333,475.3333333333333,1,10,3.0,103954.8717643702,3067.35546875
102,8,1426.6270833333333,697.7979166666667,51,510,4.125,142937.94867600902,4981.9609375
103,16,1021.2802083333333,986.984375,144,1440,3.75,129943.58970546274,4387.50244140625
104,1,1662.4,526.8,1,10,5.0,173258.11960728368,2988.2353515625
105,1,1742.5,373.5,1,10,4.0,138606.49568582693,3067.21875
106,3,1585.8,662.0666666666667,14,140,4.333333333333333,150157.03699297918,3147.7744140625
107,2,866.1666666666667,837.3333333333333,57,570,3.0,103954.8717643702,3481.712890625
108,1,377.5,1747.5,1,10,4.0,138606.49568582693,4012.931640625
109,2,1705.9,336.8,2,20,4.0,138606.49568582693,4013.1650390625
110,1,382.3333333333333,1753.0,1,10,3.0,103954.8717643702,2987.9423828125
111,1,388.25,1762.5,1,10,4.0,138606.49568582693,3147.8935546875
112,1,736.6666666666666,5.0,1,10,3.0,103954.8717643702,3481.79296875
113,2,1483.0833333333335,628.0,3,30,3.5,121280.68372509856,3312.57421875
114,2,133.25,512.0,3,30,3.5,121280.68372509856,3067.1103515625
115,1,584.0,1282.8,1,10,5.0,173258.11960728368,2987.845703125
116,2,250.08333333333331,2011.4166666666665,79,790,3.5,121280.68372509856,4483.9404296875
