event_id,num_detections,x_centroid,y_centroid,lifetime_frames,lifetime_seconds,mean_area_px,mean_area_km2,peak_intensity
0,16,1919.375,301.5,109,1090,1.125,38983.076911638826,5084.92578125
1,10,1723.805194805195,398.0343073593073,138,1380,8.4,291073.64094023657,9623.005859375
2,18,29.71194677559599,845.6619202282176,198,1980,10038.722222222223,347858027.0964148,15057.9150390625
3,1,1194.0,798.0,1,10,1.0,34651.62392145673,4981.8994140625
4,13,139.32692307692307,836.1282051282051,192,1920,2.769230769230769,95958.34316711096,8387.248046875
5,27,968.4422313349604,1123.3872139891866,62,620,19.22222222222222,666081.2153791127,6633.5908203125
6,16,29.542178159798077,1290.698009350893,17,170,27.875,965914.0168106065,18230.00390625
7,10,331.3622619047619,1.201547619047619,19,190,5.4,187118.7691758664,9341.0048828125
8,3,155.44444444444446,194.6111111111111,4,40,2.6666666666666665,92404.33045721795,6751.5361328125
9,1,852.0,911.0,1,10,3.0,103954.8717643702,7113.76123046875
10,2,1700.75,319.54166666666663,4,40,7.5,259887.17941092548,8255.7421875
11,1,1587.5,399.0,1,10,2.0,69303.24784291346,4880.9873046875
12,1,1684.45,247.55,1,10,20.0,693032.4784291347,5293.310546875
13,5,1662.3666666666663,309.73333333333335,179,1790,2.0,69303.24784291346,5398.962890625
14,1,1749.0,415.0,1,10,1.0,34651.62392145673,6399.9560546875
15,1,1223.0,788.0,1,10,1.0,34651.62392145673,5292.9287109375
16,2,1446.75,715.0,2,20,2.5,86629.05980364184,6870.7939453125
17,5,0.4,811.8,35,350,1.0,34651.62392145673,4881.2509765625
18,1,102.0,752.0,1,10,1.0,34651.62392145673,4881.2685546875
19,3,1205.1666666666667,127.0,3,30,1.3333333333333333,46202.165228608974,4981.830078125
20,15,1744.5888888888887,320.9222222222222,184,1840,1.4666666666666666,50822.38175146988,5188.4228515625
21,1,1664.0,342.0,1,10,1.0,34651.62392145673,4981.76611328125
22,8,1357.4625,504.3,65,650,2.625,90960.51279382393,7235.92138671875
23,1,1469.0,374.5,1,10,2.0,69303.24784291346,5084.8955078125
24,9,1191.111111111111,805.8333333333334,169,1690,1.5555555555555556,53902.52610004381,5506.5126953125
25,2,893.0,887.5,2,20,1.0,34651.62392145673,5723.8974609375
26,7,1380.642857142857,928.5476190476192,16,160,5.0,173258.11960728368,6056.455078125
27,3,175.66666666666666,63.666666666666664,5,50,1.0,34651.62392145673,5945.0556640625
28,8,654.125,509.4375,170,1700,1.125,38983.076911638826,4880.9482421875
29,1,292.0,665.0,1,10,1.0,34651.62392145673,4780.517578125
30,4,0.0,729.0,10,100,1.0,34651.62392145673,4981.9609375
31,1,423.0,868.5,1,10,2.0,69303.24784291346,4881.203125
32,4,717.125,8.125,6,60,1.5,51977.4358821851,5615.2568359375
33,2,932.25,1449.0,2,20,1.5,51977.4358821851,6399.8359375
34,1,1680.0,245.0,1,10,1.0,34651.62392145673,4881.244140625
35,1,1581.0,315.0,1,10,1.0,34651.62392145673,4881.234375
36,2,1713.4284271037877,431.36290161928343,4,40,676.0,23424497.77090475,27846.05859375
37,2,122.41666666666666,134.33333333333331,2,20,3.5,121280.68372509856,6751.5009765625
38,11,1402.1818181818182,941.6363636363636,141,1410,1.0,34651.62392145674,4981.73046875
39,1,1504.0,125.0,1,10,1.0,34651.62392145673,4780.3837890625
40,1,1176.0,36.0,1,10,1.0,34651.62392145673,4981.6142578125
41,4,1923.5,314.0,8,80,1.5,51977.435882185106,5398.98828125
42,1,1708.0,451.0,1,10,1.0,34651.62392145673,4881.3515625
43,5,282.9,858.5,157,1570,1.2,41581.94870574809,5723.919921875
44,3,62.22222222222222,999.7222222222222,72,720,2.0,69303.24784291348,5292.9833984375
45,17,1207.2843137254902,136.72549019607843,23,230,1.6470588235294117,57073.26292945814,5085.298828125
46,5,1914.8666666666663,309.43333333333334,34,340,1.6,55442.59827433078,5188.5673828125
