frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,984.0,43.0,1.0,1271.82470703125,39304.66460068551,"(43, 984, 44, 985)",0,17
0,532.0,63.75,4.0,1265.7314453125,157218.65840274203,"(63, 531, 65, 534)",1,23
0,238.0,176.0,1.0,1272.156982421875,39304.66460068551,"(176, 238, 177, 239)",2,14
0,1548.0,290.5,2.0,1326.8399658203125,78609.32920137102,"(290, 1548, 292, 1549)",3,29
0,4.0,340.0,1.0,1250.066650390625,39304.66460068551,"(340, 4, 341, 5)",4,9
0,910.9473684210526,566.280701754386,57.0,1285.1630859375,2240365.882239074,"(561, 903, 573, 918)",5,19
0,893.5,566.5,2.0,1260.1258544921875,78609.32920137102,"(566, 893, 568, 895)",5,19
0,978.0,661.8571428571429,7.0,1284.1881103515625,275132.65220479853,"(661, 976, 664, 981)",6,20
0,2019.2631578947369,797.7894736842105,19.0,1335.436767578125,746788.6274130247,"(795, 2017, 801, 2023)",7,28
0,96.0,1017.0,3.0,1286.0050048828125,117913.99380205653,"(1016, 96, 1019, 97)",8,12
0,1686.060606060606,1291.5454545454545,33.0,1314.3212890625,1297053.9318226217,"(1287, 1683, 1297, 1690)",10,37
0,446.3,1401.0,10.0,1338.716064453125,393046.64600685507,"(1398, 446, 1405, 448)",11,8
0,449.8888888888889,1429.1777777777777,45.0,1332.57861328125,1768709.9070308479,"(1424, 447, 1436, 455)",12,42
0,534.0,1427.0,1.0,1338.0069580078125,39304.66460068551,"(1427, 534, 1428, 535)",13,34
0,716.3846153846154,1480.7307692307693,26.0,1318.77490234375,1021921.2796178232,"(1478, 713, 1484, 720)",14,37
0,1316.0,1936.5,4.0,1297.21630859375,157218.65840274203,"(1936, 1315, 1938, 1318)",16,13
0,673.1304347826087,1941.8695652173913,23.0,1327.260986328125,904007.2858157667,"(1938, 671, 1947, 676)",17,14
0,541.0,1954.0,1.0,1236.728271484375,39304.66460068551,"(1954, 541, 1955, 542)",18,6
0,669.6666666666666,1977.0,3.0,1242.15673828125,117913.99380205653,"(1976, 669, 1979, 671)",19,11
0,952.5,2011.5,2.0,1309.5576171875,78609.32920137102,"(2011, 952, 2013, 954)",21,3
0,1570.0,2047.0,1.0,1254.96337890625,39304.66460068551,"(2047, 1570, 2048, 1571)",23,12
1,533.1666666666666,61.333333333333336,6.0,1325.582275390625,235827.98760411306,"(60, 532, 63, 535)",1,23
1,239.0,174.5,2.0,1323.8822021484375,78609.32920137102,"(174, 239, 176, 240)",2,14
1,1548.8,288.6,5.0,1307.3865966796875,196523.32300342753,"(288, 1548, 290, 1551)",3,29
1,1974.0,446.0,1.0,1248.296630859375,39304.66460068551,"(446, 1974, 447, 1975)",24,11
1,632.7272727272727,543.7272727272727,11.0,1329.2581787109375,432351.3106075406,"(543, 631, 546, 636)",25,8
1,894.0,565.0,3.0,1286.778564453125,117913.99380205653,"(565, 893, 566, 896)",5,19
1,908.0,575.0,1.0,1234.006591796875,39304.66460068551,"(575, 908, 576, 909)",5,19
1,2019.7619047619048,796.047619047619,21.0,1326.662109375,825397.9566143957,"(793, 2017, 799, 2023)",7,28
1,96.0,1015.5,2.0,1292.935791015625,78609.32920137102,"(1015, 96, 1017, 97)",8,12
1,109.72222222222223,1045.0833333333333,36.0,1312.693603515625,1414967.9256246784,"(1041, 107, 1051, 113)",26,18
1,1686.875,1290.25,24.0,1316.3236083984375,943311.9504164523,"(1286, 1685, 1295, 1690)",10,37
1,446.55555555555554,1399.2222222222222,9.0,1326.1796875,353741.9814061696,"(1397, 446, 1402, 448)",11,8
1,450.40909090909093,1426.909090909091,44.0,1333.37060546875,1729405.2424301624,"(1422, 447, 1434, 456)",12,42
1,535.0,1425.5,2.0,1247.2857666015625,78609.32920137102,"(1425, 535, 1427, 536)",13,34
1,717.0666666666667,1478.6,30.0,1316.9669189453125,1179139.9380205653,"(1476, 713, 1482, 721)",14,37
1,62.0,1499.0,1.0,1226.379150390625,39304.66460068551,"(1499, 62, 1500, 63)",27,8
1,1152.7777777777778,1518.111111111111,9.0,1316.5303955078125,353741.9814061696,"(1517, 1150, 1520, 1156)",28,32
1,1317.2857142857142,1934.5714285714287,7.0,1309.063720703125,275132.65220479853,"(1934, 1316, 1936, 1320)",16,13
1,673.9333333333333,1939.7333333333333,31.0,1326.5931396484375,1179139.9380205653,"(1936, 672, 1946, 678)",17,14
1,542.0,1952.0,1.0,1228.676513671875,39304.66460068551,"(1952, 542, 1953, 543)",18,6
1,1572.0,2044.0,1.0,1240.278564453125,39304.66460068551,"(2044, 1572, 2045, 1573)",23,12
2,534.0,58.666666666666664,3.0,1242.0107421875,117913.99380205653,"(58, 533, 60, 536)",1,23
2,240.0,171.0,1.0,1235.40771484375,39304.66460068551,"(171, 240, 172, 241)",2,14
2,1551.6363636363637,285.45454545454544,11.0,1326.376220703125,432351.3106075406,"(285, 1549, 287, 1556)",3,29
2,634.5,539.8888888888889,18.0,1328.552978515625,707483.9628123392,"(538, 632, 543, 638)",25,8
2,895.0,561.5,2.0,1253.4755859375,78609.32920137102,"(561, 895, 563, 896)",5,19
2,2021.0434782608695,792.9565217391304,23.0,1327.875732421875,904007.2858157667,"(789, 2018, 796, 2025)",7,28
2,97.0,1012.5,2.0,1289.9259033203125,78609.32920137102,"(1012, 97, 1014, 98)",8,12
2,447.8,1396.4,5.0,1319.57958984375,196523.32300342753,"(1395, 447, 1399, 449)",11,8
2,451.5869565217391,1423.3695652173913,46.0,1333.94677734375,1808014.5716315333,"(1419, 448, 1429, 457)",12,42
2,536.0,1422.5,2.0,1336.607421875,78609.32920137102,"(1422, 536, 1424, 537)",13,34
2,1283.0,1469.0,1.0,1227.1597900390625,39304.66460068551,"(1469, 1283, 1470, 1284)",32,7
2,718.34375,1475.375,32.0,1327.2711181640625,1257749.2672219363,"(1473, 714, 1479, 723)",14,37
2,63.0,1495.5,2.0,1282.234375,78609.32920137102,"(1495, 63, 1497, 64)",27,8
2,1154.375,1516.125,16.0,1316.4110107421875,628874.6336109681,"(1514, 1152, 1520, 1157)",28,32
2,260.07547169811323,1582.188679245283,53.0,1328.6981201171875,2083147.2238363319,"(1574, 253, 1591, 265)",33,35
2,1318.7142857142858,1931.7142857142858,7.0,1315.6611328125,275132.65220479853,"(1931, 1317, 1934, 1321)",16,13
2,543.0,1950.0,1.0,1298.4156494140625,39304.66460068551,"(1950, 543, 1951, 544)",18,6
2,680.0,2002.0,1.0,1222.298095703125,39304.66460068551,"(2002, 680, 2003, 681)",35,20
3,984.5,38.0,4.0,1295.039306640625,157218.65840274203,"(38, 983, 39, 987)",0,17
3,534.5,57.5,4.0,1277.107177734375,157218.65840274203,"(57, 534, 59, 536)",1,23
3,241.0,170.5,2.0,1278.88720703125,78609.32920137102,"(170, 241, 172, 242)",2,14
3,1561.5,179.0,2.0,1232.7685546875,78609.32920137102,"(179, 1561, 180, 1563)",36,4
3,1551.0,284.6666666666667,9.0,1331.1690673828125,353741.9814061696,"(284, 1549, 286, 1555)",3,29
3,1980.5,442.5,2.0,1257.8203125,78609.32920137102,"(442, 1980, 444, 1982)",24,11
3,634.8571428571429,539.2142857142857,14.0,1325.404296875,550265.3044095971,"(537, 633, 543, 638)",25,8
3,903.0,545.0,1.0,1241.85400390625,39304.66460068551,"(545, 903, 546, 904)",5,19
3,895.5,561.0,4.0,1253.808837890625,157218.65840274203,"(560, 895, 563, 897)",5,19
3,1403.0,601.0,1.0,1247.2469482421875,39304.66460068551,"(601, 1403, 602, 1404)",37,21
3,983.0,655.0,1.0,1239.914794921875,39304.66460068551,"(655, 983, 656, 984)",6,20
3,2021.2380952380952,792.7619047619048,21.0,1327.210693359375,825397.9566143957,"(790, 2018, 796, 2025)",7,28
