frame,x,y,area_px,intensity,area_km2,bbox,cluster_id
0,1548.0,291.0,1.0,1326.8399658203125,39304.66460068551,"(291, 1548, 292, 1549)",0
0,2019.5333333333333,797.5333333333333,15.0,1335.436767578125,589569.9690102827,"(795, 2018, 801, 2022)",1
0,780.0,1029.0,1.0,1299.719970703125,39304.66460068551,"(1029, 780, 1030, 781)",2
0,677.0,1055.0,1.0,1295.44384765625,39304.66460068551,"(1055, 677, 1056, 678)",3
0,1686.1379310344828,1291.6206896551723,29.0,1314.3212890625,1139835.2734198798,"(1288, 1683, 1297, 1690)",4
0,446.375,1401.0,8.0,1338.716064453125,314437.31680548406,"(1399, 446, 1404, 448)",5
0,450.0769230769231,1429.0,39.0,1332.57861328125,1532881.9194267348,"(1424, 447, 1436, 455)",6
0,534.0,1427.0,1.0,1338.0069580078125,39304.66460068551,"(1427, 534, 1428, 535)",7
0,1316.0,1936.5,4.0,1297.21630859375,157218.65840274203,"(1936, 1315, 1938, 1318)",8
0,673.6428571428571,1941.5,14.0,1327.260986328125,550265.3044095971,"(1939, 672, 1945, 676)",9
0,952.5,2011.5,2.0,1309.5576171875,78609.32920137102,"(2011, 952, 2013, 954)",10
0,510.5,2012.5,2.0,1327.7705078125,78609.32920137102,"(2012, 510, 2014, 512)",11
0,197.5,2023.5,2.0,1453.2666015625,78609.32920137102,"(2023, 197, 2025, 199)",12
1,533.0,62.0,1.0,1325.582275390625,39304.66460068551,"(62, 533, 63, 534)",13
1,239.0,174.0,1.0,1323.8822021484375,39304.66460068551,"(174, 239, 175, 240)",14
1,1548.6666666666667,288.3333333333333,3.0,1307.3865966796875,117913.99380205653,"(288, 1548, 290, 1550)",0
1,1582.0,407.0,1.0,1308.535400390625,39304.66460068551,"(407, 1582, 408, 1583)",15
1,632.875,543.875,8.0,1329.2581787109375,314437.31680548406,"(543, 632, 546, 635)",16
1,2019.9411764705883,796.0,17.0,1326.662109375,668179.2982116536,"(793, 2017, 799, 2023)",1
1,96.0,1015.0,1.0,1292.935791015625,39304.66460068551,"(1015, 96, 1016, 97)",17
1,109.66666666666667,1044.878787878788,33.0,1312.693603515625,1297053.9318226217,"(1041, 107, 1051, 113)",18
1,447.0,1398.5,2.0,1326.1796875,78609.32920137102,"(1398, 447, 1400, 448)",5
1,450.4146341463415,1426.8536585365853,41.0,1333.37060546875,1611491.2486281057,"(1422, 447, 1433, 456)",6
1,717.1904761904761,1478.4285714285713,21.0,1316.9669189453125,825397.9566143957,"(1476, 715, 1482, 721)",19
1,259.9655172413793,1587.896551724138,29.0,1321.83740234375,1139835.2734198798,"(1583, 258, 1593, 263)",20
1,1316.8,1934.6,5.0,1309.063720703125,196523.32300342753,"(1934, 1316, 1936, 1319)",8
1,673.9333333333333,1939.1333333333334,15.0,1326.5931396484375,589569.9690102827,"(1937, 672, 1942, 676)",9
1,339.0531914893617,1972.6914893617022,94.0,1328.752685546875,3694638.4724644376,"(1965, 334, 1980, 346)",21
1,197.5,2023.5,2.0,1501.933349609375,78609.32920137102,"(2023, 197, 2025, 199)",12
2,1583.0,404.0,3.0,1307.6309814453125,117913.99380205653,"(403, 1583, 406, 1584)",15
2,634.0,540.5714285714286,7.0,1328.552978515625,275132.65220479853,"(539, 633, 543, 636)",16
2,2020.8333333333333,793.2222222222222,18.0,1327.875732421875,707483.9628123392,"(791, 2018, 796, 2024)",1
2,97.0,1012.0,1.0,1289.9259033203125,39304.66460068551,"(1012, 97, 1013, 98)",17
2,110.53333333333333,1041.2666666666667,30.0,1311.6944580078125,1179139.9380205653,"(1038, 108, 1047, 114)",18
2,451.0,1358.0,1.0,1300.1812744140625,39304.66460068551,"(1358, 451, 1359, 452)",22
2,448.0,1396.0,3.0,1319.57958984375,117913.99380205653,"(1395, 448, 1398, 449)",5
2,451.5,1423.4761904761904,42.0,1333.94677734375,1650795.9132287914,"(1419, 448, 1429, 456)",6
2,536.0,1422.5,2.0,1336.607421875,78609.32920137102,"(1422, 536, 1424, 537)",7
2,718.3846153846154,1475.5,26.0,1327.2711181640625,1021921.2796178232,"(1473, 715, 1478, 723)",19
2,1154.076923076923,1515.6153846153845,13.0,1316.4110107421875,510960.6398089116,"(1514, 1152, 1518, 1157)",23
2,1389.0,1764.0,1.0,1293.6507568359375,39304.66460068551,"(1764, 1389, 1765, 1390)",24
2,1318.8,1931.6,5.0,1315.6611328125,196523.32300342753,"(1931, 1318, 1933, 1321)",8
2,675.2,1936.8,15.0,1322.16748046875,589569.9690102827,"(1934, 674, 1941, 677)",9
2,543.0,1950.0,1.0,1298.4156494140625,39304.66460068551,"(1950, 543, 1951, 544)",25
2,197.5,2023.5,2.0,1584.5999755859375,78609.32920137102,"(2023, 197, 2025, 199)",12
3,983.0,38.0,1.0,1295.039306640625,39304.66460068551,"(38, 983, 39, 984)",26
3,1551.0,284.6666666666667,9.0,1331.1690673828125,353741.9814061696,"(284, 1549, 286, 1555)",0
3,1582.0,402.0,1.0,1297.1114501953125,39304.66460068551,"(402, 1582, 403, 1583)",15
3,634.5714285714286,539.5714285714286,7.0,1325.404296875,275132.65220479853,"(538, 634, 542, 636)",16
3,2021.5294117647059,792.7058823529412,17.0,1327.210693359375,668179.2982116536,"(790, 2019, 796, 2025)",1
3,110.93103448275862,1041.344827586207,29.0,1310.6866455078125,1139835.2734198798,"(1037, 108, 1047, 115)",18
3,457.0,1194.0,1.0,1321.41943359375,39304.66460068551,"(1194, 457, 1195, 458)",27
3,475.0,1267.0,1.0,1303.8857421875,39304.66460068551,"(1267, 475, 1268, 476)",28
3,1688.357142857143,1287.4285714285713,14.0,1315.256103515625,550265.3044095971,"(1284, 1686, 1291, 1691)",4
3,1751.0,1349.0,1.0,1292.72802734375,39304.66460068551,"(1349, 1751, 1350, 1752)",29
3,448.0,1396.0,1.0,1304.364013671875,39304.66460068551,"(1396, 448, 1397, 449)",5
3,451.69444444444446,1423.0277777777778,36.0,1333.5069580078125,1414967.9256246784,"(1419, 448, 1429, 456)",6
3,536.0,1421.0,1.0,1308.6942138671875,39304.66460068551,"(1421, 536, 1422, 537)",7
3,718.5,1475.5,20.0,1319.533203125,786093.2920137101,"(1474, 716, 1478, 722)",19
3,63.0,1495.0,1.0,1297.6693115234375,39304.66460068551,"(1495, 63, 1496, 64)",30
3,1154.6470588235295,1515.4117647058824,17.0,1317.089111328125,668179.2982116536,"(1514, 1152, 1519, 1158)",23
3,670.0,1886.0,1.0,1302.77001953125,39304.66460068551,"(1886, 670, 1887, 671)",31
3,1319.5,1931.5,2.0,1319.825439453125,78609.32920137102,"(1931, 1319, 1933, 1321)",8
3,675.5714285714286,1935.904761904762,21.0,1323.1727294921875,825397.9566143957,"(1932, 674, 1941, 678)",9
3,1138.0,1953.0,1.0,1305.745361328125,39304.66460068551,"(1953, 1138, 1954, 1139)",32
3,955.0,2006.0,1.0,1287.83984375,39304.66460068551,"(2006, 955, 2007, 956)",10
3,1213.0,2019.0,1.0,1319.34716796875,39304.66460068551,"(2019, 1213, 2020, 1214)",33
3,197.5,2023.5,2.0,1741.9332275390625,78609.32920137102,"(2023, 197, 2025, 199)",12
4,723.0,44.0,1.0,1312.576904296875,39304.66460068551,"(44, 723, 45, 724)",34
4,534.5,59.0,2.0,1339.283447265625,78609.32920137102,"(59, 534, 60, 536)",13
4,619.0,107.0,1.0,1293.312744140625,39304.66460068551,"(107, 619, 108, 620)",35
4,1550.2666666666667,286.1333333333333,15.0,1330.8837890625,589569.9690102827,"(285, 1548, 288, 1555)",0
4,1086.0,310.0,1.0,1331.4820556640625,39304.66460068551,"(310, 1086, 311, 1087)",36
4,1582.5,405.5,2.0,1308.3890380859375,78609.32920137102,"(405, 1582, 407, 1584)",15
4,633.6666666666666,541.3333333333334,3.0,1323.51318359375,117913.99380205653,"(541, 633, 543, 635)",16
4,1403.6666666666667,618.3333333333334,3.0,1310.231689453125,117913.99380205653,"(618, 1403, 620, 1405)",37
4,960.0,682.0,1.0,1289.67529296875,39304.66460068551,"(682, 960, 683, 961)",38
4,2021.25,794.25,8.0,1329.352294921875,314437.31680548406,"(793, 2020, 796, 2024)",1
4,456.25,1193.625,8.0,1324.877197265625,314437.31680548406,"(1192, 455, 1196, 458)",27
4,464.46875,1217.703125,64.0,1335.57421875,2515498.5344438725,"(1212, 455, 1225, 473)",27
4,1688.2857142857142,1289.5714285714287,14.0,1314.4434814453125,550265.3044095971,"(1286, 1686, 1293, 1691)",4
4,451.40625,1424.46875,32.0,1332.606689453125,1257749.2672219363,"(1421, 449, 1430, 456)",6
4,1049.5,1439.0,2.0,1333.22900390625,78609.32920137102,"(1439, 1049, 1440, 1051)",39
4,458.0,1444.0,1.0,1311.90673828125,39304.66460068551,"(1444, 458, 1445, 459)",40
4,718.75,1476.625,16.0,1316.62109375,628874.6336109681,"(1475, 717, 1479, 722)",19
4,1012.0,1495.0,1.0,1301.56884765625,39304.66460068551,"(1495, 1012, 1496, 1013)",41
4,63.0,1497.0,1.0,1296.040771484375,39304.66460068551,"(1497, 63, 1498, 64)",30
4,1154.357142857143,1516.9285714285713,14.0,1315.6639404296875,550265.3044095971,"(1515, 1152, 1520, 1157)",23
4,87.5,1850.5,2.0,1301.1380615234375,78609.32920137102,"(1850, 87, 1852, 89)",42
4,1319.25,1933.25,4.0,1304.7515869140625,157218.65840274203,"(1933, 1318, 1935, 1321)",8
4,675.421052631579,1937.7368421052631,19.0,1326.26513671875,746788.6274130247,"(1934, 674, 1943, 679)",9
4,543.0,1952.0,1.0,1288.454833984375,39304.66460068551,"(1952, 543, 1953, 544)",25
4,670.0,1972.0,1.0,1299.9415283203125,39304.66460068551,"(1972, 670, 1973, 671)",43
4,701.0,2006.0,3.0,1321.71826171875,117913.99380205653,"(2005, 701, 2008, 702)",44
4,1214.0,2020.5,4.0,1335.1673583984375,157218.65840274203,"(2020, 1213, 2022, 1216)",33
4,197.0,2024.0,1.0,1566.5999755859375,39304.66460068551,"(2024, 197, 2025, 198)",12
5,722.6666666666666,45.666666666666664,3.0,1317.772216796875,117913.99380205653,"(45, 722, 47, 724)",34
5,535.0,60.0,1.0,1356.856201171875,39304.66460068551,"(60, 535, 61, 536)",13
5,347.75,95.75,4.0,1337.0743408203125,157218.65840274203,"(95, 347, 97, 350)",45
5,1549.5833333333333,287.1666666666667,12.0,1330.19873046875,471655.9752082261,"(286, 1548, 289, 1553)",0
5,633.5,543.0,2.0,1324.145263671875,78609.32920137102,"(543, 633, 544, 635)",16
5,2021.125,795.5,8.0,1324.6021728515625,314437.31680548406,"(794, 2019, 797, 2024)",1
5,680.0,1056.0,1.0,1305.57421875,39304.66460068551,"(1056, 680, 1057, 681)",3
5,456.2,1194.7,10.0,1324.876220703125,393046.64600685507,"(1193, 455, 1198, 458)",27
5,464.3888888888889,1219.1944444444443,72.0,1340.4322509765625,2829935.8512493568,"(1213, 455, 1227, 474)",27
5,1688.0833333333333,1290.8333333333333,12.0,1313.95751953125,471655.9752082261,"(1288, 1686, 1294, 1691)",4
5,451.125,1425.8125,32.0,1332.026123046875,1257749.2672219363,"(1422, 448, 1431, 455)",6
5,535.5,1424.0,2.0,1331.066650390625,78609.32920137102,"(1424, 535, 1425, 537)",7
5,1049.5,1440.0,2.0,1327.1376953125,78609.32920137102,"(1440, 1049, 1441, 1051)",39
5,718.875,1477.375,16.0,1316.310302734375,628874.6336109681,"(1475, 717, 1480, 722)",19
5,63.0,1498.0,1.0,1303.244140625,39304.66460068551,"(1498, 63, 1499, 64)",30
5,87.0,1851.5,2.0,1295.637451171875,78609.32920137102,"(1851, 87, 1853, 88)",42
5,1319.0,1934.5,4.0,1305.4599609375,157218.65840274203,"(1934, 1318, 1936, 1321)",8
5,675.3571428571429,1937.9285714285713,14.0,1326.269775390625,550265.3044095971,"(1935, 674, 1942, 678)",9
5,701.0,2007.0,3.0,1327.98291015625,117913.99380205653,"(2006, 701, 2009, 702)",44
5,1213.5,2021.5,2.0,1338.741943359375,78609.32920137102,"(2021, 1213, 2023, 1215)",33
5,197.5,2023.5,2.0,1497.9332275390625,78609.32920137102,"(2023, 197, 2025, 199)",12
6,981.5,41.5,6.0,1316.095458984375,235827.98760411306,"(41, 979, 43, 985)",26
6,722.5,46.0,2.0,1317.4482421875,78609.32920137102,"(46, 722, 47, 724)",34
6,536.0,60.0,1.0,1295.02978515625,39304.66460068551,"(60, 536, 61, 537)",13
6,348.0,96.0,3.0,1338.42529296875,117913.99380205653,"(96, 347, 97, 350)",45
6,1869.0,180.0,1.0,1306.205810546875,39304.66460068551,"(180, 1869, 181, 1870)",46
