frame,x,y,area_px,area_km2,intensity,bbox,cluster_id,occurrences
0,342.4166666666667,102.09722222222223,15.0,589569.9690102827,1316.625732421875,"(np.int64(97), np.int64(335), np.int64(111), np.int64(350))",0,34
0,1548.0,290.5,2.0,78609.32920137102,1326.8399658203125,"(np.int64(290), np.int64(1548), np.int64(292), np.int64(1549))",1,37
0,1563.1777777777777,388.68888888888887,23.0,904007.2858157668,1329.609619140625,"(np.int64(386), np.int64(1558), np.int64(395), np.int64(1567))",2,50
0,631.7,546.3,10.0,393046.64600685507,1337.9183349609375,"(np.int64(545), np.int64(630), np.int64(549), np.int64(634))",3,10
0,978.0,662.3333333333334,3.0,117913.99380205653,1284.1881103515625,"(np.int64(662), np.int64(977), np.int64(664), np.int64(980))",5,6
0,958.0,686.5,2.0,78609.32920137102,1281.839599609375,"(np.int64(686), np.int64(958), np.int64(688), np.int64(959))",6,4
0,2019.235294117647,797.7647058823529,17.0,668179.2982116536,1335.436767578125,"(np.int64(795), np.int64(2017), np.int64(801), np.int64(2022))",7,26
0,109.58333333333334,1048.2142857142858,23.0,904007.2858157668,1305.591552734375,"(np.int64(1043), np.int64(106), np.int64(1052), np.int64(112))",8,44
0,446.3333333333333,1401.3333333333333,9.0,353741.9814061696,1338.716064453125,"(np.int64(1399), np.int64(446), np.int64(1405), np.int64(448))",11,44
0,716.3478260869565,1480.5217391304348,23.0,904007.2858157667,1318.77490234375,"(np.int64(1478), np.int64(713), np.int64(1484), np.int64(720))",12,38
0,1152.25,1520.3,7.0,275132.65220479853,1309.646240234375,"(np.int64(1520), np.int64(1150), np.int64(1523), np.int64(1156))",13,36
0,1316.0,1936.5,4.0,157218.65840274203,1297.21630859375,"(np.int64(1936), np.int64(1315), np.int64(1938), np.int64(1318))",15,23
0,673.2631578947369,1942.2105263157894,19.0,746788.6274130247,1327.260986328125,"(np.int64(1939), np.int64(671), np.int64(1947), np.int64(676))",16,42
0,952.5,2011.5,2.0,78609.32920137102,1309.5576171875,"(np.int64(2011), np.int64(952), np.int64(2013), np.int64(954))",19,2
0,197.5,2023.5,2.0,78609.32920137102,1453.2666015625,"(np.int64(2023), np.int64(197), np.int64(2025), np.int64(199))",20,49
1,533.0,61.5,2.0,78609.32920137102,1325.582275390625,"(np.int64(61), np.int64(533), np.int64(63), np.int64(534))",21,15
1,340.61538461538464,102.36538461538461,15.0,589569.9690102827,1325.2606201171875,"(np.int64(95), np.int64(336), np.int64(109), np.int64(350))",0,34
1,239.0,174.5,2.0,78609.32920137102,1323.8822021484375,"(np.int64(174), np.int64(239), np.int64(176), np.int64(240))",22,8
1,1548.5,288.5,4.0,157218.65840274203,1307.3865966796875,"(np.int64(288), np.int64(1548), np.int64(290), np.int64(1550))",1,37
1,1563.1724137931035,389.13793103448273,29.0,1139835.2734198798,1325.81201171875,"(np.int64(385), np.int64(1559), np.int64(394), np.int64(1567))",2,50
1,1582.0,407.3333333333333,3.0,117913.99380205653,1308.535400390625,"(np.int64(407), np.int64(1581), np.int64(409), np.int64(1584))",2,50
1,632.5,543.8,10.0,393046.64600685507,1329.2581787109375,"(np.int64(543), np.int64(631), np.int64(546), np.int64(635))",3,10
1,2019.6842105263158,796.0526315789474,19.0,746788.6274130247,1326.662109375,"(np.int64(793), np.int64(2017), np.int64(799), np.int64(2023))",7,26
1,1686.6923076923076,1289.565934065934,20.0,786093.2920137101,1316.3236083984375,"(np.int64(1286), np.int64(1685), np.int64(1295), np.int64(1690))",10,44
1,446.8,1398.6,5.0,196523.32300342753,1326.1796875,"(np.int64(1397), np.int64(446), np.int64(1401), np.int64(448))",11,44
1,716.9230769230769,1478.6923076923076,26.0,1021921.2796178232,1316.9669189453125,"(np.int64(1476), np.int64(713), np.int64(1482), np.int64(721))",12,38
1,1153.125,1518.125,8.0,314437.31680548406,1316.5303955078125,"(np.int64(1517), np.int64(1151), np.int64(1520), np.int64(1156))",13,36
1,1317.0,1934.5,6.0,235827.98760411306,1309.063720703125,"(np.int64(1934), np.int64(1316), np.int64(1936), np.int64(1319))",15,23
1,674.2608695652174,1939.391304347826,23.0,904007.2858157667,1326.5931396484375,"(np.int64(1936), np.int64(672), np.int64(1945), np.int64(678))",16,42
1,197.5,2023.5,2.0,78609.32920137102,1501.933349609375,"(np.int64(2023), np.int64(197), np.int64(2025), np.int64(199))",20,49
2,342.55,98.8,12.0,471655.97520822607,1335.978515625,"(np.int64(93), np.int64(337), np.int64(105), np.int64(351))",0,34
2,1552.3095238095239,285.54761904761904,10.0,393046.64600685507,1326.376220703125,"(np.int64(285), np.int64(1549), np.int64(287), np.int64(1556))",1,37
2,1566.3508771929826,384.3157894736842,23.0,904007.2858157667,1327.39208984375,"(np.int64(383), np.int64(1559), np.int64(390), np.int64(1571))",2,50
2,1582.6,403.4,5.0,196523.32300342753,1307.6309814453125,"(np.int64(402), np.int64(1582), np.int64(406), np.int64(1584))",2,50
2,634.5714285714286,540.1428571428571,14.0,550265.3044095971,1328.552978515625,"(np.int64(538), np.int64(633), np.int64(543), np.int64(637))",3,10
2,2020.8947368421052,793.0526315789474,19.0,746788.6274130247,1327.875732421875,"(np.int64(790), np.int64(2018), np.int64(796), np.int64(2024))",7,26
2,1687.7894736842106,1287.157894736842,19.0,746788.6274130247,1315.4193115234375,"(np.int64(1283), np.int64(1686), np.int64(1292), np.int64(1691))",10,44
2,447.8,1396.4,5.0,196523.32300342753,1319.57958984375,"(np.int64(1395), np.int64(447), np.int64(1399), np.int64(449))",11,44
