frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,984.0,43.0,1.0,1271.82470703125,39304.66460068551,"(43, 984, 44, 985)",0,18
0,238.0,176.0,1.0,1272.156982421875,39304.66460068551,"(176, 238, 177, 239)",1,9
0,1537.0,218.0,1.0,1298.2576904296875,39304.66460068551,"(218, 1537, 219, 1538)",2,21
0,1548.0,291.0,1.0,1326.8399658203125,39304.66460068551,"(291, 1548, 292, 1549)",3,29
0,1400.0,606.0,1.0,1284.3875732421875,39304.66460068551,"(606, 1400, 607, 1401)",4,15
0,2019.375,797.625,16.0,1335.436767578125,628874.6336109681,"(795, 2017, 801, 2022)",5,25
0,677.0,1055.0,1.0,1295.44384765625,39304.66460068551,"(1055, 677, 1056, 678)",8,29
0,1686.03125,1291.40625,32.0,1314.3212890625,1257749.2672219363,"(1287, 1683, 1297, 1690)",9,38
0,534.0,1427.0,1.0,1338.0069580078125,39304.66460068551,"(1427, 534, 1428, 535)",12,32
0,716.4285714285714,1480.3809523809523,21.0,1318.77490234375,825397.9566143957,"(1478, 713, 1484, 720)",13,36
0,258.05263157894734,1587.2368421052631,38.0,1333.442626953125,1493577.2548260493,"(1580, 253, 1594, 262)",14,19
0,1316.0,1936.5,4.0,1297.21630859375,157218.65840274203,"(1936, 1315, 1938, 1318)",15,12
0,673.5625,1942.0,16.0,1327.260986328125,628874.6336109681,"(1939, 672, 1947, 676)",16,20
1,533.0,61.5,2.0,1325.582275390625,78609.32920137102,"(61, 533, 63, 534)",20,17
1,239.0,174.0,1.0,1323.8822021484375,39304.66460068551,"(174, 239, 175, 240)",1,9
1,1538.0,216.0,1.0,1290.98291015625,39304.66460068551,"(216, 1538, 217, 1539)",2,21
1,1548.6666666666667,288.3333333333333,3.0,1307.3865966796875,117913.99380205653,"(288, 1548, 290, 1550)",3,29
1,632.875,543.875,8.0,1329.2581787109375,314437.31680548406,"(543, 632, 546, 635)",21,8
1,2019.6842105263158,796.0526315789474,19.0,1326.662109375,746788.6274130247,"(793, 2017, 799, 2023)",5,25
1,109.66666666666667,1044.878787878788,33.0,1312.693603515625,1297053.9318226217,"(1041, 107, 1051, 113)",22,32
1,1317.0,1934.5,6.0,1309.063720703125,235827.98760411306,"(1934, 1316, 1936, 1319)",15,12
2,1524.8333333333333,179.41666666666666,12.0,1315.0565185546875,471655.9752082261,"(178, 1522, 182, 1528)",23,8
2,1563.0,181.0,1.0,1279.4285888671875,39304.66460068551,"(181, 1563, 182, 1564)",24,20
2,1535.0,215.0,1.0,1269.487548828125,39304.66460068551,"(215, 1535, 216, 1536)",2,21
2,634.5,540.3333333333334,12.0,1328.552978515625,471655.9752082261,"(538, 633, 543, 637)",21,8
2,980.0,657.0,1.0,1274.47021484375,39304.66460068551,"(657, 980, 658, 981)",25,10
2,960.0,681.0,1.0,1280.39599609375,39304.66460068551,"(681, 960, 682, 961)",26,15
