frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,1495.0,393.0,1.0,10792.5869140625,11079.550523452239,"(393, 1495, 394, 1496)",0,16
0,1233.857142857143,501.42857142857144,7.0,11714.369140625,77556.85366416567,"(499, 1233, 505, 1236)",4,22
0,1199.0,508.0,1.0,10642.6396484375,11079.550523452239,"(508, 1199, 509, 1200)",4,22
0,1923.6666666666667,509.6666666666667,3.0,12189.4658203125,33238.65157035671,"(509, 1923, 511, 1925)",5,36
0,1611.0,658.0,1.0,10493.744140625,11079.550523452239,"(658, 1611, 659, 1612)",11,29
0,1013.0,702.0,1.0,11248.7421875,11079.550523452239,"(702, 1013, 703, 1014)",13,8
0,1476.2,762.6,5.0,18623.0,55397.7526172612,"(762, 1475, 764, 1478)",14,22
0,1730.0,846.0,1.0,10345.9013671875,11079.550523452239,"(846, 1730, 847, 1731)",21,22
0,1180.0,874.0,5.0,13167.5439453125,55397.7526172612,"(873, 1179, 876, 1182)",23,20
0,1168.0,903.5,2.0,10943.060546875,22159.101046904478,"(903, 1168, 905, 1169)",28,31
1,1495.0,393.0,1.0,11096.1845703125,11079.550523452239,"(393, 1495, 394, 1496)",0,16
1,1199.0,508.0,1.0,10642.6416015625,11079.550523452239,"(508, 1199, 509, 1200)",4,22
1,1924.0,510.0,1.0,11096.1845703125,11079.550523452239,"(510, 1924, 511, 1925)",5,36
1,1586.0,728.5,2.0,13670.78515625,22159.101046904478,"(728, 1586, 730, 1587)",35,13
1,1477.0,761.0,1.0,11096.1845703125,11079.550523452239,"(761, 1477, 762, 1478)",14,22
1,779.0,823.0,3.0,13001.169921875,33238.65157035671,"(823, 778, 824, 781)",36,15
1,1179.5,874.5,4.0,12029.888671875,44318.202093808955,"(874, 1179, 876, 1181)",23,20
1,1168.0,903.5,2.0,12510.048828125,22159.101046904478,"(903, 1168, 905, 1169)",28,31
2,1495.0,393.0,1.0,10493.3740234375,11079.550523452239,"(393, 1495, 394, 1496)",0,16
2,1233.4,501.4,5.0,11403.0703125,55397.7526172612,"(500, 1233, 504, 1235)",4,22
2,908.5,744.0,2.0,10943.263671875,22159.101046904478,"(744, 908, 745, 910)",47,27
2,1590.5,773.875,8.0,12349.2998046875,88636.40418761791,"(773, 1589, 776, 1593)",48,25
2,1179.5,875.0,2.0,11714.65234375,22159.101046904478,"(875, 1179, 876, 1181)",23,20
2,1168.0,904.0,1.0,12029.888671875,11079.550523452239,"(904, 1168, 905, 1169)",28,31
3,1495.0,394.0,1.0,10346.1943359375,11079.550523452239,"(394, 1495, 395, 1496)",0,16
3,1039.0,698.0,1.0,10943.263671875,11079.550523452239,"(698, 1039, 699, 1040)",13,8
3,1590.2857142857142,774.4285714285714,7.0,11871.748046875,77556.85366416567,"(773, 1589, 777, 1592)",48,25
3,1179.0,876.0,1.0,10346.1943359375,11079.550523452239,"(876, 1179, 877, 1180)",23,20
3,1167.5,904.5,4.0,12349.2998046875,44318.202093808955,"(904, 1167, 906, 1169)",28,31
4,851.0,693.0,1.0,10199.5205078125,11079.550523452239,"(693, 851, 694, 852)",59,33
4,585.0,712.0,1.0,10053.2900390625,11079.550523452239,"(712, 585, 713, 586)",60,11
4,304.0,784.0,1.0,10053.2900390625,11079.550523452239,"(784, 304, 785, 305)",61,38
4,1167.5,904.5,4.0,12836.4013671875,44318.202093808955,"(904, 1167, 906, 1169)",28,31
4,604.0,970.0,1.0,10053.2900390625,11079.550523452239,"(970, 604, 971, 605)",62,38
4,487.0,1087.0,1.0,10199.5205078125,11079.550523452239,"(1087, 487, 1088, 488)",63,37
5,1076.0,308.5,2.0,10642.6875,22159.101046904478,"(308, 1076, 310, 1077)",64,19
5,1919.0,501.0,1.0,10053.5390625,11079.550523452239,"(501, 1919, 502, 1920)",5,36
5,593.0,720.0,1.0,10053.5390625,11079.550523452239,"(720, 593, 721, 594)",60,11
5,900.0,734.0,1.0,10943.2626953125,11079.550523452239,"(734, 900, 735, 901)",47,27
5,773.0,821.0,1.0,10053.5390625,11079.550523452239,"(821, 773, 822, 774)",36,15
5,1167.6666666666667,903.6666666666666,3.0,12836.46875,33238.65157035671,"(903, 1167, 905, 1169)",28,31
5,487.0,1087.0,1.0,10943.2626953125,11079.550523452239,"(1087, 487, 1088, 488)",63,37
6,1076.0,308.0,1.0,11096.17578125,11079.550523452239,"(308, 1076, 309, 1077)",64,19
6,681.3333333333334,609.3333333333334,3.0,13670.7568359375,33238.65157035671,"(609, 681, 611, 683)",70,25
6,900.0,734.0,1.0,10053.705078125,11079.550523452239,"(734, 900, 735, 901)",47,27
6,1186.0,860.0,1.0,10053.705078125,11079.550523452239,"(860, 1186, 861, 1187)",23,20
6,1167.75,904.0,4.0,13167.7607421875,44318.202093808955,"(903, 1167, 906, 1169)",28,31
6,637.0,1055.0,1.0,9908.8173828125,11079.550523452239,"(1055, 637, 1056, 638)",71,23
7,1076.0,308.5,2.0,12189.41015625,22159.101046904478,"(308, 1076, 310, 1077)",64,19
7,1919.0,502.0,1.0,9908.6376953125,11079.550523452239,"(502, 1919, 503, 1920)",5,36
7,681.5,610.0,4.0,11403.0283203125,44318.202093808955,"(609, 681, 612, 683)",70,25
7,1273.0,811.0,1.0,10199.5205078125,11079.550523452239,"(811, 1273, 812, 1274)",75,28
7,1167.5,904.5,4.0,11403.0283203125,44318.202093808955,"(904, 1167, 906, 1169)",28,31
7,637.0,1056.0,1.0,10345.7509765625,11079.550523452239,"(1056, 637, 1057, 638)",71,23
8,1076.0,307.5,2.0,11714.65234375,22159.101046904478,"(307, 1076, 309, 1077)",64,19
8,681.25,610.0,4.0,13839.8857421875,44318.202093808955,"(609, 681, 612, 683)",70,25
8,357.0,796.0,1.0,9908.830078125,11079.550523452239,"(796, 357, 797, 358)",76,19
8,1273.0,810.5,2.0,10642.6416015625,22159.101046904478,"(810, 1273, 812, 1274)",75,28
8,1167.3333333333333,904.3333333333334,3.0,12029.888671875,33238.65157035671,"(904, 1167, 906, 1169)",28,31
9,1076.0,307.0,1.0,11403.0380859375,11079.550523452239,"(307, 1076, 308, 1077)",64,19
9,1323.0,484.0,1.0,9908.4453125,11079.550523452239,"(484, 1323, 485, 1324)",77,17
9,1919.0,502.0,1.0,10053.716796875,11079.550523452239,"(502, 1919, 503, 1920)",5,36
9,1210.5,524.0,2.0,10493.7705078125,22159.101046904478,"(524, 1210, 525, 1212)",4,22
9,682.0,609.0,1.0,10493.7705078125,11079.550523452239,"(609, 682, 610, 683)",70,25
9,1167.3333333333333,904.3333333333334,3.0,11557.322265625,33238.65157035671,"(904, 1167, 906, 1169)",28,31
9,603.0,970.0,1.0,9908.4453125,11079.550523452239,"(970, 603, 971, 604)",62,38
9,636.5,1056.0,2.0,10199.517578125,22159.101046904478,"(1056, 636, 1057, 638)",71,23
10,1076.0,306.5,2.0,10493.361328125,22159.101046904478,"(306, 1076, 308, 1077)",64,19
10,1919.0,502.0,1.0,10053.71484375,11079.550523452239,"(502, 1919, 503, 1920)",5,36
10,1210.5,524.0,2.0,11403.205078125,22159.101046904478,"(524, 1210, 525, 1212)",4,22
10,314.0,814.3333333333334,3.0,10199.74609375,33238.65157035671,"(814, 313, 816, 316)",61,38
10,1167.6,903.6,5.0,10942.845703125,55397.7526172612,"(902, 1167, 906, 1169)",28,31
10,636.6666666666666,1055.6666666666667,3.0,10642.498046875,33238.65157035671,"(1055, 636, 1057, 638)",71,23
11,1076.3333333333333,307.6666666666667,3.0,10792.953125,33238.65157035671,"(307, 1076, 309, 1078)",64,19
11,1080.0,344.0,1.0,10053.400390625,11079.550523452239,"(344, 1080, 345, 1081)",80,14
11,1919.0,503.0,1.0,10053.400390625,11079.550523452239,"(503, 1919, 504, 1920)",5,36
11,1210.5,525.0,2.0,13334.150390625,22159.101046904478,"(525, 1210, 526, 1212)",4,22
11,1423.5,676.0,2.0,11096.1845703125,22159.101046904478,"(676, 1423, 677, 1425)",81,17
11,1613.0,718.0,1.0,10053.400390625,11079.550523452239,"(718, 1613, 719, 1614)",82,22
11,366.0,807.0,1.0,10053.400390625,11079.550523452239,"(807, 366, 808, 367)",76,19
11,1162.0,845.0,1.0,10199.537109375,11079.550523452239,"(845, 1162, 846, 1163)",23,20
11,637.2,1056.6,5.0,10346.1943359375,55397.7526172612,"(1056, 636, 1058, 639)",71,23
12,1076.0,307.5,2.0,11403.205078125,22159.101046904478,"(307, 1076, 309, 1077)",64,19
12,1228.5,502.25,4.0,11557.521484375,44318.202093808955,"(501, 1227, 504, 1231)",4,22
12,1210.5,525.0,2.0,12836.06640625,22159.101046904478,"(525, 1210, 526, 1212)",4,22
12,671.0,610.5,2.0,11403.205078125,22159.101046904478,"(610, 671, 612, 672)",70,25
12,1544.0,673.0,1.0,10345.7763671875,11079.550523452239,"(673, 1544, 674, 1545)",84,38
12,1174.0,859.0,1.0,10493.361328125,11079.550523452239,"(859, 1174, 860, 1175)",23,20
12,636.5,1056.0,2.0,10642.498046875,22159.101046904478,"(1056, 636, 1057, 638)",71,23
13,1076.0,307.5,2.0,10792.708984375,22159.101046904478,"(307, 1076, 309, 1077)",64,19
13,1210.5,525.0,2.0,12510.111328125,22159.101046904478,"(525, 1210, 526, 1212)",4,22
13,1473.0,766.0,1.0,10493.4453125,11079.550523452239,"(766, 1473, 767, 1474)",14,22
13,362.0,800.0,1.0,10345.884765625,11079.550523452239,"(800, 362, 801, 363)",76,19
13,1273.0,810.5,2.0,11403.146484375,22159.101046904478,"(810, 1273, 812, 1274)",75,28
13,552.5,811.0,2.0,10493.4453125,22159.101046904478,"(811, 552, 812, 554)",91,8
13,525.0,866.0,1.0,10642.560546875,11079.550523452239,"(866, 525, 867, 526)",92,13
13,1167.0,902.0,1.0,10345.884765625,11079.550523452239,"(902, 1167, 903, 1168)",28,31
13,636.5,1056.0,2.0,10942.859375,22159.101046904478,"(1056, 636, 1057, 638)",71,23
