frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,721.0,44.0,1.0,1217.8507080078125,39304.66460068551,"(44, 721, 45, 722)",0,21
0,1522.4827586206898,185.3448275862069,30.0,1304.0849609375,1139835.2734198798,"(183, 1519, 189, 1527)",1,8
0,1295.0,256.0,1.0,1182.4219970703125,39304.66460068551,"(256, 1295, 257, 1296)",2,14
0,9.0,307.0,1.0,1210.051513671875,39304.66460068551,"(307, 9, 308, 10)",3,22
0,4.5,340.0,2.0,1250.066650390625,78609.32920137102,"(340, 4, 341, 6)",4,13
0,632.0625,546.125,16.0,1337.9183349609375,628874.6336109681,"(544, 630, 549, 635)",5,14
0,1253.5,695.0,2.0,1205.0662841796875,78609.32920137102,"(695, 1253, 696, 1255)",6,6
0,1649.0,760.0,1.0,1203.404541015625,39304.66460068551,"(760, 1649, 761, 1650)",7,12
0,2019.1363636363637,797.7727272727273,22.0,1335.436767578125,864702.6212150812,"(794, 2016, 801, 2023)",8,31
0,534.0,1007.0,1.0,1186.077880859375,39304.66460068551,"(1007, 534, 1008, 535)",9,21
0,1576.0,1271.0,1.0,1222.3707275390625,39304.66460068551,"(1271, 1576, 1272, 1577)",11,20
0,1878.0,1402.0,1.0,1185.4132080078125,39304.66460068551,"(1402, 1878, 1403, 1879)",13,8
0,534.0,1427.0,1.0,1338.0069580078125,39304.66460068551,"(1427, 534, 1428, 535)",14,35
0,746.0,1744.0,1.0,1192.7470703125,39304.66460068551,"(1744, 746, 1745, 747)",16,16
0,1316.0,1936.5,4.0,1297.21630859375,157218.65840274203,"(1936, 1315, 1938, 1318)",17,23
0,541.0,1954.5,2.0,1236.728271484375,78609.32920137102,"(1954, 541, 1956, 542)",18,7
0,678.0,2008.5,2.0,1207.4813232421875,78609.32920137102,"(2008, 678, 2010, 679)",19,22
0,952.5,2011.5,2.0,1309.5576171875,78609.32920137102,"(2011, 952, 2013, 954)",21,7
0,197.5,2023.5,2.0,1453.2666015625,78609.32920137102,"(2023, 197, 2025, 199)",22,30
1,722.0,44.0,1.0,1179.052001953125,39304.66460068551,"(44, 722, 45, 723)",0,21
1,533.2727272727273,61.09090909090909,11.0,1325.582275390625,432351.3106075406,"(60, 531, 63, 536)",23,25
1,10.0,305.0,1.0,1202.92236328125,39304.66460068551,"(305, 10, 306, 11)",3,22
1,1994.0,415.0,1.0,1192.882568359375,39304.66460068551,"(415, 1994, 416, 1995)",25,7
1,2019.590909090909,796.1363636363636,22.0,1326.662109375,864702.6212150812,"(793, 2016, 799, 2023)",8,31
1,96.0,1016.0,3.0,1292.935791015625,117913.99380205653,"(1015, 96, 1018, 97)",26,16
1,1637.0,1182.0,1.0,1203.3128662109375,39304.66460068551,"(1182, 1637, 1183, 1638)",28,10
1,463.6219512195122,1219.939024390244,82.0,1337.4599609375,3222982.4972562115,"(1214, 454, 1228, 471)",29,27
1,535.0,1425.5,2.0,1247.2857666015625,78609.32920137102,"(1425, 535, 1427, 536)",14,35
1,716.90625,1478.6875,32.0,1316.9669189453125,1257749.2672219363,"(1476, 713, 1482, 721)",31,32
1,1273.0,1482.5,2.0,1210.9173583984375,78609.32920137102,"(1482, 1273, 1484, 1274)",32,13
1,62.0,1499.5,2.0,1226.379150390625,78609.32920137102,"(1499, 62, 1501, 63)",33,11
1,1152.7272727272727,1518.090909090909,11.0,1316.5303955078125,432351.3106075406,"(1517, 1150, 1520, 1156)",34,29
1,1317.2857142857142,1934.5714285714287,7.0,1309.063720703125,275132.65220479853,"(1934, 1316, 1936, 1320)",17,23
1,542.0,1952.5,2.0,1228.676513671875,78609.32920137102,"(1952, 542, 1954, 543)",18,7
1,953.0,2010.0,1.0,1192.8365478515625,39304.66460068551,"(2010, 953, 2011, 954)",21,7
1,197.5,2023.5,2.0,1501.933349609375,78609.32920137102,"(2023, 197, 2025, 199)",22,30
2,534.625,58.125,8.0,1242.0107421875,314437.31680548406,"(57, 533, 60, 537)",23,25
2,620.0,106.5,2.0,1237.149169921875,78609.32920137102,"(106, 620, 108, 621)",35,13
2,1568.0,187.5,2.0,1181.252197265625,78609.32920137102,"(187, 1568, 189, 1569)",36,16
2,1296.0,245.0,1.0,1180.1396484375,39304.66460068551,"(245, 1296, 246, 1297)",2,14
2,1551.6666666666667,285.4,15.0,1326.376220703125,589569.9690102827,"(284, 1549, 288, 1556)",37,24
2,634.1904761904761,540.0,21.0,1328.552978515625,825397.9566143957,"(538, 632, 543, 638)",5,14
