frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,532.0,63.75,4.0,1265.7314453125,157218.65840274203,"(63, 531, 65, 534)",0,18
0,255.46666666666667,171.26666666666668,15.0,1321.633056640625,589569.9690102827,"(169, 253, 175, 259)",2,24
0,1522.4827586206898,185.3448275862069,30.0,1304.0849609375,1179139.9380205653,"(183, 1519, 189, 1527)",3,34
0,535.7142857142857,301.42857142857144,7.0,1300.85009765625,275132.65220479853,"(301, 534, 303, 538)",4,27
0,212.5,378.1666666666667,18.0,1308.0067138671875,707483.9628123392,"(377, 209, 380, 217)",5,18
0,1564.3174603174602,390.2857142857143,63.0,1329.609619140625,2476193.869843187,"(386, 1558, 395, 1572)",6,17
0,1571.857142857143,410.57142857142856,7.0,1247.474365234375,275132.65220479853,"(409, 1570, 413, 1575)",6,17
0,632.0625,546.125,16.0,1337.9183349609375,628874.6336109681,"(544, 630, 549, 635)",7,13
0,910.25,577.5,4.0,1206.3956298828125,157218.65840274203,"(576, 910, 580, 912)",8,23
0,2019.1363636363637,797.7727272727273,22.0,1335.436767578125,864702.6212150812,"(794, 2016, 801, 2023)",9,25
0,1949.2380952380952,1140.5238095238096,21.0,1276.765625,825397.9566143957,"(1137, 1946, 1145, 1954)",10,29
0,546.0,1187.111111111111,9.0,1225.206787109375,353741.9814061696,"(1186, 544, 1189, 549)",11,18
0,716.2222222222222,1480.8148148148148,27.0,1318.77490234375,1061225.9442185087,"(1478, 712, 1484, 720)",14,36
0,1154.1666666666667,1520.6666666666667,6.0,1306.765869140625,235827.98760411306,"(1520, 1153, 1523, 1156)",15,27
0,1511.5714285714287,1576.4285714285713,7.0,1269.6533203125,275132.65220479853,"(1575, 1511, 1579, 1514)",16,18
0,257.7758620689655,1587.0,58.0,1333.442626953125,2279670.5468397597,"(1580, 251, 1596, 263)",17,26
0,1747.4285714285713,1829.142857142857,7.0,1241.248291015625,275132.65220479853,"(1828, 1746, 1831, 1750)",19,5
0,1008.5,1884.5,4.0,1204.113525390625,157218.65840274203,"(1884, 1008, 1886, 1010)",20,20
0,1316.0,1936.5,4.0,1297.21630859375,157218.65840274203,"(1936, 1315, 1938, 1318)",21,25
0,673.40625,1942.09375,32.0,1327.260986328125,1257749.2672219363,"(1938, 671, 1948, 678)",22,36
0,669.75,1977.0,4.0,1242.15673828125,157218.65840274203,"(1976, 669, 1979, 671)",22,36
0,1571.8333333333333,2046.5,6.0,1254.96337890625,235827.98760411306,"(2046, 1570, 2048, 1575)",24,8
1,533.2727272727273,61.09090909090909,11.0,1325.582275390625,432351.3106075406,"(60, 531, 63, 536)",0,18
1,256.27777777777777,169.0,18.0,1316.4384765625,707483.9628123392,"(167, 254, 172, 260)",2,24
1,519.4,281.6,5.0,1240.692138671875,196523.32300342753,"(280, 519, 284, 521)",4,27
1,1548.8,288.6,5.0,1307.3865966796875,196523.32300342753,"(288, 1548, 290, 1551)",25,35
1,213.1,375.85,20.0,1307.5244140625,786093.2920137101,"(373, 210, 378, 217)",5,18
1,1564.3382352941176,388.5,69.0,1325.81201171875,2712021.8574473,"(383, 1558, 395, 1572)",6,17
1,1582.3846153846155,406.15384615384613,13.0,1308.535400390625,510960.6398089116,"(404, 1581, 409, 1585)",6,17
1,632.5333333333333,543.7333333333333,15.0,1329.2581787109375,589569.9690102827,"(542, 631, 547, 636)",7,13
1,977.2222222222222,660.4444444444445,9.0,1232.697021484375,353741.9814061696,"(659, 975, 663, 981)",26,27
1,1224.5,671.0,8.0,1325.490478515625,314437.31680548406,"(669, 1224, 674, 1226)",27,4
1,2019.590909090909,796.1363636363636,22.0,1326.662109375,864702.6212150812,"(793, 2016, 799, 2023)",9,25
1,109.79069767441861,1045.093023255814,43.0,1312.693603515625,1690100.577829477,"(1040, 106, 1052, 114)",28,24
1,1948.5555555555557,1139.1666666666667,18.0,1259.002685546875,707483.9628123392,"(1136, 1946, 1143, 1952)",10,29
1,463.6219512195122,1219.939024390244,82.0,1337.4599609375,3222982.4972562115,"(1214, 454, 1228, 471)",29,33
1,716.90625,1478.6875,32.0,1316.9669189453125,1257749.2672219363,"(1476, 713, 1482, 721)",14,36
1,1152.7272727272727,1518.090909090909,11.0,1316.5303955078125,432351.3106075406,"(1517, 1150, 1520, 1156)",15,27
1,1512.4285714285713,1574.0,7.0,1272.9940185546875,275132.65220479853,"(1573, 1511, 1577, 1515)",16,18
1,259.2641509433962,1586.0188679245282,53.0,1321.83740234375,2083147.2238363319,"(1578, 254, 1594, 265)",17,26
1,1008.0,1883.6,5.0,1213.7891845703125,196523.32300342753,"(1882, 1007, 1886, 1010)",20,20
1,1317.2857142857142,1934.5714285714287,7.0,1309.063720703125,275132.65220479853,"(1934, 1316, 1936, 1320)",21,25
1,674.1219512195122,1939.9268292682927,41.0,1326.5931396484375,1611491.2486281057,"(1935, 672, 1946, 678)",22,36
1,670.0,1975.8,5.0,1218.544921875,196523.32300342753,"(1975, 669, 1978, 672)",22,36
