frame,x,y,area_px,intensity,area_km2,bbox,cluster_id
0,701.4285714285714,113.28571428571429,7.0,1346.51513671875,275132.65220479853,"(112, 701, 116, 703)",0
0,255.125,171.25,8.0,1321.633056640625,314437.31680548406,"(170, 254, 174, 258)",1
0,1521.5,185.5,2.0,1304.0849609375,78609.32920137102,"(185, 1521, 187, 1523)",2
0,280.0,232.0,1.0,1296.21923828125,39304.66460068551,"(232, 280, 233, 281)",3
0,1548.0,291.0,1.0,1326.8399658203125,39304.66460068551,"(291, 1548, 292, 1549)",4
0,536.0,302.0,1.0,1300.85009765625,39304.66460068551,"(302, 536, 303, 537)",5
0,212.7,378.3,10.0,1308.0067138671875,393046.64600685507,"(377, 211, 380, 216)",6
0,631.75,546.25,8.0,1337.9183349609375,314437.31680548406,"(545, 630, 548, 634)",7
0,1224.25,672.5,4.0,1324.690673828125,157218.65840274203,"(671, 1224, 675, 1226)",8
0,2019.5333333333333,797.5333333333333,15.0,1335.436767578125,589569.9690102827,"(795, 2018, 801, 2022)",9
0,780.0,1029.0,1.0,1299.719970703125,39304.66460068551,"(1029, 780, 1030, 781)",10
0,677.0,1055.0,1.0,1295.44384765625,39304.66460068551,"(1055, 677, 1056, 678)",11
0,1980.0,1114.5,2.0,1311.640380859375,78609.32920137102,"(1114, 1980, 1116, 1981)",12
0,568.0,1140.0,1.0,1315.14111328125,39304.66460068551,"(1140, 568, 1141, 569)",13
0,1686.1379310344828,1291.6206896551723,29.0,1314.3212890625,1139835.2734198798,"(1288, 1683, 1297, 1690)",14
0,446.375,1401.0,8.0,1338.716064453125,314437.31680548406,"(1399, 446, 1404, 448)",15
0,450.0769230769231,1429.0,39.0,1332.57861328125,1532881.9194267348,"(1424, 447, 1436, 455)",16
0,534.0,1427.0,1.0,1338.0069580078125,39304.66460068551,"(1427, 534, 1428, 535)",17
0,1457.0,1578.0,3.0,1304.528076171875,117913.99380205653,"(1577, 1456, 1580, 1459)",18
0,1316.0,1936.5,4.0,1297.21630859375,157218.65840274203,"(1936, 1315, 1938, 1318)",19
0,673.6428571428571,1941.5,14.0,1327.260986328125,550265.3044095971,"(1939, 672, 1945, 676)",20
0,952.5,2011.5,2.0,1309.5576171875,78609.32920137102,"(2011, 952, 2013, 954)",21
0,510.5,2012.5,2.0,1327.7705078125,78609.32920137102,"(2012, 510, 2014, 512)",22
0,197.5,2023.5,2.0,1453.2666015625,78609.32920137102,"(2023, 197, 2025, 199)",23
1,533.0,62.0,1.0,1325.582275390625,39304.66460068551,"(62, 533, 63, 534)",24
1,655.0,97.0,1.0,1299.690185546875,39304.66460068551,"(97, 655, 98, 656)",25
1,702.0,111.5,4.0,1346.511962890625,157218.65840274203,"(110, 702, 114, 703)",0
1,255.875,169.125,8.0,1316.4384765625,314437.31680548406,"(167, 255, 172, 258)",1
1,239.0,174.0,1.0,1323.8822021484375,39304.66460068551,"(174, 239, 175, 240)",26
1,1523.3333333333333,183.0,6.0,1312.211181640625,235827.98760411306,"(182, 1522, 186, 1526)",2
1,1563.0,189.0,1.0,1288.984130859375,39304.66460068551,"(189, 1563, 190, 1564)",27
1,1538.0,216.0,1.0,1290.98291015625,39304.66460068551,"(216, 1538, 217, 1539)",27
1,1548.6666666666667,288.3333333333333,3.0,1307.3865966796875,117913.99380205653,"(288, 1548, 290, 1550)",4
1,213.0909090909091,376.3636363636364,11.0,1307.5244140625,432351.3106075406,"(375, 211, 378, 216)",6
1,1582.0,407.0,1.0,1308.535400390625,39304.66460068551,"(407, 1582, 408, 1583)",28
1,632.875,543.875,8.0,1329.2581787109375,314437.31680548406,"(543, 632, 546, 635)",7
1,1224.5,670.0,2.0,1325.490478515625,78609.32920137102,"(670, 1224, 671, 1226)",8
1,2019.9411764705883,796.0,17.0,1326.662109375,668179.2982116536,"(793, 2017, 799, 2023)",9
1,96.0,1015.0,1.0,1292.935791015625,39304.66460068551,"(1015, 96, 1016, 97)",29
1,109.66666666666667,1044.878787878788,33.0,1312.693603515625,1297053.9318226217,"(1041, 107, 1051, 113)",30
1,561.0,1146.0,1.0,1301.59716796875,39304.66460068551,"(1146, 561, 1147, 562)",13
1,447.0,1398.5,2.0,1326.1796875,78609.32920137102,"(1398, 447, 1400, 448)",15
1,450.4146341463415,1426.8536585365853,41.0,1333.37060546875,1611491.2486281057,"(1422, 447, 1433, 456)",16
1,717.1904761904761,1478.4285714285713,21.0,1316.9669189453125,825397.9566143957,"(1476, 715, 1482, 721)",31
1,259.9655172413793,1587.896551724138,29.0,1321.83740234375,1139835.2734198798,"(1583, 258, 1593, 263)",32
1,1316.8,1934.6,5.0,1309.063720703125,196523.32300342753,"(1934, 1316, 1936, 1319)",19
1,673.9333333333333,1939.1333333333334,15.0,1326.5931396484375,589569.9690102827,"(1937, 672, 1942, 676)",20
1,339.0531914893617,1972.6914893617022,94.0,1328.752685546875,3694638.4724644376,"(1965, 334, 1980, 346)",33
1,197.5,2023.5,2.0,1501.933349609375,78609.32920137102,"(2023, 197, 2025, 199)",23
2,257.375,166.0625,16.0,1316.580322265625,628874.6336109681,"(164, 255, 170, 261)",1
2,1524.5714285714287,179.71428571428572,7.0,1315.0565185546875,275132.65220479853,"(179, 1523, 182, 1527)",2
2,127.0,370.0,1.0,1317.1365966796875,39304.66460068551,"(370, 127, 371, 128)",34
2,214.0,373.5,10.0,1312.420166015625,393046.64600685507,"(373, 212, 375, 217)",6
2,141.0,380.0,1.0,1296.0694580078125,39304.66460068551,"(380, 141, 381, 142)",34
2,1583.0,404.0,3.0,1307.6309814453125,117913.99380205653,"(403, 1583, 406, 1584)",28
2,602.0,456.0,1.0,1314.282470703125,39304.66460068551,"(456, 602, 457, 603)",35
2,630.0,484.0,1.0,1284.604736328125,39304.66460068551,"(484, 630, 485, 631)",36
2,634.0,540.5714285714286,7.0,1328.552978515625,275132.65220479853,"(539, 633, 543, 636)",7
2,1226.0,669.0,1.0,1302.962890625,39304.66460068551,"(669, 1226, 670, 1227)",8
2,2020.8333333333333,793.2222222222222,18.0,1327.875732421875,707483.9628123392,"(791, 2018, 796, 2024)",9
2,97.0,1012.0,1.0,1289.9259033203125,39304.66460068551,"(1012, 97, 1013, 98)",29
2,110.53333333333333,1041.2666666666667,30.0,1311.6944580078125,1179139.9380205653,"(1038, 108, 1047, 114)",30
2,1951.0,1134.0,1.0,1285.741455078125,39304.66460068551,"(1134, 1951, 1135, 1952)",37
2,1778.3333333333333,1164.3333333333333,3.0,1310.7027587890625,117913.99380205653,"(1164, 1778, 1166, 1780)",38
2,451.0,1358.0,1.0,1300.1812744140625,39304.66460068551,"(1358, 451, 1359, 452)",39
2,448.0,1396.0,3.0,1319.57958984375,117913.99380205653,"(1395, 448, 1398, 449)",15
2,451.5,1423.4761904761904,42.0,1333.94677734375,1650795.9132287914,"(1419, 448, 1429, 456)",16
2,536.0,1422.5,2.0,1336.607421875,78609.32920137102,"(1422, 536, 1424, 537)",17
2,718.3846153846154,1475.5,26.0,1327.2711181640625,1021921.2796178232,"(1473, 715, 1478, 723)",31
2,1334.5,1497.5,2.0,1284.8465576171875,78609.32920137102,"(1497, 1334, 1499, 1336)",40
