frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,983.0,43.0,3.0,1271.82470703125,117913.99380205653,"(43, 982, 44, 985)",0,17
0,721.0,44.0,1.0,1217.8507080078125,39304.66460068551,"(44, 721, 45, 722)",1,24
0,1568.142857142857,193.0,7.0,1203.8697509765625,275132.65220479853,"(192, 1567, 195, 1571)",2,25
0,97.0,381.6666666666667,3.0,1176.328857421875,117913.99380205653,"(381, 96, 383, 99)",4,13
0,102.0,477.0,3.0,1179.3421630859375,117913.99380205653,"(476, 102, 479, 103)",6,14
0,446.0,476.0,1.0,1146.32861328125,39304.66460068551,"(476, 446, 477, 447)",7,16
0,35.0,485.0,4.0,1228.796142578125,157218.65840274203,"(484, 34, 487, 37)",8,18
0,632.0,488.6666666666667,3.0,1246.122802734375,117913.99380205653,"(488, 631, 490, 634)",9,20
0,561.0,501.5,2.0,1154.2828369140625,78609.32920137102,"(501, 561, 503, 562)",10,6
0,631.8181818181819,546.0,22.0,1337.9183349609375,864702.6212150812,"(543, 630, 549, 635)",11,9
0,1649.0,758.8,5.0,1203.404541015625,196523.32300342753,"(757, 1648, 761, 1651)",14,11
0,61.0,782.0,1.0,1137.9754638671875,39304.66460068551,"(782, 61, 783, 62)",16,4
0,2019.1538461538462,797.7307692307693,26.0,1335.436767578125,1021921.2796178232,"(794, 2015, 801, 2024)",17,36
0,1629.0,864.0,1.0,1170.4794921875,39304.66460068551,"(864, 1629, 865, 1630)",18,13
0,1784.0,1148.0,1.0,1138.5958251953125,39304.66460068551,"(1148, 1784, 1149, 1785)",21,24
0,659.0,1176.0,1.0,1177.3702392578125,39304.66460068551,"(1176, 659, 1177, 660)",22,17
0,1813.0,1238.0,1.0,1125.567626953125,39304.66460068551,"(1238, 1813, 1239, 1814)",23,13
0,1575.6,1271.8,5.0,1222.3707275390625,196523.32300342753,"(1271, 1574, 1274, 1578)",24,16
0,446.42857142857144,1400.9285714285713,14.0,1338.716064453125,550265.3044095971,"(1398, 445, 1405, 449)",25,10
0,534.0,1427.0,1.0,1338.0069580078125,39304.66460068551,"(1427, 534, 1428, 535)",26,38
0,1544.0,1454.0,1.0,1164.275634765625,39304.66460068551,"(1454, 1544, 1455, 1545)",27,9
0,1508.0,1468.0,1.0,1137.51025390625,39304.66460068551,"(1468, 1508, 1469, 1509)",28,6
0,715.9411764705883,1481.1764705882354,34.0,1318.77490234375,1336358.5964233072,"(1477, 711, 1488, 721)",29,33
0,61.0,1501.0,1.0,1149.6964111328125,39304.66460068551,"(1501, 61, 1502, 62)",31,13
0,1355.5,1504.5,2.0,1143.6697998046875,78609.32920137102,"(1504, 1355, 1506, 1357)",32,19
0,1565.5,1523.5,2.0,1141.98583984375,78609.32920137102,"(1523, 1565, 1525, 1567)",33,9
0,509.25,1662.75,4.0,1165.0289306640625,157218.65840274203,"(1662, 509, 1665, 511)",34,19
0,1095.0,1726.0,1.0,1248.6707763671875,39304.66460068551,"(1726, 1095, 1727, 1096)",35,5
0,904.5,1747.0,2.0,1164.142578125,78609.32920137102,"(1747, 904, 1748, 906)",36,8
0,1951.0,1846.0,1.0,1134.93994140625,39304.66460068551,"(1846, 1951, 1847, 1952)",37,12
0,840.0,1850.0,1.0,1129.9547119140625,39304.66460068551,"(1850, 840, 1851, 841)",38,14
0,1149.6666666666667,1873.6666666666667,3.0,1156.5650634765625,117913.99380205653,"(1873, 1149, 1875, 1151)",39,17
0,1316.4,1936.6,5.0,1297.21630859375,196523.32300342753,"(1936, 1315, 1938, 1319)",40,13
0,541.0,1954.5,2.0,1236.728271484375,78609.32920137102,"(1954, 541, 1956, 542)",41,7
0,676.8888888888889,2008.0,9.0,1207.4813232421875,353741.9814061696,"(2006, 675, 2010, 680)",43,3
0,510.4,2012.6,5.0,1327.7705078125,196523.32300342753,"(2011, 510, 2015, 512)",44,2
0,952.5,2011.5,4.0,1309.5576171875,157218.65840274203,"(2011, 952, 2013, 954)",45,7
1,984.0,41.0,1.0,1167.955322265625,39304.66460068551,"(41, 984, 42, 985)",0,17
1,722.0,44.0,1.0,1179.052001953125,39304.66460068551,"(44, 722, 45, 723)",1,24
1,533.25,61.1875,16.0,1325.582275390625,628874.6336109681,"(60, 531, 64, 537)",46,18
1,260.0,108.0,1.0,1130.8978271484375,39304.66460068551,"(108, 260, 109, 261)",47,4
1,1727.0,119.0,1.0,1165.451171875,39304.66460068551,"(119, 1727, 120, 1728)",48,17
1,1569.0,192.0,1.0,1149.3232421875,39304.66460068551,"(192, 1569, 193, 1570)",2,25
1,488.0,277.0,1.0,1127.5435791015625,39304.66460068551,"(277, 488, 278, 489)",49,14
1,10.0,305.0,1.0,1202.92236328125,39304.66460068551,"(305, 10, 306, 11)",50,16
1,1366.0,320.5,2.0,1176.4788818359375,78609.32920137102,"(320, 1366, 322, 1367)",51,2
1,5.5,338.5,2.0,1156.789794921875,78609.32920137102,"(338, 5, 340, 7)",52,16
1,429.0,339.0,1.0,1142.9593505859375,39304.66460068551,"(339, 429, 340, 430)",53,19
1,130.0,371.0,1.0,1153.596435546875,39304.66460068551,"(371, 130, 372, 131)",54,12
1,252.0,447.0,1.0,1146.497314453125,39304.66460068551,"(447, 252, 448, 253)",55,5
1,103.0,473.5,2.0,1136.204833984375,78609.32920137102,"(473, 103, 475, 104)",6,14
1,638.0,487.0,1.0,1123.1553955078125,39304.66460068551,"(487, 638, 488, 639)",9,20
1,561.0,527.5,2.0,1175.3990478515625,78609.32920137102,"(527, 561, 529, 562)",56,10
1,632.7391304347826,543.6086956521739,23.0,1329.2581787109375,904007.2858157667,"(541, 630, 547, 637)",11,9
1,1305.0,669.0,1.0,1123.660888671875,39304.66460068551,"(669, 1305, 670, 1306)",57,6
1,1003.5,691.0,2.0,1130.1396484375,78609.32920137102,"(691, 1003, 692, 1005)",58,8
1,1651.0,757.0,1.0,1122.305419921875,39304.66460068551,"(757, 1651, 758, 1652)",14,11
1,59.0,786.0,1.0,1122.99462890625,39304.66460068551,"(786, 59, 787, 60)",16,4
1,2019.3333333333333,796.3333333333334,27.0,1326.662109375,1061225.9442185087,"(793, 2016, 800, 2023)",17,36
1,534.0,885.0,1.0,1128.117919921875,39304.66460068551,"(885, 534, 886, 535)",59,4
1,353.0,970.0,1.0,1130.8978271484375,39304.66460068551,"(970, 353, 971, 354)",60,15
1,677.0,1054.0,1.0,1147.8988037109375,39304.66460068551,"(1054, 677, 1055, 678)",61,31
1,999.0,1083.0,1.0,1127.8421630859375,39304.66460068551,"(1083, 999, 1084, 1000)",62,18
1,1778.0,1163.0,1.0,1133.3330078125,39304.66460068551,"(1163, 1778, 1164, 1779)",21,24
1,1576.0,1269.75,4.0,1164.4632568359375,157218.65840274203,"(1269, 1575, 1272, 1578)",24,16
1,908.0,1326.0,1.0,1135.49267578125,39304.66460068551,"(1326, 908, 1327, 909)",63,9
1,446.7857142857143,1399.0714285714287,14.0,1326.1796875,550265.3044095971,"(1396, 446, 1403, 449)",25,10
1,450.3157894736842,1426.982456140351,57.0,1333.37060546875,2240365.882239074,"(1422, 446, 1435, 456)",64,28
1,535.0,1425.5,2.0,1247.2857666015625,78609.32920137102,"(1425, 535, 1427, 536)",26,38
1,1547.0,1455.3333333333333,3.0,1146.5662841796875,117913.99380205653,"(1455, 1546, 1457, 1549)",27,9
1,716.9722222222222,1478.638888888889,36.0,1316.9669189453125,1414967.9256246784,"(1475, 713, 1482, 721)",29,33
1,62.0,1499.5,2.0,1226.379150390625,78609.32920137102,"(1499, 62, 1501, 63)",31,13
1,1969.0,1564.0,1.0,1137.077880859375,39304.66460068551,"(1564, 1969, 1565, 1970)",65,4
1,258.61842105263156,1585.1184210526317,76.0,1321.83740234375,2987154.5096520986,"(1577, 252, 1594, 265)",66,3
1,2036.0,1629.0,1.0,1162.740234375,39304.66460068551,"(1629, 2036, 1630, 2037)",67,8
1,515.0,1664.0,1.0,1169.241943359375,39304.66460068551,"(1664, 515, 1665, 516)",34,19
1,1976.0,1817.0,1.0,1168.5068359375,39304.66460068551,"(1817, 1976, 1818, 1977)",68,8
1,770.0,1844.0,1.0,1140.9375,39304.66460068551,"(1844, 770, 1845, 771)",69,6
1,840.0,1851.0,1.0,1133.539794921875,39304.66460068551,"(1851, 840, 1852, 841)",38,14
1,99.0,1858.0,1.0,1159.385986328125,39304.66460068551,"(1858, 99, 1859, 100)",70,16
1,1317.375,1934.75,8.0,1309.063720703125,314437.31680548406,"(1934, 1316, 1937, 1320)",40,13
1,542.0,1952.5,2.0,1228.676513671875,78609.32920137102,"(1952, 542, 1954, 543)",41,7
1,510.0,2009.0,1.0,1155.2506103515625,39304.66460068551,"(2009, 510, 2010, 511)",44,2
1,953.0,2009.5,2.0,1192.8365478515625,78609.32920137102,"(2009, 953, 2011, 954)",45,7
1,197.5,2023.5,2.0,1501.933349609375,78609.32920137102,"(2023, 197, 2025, 199)",71,23
2,1728.5,116.5,2.0,1152.1307373046875,78609.32920137102,"(116, 1728, 118, 1730)",48,17
2,628.0,150.0,1.0,1125.839111328125,39304.66460068551,"(150, 628, 151, 629)",72,3
2,1566.0,181.0,1.0,1155.71044921875,39304.66460068551,"(181, 1566, 182, 1567)",2,25
2,1551.6875,285.4375,16.0,1326.376220703125,628874.6336109681,"(284, 1549, 288, 1556)",73,25
2,11.0,302.0,1.0,1136.263916015625,39304.66460068551,"(302, 11, 303, 12)",50,16
2,1367.0,316.5,2.0,1225.684326171875,78609.32920137102,"(316, 1367, 318, 1368)",51,2
2,430.0,336.5,2.0,1150.0748291015625,78609.32920137102,"(336, 430, 338, 431)",53,19
2,1438.0,366.0,1.0,1128.910888671875,39304.66460068551,"(366, 1438, 367, 1439)",74,7
2,124.0,368.0,1.0,1161.44287109375,39304.66460068551,"(368, 124, 369, 125)",54,12
2,83.0,394.0,1.0,1150.268310546875,39304.66460068551,"(394, 83, 395, 84)",75,7
2,36.0,480.3333333333333,3.0,1165.4095458984375,117913.99380205653,"(480, 35, 482, 38)",8,18
2,640.5,487.0,2.0,1145.938720703125,78609.32920137102,"(487, 640, 488, 642)",9,20
2,562.6363636363636,529.8181818181819,11.0,1192.717041015625,432351.3106075406,"(529, 560, 532, 566)",56,10
2,150.0,573.0,1.0,1135.1270751953125,39304.66460068551,"(573, 150, 574, 151)",77,2
2,1651.0,755.0,1.0,1139.5291748046875,39304.66460068551,"(755, 1651, 756, 1652)",14,11
2,2020.7407407407406,793.074074074074,27.0,1327.875732421875,1061225.9442185087,"(789, 2017, 797, 2025)",17,36
2,537.0,877.0,1.0,1135.683349609375,39304.66460068551,"(877, 537, 878, 538)",59,4
2,1000.0,1080.0,1.0,1157.8873291015625,39304.66460068551,"(1080, 1000, 1081, 1001)",62,18
2,1810.0,1146.0,3.0,1176.5599365234375,117913.99380205653,"(1146, 1809, 1147, 1812)",78,8
2,1638.6,1179.6,5.0,1216.0093994140625,196523.32300342753,"(1179, 1638, 1182, 1641)",79,17
2,457.0,1195.0,1.0,1131.4505615234375,39304.66460068551,"(1195, 457, 1196, 458)",80,23
2,447.7692307692308,1396.4615384615386,13.0,1319.57958984375,510960.6398089116,"(1394, 447, 1401, 451)",25,10
2,536.0,1422.5,2.0,1336.607421875,78609.32920137102,"(1422, 536, 1424, 537)",26,38
2,1876.0,1424.5,2.0,1140.81103515625,78609.32920137102,"(1424, 1876, 1426, 1877)",83,14
2,62.666666666666664,1495.6666666666667,3.0,1282.234375,117913.99380205653,"(1495, 62, 1497, 64)",31,13
2,1154.5454545454545,1515.8181818181818,22.0,1316.4110107421875,864702.6212150812,"(1514, 1152, 1520, 1158)",86,25
2,1243.0,1534.0,3.0,1138.029541015625,117913.99380205653,"(1534, 1242, 1535, 1245)",88,10
2,1217.0,1542.0,1.0,1123.130126953125,39304.66460068551,"(1542, 1217, 1543, 1218)",89,2
2,259.632183908046,1581.5977011494253,87.0,1328.6981201171875,3419505.820259639,"(1574, 252, 1591, 266)",66,3
2,111.0,1595.0,1.0,1142.9154052734375,39304.66460068551,"(1595, 111, 1596, 112)",90,10
2,906.0,1742.0,1.0,1180.91357421875,39304.66460068551,"(1742, 906, 1743, 907)",36,8
2,872.0,1760.0,1.0,1134.377197265625,39304.66460068551,"(1760, 872, 1761, 873)",91,15
2,1141.0,1822.0,1.0,1154.3076171875,39304.66460068551,"(1822, 1141, 1823, 1142)",93,7
2,789.0,1835.0,1.0,1127.967529296875,39304.66460068551,"(1835, 789, 1836, 790)",95,3
2,67.0,1847.0,1.0,1151.23583984375,39304.66460068551,"(1847, 67, 1848, 68)",70,16
2,758.0,1852.0,1.0,1121.678955078125,39304.66460068551,"(1852, 758, 1853, 759)",69,6
2,848.3333333333334,1853.3333333333333,3.0,1132.3939208984375,117913.99380205653,"(1853, 848, 1855, 850)",38,14
2,117.0,1878.0,1.0,1151.5986328125,39304.66460068551,"(1878, 117, 1879, 118)",96,8
2,1088.0,1914.0,1.0,1132.974365234375,39304.66460068551,"(1914, 1088, 1915, 1089)",97,10
2,1319.111111111111,1931.7777777777778,9.0,1315.6611328125,353741.9814061696,"(1931, 1317, 1934, 1322)",40,13
2,543.0,1949.5,2.0,1298.4156494140625,78609.32920137102,"(1949, 543, 1951, 544)",41,7
2,680.0,2002.3333333333333,3.0,1222.298095703125,117913.99380205653,"(2002, 679, 2004, 682)",43,3
2,953.6666666666666,2006.3333333333333,3.0,1196.054931640625,117913.99380205653,"(2006, 953, 2008, 955)",45,7
3,984.0,38.0,5.0,1295.039306640625,196523.32300342753,"(38, 982, 39, 987)",0,17
3,534.4444444444445,57.666666666666664,9.0,1277.107177734375,353741.9814061696,"(57, 533, 60, 537)",46,18
3,746.3333333333334,102.66666666666667,3.0,1201.181396484375,117913.99380205653,"(102, 746, 104, 748)",98,5
3,1728.3333333333333,115.66666666666667,3.0,1161.86376953125,117913.99380205653,"(115, 1728, 117, 1730)",48,17
