frame,x,y,area_px,area_km2,intensity,bbox,cluster_id,occurrences
0,171.43421052631578,175.0921052631579,39.0,482210.67762320355,1017.5595703125,"(np.int64(170), np.int64(165), np.int64(188), np.int64(176))",3,12
0,145.7,235.15,11.0,136008.13984244203,802.12890625,"(np.int64(233), np.int64(141), np.int64(237), np.int64(149))",5,55
0,760.5113636363636,464.5681818181818,90.0,1112793.8714381622,1017.5595703125,"(np.int64(455), np.int64(757), np.int64(474), np.int64(765))",7,64
0,764.1666666666666,539.6666666666666,6.0,74186.25809587748,1135.0126953125,"(np.int64(539), np.int64(763), np.int64(541), np.int64(767))",8,19
0,118.5,695.5,2.0,24728.752698625824,768.7412109375,"(np.int64(695), np.int64(118), np.int64(697), np.int64(120))",11,140
0,173.0,726.0,1.0,12364.376349312912,768.7412109375,"(np.int64(726), np.int64(173), np.int64(727), np.int64(174))",11,140
0,1281.1538461538462,787.6153846153846,52.0,642947.5701642714,7735.4501953125,"(np.int64(782), np.int64(1276), np.int64(792), np.int64(1285))",13,136
0,326.3421052631579,966.9473684210527,20.0,247287.52698625825,979.998046875,"(np.int64(957), np.int64(323), np.int64(975), np.int64(328))",15,25
0,1041.2307692307693,981.6153846153846,13.0,160736.89254106785,1388.79931640625,"(np.int64(979), np.int64(1040), np.int64(985), np.int64(1043))",16,4
0,2012.0,1076.0,3.0,37093.12904793874,768.7412109375,"(np.int64(1076), np.int64(2011), np.int64(1077), np.int64(2014))",17,5
0,1948.0,1178.0,1.0,12364.376349312912,768.7412109375,"(np.int64(1178), np.int64(1948), np.int64(1179), np.int64(1949))",18,149
0,1656.0,1205.0,3.0,37093.12904793874,1095.06689453125,"(np.int64(1205), np.int64(1655), np.int64(1206), np.int64(1658))",19,16
0,1729.0,1247.6666666666667,3.0,37093.12904793874,906.66455078125,"(np.int64(1247), np.int64(1728), np.int64(1249), np.int64(1731))",21,59
0,1497.0,1515.0,1.0,12364.376349312912,802.12890625,"(np.int64(1515), np.int64(1497), np.int64(1516), np.int64(1498))",24,133
0,1027.0,1646.0,1.0,12364.376349312912,768.7412109375,"(np.int64(1646), np.int64(1027), np.int64(1647), np.int64(1028))",25,2
0,1536.0,1716.0,1.0,12364.376349312912,768.7412109375,"(np.int64(1716), np.int64(1536), np.int64(1717), np.int64(1537))",27,118
0,1165.25,1928.25,32.0,395660.0431780132,1973.283203125,"(np.int64(1926), np.int64(1162), np.int64(1932), np.int64(1171))",31,15
0,786.0,2001.125,8.0,98915.0107945033,802.12890625,"(np.int64(1999), np.int64(785), np.int64(2004), np.int64(788))",33,21
0,750.0,2044.0,2.0,24728.752698625824,836.3115234375,"(np.int64(2042), np.int64(750), np.int64(2047), np.int64(751))",34,5
1,148.0,246.0,1.0,12364.376349312912,768.6630859375,"(np.int64(246), np.int64(148), np.int64(247), np.int64(149))",5,55
1,763.1976744186047,459.5872093023256,87.0,1075700.7423902233,1055.966796875,"(np.int64(454), np.int64(755), np.int64(471), np.int64(768))",7,64
1,765.5,541.6666666666666,4.0,49457.50539725165,906.60791015625,"(np.int64(539), np.int64(764), np.int64(545), np.int64(769))",8,19
1,119.75,693.0,3.0,37093.12904793874,768.6630859375,"(np.int64(692), np.int64(117), np.int64(695), np.int64(123))",11,140
1,129.0,723.0,1.0,12364.376349312912,768.6630859375,"(np.int64(723), np.int64(129), np.int64(724), np.int64(130))",11,140
1,174.1,725.2,6.0,74186.25809587746,871.18701171875,"(np.int64(725), np.int64(170), np.int64(727), np.int64(178))",11,140
1,1287.4781818181818,785.449090909091,61.0,754226.9573080876,7424.072265625,"(np.int64(781), np.int64(1275), np.int64(792), np.int64(1298))",13,136
1,324.73333333333335,958.8,15.0,185465.64523969367,943.01318359375,"(np.int64(956), np.int64(323), np.int64(962), np.int64(327))",15,25
1,1041.2,980.7,10.0,123643.76349312911,1134.87646484375,"(np.int64(979), np.int64(1040), np.int64(983), np.int64(1043))",16,4
1,1535.0666666666666,1711.7333333333333,9.0,111279.38714381619,802.1162109375,"(np.int64(1708), np.int64(1532), np.int64(1717), np.int64(1539))",27,118
1,1163.65,1927.7,20.0,247287.52698625822,2026.69873046875,"(np.int64(1926), np.int64(1161), np.int64(1931), np.int64(1167))",31,15
