frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,143.5,234.0,2.0,802.12890625,24728.752698625824,"(234, 143, 235, 145)",4,33
0,764.1666666666666,539.6666666666666,6.0,1135.0126953125,74186.25809587748,"(539, 763, 541, 767)",5,11
0,1281.24,787.62,50.0,7735.4501953125,618218.8174656456,"(782, 1276, 792, 1285)",7,80
0,1041.3636363636363,981.6363636363636,11.0,1388.79931640625,136008.13984244203,"(979, 1040, 985, 1043)",8,3
0,1656.0,1205.0,3.0,1095.06689453125,37093.12904793874,"(1205, 1655, 1206, 1658)",9,13
0,350.1,1249.1,10.0,979.998046875,123643.76349312911,"(1247, 348, 1253, 354)",10,51
0,1729.0,1248.0,1.0,906.66455078125,12364.376349312912,"(1248, 1729, 1249, 1730)",11,43
0,374.0,1733.7272727272727,11.0,836.3115234375,136008.13984244203,"(1733, 371, 1736, 377)",15,83
0,1165.0416666666667,1928.0833333333333,24.0,1973.283203125,296745.0323835099,"(1926, 1162, 1932, 1170)",17,12
0,785.6666666666666,2001.6666666666667,3.0,802.12890625,37093.12904793874,"(2001, 785, 2003, 787)",18,11
1,503.5,240.0,2.0,836.3564453125,24728.752698625824,"(240, 503, 241, 505)",19,72
1,759.5072463768116,461.1304347826087,69.0,1055.966796875,853141.9681025909,"(454, 756, 470, 765)",20,7
1,1524.0,459.0,1.0,836.3564453125,12364.376349312912,"(459, 1524, 460, 1525)",21,92
1,171.5,725.5,4.0,871.18701171875,49457.50539725165,"(725, 171, 727, 173)",23,51
1,1041.2,980.7,10.0,1134.87646484375,123643.76349312911,"(979, 1040, 983, 1043)",8,3
1,351.5,1246.0,4.0,906.60791015625,49457.50539725165,"(1246, 350, 1247, 354)",10,51
1,1532.5,1708.5,2.0,802.1162109375,24728.752698625824,"(1708, 1532, 1710, 1534)",26,64
1,1163.6666666666667,1927.7222222222222,18.0,2026.69873046875,222558.7742876324,"(1926, 1162, 1931, 1167)",17,12
2,148.0,235.0,1.0,802.15380859375,12364.376349312912,"(235, 148, 236, 149)",4,33
2,555.2,317.2,5.0,1301.35302734375,61821.881746564555,"(316, 554, 319, 557)",27,20
2,169.5,726.0,2.0,802.15380859375,24728.752698625824,"(726, 169, 727, 171)",23,51
2,1040.0,981.5,2.0,802.15380859375,24728.752698625824,"(981, 1040, 983, 1041)",8,3
2,1654.0,1203.5,2.0,871.05712890625,24728.752698625824,"(1203, 1654, 1205, 1655)",9,13
