frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,764.2,539.8,5.0,1135.0126953125,61821.881746564555,"(539, 763, 541, 767)",4,9
0,1958.5,775.0,2.0,906.66455078125,24728.752698625824,"(775, 1958, 776, 1960)",7,72
0,1281.204081632653,787.5510204081633,49.0,7735.4501953125,605854.4411163327,"(782, 1276, 792, 1285)",8,81
0,310.2,923.575,40.0,1216.693359375,494575.05397251644,"(920, 303, 930, 316)",9,21
0,325.7142857142857,960.0714285714286,14.0,979.998046875,173101.26889038077,"(958, 324, 964, 328)",9,21
0,1655.5,1205.0,2.0,1095.06689453125,24728.752698625824,"(1205, 1655, 1206, 1657)",12,5
0,561.4285714285714,1309.7142857142858,7.0,1258.626953125,86550.63444519039,"(1308, 561, 1312, 563)",14,14
0,373.5,1734.0,4.0,836.3115234375,49457.50539725165,"(1734, 372, 1735, 376)",15,82
0,1165.05,1928.15,20.0,1973.283203125,247287.52698625822,"(1927, 1162, 1931, 1170)",16,12
1,170.54545454545453,178.27272727272728,11.0,980.00830078125,136008.13984244203,"(175, 169, 182, 173)",17,40
1,142.66666666666666,234.0,3.0,871.18701171875,37093.12904793874,"(233, 142, 236, 144)",17,40
1,759.688524590164,461.4590163934426,61.0,1055.966796875,754226.9573080876,"(455, 756, 470, 765)",18,3
1,171.66666666666666,725.3333333333334,3.0,871.18701171875,37093.12904793874,"(725, 171, 727, 173)",20,44
1,1956.6666666666667,773.3333333333334,3.0,906.60791015625,37093.12904793874,"(773, 1956, 775, 1958)",7,72
1,308.07894736842104,920.921052631579,38.0,1301.35546875,469846.30127389065,"(919, 301, 925, 315)",9,21
1,324.7,958.6,10.0,943.01318359375,123643.76349312911,"(957, 323, 961, 327)",9,21
1,352.0,1246.0,3.0,906.60791015625,37093.12904793874,"(1246, 351, 1247, 354)",21,39
1,560.9090909090909,1307.909090909091,11.0,1258.6533203125,136008.13984244203,"(1306, 560, 1311, 563)",14,14
1,1163.642857142857,1928.0,14.0,2026.69873046875,173101.26889038077,"(1926, 1162, 1931, 1167)",16,12
2,555.2,317.2,5.0,1301.35302734375,61821.881746564555,"(316, 554, 319, 557)",22,20
2,757.18,458.4,50.0,1095.0439453125,618218.8174656456,"(451, 753, 468, 763)",18,3
2,762.875,543.125,8.0,1258.765625,98915.0107945033,"(542, 761, 545, 766)",4,9
2,1950.3333333333333,768.6666666666666,3.0,871.05712890625,37093.12904793874,"(768, 1950, 770, 1952)",7,72
2,323.9,957.9,10.0,1056.072265625,123643.76349312911,"(956, 323, 961, 326)",9,21
2,560.0,1307.3076923076924,13.0,1388.73828125,160736.89254106785,"(1304, 559, 1312, 562)",14,14
2,1162.6875,1927.9375,16.0,2912.04931640625,197830.0215890066,"(1926, 1161, 1931, 1166)",16,12
3,172.125,177.25,8.0,942.928955078125,98915.0107945033,"(175, 171, 181, 174)",17,40
3,152.28571428571428,233.14285714285714,7.0,942.928955078125,86550.63444519039,"(231, 151, 236, 154)",17,40
3,557.3333333333334,318.3333333333333,3.0,1134.977783203125,37093.12904793874,"(318, 557, 320, 559)",22,20
3,756.84,457.44,25.0,1017.54443359375,309109.4087328228,"(453, 754, 465, 761)",18,3
3,1951.5,771.0,2.0,871.068603515625,24728.752698625824,"(771, 1951, 772, 1953)",7,72
3,306.3181818181818,920.9545454545455,22.0,979.892333984375,272016.27968488407,"(920, 302, 923, 312)",9,21
3,325.09090909090907,959.5454545454545,11.0,1095.14453125,136008.13984244203,"(958, 324, 963, 328)",9,21
3,561.3333333333334,1308.0,3.0,979.892333984375,37093.12904793874,"(1307, 561, 1310, 563)",14,14
3,1164.4285714285713,1929.5,14.0,2538.66650390625,173101.26889038077,"(1928, 1163, 1932, 1167)",16,12
4,153.33333333333334,235.33333333333334,3.0,942.980224609375,37093.12904793874,"(235, 153, 237, 155)",17,40
4,535.3218390804598,244.5632183908046,88.0,1056.02685546875,1088065.1187395363,"(239, 528, 252, 545)",23,59
4,557.3333333333334,319.3333333333333,3.0,1216.672607421875,37093.12904793874,"(319, 557, 321, 559)",22,20
4,1950.5,769.0,2.0,906.63427734375,24728.752698625824,"(769, 1950, 770, 1952)",7,72
