frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,333.6666666666667,0.3333333333333333,3.0,4679.8115234375,103954.8717643702,"(0, 333, 2, 335)",0,9
0,1213.0,132.66666666666666,3.0,3921.7958984375,103954.8717643702,"(132, 1212, 134, 1215)",2,46
0,78.0,150.0,1.0,4105.4716796875,34651.62392145673,"(150, 78, 151, 79)",5,27
0,33.0,189.0,1.0,3921.7958984375,34651.62392145673,"(189, 33, 190, 34)",6,56
0,1725.5714285714287,394.42857142857144,7.0,5084.92578125,242561.3674501971,"(393, 1725, 397, 1728)",7,57
0,659.0,512.0,1.0,3921.7958984375,34651.62392145673,"(512, 659, 513, 660)",8,39
0,62.5,1003.5,2.0,3831.822265625,69303.24784291346,"(1003, 62, 1005, 64)",14,17
0,31.428571428571427,1292.6571428571428,70.0,15595.990234375,2425613.6745019713,"(1275, 30, 1315, 35)",16,16
0,303.0,1280.0,3.0,4484.013671875,103954.8717643702,"(1279, 303, 1282, 304)",17,73
1,333.6,0.8,5.0,6056.455078125,173258.11960728368,"(0, 333, 3, 335)",0,9
1,1261.0,122.0,1.0,3831.822265625,34651.62392145673,"(122, 1261, 123, 1262)",19,54
1,78.0,150.0,1.0,3831.822265625,34651.62392145673,"(150, 78, 151, 79)",5,27
1,1726.0,394.0,1.0,3831.822265625,34651.62392145673,"(394, 1726, 395, 1727)",7,57
1,1752.0,417.0,1.0,3921.7958984375,34651.62392145673,"(417, 1752, 418, 1753)",7,57
1,689.0,545.5,2.0,3831.822265625,69303.24784291346,"(545, 689, 547, 690)",21,47
1,1297.0,770.0,1.0,4013.16796875,34651.62392145673,"(770, 1297, 771, 1298)",22,5
1,1419.0,891.3333333333334,3.0,4198.2431640625,103954.8717643702,"(891, 1418, 893, 1421)",23,15
1,62.25,1003.75,4.0,4013.16796875,138606.49568582693,"(1003, 62, 1006, 64)",14,17
1,31.37837837837838,1292.4324324324325,74.0,13839.8720703125,2564220.1701877983,"(1276, 29, 1315, 35)",16,16
1,1820.3846153846155,2026.0,13.0,9764.953125,450471.11097893753,"(2023, 1819, 2030, 1823)",25,37
2,333.1111111111111,1.7777777777777777,9.0,9341.0048828125,311864.6152931106,"(0, 332, 6, 335)",0,9
2,1261.0,122.0,1.0,3921.7431640625,34651.62392145673,"(122, 1261, 123, 1262)",19,54
2,1310.9,134.7,10.0,4292.2744140625,346516.23921456735,"(133, 1308, 137, 1315)",26,9
2,1928.0,315.0,1.0,3831.931640625,34651.62392145673,"(315, 1928, 316, 1929)",27,18
