frame,x,y,area_px,intensity,area_km2
0,333.6666666666667,0.3333333333333333,3.0,4679.8115234375,103954.8717643702
0,1142.0,0.25,4.0,5723.5986328125,138606.49568582693
0,1122.625,6.625,8.0,5084.92578125,277212.99137165386
0,132.75,126.75,4.0,4581.9130859375,138606.49568582693
0,1213.0,132.66666666666666,3.0,3921.7958984375,103954.8717643702
0,1311.25,135.625,8.0,4198.2431640625,277212.99137165386
0,164.375,146.5,8.0,4387.513671875,277212.99137165386
0,167.25,150.0,4.0,4387.513671875,138606.49568582693
0,1287.4,154.0,10.0,4780.5078125,346516.23921456735
0,1928.0,315.3333333333333,3.0,3921.7958984375,103954.8717643702
0,1712.0,331.6666666666667,3.0,4013.16796875,103954.8717643702
0,1725.5714285714287,394.42857142857144,7.0,5084.92578125,242561.3674501971
0,747.3333333333334,522.6666666666666,3.0,4013.16796875,103954.8717643702
0,550.6666666666666,748.3333333333334,3.0,4291.9462890625,103954.8717643702
0,1233.7,781.5,10.0,5506.3564453125,346516.23921456735
0,1089.5714285714287,793.0,7.0,4881.203125,242561.3674501971
0,1193.4,798.1,10.0,4981.8994140625,346516.23921456735
0,1455.142857142857,907.2857142857143,7.0,4484.013671875,242561.3674501971
0,1469.75,911.0,4.0,4291.9462890625,138606.49568582693
0,1013.0,1006.5,4.0,4780.5078125,138606.49568582693
0,303.0,1280.0,3.0,4484.013671875,103954.8717643702
0,1819.3333333333333,2025.0,3.0,4105.4716796875,103954.8717643702
0,1820.3333333333333,2029.0,3.0,4679.8115234375,103954.8717643702
1,333.6,0.8,5.0,6056.455078125,173258.11960728368
1,1123.0,7.0,3.0,4679.8115234375,103954.8717643702
1,132.88888888888889,126.55555555555556,9.0,7610.248046875,311864.6152931106
1,1212.3333333333333,131.66666666666666,3.0,4013.16796875,103954.8717643702
1,1311.5555555555557,134.77777777777777,9.0,4581.9130859375,311864.6152931106
1,164.4,146.2,5.0,4387.513671875,173258.11960728368
1,167.5,149.0,4.0,4105.4716796875,138606.49568582693
1,1287.6666666666667,152.88888888888889,9.0,4679.8115234375,311864.6152931106
1,158.625,195.375,8.0,4881.203125,277212.99137165386
1,747.6666666666666,521.0,3.0,3921.7958984375,103954.8717643702
1,550.6666666666666,747.3333333333334,3.0,4291.9462890625,103954.8717643702
1,1233.857142857143,780.7142857142857,7.0,5945.0361328125,242561.3674501971
1,1088.6666666666667,791.3333333333334,3.0,4881.203125,103954.8717643702
1,1193.4,797.4,10.0,5506.3564453125,346516.23921456735
1,1419.0,891.3333333333334,3.0,4198.2431640625,103954.8717643702
1,1455.0,906.6,5.0,4013.16796875,173258.11960728368
1,1467.0,907.0,4.0,4013.16796875,138606.49568582693
1,1470.4,910.4,5.0,4291.9462890625,173258.11960728368
1,852.0,911.0,3.0,7113.76123046875,103954.8717643702
1,1467.6666666666667,917.6666666666666,3.0,4105.4716796875,103954.8717643702
1,62.25,1003.75,4.0,4013.16796875,138606.49568582693
1,726.25,1133.5,4.0,4105.4716796875,138606.49568582693
2,333.1111111111111,1.7777777777777777,9.0,9341.0048828125,311864.6152931106
2,1122.5714285714287,7.857142857142857,7.0,5723.6181640625,242561.3674501971
2,1207.6666666666667,127.0,3.0,3921.7431640625,103954.8717643702
2,1212.8,131.6,5.0,4105.5986328125,173258.11960728368
2,1310.9,134.7,10.0,4292.2744140625,346516.23921456735
2,163.0,146.25,4.0,4292.2744140625,138606.49568582693
2,166.66666666666666,149.66666666666666,3.0,4780.361328125,103954.8717643702
2,1287.0,152.8,5.0,4679.734375,173258.11960728368
2,747.4,520.6,5.0,3921.7431640625,173258.11960728368
2,549.5,747.5,4.0,4105.5986328125,138606.49568582693
2,1233.5,781.0,8.0,6515.46484375,277212.99137165386
2,1193.2222222222222,797.0,9.0,5614.998046875,311864.6152931106
2,1083.125,844.125,8.0,5723.6181640625,277212.99137165386
2,1466.6666666666667,906.8333333333334,6.0,4105.5986328125,207909.7435287404
2,1469.75,910.25,4.0,4198.2314453125,138606.49568582693
2,1455.7142857142858,922.0,7.0,4292.2744140625,242561.3674501971
2,1819.7,2026.7,10.0,7864.99072265625,346516.23921456735
3,332.8,1.3,10.0,8255.447265625,346516.23921456735
3,1208.0,128.42857142857142,7.0,4105.4716796875,242561.3674501971
3,1212.3333333333333,131.66666666666666,3.0,4013.16796875,103954.8717643702
3,1310.125,134.5,8.0,4198.2431640625,277212.99137165386
3,166.33333333333334,149.33333333333334,3.0,4484.013671875,103954.8717643702
3,1286.3333333333333,152.66666666666666,6.0,4881.203125,207909.7435287404
3,155.22222222222223,194.77777777777777,9.0,6751.5361328125,311864.6152931106
3,159.33333333333334,197.33333333333334,3.0,4679.8115234375,103954.8717643702
3,1926.3333333333333,294.6666666666667,3.0,3921.7958984375,103954.8717643702
3,1700.142857142857,317.57142857142856,7.0,4679.8115234375,242561.3674501971
3,1727.7142857142858,365.14285714285717,7.0,5084.92578125,242561.3674501971
3,1725.8,392.8,5.0,6056.455078125,173258.11960728368
3,746.75,520.5,4.0,4105.4716796875,138606.49568582693
3,549.5,747.5,4.0,4105.4716796875,138606.49568582693
3,1234.75,786.5,4.0,4291.9462890625,138606.49568582693
3,1193.125,796.875,8.0,4881.203125,277212.99137165386
3,1192.7777777777778,806.1111111111111,9.0,4679.8115234375,311864.6152931106
3,1195.3333333333333,816.6666666666666,3.0,3831.822265625,103954.8717643702
3,1466.0,906.0,4.0,4105.4716796875,138606.49568582693
3,1455.8333333333333,908.0,6.0,4291.9462890625,207909.7435287404
3,1469.0,910.0,3.0,4105.4716796875,103954.8717643702
3,725.6666666666666,1134.3333333333333,3.0,3921.7958984375,103954.8717643702
3,1819.4,2028.2,5.0,6515.1806640625,173258.11960728368
4,332.25,2.0,8.0,6991.7958984375,277212.99137165386
4,338.0,6.0,3.0,4387.2587890625,103954.8717643702
4,1121.0,6.0,3.0,5085.0625,103954.8717643702
4,131.0,126.2,10.0,5292.8984375,346516.23921456735
4,1206.0,127.33333333333333,3.0,3921.7431640625,103954.8717643702
4,1209.0,129.0,5.0,3921.7431640625,173258.11960728368
4,1212.25,131.25,4.0,4012.9658203125,138606.49568582693
4,1308.0,134.0,3.0,3831.931640625,103954.8717643702
4,1286.0,152.57142857142858,7.0,4387.2587890625,242561.3674501971
4,154.77777777777777,194.55555555555554,9.0,4981.6142578125,311864.6152931106
4,1727.0,364.8333333333333,6.0,5506.3779296875,207909.7435287404
4,1725.125,392.5,8.0,8520.00390625,277212.99137165386
4,657.3333333333334,511.3333333333333,3.0,4012.9658203125,103954.8717643702
4,745.5,519.5,4.0,4105.5986328125,138606.49568582693
