frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,97.0,381.6666666666667,3.0,1176.328857421875,117913.99380205653,"(381, 96, 383, 99)",16,16
0,102.0,477.0,3.0,1179.3421630859375,117913.99380205653,"(476, 102, 479, 103)",21,20
0,446.0,476.0,1.0,1146.32861328125,39304.66460068551,"(476, 446, 477, 447)",22,28
0,561.0,501.5,2.0,1154.2828369140625,78609.32920137102,"(501, 561, 503, 562)",24,24
0,1235.0,655.0,1.0,1174.2239990234375,39304.66460068551,"(655, 1235, 656, 1236)",28,15
0,1223.3636363636363,670.9090909090909,22.0,1324.690673828125,864702.6212150812,"(666, 1221, 676, 1226)",28,15
0,1225.5,668.5,2.0,1192.4368896484375,78609.32920137102,"(668, 1225, 670, 1227)",28,15
0,1220.3333333333333,675.3333333333334,3.0,1226.1373291015625,117913.99380205653,"(675, 1220, 677, 1222)",28,15
0,1218.0,687.0,1.0,1144.7998046875,39304.66460068551,"(687, 1218, 688, 1219)",28,15
0,1274.0,687.0,1.0,1137.044921875,39304.66460068551,"(687, 1274, 688, 1275)",30,19
0,1260.0,694.0,1.0,1135.22802734375,39304.66460068551,"(694, 1260, 695, 1261)",30,19
0,1253.5,695.0,4.0,1205.0662841796875,157218.65840274203,"(695, 1252, 696, 1256)",30,19
0,1254.0,697.0,1.0,1155.878173828125,39304.66460068551,"(697, 1254, 698, 1255)",30,19
0,1629.0,864.0,1.0,1170.4794921875,39304.66460068551,"(864, 1629, 865, 1630)",35,16
0,536.0,882.0,1.0,1143.3153076171875,39304.66460068551,"(882, 536, 883, 537)",36,4
0,998.0,1085.0,1.0,1161.8826904296875,39304.66460068551,"(1085, 998, 1086, 999)",41,20
0,1000.0,1085.0,1.0,1171.742431640625,39304.66460068551,"(1085, 1000, 1086, 1001)",41,20
0,659.0,1176.0,1.0,1177.3702392578125,39304.66460068551,"(1176, 659, 1177, 660)",45,17
0,1637.0,1181.0,1.0,1142.7613525390625,39304.66460068551,"(1181, 1637, 1182, 1638)",46,30
0,1637.0,1183.0,1.0,1154.172119140625,39304.66460068551,"(1183, 1637, 1184, 1638)",46,30
0,1637.0,1185.0,1.0,1145.5751953125,39304.66460068551,"(1185, 1637, 1186, 1638)",46,30
0,1636.5,1187.0,2.0,1167.864990234375,78609.32920137102,"(1187, 1636, 1188, 1638)",46,30
0,1544.0,1454.0,1.0,1164.275634765625,39304.66460068551,"(1454, 1544, 1455, 1545)",55,23
0,1508.0,1468.0,1.0,1137.51025390625,39304.66460068551,"(1468, 1508, 1469, 1509)",55,23
0,1282.0,1472.0,1.0,1137.421630859375,39304.66460068551,"(1472, 1282, 1473, 1283)",56,28
0,1282.0,1474.0,1.0,1145.2872314453125,39304.66460068551,"(1474, 1282, 1475, 1283)",56,28
0,1279.0,1476.0,1.0,1154.238525390625,39304.66460068551,"(1476, 1279, 1477, 1280)",56,28
0,1275.0,1479.0,1.0,1157.251953125,39304.66460068551,"(1479, 1275, 1480, 1276)",56,28
0,1571.0,1496.0,1.0,1138.5072021484375,39304.66460068551,"(1496, 1571, 1497, 1572)",58,7
0,61.0,1501.0,1.0,1149.6964111328125,39304.66460068551,"(1501, 61, 1502, 62)",59,13
0,1355.5,1504.5,2.0,1143.6697998046875,78609.32920137102,"(1504, 1355, 1506, 1357)",60,29
0,1565.0,1524.0,1.0,1141.98583984375,39304.66460068551,"(1524, 1565, 1525, 1566)",58,7
0,510.0,1662.0,1.0,1165.0289306640625,39304.66460068551,"(1662, 510, 1663, 511)",64,15
0,509.0,1664.0,1.0,1153.6181640625,39304.66460068551,"(1664, 509, 1665, 510)",64,15
0,1095.0,1726.0,1.0,1248.6707763671875,39304.66460068551,"(1726, 1095, 1727, 1096)",65,5
0,1149.5,1874.0,2.0,1156.5650634765625,78609.32920137102,"(1874, 1149, 1875, 1151)",71,20
0,541.0,1954.5,2.0,1236.728271484375,78609.32920137102,"(1954, 541, 1956, 542)",74,7
0,510.4,2012.6,5.0,1327.7705078125,196523.32300342753,"(2011, 510, 2015, 512)",77,2
0,952.5,2011.5,4.0,1309.5576171875,157218.65840274203,"(2011, 952, 2013, 954)",78,7
1,1727.0,119.0,1.0,1165.451171875,39304.66460068551,"(119, 1727, 120, 1728)",81,19
1,1366.0,320.5,2.0,1176.4788818359375,78609.32920137102,"(320, 1366, 322, 1367)",82,2
