frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,983.0,43.0,3.0,1271.82470703125,117913.99380205653,"(43, 982, 44, 985)",0,45
0,532.9166666666666,63.166666666666664,12.0,1265.7314453125,471655.9752082261,"(61, 531, 66, 536)",2,31
0,1344.0,338.0,1.0,1146.5501708984375,39304.66460068551,"(338, 1344, 339, 1345)",13,3
0,102.0,477.0,3.0,1179.3421630859375,117913.99380205653,"(476, 102, 479, 103)",19,20
0,446.0,476.0,1.0,1146.32861328125,39304.66460068551,"(476, 446, 477, 447)",20,47
0,631.0,488.0,1.0,1246.122802734375,39304.66460068551,"(488, 631, 489, 632)",22,20
0,631.9047619047619,546.0952380952381,21.0,1337.9183349609375,825397.9566143957,"(543, 630, 549, 635)",23,46
0,623.0,544.0,1.0,1142.4068603515625,39304.66460068551,"(544, 623, 545, 624)",23,46
0,620.0,545.0,1.0,1150.02880859375,39304.66460068551,"(545, 620, 546, 621)",23,46
0,1235.0,655.0,1.0,1174.2239990234375,39304.66460068551,"(655, 1235, 656, 1236)",26,22
0,1223.3636363636363,670.9090909090909,22.0,1324.690673828125,864702.6212150812,"(666, 1221, 676, 1226)",26,22
0,1225.5,668.5,2.0,1192.4368896484375,78609.32920137102,"(668, 1225, 670, 1227)",26,22
0,1220.3333333333333,675.3333333333334,3.0,1226.1373291015625,117913.99380205653,"(675, 1220, 677, 1222)",26,22
0,1218.0,687.0,1.0,1144.7998046875,39304.66460068551,"(687, 1218, 688, 1219)",26,22
0,1274.0,687.0,1.0,1137.044921875,39304.66460068551,"(687, 1274, 688, 1275)",26,22
0,1260.0,694.0,1.0,1135.22802734375,39304.66460068551,"(694, 1260, 695, 1261)",26,22
0,1253.5,695.0,4.0,1205.0662841796875,157218.65840274203,"(695, 1252, 696, 1256)",26,22
0,1254.0,697.0,1.0,1155.878173828125,39304.66460068551,"(697, 1254, 698, 1255)",26,22
0,1649.0,758.8,5.0,1203.404541015625,196523.32300342753,"(757, 1648, 761, 1651)",29,34
0,2019.1538461538462,797.7307692307693,26.0,1335.436767578125,1021921.2796178232,"(794, 2015, 801, 2024)",30,40
0,1629.0,864.0,1.0,1170.4794921875,39304.66460068551,"(864, 1629, 865, 1630)",31,16
0,536.0,882.0,1.0,1143.3153076171875,39304.66460068551,"(882, 536, 883, 537)",32,4
0,998.0,1085.0,1.0,1161.8826904296875,39304.66460068551,"(1085, 998, 1086, 999)",37,39
0,1000.0,1085.0,1.0,1171.742431640625,39304.66460068551,"(1085, 1000, 1086, 1001)",37,39
0,659.0,1176.0,1.0,1177.3702392578125,39304.66460068551,"(1176, 659, 1177, 660)",41,18
0,1637.0,1181.0,1.0,1142.7613525390625,39304.66460068551,"(1181, 1637, 1182, 1638)",42,30
0,1637.0,1183.0,1.0,1154.172119140625,39304.66460068551,"(1183, 1637, 1184, 1638)",42,30
0,1637.0,1185.0,1.0,1145.5751953125,39304.66460068551,"(1185, 1637, 1186, 1638)",42,30
0,1636.5,1187.0,2.0,1167.864990234375,78609.32920137102,"(1187, 1636, 1188, 1638)",42,30
0,474.0,1268.0,1.0,1138.906005859375,39304.66460068551,"(1268, 474, 1269, 475)",44,37
0,473.0,1270.0,1.0,1149.364013671875,39304.66460068551,"(1270, 473, 1271, 474)",44,37
0,468.75,1273.5,8.0,1201.831298828125,314437.31680548406,"(1272, 466, 1276, 472)",44,37
0,473.57142857142856,1274.142857142857,7.0,1207.8358154296875,275132.65220479853,"(1273, 472, 1277, 476)",44,37
0,534.0,1427.0,1.0,1338.0069580078125,39304.66460068551,"(1427, 534, 1428, 535)",50,38
0,1282.0,1472.0,1.0,1137.421630859375,39304.66460068551,"(1472, 1282, 1473, 1283)",51,32
0,1282.0,1474.0,1.0,1145.2872314453125,39304.66460068551,"(1474, 1282, 1475, 1283)",51,32
0,1279.0,1476.0,1.0,1154.238525390625,39304.66460068551,"(1476, 1279, 1477, 1280)",51,32
0,715.8181818181819,1481.2424242424242,33.0,1318.77490234375,1297053.9318226217,"(1477, 711, 1488, 721)",52,44
0,1275.0,1479.0,1.0,1157.251953125,39304.66460068551,"(1479, 1275, 1480, 1276)",51,32
0,61.0,1501.0,1.0,1149.6964111328125,39304.66460068551,"(1501, 61, 1502, 62)",53,13
0,1355.5,1504.5,2.0,1143.6697998046875,78609.32920137102,"(1504, 1355, 1506, 1357)",54,45
0,1353.0,1509.0,1.0,1137.421630859375,39304.66460068551,"(1509, 1353, 1510, 1354)",54,45
0,1349.5,1510.5,2.0,1222.65869140625,78609.32920137102,"(1510, 1349, 1512, 1351)",54,45
0,1687.0,1516.0,1.0,1137.4437255859375,39304.66460068551,"(1516, 1687, 1517, 1688)",55,20
0,1157.0,1518.0,1.0,1227.976318359375,39304.66460068551,"(1518, 1157, 1519, 1158)",56,46
0,1150.3333333333333,1519.6666666666667,3.0,1309.646240234375,117913.99380205653,"(1519, 1150, 1521, 1152)",56,46
0,1154.1666666666667,1520.6666666666667,6.0,1306.765869140625,235827.98760411306,"(1520, 1153, 1523, 1156)",56,46
0,1250.0,1558.0,1.0,1146.838134765625,39304.66460068551,"(1558, 1250, 1559, 1251)",54,45
0,2030.0,1625.0,1.0,1138.3521728515625,39304.66460068551,"(1625, 2030, 1626, 2031)",58,36
0,2037.0,1633.0,1.0,1139.260498046875,39304.66460068551,"(1633, 2037, 1634, 2038)",58,36
0,510.0,1662.0,1.0,1165.0289306640625,39304.66460068551,"(1662, 510, 1663, 511)",59,16
0,509.0,1664.0,1.0,1153.6181640625,39304.66460068551,"(1664, 509, 1665, 510)",59,16
0,1095.0,1726.0,1.0,1248.6707763671875,39304.66460068551,"(1726, 1095, 1727, 1096)",60,25
0,746.4,1743.4,5.0,1192.7470703125,196523.32300342753,"(1743, 745, 1745, 749)",61,45
0,1149.5,1874.0,2.0,1156.5650634765625,78609.32920137102,"(1874, 1149, 1875, 1151)",65,40
0,113.0,1880.0,1.0,1184.0394287109375,39304.66460068551,"(1880, 113, 1881, 114)",66,37
0,1161.0,1887.0,1.0,1135.16162109375,39304.66460068551,"(1887, 1161, 1888, 1162)",65,40
0,1157.0,1902.5,2.0,1194.6968994140625,78609.32920137102,"(1902, 1157, 1904, 1158)",65,40
0,1316.4,1936.6,5.0,1297.21630859375,196523.32300342753,"(1936, 1315, 1938, 1319)",67,43
0,541.0,1954.5,2.0,1236.728271484375,78609.32920137102,"(1954, 541, 1956, 542)",69,7
0,952.5,2011.5,4.0,1309.5576171875,157218.65840274203,"(2011, 952, 2013, 954)",73,7
1,984.0,41.0,1.0,1167.955322265625,39304.66460068551,"(41, 984, 42, 985)",0,45
1,533.0,61.142857142857146,14.0,1325.582275390625,550265.3044095971,"(60, 531, 64, 536)",2,31
1,1727.0,119.0,1.0,1165.451171875,39304.66460068551,"(119, 1727, 120, 1728)",76,19
1,1366.0,320.5,2.0,1176.4788818359375,78609.32920137102,"(320, 1366, 322, 1367)",13,3
1,429.0,339.0,1.0,1142.9593505859375,39304.66460068551,"(339, 429, 340, 430)",20,47
1,346.0,365.0,1.0,1147.0257568359375,39304.66460068551,"(365, 346, 366, 347)",20,47
1,446.0,473.0,1.0,1162.924072265625,39304.66460068551,"(473, 446, 474, 447)",20,47
1,103.0,474.0,1.0,1136.204833984375,39304.66460068551,"(474, 103, 475, 104)",19,20
1,447.0,475.0,1.0,1139.03076171875,39304.66460068551,"(475, 447, 476, 448)",20,47
1,363.0,503.0,1.0,1152.7923583984375,39304.66460068551,"(503, 363, 504, 364)",20,47
1,632.7619047619048,543.6666666666666,21.0,1329.2581787109375,825397.9566143957,"(541, 630, 547, 637)",23,46
1,618.0,543.5,2.0,1173.95166015625,78609.32920137102,"(543, 618, 545, 619)",23,46
1,1223.7894736842106,668.8421052631579,19.0,1325.490478515625,746788.6274130247,"(665, 1222, 674, 1226)",26,22
1,1221.0,674.0,1.0,1134.7574462890625,39304.66460068551,"(674, 1221, 675, 1222)",26,22
1,1255.0,684.0,1.0,1131.3572998046875,39304.66460068551,"(684, 1255, 685, 1256)",26,22
1,1252.0,693.0,1.0,1134.343994140625,39304.66460068551,"(693, 1252, 694, 1253)",26,22
1,2019.3333333333333,796.3333333333334,27.0,1326.662109375,1061225.9442185087,"(793, 2016, 800, 2023)",30,40
1,1633.0,1181.0,1.0,1145.555419921875,39304.66460068551,"(1181, 1633, 1182, 1634)",42,30
1,1637.0,1182.0,1.0,1203.3128662109375,39304.66460068551,"(1182, 1637, 1183, 1638)",42,30
1,1637.0,1184.5,2.0,1164.8538818359375,78609.32920137102,"(1184, 1637, 1186, 1638)",42,30
1,472.6666666666667,1270.0,3.0,1213.972900390625,117913.99380205653,"(1269, 472, 1272, 474)",44,37
1,469.0,1271.5,2.0,1211.721435546875,78609.32920137102,"(1271, 469, 1273, 470)",44,37
1,471.0,1271.0,1.0,1133.011474609375,39304.66460068551,"(1271, 471, 1272, 472)",44,37
1,475.0,1272.0,1.0,1176.7315673828125,39304.66460068551,"(1272, 475, 1273, 476)",44,37
1,908.0,1326.0,1.0,1135.49267578125,39304.66460068551,"(1326, 908, 1327, 909)",78,10
1,535.0,1425.5,2.0,1247.2857666015625,78609.32920137102,"(1425, 535, 1427, 536)",50,38
1,1283.0,1471.0,1.0,1151.5057373046875,39304.66460068551,"(1471, 1283, 1472, 1284)",51,32
1,1281.0,1473.0,1.0,1167.8175048828125,39304.66460068551,"(1473, 1281, 1474, 1282)",51,32
1,716.9428571428572,1478.7428571428572,35.0,1316.9669189453125,1375663.2610239927,"(1476, 713, 1482, 721)",52,44
1,1735.0,1494.0,1.0,1142.476806640625,39304.66460068551,"(1494, 1735, 1495, 1736)",55,20
1,62.0,1499.5,2.0,1226.379150390625,78609.32920137102,"(1499, 62, 1501, 63)",53,13
1,1656.0,1505.0,1.0,1141.71875,39304.66460068551,"(1505, 1656, 1506, 1657)",55,20
1,1353.0,1507.0,1.0,1150.426025390625,39304.66460068551,"(1507, 1353, 1508, 1354)",54,45
1,1310.0,1510.0,1.0,1133.4019775390625,39304.66460068551,"(1510, 1310, 1511, 1311)",54,45
1,1153.1333333333334,1518.1333333333334,15.0,1316.5303955078125,589569.9690102827,"(1517, 1150, 1520, 1157)",56,46
1,1251.0,1535.0,1.0,1133.31005859375,39304.66460068551,"(1535, 1251, 1536, 1252)",54,45
1,1262.0,1551.0,1.0,1132.620849609375,39304.66460068551,"(1551, 1262, 1552, 1263)",54,45
1,2029.6666666666667,1625.3333333333333,3.0,1185.92138671875,117913.99380205653,"(1625, 2029, 1627, 2031)",58,36
1,2036.0,1629.0,1.0,1162.740234375,39304.66460068551,"(1629, 2036, 1630, 2037)",58,36
1,2008.0,1632.0,1.0,1138.64013671875,39304.66460068551,"(1632, 2008, 1633, 2009)",58,36
1,2029.0,1632.0,1.0,1144.3148193359375,39304.66460068551,"(1632, 2029, 1633, 2030)",58,36
1,2040.0,1632.0,1.0,1154.5843505859375,39304.66460068551,"(1632, 2040, 1633, 2041)",58,36
1,515.0,1664.0,1.0,1169.241943359375,39304.66460068551,"(1664, 515, 1665, 516)",59,16
1,1853.0,1699.0,1.0,1143.48779296875,39304.66460068551,"(1699, 1853, 1700, 1854)",79,7
1,1089.0,1853.0,1.0,1134.849365234375,39304.66460068551,"(1853, 1089, 1854, 1090)",65,40
1,99.0,1858.0,1.0,1159.385986328125,39304.66460068551,"(1858, 99, 1859, 100)",66,37
1,119.0,1879.0,1.0,1137.8819580078125,39304.66460068551,"(1879, 119, 1880, 120)",66,37
1,115.0,1880.0,1.0,1135.3778076171875,39304.66460068551,"(1880, 115, 1881, 116)",66,37
1,1317.2857142857142,1934.5714285714287,7.0,1309.063720703125,275132.65220479853,"(1934, 1316, 1936, 1320)",67,43
1,542.0,1952.5,2.0,1228.676513671875,78609.32920137102,"(1952, 542, 1954, 543)",69,7
1,953.0,2009.5,2.0,1192.8365478515625,78609.32920137102,"(2009, 953, 2011, 954)",73,7
2,982.5,38.5,2.0,1154.4769287109375,78609.32920137102,"(38, 982, 40, 984)",0,45
2,985.5,38.0,2.0,1174.77001953125,78609.32920137102,"(38, 985, 39, 987)",0,45
2,534.3636363636364,57.90909090909091,11.0,1242.0107421875,432351.3106075406,"(57, 533, 60, 537)",2,31
2,1729.0,117.0,1.0,1152.1307373046875,39304.66460068551,"(117, 1729, 118, 1730)",76,19
2,1367.0,316.5,2.0,1225.684326171875,78609.32920137102,"(316, 1367, 318, 1368)",13,3
2,373.0,332.0,1.0,1138.803466796875,39304.66460068551,"(332, 373, 333, 374)",20,47
2,430.0,336.0,1.0,1150.0748291015625,39304.66460068551,"(336, 430, 337, 431)",20,47
2,411.0,353.0,1.0,1150.364990234375,39304.66460068551,"(353, 411, 354, 412)",20,47
2,438.0,370.0,1.0,1161.0074462890625,39304.66460068551,"(370, 438, 371, 439)",20,47
2,447.0,468.0,1.0,1218.6458740234375,39304.66460068551,"(468, 447, 469, 448)",20,47
2,448.0,471.0,1.0,1137.5941162109375,39304.66460068551,"(471, 448, 472, 449)",20,47
2,336.0,476.0,1.0,1142.6492919921875,39304.66460068551,"(476, 336, 477, 337)",20,47
2,626.0,483.5,2.0,1176.2938232421875,78609.32920137102,"(483, 626, 485, 627)",22,20
2,381.0,485.0,1.0,1130.7733154296875,39304.66460068551,"(485, 381, 486, 382)",20,47
2,640.0,487.0,1.0,1145.938720703125,39304.66460068551,"(487, 640, 488, 641)",22,20
2,192.0,523.0,1.0,1131.160400390625,39304.66460068551,"(523, 192, 524, 193)",80,15
2,634.44,539.8,25.0,1328.552978515625,982616.6150171377,"(537, 632, 543, 638)",23,46
2,625.0,538.5,2.0,1136.046142578125,78609.32920137102,"(538, 625, 540, 626)",23,46
2,618.0,539.0,1.0,1145.938720703125,39304.66460068551,"(539, 618, 540, 619)",23,46
2,1224.0,659.0,1.0,1131.0635986328125,39304.66460068551,"(659, 1224, 660, 1225)",26,22
2,1225.1176470588234,666.4117647058823,17.0,1302.962890625,668179.2982116536,"(662, 1223, 671, 1228)",26,22
2,1253.0,677.0,1.0,1150.9697265625,39304.66460068551,"(677, 1253, 678, 1254)",26,22
2,1254.0,680.0,1.0,1138.658447265625,39304.66460068551,"(680, 1254, 681, 1255)",26,22
2,1256.0,690.5,2.0,1146.833740234375,78609.32920137102,"(690, 1256, 692, 1257)",26,22
2,1651.0,755.0,1.0,1139.5291748046875,39304.66460068551,"(755, 1651, 756, 1652)",29,34
2,2020.8846153846155,792.9615384615385,26.0,1327.875732421875,1021921.2796178232,"(789, 2017, 796, 2025)",30,40
2,537.0,877.0,1.0,1135.683349609375,39304.66460068551,"(877, 537, 878, 538)",32,4
2,1000.0,1080.0,1.0,1157.8873291015625,39304.66460068551,"(1080, 1000, 1081, 1001)",37,39
2,1638.75,1179.75,4.0,1216.0093994140625,157218.65840274203,"(1179, 1638, 1182, 1641)",42,30
2,473.22222222222223,1267.8333333333333,18.0,1207.930908203125,707483.9628123392,"(1265, 469, 1271, 478)",44,37
2,536.0,1422.5,2.0,1336.607421875,78609.32920137102,"(1422, 536, 1424, 537)",50,38
2,1257.7142857142858,1467.4285714285713,7.0,1183.3807373046875,275132.65220479853,"(1465, 1257, 1471, 1260)",51,32
2,1283.3333333333333,1468.0,3.0,1227.1597900390625,117913.99380205653,"(1467, 1283, 1470, 1285)",51,32
2,746.0,1471.0,1.0,1140.157958984375,39304.66460068551,"(1471, 746, 1472, 747)",52,44
2,718.25,1475.425,40.0,1327.2711181640625,1572186.5840274203,"(1473, 714, 1479, 723)",52,44
2,1272.6666666666667,1480.5,6.0,1227.740234375,235827.98760411306,"(1479, 1272, 1483, 1274)",51,32
2,1276.0,1479.3333333333333,3.0,1203.52880859375,117913.99380205653,"(1479, 1275, 1481, 1278)",51,32
2,715.0,1480.5,2.0,1216.783447265625,78609.32920137102,"(1480, 715, 1482, 716)",52,44
2,62.666666666666664,1495.6666666666667,3.0,1282.234375,117913.99380205653,"(1495, 62, 1497, 64)",53,13
2,1354.0,1503.5,2.0,1168.7957763671875,78609.32920137102,"(1503, 1354, 1505, 1355)",54,45
2,1316.8333333333333,1506.5,6.0,1194.023193359375,235827.98760411306,"(1506, 1315, 1508, 1319)",54,45
2,1341.0,1507.0,1.0,1133.0711669921875,39304.66460068551,"(1507, 1341, 1508, 1342)",54,45
2,1367.25,1509.5,8.0,1200.19091796875,314437.31680548406,"(1507, 1367, 1513, 1369)",54,45
2,1307.0,1509.0,1.0,1166.0626220703125,39304.66460068551,"(1509, 1307, 1510, 1308)",54,45
2,1345.0,1512.0,1.0,1197.046630859375,39304.66460068551,"(1512, 1345, 1513, 1346)",54,45
2,1154.5454545454545,1515.8181818181818,22.0,1316.4110107421875,864702.6212150812,"(1514, 1152, 1520, 1158)",56,46
2,1242.0,1534.0,1.0,1138.029541015625,39304.66460068551,"(1534, 1242, 1535, 1243)",54,45
2,111.0,1595.0,1.0,1142.9154052734375,39304.66460068551,"(1595, 111, 1596, 112)",82,7
2,2032.0,1621.0,1.0,1173.7783203125,39304.66460068551,"(1621, 2032, 1622, 2033)",58,36
2,2030.0,1622.0,1.0,1139.14208984375,39304.66460068551,"(1622, 2030, 1623, 2031)",58,36
2,1909.0,1623.0,1.0,1135.248046875,39304.66460068551,"(1623, 1909, 1624, 1910)",83,8
2,2032.0,1625.0,1.0,1133.603271484375,39304.66460068551,"(1625, 2032, 1626, 2033)",58,36
2,2038.0,1627.5,2.0,1161.418701171875,78609.32920137102,"(1627, 2038, 1629, 2039)",58,36
2,2043.0,1628.0,3.0,1167.634765625,117913.99380205653,"(1627, 2042, 1630, 2045)",58,36
2,2012.0,1628.0,1.0,1143.544189453125,39304.66460068551,"(1628, 2012, 1629, 2013)",58,36
2,2014.0,1628.0,1.0,1161.563720703125,39304.66460068551,"(1628, 2014, 1629, 2015)",58,36
2,2016.0,1629.0,1.0,1149.66357421875,39304.66460068551,"(1629, 2016, 1630, 2017)",58,36
2,2028.0,1630.0,1.0,1170.682373046875,39304.66460068551,"(1630, 2028, 1631, 2029)",58,36
2,1864.0,1686.0,1.0,1153.5577392578125,39304.66460068551,"(1686, 1864, 1687, 1865)",79,7
2,1141.0,1822.0,1.0,1154.3076171875,39304.66460068551,"(1822, 1141, 1823, 1142)",65,40
2,1121.0,1827.0,1.0,1141.875244140625,39304.66460068551,"(1827, 1121, 1828, 1122)",65,40
2,1156.0,1828.0,1.0,1152.614501953125,39304.66460068551,"(1828, 1156, 1829, 1157)",65,40
2,67.0,1847.0,1.0,1151.23583984375,39304.66460068551,"(1847, 67, 1848, 68)",66,37
2,1155.0,1872.0,1.0,1156.000732421875,39304.66460068551,"(1872, 1155, 1873, 1156)",65,40
2,1142.0,1874.5,2.0,1169.6181640625,78609.32920137102,"(1874, 1142, 1876, 1143)",65,40
2,120.0,1877.5,2.0,1265.8836669921875,78609.32920137102,"(1877, 120, 1879, 121)",66,37
2,117.0,1878.0,1.0,1151.5986328125,39304.66460068551,"(1878, 117, 1879, 118)",66,37
2,122.0,1878.0,1.0,1178.0595703125,39304.66460068551,"(1878, 122, 1879, 123)",66,37
2,1088.0,1914.0,1.0,1132.974365234375,39304.66460068551,"(1914, 1088, 1915, 1089)",65,40
2,1319.111111111111,1931.7777777777778,9.0,1315.6611328125,353741.9814061696,"(1931, 1317, 1934, 1322)",67,43
2,543.0,1949.5,2.0,1298.4156494140625,78609.32920137102,"(1949, 543, 1951, 544)",69,7
2,954.0,2006.0,1.0,1196.054931640625,39304.66460068551,"(2006, 954, 2007, 955)",73,7
3,984.0,38.0,5.0,1295.039306640625,196523.32300342753,"(38, 982, 39, 987)",0,45
3,534.4444444444445,57.666666666666664,9.0,1277.107177734375,353741.9814061696,"(57, 533, 60, 537)",2,31
3,746.3333333333334,102.66666666666667,3.0,1201.181396484375,117913.99380205653,"(102, 746, 104, 748)",85,5
3,1728.5,116.0,2.0,1161.86376953125,78609.32920137102,"(116, 1728, 117, 1730)",76,19
3,430.0,337.6666666666667,3.0,1164.09521484375,117913.99380205653,"(337, 429, 339, 432)",20,47
3,333.0,440.0,1.0,1149.1651611328125,39304.66460068551,"(440, 333, 441, 334)",20,47
3,448.0,471.0,1.0,1146.561767578125,39304.66460068551,"(471, 448, 472, 449)",20,47
3,342.0,474.0,1.0,1145.3662109375,39304.66460068551,"(474, 342, 475, 343)",20,47
3,340.0,475.0,1.0,1139.4154052734375,39304.66460068551,"(475, 340, 476, 341)",20,47
3,345.0,475.0,3.0,1194.88525390625,117913.99380205653,"(475, 344, 476, 347)",20,47
3,333.0,477.0,1.0,1131.923828125,39304.66460068551,"(477, 333, 478, 334)",20,47
3,311.0,478.0,1.0,1133.8631591796875,39304.66460068551,"(478, 311, 479, 312)",20,47
3,331.5,480.5,2.0,1161.59814453125,78609.32920137102,"(480, 331, 482, 333)",20,47
3,634.0,484.0,1.0,1157.8787841796875,39304.66460068551,"(484, 634, 485, 635)",22,20
3,641.5,486.0,2.0,1153.282958984375,78609.32920137102,"(486, 641, 487, 643)",22,20
3,634.8333333333334,539.3333333333334,24.0,1325.404296875,943311.9504164523,"(536, 632, 543, 638)",23,46
3,617.75,539.5,4.0,1157.267822265625,157218.65840274203,"(538, 617, 542, 620)",23,46
3,621.0,539.0,1.0,1130.8876953125,39304.66460068551,"(539, 621, 540, 622)",23,46
3,623.0,539.0,1.0,1202.802001953125,39304.66460068551,"(539, 623, 540, 624)",23,46
3,617.0,542.0,1.0,1151.0513916015625,39304.66460068551,"(542, 617, 543, 618)",23,46
3,1240.5,654.0,2.0,1184.498046875,78609.32920137102,"(654, 1240, 655, 1242)",26,22
3,1224.0,663.0,3.0,1188.721923828125,117913.99380205653,"(663, 1223, 664, 1226)",26,22
3,1225.5555555555557,667.6666666666666,9.0,1271.368896484375,353741.9814061696,"(665, 1224, 671, 1228)",26,22
3,1274.0,675.0,1.0,1136.4134521484375,39304.66460068551,"(675, 1274, 676, 1275)",26,22
3,1254.0,679.0,1.0,1169.2225341796875,39304.66460068551,"(679, 1254, 680, 1255)",26,22
3,1651.0,751.0,1.0,1132.4285888671875,39304.66460068551,"(751, 1651, 752, 1652)",29,34
3,1651.4,754.2,5.0,1166.83154296875,196523.32300342753,"(753, 1651, 756, 1653)",29,34
3,2021.0357142857142,792.6785714285714,28.0,1327.210693359375,1100530.6088191941,"(789, 2017, 796, 2026)",30,40
3,1637.5,1176.5,2.0,1152.831298828125,78609.32920137102,"(1176, 1637, 1178, 1639)",42,30
