frame,x,y,area_px,intensity,area_km2,bbox,cluster_id,occurrences
0,333.5,0.5,4.0,4679.8115234375,138606.49568582693,"(0, 333, 2, 335)",0,25
0,1819.875,2026.75,8.0,4679.8115234375,277212.99137165386,"(2024, 1819, 2031, 1822)",19,47
1,333.6,0.8,5.0,6056.455078125,173258.11960728368,"(0, 333, 3, 335)",0,25
1,1695.5,320.0,2.0,4291.9462890625,69303.24784291346,"(320, 1695, 321, 1697)",21,21
1,1712.5,330.5,2.0,3654.671875,69303.24784291346,"(330, 1712, 332, 1714)",21,21
1,1719.0,335.0,1.0,3567.4951171875,34651.62392145673,"(335, 1719, 336, 1720)",21,21
1,1752.0,417.0,1.0,3921.7958984375,34651.62392145673,"(417, 1752, 418, 1753)",22,23
1,1820.3529411764705,2026.235294117647,17.0,9764.953125,589077.6066647645,"(2023, 1819, 2031, 1823)",19,47
2,333.1111111111111,1.7777777777777777,9.0,9341.0048828125,311864.6152931106,"(0, 332, 6, 335)",0,25
2,1701.9473684210527,318.8421052631579,19.0,8255.7421875,658380.854507678,"(316, 1699, 322, 1707)",21,21
2,1699.5,321.5,2.0,3831.931640625,69303.24784291346,"(321, 1699, 323, 1701)",21,21
2,1701.4736842105262,326.2105263157895,19.0,4679.734375,658380.854507678,"(323, 1697, 330, 1707)",21,21
2,1819.909090909091,2026.909090909091,11.0,7864.99072265625,381167.86313602404,"(2024, 1819, 2030, 1823)",19,47
3,332.75,1.75,12.0,8255.447265625,415819.4870574808,"(0, 332, 5, 335)",0,25
3,1700.111111111111,317.3333333333333,9.0,4679.8115234375,311864.6152931106,"(316, 1699, 320, 1703)",21,21
3,1698.0,320.75,4.0,4581.9130859375,138606.49568582693,"(320, 1697, 323, 1700)",21,21
3,1702.0,325.3333333333333,3.0,3654.671875,103954.8717643702,"(325, 1701, 327, 1704)",21,21
3,1146.0,836.0,1.0,3567.4951171875,34651.62392145673,"(836, 1146, 837, 1147)",29,11
3,1819.2,2026.9,10.0,6515.1806640625,346516.23921456735,"(2023, 1818, 2031, 1821)",19,47
4,332.3,1.6,10.0,6991.7958984375,346516.23921456735,"(0, 331, 6, 335)",0,25
4,338.0,6.5,4.0,4387.2587890625,138606.49568582693,"(5, 338, 9, 339)",0,25
4,1700.4772727272727,322.8636363636364,44.0,6284.587890625,1524671.4525440962,"(317, 1695, 329, 1707)",21,21
4,1750.0,416.0,1.0,3567.6689453125,34651.62392145673,"(416, 1750, 417, 1751)",22,23
