frame,x,y,area_px,intensity,area_km2
0,1919.0,300.0,1.0,4881.203125,34651.62392145673
0,1726.0,394.0,1.0,5084.92578125,34651.62392145673
0,1501.0,700.0,1.0,4881.203125,34651.62392145673
0,30.896738117427773,847.0054986020504,10730.0,13167.634765625,371811924.6772307
0,1194.0,798.0,1.0,4981.8994140625,34651.62392145673
0,144.0,834.0,1.0,5084.92578125,34651.62392145673
0,971.2068965517242,1124.344827586207,29.0,6400.0322265625,1004897.0937222452
0,31.274509803921568,1293.313725490196,51.0,15595.990234375,1767232.8199942934
0,266.6666666666667,1998.9583333333333,24.0,5614.9775390625,831638.9741149616
1,333.6666666666667,0.3333333333333333,3.0,6056.455078125,103954.8717643702
1,1142.0,0.0,1.0,5084.92578125,34651.62392145673
1,158.0,195.0,1.0,4881.203125,34651.62392145673
1,1501.0,700.0,1.0,4881.203125,34651.62392145673
1,852.0,911.0,3.0,7113.76123046875,103954.8717643702
1,971.3214285714286,1123.5,28.0,6633.5908203125,970245.4698007884
1,31.51923076923077,1290.5961538461538,52.0,13839.8720703125,1801884.4439157501
1,1820.25,2026.375,8.0,9764.953125,277212.99137165386
2,333.1666666666667,1.6666666666666667,6.0,9341.0048828125,207909.7435287404
2,1122.5,7.5,4.0,5723.6181640625,138606.49568582693
2,206.0,125.0,1.0,6284.587890625,34651.62392145673
2,167.0,149.0,1.0,4780.361328125,34651.62392145673
2,1441.0,176.0,1.0,4780.361328125,34651.62392145673
2,1918.0,299.0,1.0,4780.361328125,34651.62392145673
2,1701.8333333333333,318.75,12.0,8255.7421875,415819.4870574808
2,1587.5,399.0,2.0,4880.9873046875,69303.24784291346
2,31.094118731563423,846.5468289085545,10848.0,12510.2734375,375900816.29996264
2,970.7666666666667,1123.4333333333334,30.0,6284.587890625,1039548.7176437019
2,31.13953488372093,1288.1860465116279,43.0,18230.00390625,1490019.8286226394
3,332.8333333333333,0.6666666666666666,6.0,8255.447265625,207909.7435287404
3,1286.0,153.0,1.0,4881.203125,34651.62392145673
3,155.0,194.5,4.0,6751.5361328125,138606.49568582693
3,1684.45,247.55,20.0,5293.310546875,693032.4784291347
3,1499.5,704.0,2.0,5293.310546875,69303.24784291346
3,969.9615384615385,1123.3461538461538,26.0,6515.1806640625,900942.2219578751
3,1819.3333333333333,2028.6666666666667,3.0,6515.1806640625,103954.8717643702
4,332.1666666666667,1.6666666666666667,6.0,6991.7958984375,207909.7435287404
4,1121.0,6.5,2.0,5085.0625,69303.24784291346
4,153.33333333333334,194.33333333333334,3.0,4981.6142578125,103954.8717643702
4,1917.0,297.0,1.0,4780.361328125,34651.62392145673
4,1498.6666666666667,703.3333333333334,3.0,5399.16796875,103954.8717643702
4,30.608395575304908,846.5668904226151,10577.0,12348.9892578125,366510226.21724784
4,82.0,871.0,1.0,4880.9873046875,34651.62392145673
4,969.2592592592592,1122.851851851852,27.0,6284.587890625,935593.8458793318
4,30.5,1284.6470588235295,34.0,18035.333984375,1178155.213329529
4,1819.0,2028.0,1.0,4981.6142578125,34651.62392145673
5,331.5,0.5,4.0,5833.9404296875,138606.49568582693
5,1121.0,6.0,1.0,5506.5126953125,34651.62392145673
5,1285.0,151.0,1.0,4780.71484375,34651.62392145673
5,1699.6666666666667,320.3333333333333,3.0,5293.23046875,103954.8717643702
5,1725.0,390.0,1.0,5506.5126953125,34651.62392145673
5,969.3636363636364,1121.0454545454545,22.0,6284.607421875,762335.7262720481
5,29.833333333333332,1285.0,30.0,16143.357421875,1039548.7176437019
5,265.258064516129,1995.8387096774193,31.0,5833.9404296875,1074200.3415651587
5,1818.0,2027.0,1.0,5399.189453125,34651.62392145673
6,1119.0,5.5,2.0,5084.9111328125,69303.24784291346
6,29.7374146968648,844.7709425378301,10111.0,13167.7265625,350362569.469849
6,1106.0,808.0,1.0,4881.3916015625,34651.62392145673
6,27.40909090909091,1287.0,22.0,12836.08203125,762335.7262720481
7,331.7142857142857,0.8571428571428571,7.0,8255.6376953125,242561.3674501971
7,1120.0,8.0,1.0,5292.9287109375,34651.62392145673
7,164.0,148.0,1.0,4780.5703125,34651.62392145673
7,1922.0,302.0,1.0,4780.5703125,34651.62392145673
7,1661.0,306.0,1.0,4780.5703125,34651.62392145673
7,1749.0,415.0,1.0,6399.9560546875,34651.62392145673
7,1223.0,788.0,1.0,5292.9287109375,34651.62392145673
7,90.0,910.0,1.0,4881.376953125,34651.62392145673
7,44.5,913.0,2.0,4780.5703125,69303.24784291346
7,27.82758620689655,1290.7586206896551,29.0,10493.73828125,1004897.0937222452
7,264.6060606060606,1996.2121212121212,33.0,5944.9375,1143503.5894080722
8,332.375,1.625,8.0,6399.87890625,277212.99137165386
8,1122.0,8.5,2.0,5293.029296875,69303.24784291346
8,166.0,148.0,1.0,5085.212890625,34651.62392145673
8,88.0,459.0,1.0,4780.4384765625,34651.62392145673
8,30.409960956099418,845.7747833539663,10501.0,12510.3125,363876702.79921716
8,969.2222222222222,1121.2777777777778,18.0,5945.32373046875,623729.2305862212
8,29.448275862068964,1289.2758620689656,29.0,14881.0908203125,1004897.0937222452
8,265.0967741935484,1996.5806451612902,31.0,5615.18017578125,1074200.3415651587
9,167.0,149.0,1.0,4780.37255859375,34651.62392145673
9,29.91304347826087,1292.608695652174,23.0,13501.8408203125,796987.3501935048
9,266.36,1997.64,25.0,5506.44873046875,866290.5980364183
9,1819.0,2028.0,1.0,5399.169921875,34651.62392145673
10,30.227272727272727,1292.2727272727273,22.0,12349.126953125,762335.7262720481
10,266.4,1997.2,25.0,5506.4033203125,866290.5980364183
10,1819.0,2028.0,1.0,5293.06982421875,34651.62392145673
11,30.09090909090909,1292.5,22.0,7993.86767578125,762335.7262720481
12,1122.0,7.5,2.0,5945.3564453125,69303.24784291346
12,1447.0,715.0,3.0,6870.7939453125,103954.8717643702
12,0.0,812.0,1.0,4780.71484375,34651.62392145673
12,84.0,911.0,1.0,4780.71484375,34651.62392145673
12,39.0,925.0,1.0,4881.2177734375,34651.62392145673
12,29.77777777777778,1291.9259259259259,27.0,11403.390625,935593.8458793318
13,1499.0,696.5714285714286,14.0,5833.845703125,485122.7349003942
13,1446.5,715.0,2.0,6056.52587890625,69303.24784291346
13,102.0,752.0,1.0,4881.2685546875,34651.62392145673
13,1.0,812.0,1.0,4780.6279296875,34651.62392145673
13,83.0,871.0,1.0,4881.2685546875,34651.62392145673
13,29.0,1293.25,28.0,9765.1904296875,970245.4698007884
13,265.0,1997.3125,16.0,5293.19384765625,554425.9827433077
14,1206.0,127.0,1.0,4881.1884765625,34651.62392145673
