frame,x,y,area_px,intensity,area_km2
0,1919.0,300.0,1.0,4881.203125,34651.62392145673
0,1726.0,394.0,1.0,5084.92578125,34651.62392145673
0,1501.0,700.0,1.0,4881.203125,34651.62392145673
0,1194.0,798.0,1.0,4981.8994140625,34651.62392145673
0,31.274509803921568,1293.313725490196,51.0,15595.990234375,1767232.8199942934
0,266.6666666666667,1998.9583333333333,24.0,5614.9775390625,831638.9741149616
1,333.6666666666667,0.3333333333333333,3.0,6056.455078125,103954.8717643702
1,1142.0,0.0,1.0,5084.92578125,34651.62392145673
1,158.0,195.0,1.0,4881.203125,34651.62392145673
1,1501.0,700.0,1.0,4881.203125,34651.62392145673
1,852.0,911.0,3.0,7113.76123046875,103954.8717643702
1,31.51923076923077,1290.5961538461538,52.0,13839.8720703125,1801884.4439157501
1,1820.25,2026.375,8.0,9764.953125,277212.99137165386
2,333.1666666666667,1.6666666666666667,6.0,9341.0048828125,207909.7435287404
2,1122.5,7.5,4.0,5723.6181640625,138606.49568582693
2,206.0,125.0,1.0,6284.587890625,34651.62392145673
2,167.0,149.0,1.0,4780.361328125,34651.62392145673
2,1918.0,299.0,1.0,4780.361328125,34651.62392145673
2,1701.8333333333333,318.75,12.0,8255.7421875,415819.4870574808
2,31.13953488372093,1288.1860465116279,43.0,18230.00390625,1490019.8286226394
3,332.8333333333333,0.6666666666666666,6.0,8255.447265625,207909.7435287404
3,1286.0,153.0,1.0,4881.203125,34651.62392145673
3,155.0,194.5,4.0,6751.5361328125,138606.49568582693
3,1499.5,704.0,2.0,5293.310546875,69303.24784291346
3,1819.3333333333333,2028.6666666666667,3.0,6515.1806640625,103954.8717643702
4,332.1666666666667,1.6666666666666667,6.0,6991.7958984375,207909.7435287404
4,1121.0,6.5,2.0,5085.0625,69303.24784291346
4,153.33333333333334,194.33333333333334,3.0,4981.6142578125,103954.8717643702
4,1917.0,297.0,1.0,4780.361328125,34651.62392145673
4,1498.6666666666667,703.3333333333334,3.0,5399.16796875,103954.8717643702
4,30.5,1284.6470588235295,34.0,18035.333984375,1178155.213329529
4,1819.0,2028.0,1.0,4981.6142578125,34651.62392145673
5,331.5,0.5,4.0,5833.9404296875,138606.49568582693
5,1121.0,6.0,1.0,5506.5126953125,34651.62392145673
5,1285.0,151.0,1.0,4780.71484375,34651.62392145673
5,1699.6666666666667,320.3333333333333,3.0,5293.23046875,103954.8717643702
5,1725.0,390.0,1.0,5506.5126953125,34651.62392145673
5,29.833333333333332,1285.0,30.0,16143.357421875,1039548.7176437019
5,265.258064516129,1995.8387096774193,31.0,5833.9404296875,1074200.3415651587
5,1818.0,2027.0,1.0,5399.189453125,34651.62392145673
6,1119.0,5.5,2.0,5084.9111328125,69303.24784291346
6,1106.0,808.0,1.0,4881.3916015625,34651.62392145673
6,27.40909090909091,1287.0,22.0,12836.08203125,762335.7262720481
7,331.7142857142857,0.8571428571428571,7.0,8255.6376953125,242561.3674501971
7,1120.0,8.0,1.0,5292.9287109375,34651.62392145673
7,164.0,148.0,1.0,4780.5703125,34651.62392145673
7,1922.0,302.0,1.0,4780.5703125,34651.62392145673
7,1749.0,415.0,1.0,6399.9560546875,34651.62392145673
7,27.82758620689655,1290.7586206896551,29.0,10493.73828125,1004897.0937222452
7,264.6060606060606,1996.2121212121212,33.0,5944.9375,1143503.5894080722
8,332.375,1.625,8.0,6399.87890625,277212.99137165386
8,1122.0,8.5,2.0,5293.029296875,69303.24784291346
8,166.0,148.0,1.0,5085.212890625,34651.62392145673
8,29.448275862068964,1289.2758620689656,29.0,14881.0908203125,1004897.0937222452
8,265.0967741935484,1996.5806451612902,31.0,5615.18017578125,1074200.3415651587
9,167.0,149.0,1.0,4780.37255859375,34651.62392145673
9,29.91304347826087,1292.608695652174,23.0,13501.8408203125,796987.3501935048
9,266.36,1997.64,25.0,5506.44873046875,866290.5980364183
9,1819.0,2028.0,1.0,5399.169921875,34651.62392145673
10,30.227272727272727,1292.2727272727273,22.0,12349.126953125,762335.7262720481
10,266.4,1997.2,25.0,5506.4033203125,866290.5980364183
10,1819.0,2028.0,1.0,5293.06982421875,34651.62392145673
11,30.09090909090909,1292.5,22.0,7993.86767578125,762335.7262720481
12,1122.0,7.5,2.0,5945.3564453125,69303.24784291346
12,1447.0,715.0,3.0,6870.7939453125,103954.8717643702
12,29.77777777777778,1291.9259259259259,27.0,11403.390625,935593.8458793318
13,1499.0,696.5714285714286,14.0,5833.845703125,485122.7349003942
13,1446.5,715.0,2.0,6056.52587890625,69303.24784291346
13,29.0,1293.25,28.0,9765.1904296875,970245.4698007884
13,265.0,1997.3125,16.0,5293.19384765625,554425.9827433077
14,1206.0,127.0,1.0,4881.1884765625,34651.62392145673
14,164.5,148.0,2.0,5399.17822265625,69303.24784291346
14,28.714285714285715,1291.3333333333333,21.0,7113.814453125,727684.1023505913
14,264.42857142857144,1996.904761904762,21.0,5506.50390625,727684.1023505913
15,1120.0,6.0,1.0,4981.830078125,34651.62392145673
15,1205.5,127.0,2.0,4981.830078125,69303.24784291346
15,28.0,1294.0,7.0,7484.26123046875,242561.3674501971
15,263.89473684210526,1996.9473684210527,19.0,5293.0869140625,658380.854507678
16,1204.0,127.0,1.0,4780.447265625,34651.62392145673
16,1469.0,374.5,2.0,5084.8955078125,69303.24784291346
16,1190.0,806.0,1.0,4981.7314453125,34651.62392145673
16,893.0,888.0,1.0,5084.8955078125,34651.62392145673
16,28.0,1294.5,6.0,6170.640625,207909.7435287404
16,263.77777777777777,1996.888888888889,18.0,5398.9736328125,623729.2305862212
17,330.2,1.2,5.0,5833.935546875,173258.11960728368
17,1120.0,5.5,2.0,4780.6396484375,69303.24784291346
17,893.0,887.0,1.0,5723.8974609375,34651.62392145673
17,263.6470588235294,1996.5294117647059,17.0,5293.06640625,589077.6066647645
18,327.0,1.5,4.0,5506.2470703125,138606.49568582693
18,1117.0,4.0,1.0,4780.4931640625,34651.62392145673
18,161.75,146.75,4.0,5293.2431640625,138606.49568582693
19,329.0,2.0,5.0,7993.849609375,173258.11960728368
19,174.0,63.0,1.0,5615.1484375,34651.62392145673
19,163.0,147.66666666666666,3.0,5293.2197265625,103954.8717643702
19,655.0,511.0,1.0,4880.9482421875,34651.62392145673
19,292.0,665.0,1.0,4780.517578125,34651.62392145673
19,1189.0,805.0,1.0,4780.517578125,34651.62392145673
19,262.4736842105263,1996.6315789473683,19.0,5293.2197265625,658380.854507678
20,163.66666666666666,148.33333333333334,3.0,5188.4189453125,103954.8717643702
20,1284.0,155.0,1.0,4780.5078125,34651.62392145673
