frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
0,1174.2,25.0,5.0,3312.4921875,173258.11960728368,4,2
0,1197.0,63.0,3.0,2908.7763671875,103954.8717643702,8,2
0,147.0,107.25,4.0,3567.4951171875,138606.49568582693,16,1
0,1727.5,247.0,4.0,3067.279296875,138606.49568582693,25,1
0,1501.0,344.0,3.0,2908.7763671875,103954.8717643702,32,13
0,851.2,911.8,5.0,3921.7958984375,173258.11960728368,82,2
0,666.5,976.5,4.0,3067.279296875,138606.49568582693,86,4
0,997.0,998.0,3.0,3067.279296875,103954.8717643702,88,1
0,1010.25,1010.0,4.0,3921.7958984375,138606.49568582693,89,2
0,297.6666666666667,1286.6666666666667,3.0,3067.279296875,103954.8717643702,95,1
0,1831.0,2032.0,3.0,3147.462890625,103954.8717643702,96,20
1,1174.3333333333333,24.0,3.0,3229.51171875,103954.8717643702,4,2
1,1198.0,62.0,3.0,2830.923828125,103954.8717643702,8,2
1,703.8,568.0,5.0,2908.7763671875,173258.11960728368,109,23
1,1470.6666666666667,710.6666666666666,3.0,3395.939453125,103954.8717643702,115,1
1,1148.0,836.6666666666666,3.0,3067.279296875,103954.8717643702,124,12
1,956.5,899.5,4.0,2988.02734375,138606.49568582693,128,2
1,300.3333333333333,1297.6666666666667,3.0,3067.279296875,103954.8717643702,132,11
2,704.0,59.5,4.0,2987.890625,138606.49568582693,133,1
2,702.3333333333334,567.0,3.0,2987.890625,103954.8717643702,109,23
2,1408.5,725.5,4.0,3654.6591796875,138606.49568582693,145,3
2,129.0,767.5,4.0,3147.7646484375,138606.49568582693,147,1
2,1147.1666666666667,836.3333333333334,6.0,3229.58203125,207909.7435287404,124,12
2,852.0,911.0,3.0,4679.734375,103954.8717643702,82,2
2,70.33333333333333,951.3333333333334,3.0,3067.357421875,103954.8717643702,151,18
2,35.5,1262.5,4.0,3229.58203125,138606.49568582693,152,1
3,338.0,6.0,3.0,3312.4921875,103954.8717643702,154,1
3,188.5,147.0,4.0,3654.671875,138606.49568582693,155,11
3,1088.0,825.25,4.0,3229.51171875,138606.49568582693,162,4
3,955.0,900.25,4.0,2988.02734375,138606.49568582693,128,2
3,69.5,951.5,4.0,3567.4951171875,138606.49568582693,151,18
4,339.3333333333333,0.3333333333333333,3.0,3147.7646484375,103954.8717643702,167,1
4,1685.2,460.4,5.0,2908.8935546875,173258.11960728368,158,7
4,1111.6,797.4,5.0,3831.931640625,173258.11960728368,174,8
4,1146.0,836.0,5.0,3396.0390625,173258.11960728368,124,12
4,69.0,951.0,3.0,3481.619140625,103954.8717643702,151,18
4,33.333333333333336,966.3333333333334,3.0,3312.810546875,103954.8717643702,177,3
4,1824.4,2028.6,5.0,4105.5986328125,173258.11960728368,96,20
5,750.75,3.0,4.0,3832.0849609375,138606.49568582693,180,1
