frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
0,1174.2,25.0,5.0,3312.4921875,173258.11960728368,4,2
0,1197.0,63.0,3.0,2908.7763671875,103954.8717643702,8,2
0,144.2,93.8,5.0,4013.16796875,173258.11960728368,13,3
0,1544.75,93.75,4.0,2830.923828125,138606.49568582693,14,3
0,147.0,107.25,4.0,3567.4951171875,138606.49568582693,16,1
0,1576.0,176.0,5.0,2988.02734375,173258.11960728368,22,13
0,1727.5,247.0,4.0,3067.279296875,138606.49568582693,25,1
0,1605.2,260.0,5.0,2988.02734375,173258.11960728368,26,20
0,1591.5,285.5,4.0,3229.51171875,138606.49568582693,28,18
0,1571.6666666666667,330.6666666666667,3.0,2908.7763671875,103954.8717643702,31,5
0,1501.0,344.0,3.0,2908.7763671875,103954.8717643702,32,13
0,130.0,435.25,4.0,2908.7763671875,138606.49568582693,39,2
0,1348.0,512.0,5.0,2988.02734375,173258.11960728368,42,1
0,1358.6666666666667,559.6666666666666,3.0,2908.7763671875,103954.8717643702,45,2
0,0.3333333333333333,675.0,3.0,2908.7763671875,103954.8717643702,51,18
0,1454.3333333333333,688.0,3.0,2988.02734375,103954.8717643702,55,22
0,1284.5,711.0,4.0,3229.51171875,138606.49568582693,57,22
0,1309.0,786.0,3.0,3067.279296875,103954.8717643702,65,2
0,102.33333333333333,853.6666666666666,3.0,3312.4921875,103954.8717643702,73,11
0,268.3333333333333,876.0,3.0,2908.7763671875,103954.8717643702,76,16
0,851.2,911.8,5.0,3921.7958984375,173258.11960728368,82,2
0,666.5,976.5,4.0,3067.279296875,138606.49568582693,86,4
0,997.0,998.0,3.0,3067.279296875,103954.8717643702,88,1
0,1010.25,1010.0,4.0,3921.7958984375,138606.49568582693,89,2
0,297.6666666666667,1286.6666666666667,3.0,3067.279296875,103954.8717643702,95,1
0,1831.0,2032.0,3.0,3147.462890625,103954.8717643702,96,20
1,1174.3333333333333,24.0,3.0,3229.51171875,103954.8717643702,4,2
1,1198.0,62.0,3.0,2830.923828125,103954.8717643702,8,2
1,1600.0,181.0,3.0,2988.02734375,103954.8717643702,104,1
1,1571.3333333333333,329.6666666666667,3.0,2988.02734375,103954.8717643702,31,5
1,1688.0,368.5,4.0,2830.923828125,138606.49568582693,105,4
1,129.33333333333334,433.6666666666667,3.0,2988.02734375,103954.8717643702,39,2
1,1691.3333333333333,458.1666666666667,6.0,3067.279296875,207909.7435287404,106,1
1,703.8,568.0,5.0,2908.7763671875,173258.11960728368,109,23
1,626.6666666666666,618.3333333333334,3.0,2908.7763671875,103954.8717643702,111,3
1,1470.6666666666667,675.3333333333334,3.0,2908.7763671875,103954.8717643702,113,1
1,1454.6666666666667,686.6666666666666,3.0,3067.279296875,103954.8717643702,55,22
