frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
0,333.6666666666667,0.3333333333333333,3.0,4679.8115234375,103954.8717643702,0,9
0,1230.0,0.0,1.0,4291.9462890625,34651.62392145673,1,1
0,204.0,133.0,1.0,3831.822265625,34651.62392145673,3,1
0,33.0,189.0,1.0,3921.7958984375,34651.62392145673,4,19
0,1725.5714285714287,394.42857142857144,7.0,5084.92578125,242561.3674501971,5,12
0,1840.0,462.0,1.0,3831.822265625,34651.62392145673,6,1
0,1355.3333333333333,724.1111111111111,9.0,5945.0361328125,311864.6152931106,8,2
0,850.5,911.5,2.0,3921.7958984375,69303.24784291346,9,3
0,62.5,1003.5,2.0,3831.822265625,69303.24784291346,10,17
0,31.428571428571427,1292.6571428571428,70.0,15595.990234375,2425613.6745019713,12,16
0,303.0,1280.0,3.0,4484.013671875,103954.8717643702,13,2
1,333.6,0.8,5.0,6056.455078125,173258.11960728368,0,9
1,158.625,195.375,8.0,4881.203125,277212.99137165386,15,2
1,689.0,545.5,2.0,3831.822265625,69303.24784291346,16,17
1,1355.5714285714287,722.7142857142857,7.0,4981.8994140625,242561.3674501971,8,2
1,852.0,911.0,3.0,7113.76123046875,103954.8717643702,9,3
1,62.25,1003.75,4.0,4013.16796875,138606.49568582693,10,17
1,1013.0,1007.5,2.0,3831.822265625,69303.24784291346,18,2
1,31.37837837837838,1292.4324324324325,74.0,13839.8720703125,2564220.1701877983,12,16
2,333.1111111111111,1.7777777777777777,9.0,9341.0048828125,311864.6152931106,0,9
2,157.6,195.8,15.0,6633.490234375,519774.35882185097,15,2
2,685.0,545.0,1.0,3831.931640625,34651.62392145673,16,17
2,851.5,911.0,2.0,4679.734375,69303.24784291346,9,3
2,1012.0,1008.5,2.0,4484.1240234375,69303.24784291346,18,2
2,31.126984126984127,1288.5238095238096,63.0,18230.00390625,2183052.307051774,12,16
3,332.8,1.3,10.0,8255.447265625,346516.23921456735,0,9
3,30.369565217391305,1289.1521739130435,46.0,16327.43359375,1593974.7003870097,12,16
4,1121.0,6.0,3.0,5085.0625,103954.8717643702,22,5
4,750.5,6.0,2.0,4679.734375,69303.24784291346,23,2
4,22.0,185.0,1.0,3831.931640625,34651.62392145673,4,19
4,1550.0,247.0,1.0,4679.734375,34651.62392145673,24,1
4,1609.271536034943,347.5748604707595,4121.0,9341.0048828125,142799342.18032318,25,1
