frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
0,1919.0,300.0,1.0,4881.203125,34651.62392145673,0,26
0,1726.0,394.0,1.0,5084.92578125,34651.62392145673,1,25
0,30.896738117427773,847.0054986020504,10730.0,13167.634765625,371811924.6772307,3,18
0,1194.0,798.0,1.0,4981.8994140625,34651.62392145673,4,10
0,144.0,834.0,1.0,5084.92578125,34651.62392145673,5,14
0,971.2068965517242,1124.344827586207,29.0,6400.0322265625,1004897.0937222452,6,28
0,31.274509803921568,1293.313725490196,51.0,15595.990234375,1767232.8199942934,7,16
1,333.6666666666667,0.3333333333333333,3.0,6056.455078125,103954.8717643702,9,22
1,158.0,195.0,1.0,4881.203125,34651.62392145673,11,3
1,852.0,911.0,3.0,7113.76123046875,103954.8717643702,12,11
1,971.3214285714286,1123.5,28.0,6633.5908203125,970245.4698007884,6,28
1,31.51923076923077,1290.5961538461538,52.0,13839.8720703125,1801884.4439157501,7,16
2,333.1666666666667,1.6666666666666667,6.0,9341.0048828125,207909.7435287404,9,22
2,1918.0,299.0,1.0,4780.361328125,34651.62392145673,0,26
2,1701.8333333333333,318.75,12.0,8255.7421875,415819.4870574808,16,16
2,1587.5,399.0,2.0,4880.9873046875,69303.24784291346,17,3
2,31.094118731563423,846.5468289085545,10848.0,12510.2734375,375900816.29996264,3,18
2,970.7666666666667,1123.4333333333334,30.0,6284.587890625,1039548.7176437019,6,28
2,31.13953488372093,1288.1860465116279,43.0,18230.00390625,1490019.8286226394,7,16
3,332.8333333333333,0.6666666666666666,6.0,8255.447265625,207909.7435287404,9,22
3,155.0,194.5,4.0,6751.5361328125,138606.49568582693,11,3
3,1684.45,247.55,20.0,5293.310546875,693032.4784291347,19,2
3,969.9615384615385,1123.3461538461538,26.0,6515.1806640625,900942.2219578751,6,28
4,332.1666666666667,1.6666666666666667,6.0,6991.7958984375,207909.7435287404,9,22
4,153.33333333333334,194.33333333333334,3.0,4981.6142578125,103954.8717643702,11,3
4,1917.0,297.0,1.0,4780.361328125,34651.62392145673,0,26
4,30.608395575304908,846.5668904226151,10577.0,12348.9892578125,366510226.21724784,3,18
4,969.2592592592592,1122.851851851852,27.0,6284.587890625,935593.8458793318,6,28
