frame,x,y,area_px,intensity,area_km2,cluster_id,occurrences
0,1282.0,484.5,2.0,14183.50390625,22159.101046904478,2,29
0,1923.5,510.0,2.0,12189.4658203125,22159.101046904478,3,25
0,1113.3333333333333,576.3333333333334,3.0,13333.8017578125,33238.65157035671,4,15
0,791.5454545454545,825.6363636363636,11.0,27365.7265625,121875.05575797462,8,5
0,601.6666666666666,1048.3333333333333,3.0,14529.6982421875,33238.65157035671,9,7
0,1249.0,1175.0,3.0,13839.939453125,33238.65157035671,10,1
1,1282.0,485.0,1.0,14881.103515625,11079.550523452239,2,29
1,1233.0,501.0,1.0,11714.65234375,11079.550523452239,2,29
1,1112.6666666666667,576.6666666666666,3.0,15415.021484375,33238.65157035671,4,15
1,602.5,1049.5,4.0,14881.103515625,44318.202093808955,9,7
1,1165.5344827586207,1342.6724137931035,58.0,18425.94140625,642613.9303602298,19,22
2,787.1052631578947,825.2105263157895,19.0,32364.6953125,210511.45994559253,8,5
2,1324.0,1030.0,1.0,11403.0703125,11079.550523452239,21,7
2,1160.0,1352.1363636363637,22.0,14355.0146484375,243750.11151594925,19,22
3,1233.0,502.0,1.0,11714.65234375,11079.550523452239,2,29
4,1292.0,487.0,1.0,11403.0283203125,11079.550523452239,2,29
5,1194.5,983.9,10.0,12510.32421875,110795.5052345224,27,4
5,1324.0,1021.0,3.0,11403.517578125,33238.65157035671,21,7
6,1076.0,308.0,1.0,11096.17578125,11079.550523452239,28,5
7,1076.0,308.0,1.0,12189.41015625,11079.550523452239,28,5
7,681.0,610.0,1.0,11403.0283203125,11079.550523452239,29,6
8,1076.0,307.5,2.0,11714.65234375,22159.101046904478,28,5
8,1323.0,484.0,1.0,11249.10546875,11079.550523452239,2,29
8,1269.0,497.0,1.0,11249.10546875,11079.550523452239,2,29
8,1112.5,579.0,2.0,13670.78515625,22159.101046904478,4,15
8,681.0,610.0,1.0,13839.8857421875,11079.550523452239,29,6
9,1076.0,307.0,1.0,11403.0380859375,11079.550523452239,28,5
9,1113.5,579.0,2.0,12029.716796875,22159.101046904478,4,15
9,903.0,704.0,1.0,11403.0380859375,11079.550523452239,30,6
10,1114.0,579.0,1.0,11096.1259765625,11079.550523452239,4,15
10,903.0,704.0,1.0,11403.205078125,11079.550523452239,30,6
10,1338.75,1020.5,4.0,13001.2578125,44318.202093808955,21,7
11,1308.0,481.0,1.0,11714.65234375,11079.550523452239,2,29
11,1339.0,1020.5,2.0,11557.556640625,22159.101046904478,21,7
11,598.0,1051.0,1.0,11714.65234375,11079.550523452239,9,7
12,1076.0,307.0,1.0,11403.205078125,11079.550523452239,28,5
13,1308.0,480.0,1.0,12189.619140625,11079.550523452239,2,29
13,1268.0,498.0,1.0,11871.716796875,11079.550523452239,2,29
13,1211.0,525.0,1.0,12510.111328125,11079.550523452239,2,29
13,1344.2857142857142,1001.0,7.0,13167.6640625,77556.85366416567,21,7
14,1327.0,483.0,1.0,11714.42578125,11079.550523452239,2,29
14,1268.0,498.0,1.0,12030.0302734375,11079.550523452239,2,29
14,26.0,1159.0,1.0,11714.42578125,11079.550523452239,31,19
