track_id,first_frame,last_frame,lifespan_frames,n_detections,detection_rate,mean_x,mean_y,mean_area_px,mean_intensity,max_intensity,mean_area_km2,lifespan_seconds
3,0,3,4,3,0.75,120.27777777777777,38.129629629629626,8.0,2225.8160807291665,2248.6591796875,277212.99137165386,0.2
8,0,5,6,5,0.8333333333333334,223.94235294117647,26.002926093514326,14.6,2180.5419921875,2248.6591796875,505913.7092532683,0.3
9,0,2,3,2,0.6666666666666666,1264.4771241830067,413.1372549019608,21.5,2215.23681640625,2317.1884765625,745009.9143113198,0.15
12,0,5,6,4,0.6666666666666666,1514.216896407686,405.3890977443609,15.25,2197.634765625,2248.6591796875,528437.2648022152,0.3
15,0,2,3,2,0.6666666666666666,1257.488888888889,405.94444444444446,7.0,2113.14208984375,2113.28515625,242561.36745019714,0.15
24,0,7,8,5,0.625,1486.9788888888888,426.8377777777778,10.0,2139.99375,2180.396484375,346516.23921456735,0.4
27,0,5,6,6,1.0,1762.8605385790681,421.4504163483575,20.833333333333332,2413.7169596354165,2679.267578125,721908.8316970152,0.3
31,0,2,3,2,0.6666666666666666,1206.125,61.125,4.0,2080.2763671875,2113.28515625,138606.49568582693,0.15
34,0,3,4,4,1.0,654.61875,490.39375,5.75,2389.133544921875,2531.779296875,199246.83754837624,0.2
40,0,2,3,3,1.0,1395.2333333333333,486.18333333333334,9.333333333333334,2203.1051432291665,2248.6591796875,323415.15660026285,0.15
45,0,7,8,6,0.75,1402.4701686815076,475.9125066035187,18.833333333333332,2191.9527994791665,2248.6591796875,652605.5838541017,0.4
48,0,2,3,2,0.6666666666666666,623.7571428571428,527.15,9.5,2113.89697265625,2180.5263671875,329190.427253839,0.15
51,0,3,4,4,1.0,1789.2693277310923,525.1,13.0,2231.6259765625,2317.1884765625,450471.11097893753,0.2
53,0,3,4,4,1.0,701.4055555555556,520.6166666666667,7.75,2319.15185546875,2459.3740234375,268550.0853912897,0.2
54,0,3,4,4,1.0,683.3732323232323,518.688455988456,11.0,2265.834228515625,2317.359375,381167.8631360241,0.2
59,0,2,3,3,1.0,716.0128205128204,506.9017298490983,36.666666666666664,2508.5276692708335,2605.755859375,1270559.543786747,0.15
65,0,11,12,9,0.75,1297.6387789545397,579.4343367385353,23.333333333333332,2333.7209201388887,2531.6328125,808537.8915006572,0.6
67,0,2,3,2,0.6666666666666666,1577.94,556.29,14.5,2146.7626953125,2180.5263671875,502448.5468611226,0.15
68,0,4,5,5,1.0,1041.9642857142858,555.5866666666667,8.8,2318.1931640625,2388.3623046875,304934.2905088193,0.25
69,0,4,5,3,0.6,1582.7129629629628,552.7546296296297,7.0,2135.974609375,2180.5263671875,242561.36745019714,0.25
72,0,2,3,2,0.6666666666666666,1046.8430839002267,548.3507936507937,47.0,2568.6181640625,2605.603515625,1628626.3243084664,0.15
73,0,5,6,5,0.8333333333333334,756.0166666666667,544.9233333333334,6.2,2126.851953125,2180.5263671875,214840.06831303175,0.3
74,0,2,3,2,0.6666666666666666,652.98,546.7950000000001,22.5,2318.5107421875,2388.3623046875,779661.5382327766,0.15
76,0,5,6,6,1.0,1052.3825456950458,538.214947089947,8.0,2203.0914713541665,2248.7080078125,277212.99137165386,0.3
78,0,9,10,9,0.9,1052.70987654321,531.4557319223985,9.11111111111111,2218.4713541666665,2248.822265625,315714.79572882806,0.5
83,0,2,3,2,0.6666666666666666,1501.2142857142858,620.9821428571429,5.5,2113.14208984375,2113.28515625,190583.93156801202,0.15
94,0,2,3,2,0.6666666666666666,673.875,579.625,4.0,2248.68359375,2248.7080078125,138606.49568582693,0.15
102,0,4,5,5,1.0,966.7162147793726,658.7283891547049,13.8,2331.9234375,2388.3623046875,478192.4101161029,0.25
103,0,5,6,6,1.0,904.6950396825397,652.3404304029303,11.5,2471.6184895833335,2531.92578125,398493.6750967524,0.3
111,0,4,5,4,0.8,1494.0459677419356,631.8145161290322,16.5,2249.3408203125,2388.0478515625,571751.7947040361,0.25
113,0,2,3,2,0.6666666666666666,1405.8257575757575,708.7954545454545,8.5,2214.4189453125,2248.7080078125,294538.80333238223,0.15
114,0,2,3,3,1.0,1523.3333333333333,704.8333333333334,4.666666666666667,2135.5081380208335,2180.5263671875,161707.5783001314,0.15
115,0,2,3,2,0.6666666666666666,1383.65,702.8083333333334,8.5,2214.4189453125,2248.7080078125,294538.80333238223,0.15
120,0,8,9,6,0.6666666666666666,1334.9392857142857,691.0813492063493,7.666666666666667,2272.001953125,2388.0478515625,265662.45006450167,0.45
122,0,7,8,6,0.75,1602.0608465608466,687.1084656084655,7.166666666666667,2203.3318684895835,2317.1884765625,248336.63810377326,0.4
128,0,4,5,3,0.6,1119.423076923077,756.4032051282052,8.666666666666666,2296.517578125,2459.365234375,300314.07398595836,0.25
130,0,2,3,3,1.0,1214.863492063492,752.415873015873,11.333333333333334,2436.0143229166665,2531.6328125,392718.4044431763,0.15
133,0,4,5,5,1.0,1313.3607692307692,734.0051282051281,8.8,2402.7498046875,2531.779296875,304934.2905088192,0.25
140,0,4,5,3,0.6,1525.5246187363834,714.7668845315906,16.666666666666668,2225.8323567708335,2248.7080078125,577527.0653576122,0.25
143,0,19,20,14,0.7,616.5916460523604,710.7097003195216,12.642857142857142,2303.5211356026784,2459.1640625,438095.5310069887,1.0
147,0,2,3,3,1.0,1076.0185185185185,780.4629629629629,6.333333333333333,2320.189453125,2531.779296875,219460.28483589264,0.15
148,0,4,5,5,1.0,1148.3742424242423,781.1254545454547,11.6,2318.217578125,2388.3623046875,401958.8374888981,0.25
149,0,4,5,3,0.6,1196.53367003367,779.6734006734006,8.0,2463.9619140625,2605.755859375,277212.9913716539,0.25
150,0,2,3,2,0.6666666666666666,1244.6904761904761,776.952380952381,6.5,2283.00927734375,2317.359375,225235.55548946874,0.15
154,0,2,3,2,0.6666666666666666,1135.75,769.5,4.0,2113.14208984375,2113.28515625,138606.49568582693,0.15
155,0,4,5,4,0.8,1271.4464285714284,765.6517857142858,4.75,2146.7626953125,2180.5263671875,164595.2136269195,0.25
157,0,4,5,5,1.0,1218.42,759.6722222222222,7.6,2462.26328125,2605.755859375,263352.3418030712,0.25
159,0,2,3,3,1.0,1122.1691595441596,757.2079772079773,10.0,2436.0621744791665,2531.6328125,346516.2392145673,0.15
