frame,x,y,area_px,area_Mm2,intensity,bbox
0,538.1111111111112,63.12222222222223,19.0,0.7467886274130244,1265.7314453125,"(np.int64(61), np.int64(531), np.int64(66), np.int64(544))"
0,1991.5833333333335,414.0,11.0,0.4323513106075405,1154.1278076171875,"(np.int64(411), np.int64(1988), np.int64(418), np.int64(1996))"
0,1224.1536458333333,671.8645833333334,37.0,1.4542725902253637,1324.690673828125,"(np.int64(655), np.int64(1218), np.int64(688), np.int64(1236))"
0,1257.7777777777778,690.611111111111,11.0,0.4323513106075405,1205.0662841796875,"(np.int64(681), np.int64(1251), np.int64(698), np.int64(1275))"
0,572.5,822.5,2.0,0.078609329201371,1129.843994140625,"(np.int64(820), np.int64(571), np.int64(826), np.int64(575))"
0,536.0,881.0,2.0,0.078609329201371,1143.3153076171875,"(np.int64(880), np.int64(536), np.int64(883), np.int64(537))"
0,534.5,1427.0,2.0,0.078609329201371,1338.0069580078125,"(np.int64(1427), np.int64(534), np.int64(1428), np.int64(536))"
0,62.0,1500.0,2.0,0.078609329201371,1149.6964111328125,"(np.int64(1499), np.int64(61), np.int64(1502), np.int64(64))"
0,509.25,1662.75,4.0,0.157218658402742,1165.0289306640625,"(np.int64(1662), np.int64(509), np.int64(1665), np.int64(511))"
0,541.0,1954.5,2.0,0.078609329201371,1236.728271484375,"(np.int64(1954), np.int64(541), np.int64(1956), np.int64(542))"
0,510.1666666666667,2012.3333333333333,6.0,0.235827987604113,1327.7705078125,"(np.int64(2011), np.int64(509), np.int64(2015), np.int64(512))"
0,952.5,2011.5,4.0,0.157218658402742,1309.5576171875,"(np.int64(2011), np.int64(952), np.int64(2013), np.int64(954))"
1,535.625,61.34375,18.0,0.7074832709668384,1325.582275390625,"(np.int64(60), np.int64(531), np.int64(64), np.int64(539))"
1,1366.0,320.5,2.0,0.07860925232964872,1176.4788818359375,"(np.int64(320), np.int64(1366), np.int64(322), np.int64(1367))"
1,1992.625,412.4375,8.0,0.31443700931859486,1192.882568359375,"(np.int64(408), np.int64(1990), np.int64(418), np.int64(1997))"
1,1222.3695652173913,668.0072463768116,27.0,1.0612249064502577,1325.490478515625,"(np.int64(662), np.int64(1221), np.int64(675), np.int64(1226))"
1,1256.9166666666667,688.8333333333334,7.0,0.27513238315377053,1134.343994140625,"(np.int64(683), np.int64(1252), np.int64(694), np.int64(1266))"
1,574.0,819.5,2.0,0.07860925232964872,1137.1927490234375,"(np.int64(818), np.int64(573), np.int64(822), np.int64(576))"
1,534.5,883.5,2.0,0.07860925232964872,1128.117919921875,"(np.int64(882), np.int64(534), np.int64(886), np.int64(536))"
1,535.0,1425.5,2.0,0.07860925232964872,1247.2857666015625,"(np.int64(1425), np.int64(535), np.int64(1427), np.int64(536))"
1,61.666666666666664,1499.3333333333333,3.0,0.11791387849447307,1226.379150390625,"(np.int64(1499), np.int64(61), np.int64(1501), np.int64(63))"
1,1583.2,1562.6,6.0,0.23582775698894615,1174.2962646484375,"(np.int64(1555), np.int64(1578), np.int64(1570), np.int64(1590))"
1,542.0,1952.5,2.0,0.07860925232964872,1228.676513671875,"(np.int64(1952), np.int64(542), np.int64(1954), np.int64(543))"
1,953.0,2009.5,2.0,0.07860925232964872,1192.8365478515625,"(np.int64(2009), np.int64(953), np.int64(2011), np.int64(954))"
2,537.1538461538462,58.53846153846154,14.0,0.5502642282153472,1242.0107421875,"(np.int64(57), np.int64(532), np.int64(60), np.int64(541))"
2,1728.5,116.5,2.0,0.07860917545933532,1152.1307373046875,"(np.int64(116), np.int64(1728), np.int64(118), np.int64(1730))"
2,1367.0,316.5,2.0,0.07860917545933532,1225.684326171875,"(np.int64(316), np.int64(1367), np.int64(318), np.int64(1368))"
2,1993.0,408.5,4.0,0.15721835091867065,1159.9915771484375,"(np.int64(404), np.int64(1990), np.int64(413), np.int64(1998))"
2,1225.6666666666667,662.7894736842105,21.0,0.8253963423230208,1302.962890625,"(np.int64(659), np.int64(1223), np.int64(671), np.int64(1229))"
2,1255.0416666666667,682.7916666666666,7.0,0.27513211410767363,1150.9697265625,"(np.int64(677), np.int64(1253), np.int64(692), np.int64(1259))"
2,536.0,1422.5,2.0,0.07860917545933532,1336.607421875,"(np.int64(1422), np.int64(536), np.int64(1424), np.int64(537))"
2,62.666666666666664,1495.6666666666667,3.0,0.11791376318900298,1282.234375,"(np.int64(1495), np.int64(62), np.int64(1497), np.int64(64))"
2,543.0,1949.5,2.0,0.07860917545933532,1298.4156494140625,"(np.int64(1949), np.int64(543), np.int64(1951), np.int64(544))"
2,953.6666666666666,2006.3333333333333,3.0,0.11791376318900298,1196.054931640625,"(np.int64(2006), np.int64(953), np.int64(2008), np.int64(955))"
3,534.7,57.5,10.0,0.3930454929334295,1277.107177734375,"(np.int64(56), np.int64(533), np.int64(60), np.int64(538))"
3,746.3333333333334,102.66666666666667,3.0,0.11791364788002884,1201.181396484375,"(np.int64(102), np.int64(746), np.int64(104), np.int64(748))"
3,1728.3333333333333,115.66666666666667,3.0,0.11791364788002884,1161.86376953125,"(np.int64(115), np.int64(1728), np.int64(117), np.int64(1730))"
3,548.3333333333334,358.3333333333333,3.0,0.11791364788002884,1129.9844970703125,"(np.int64(358), np.int64(548), np.int64(360), np.int64(550))"
3,1993.0,408.0,5.0,0.19652274646671475,1165.104736328125,"(np.int64(404), np.int64(1991), np.int64(413), np.int64(1998))"
3,1228.175,663.625,19.0,0.7467864365735161,1271.368896484375,"(np.int64(654), np.int64(1222), np.int64(672), np.int64(1242))"
3,1254.0,678.25,3.0,0.11791364788002884,1169.2225341796875,"(np.int64(677), np.int64(1254), np.int64(681), np.int64(1255))"
3,1751.5,1349.0,2.0,0.0786090985866859,1292.72802734375,"(np.int64(1349), np.int64(1751), np.int64(1350), np.int64(1753))"
3,536.0,1421.5,2.0,0.0786090985866859,1308.6942138671875,"(np.int64(1421), np.int64(536), np.int64(1423), np.int64(537))"
3,1049.25,1437.0,4.0,0.1572181971733718,1227.0302734375,"(np.int64(1436), np.int64(1048), np.int64(1439), np.int64(1051))"
3,63.6,1494.6,5.0,0.19652274646671475,1297.6693115234375,"(np.int64(1493), np.int64(63), np.int64(1497), np.int64(65))"
3,543.0,1950.5,2.0,0.0786090985866859,1226.684814453125,"(np.int64(1950), np.int64(543), np.int64(1952), np.int64(544))"
3,954.5,2006.0,2.0,0.0786090985866859,1287.83984375,"(np.int64(2006), np.int64(954), np.int64(2007), np.int64(956))"
3,1215.0,2019.4,5.0,0.19652274646671475,1319.34716796875,"(np.int64(2019), np.int64(1213), np.int64(2021), np.int64(1218))"
4,534.3846153846154,58.84615384615385,13.0,0.5109586413025345,1339.283447265625,"(np.int64(58), np.int64(532), np.int64(61), np.int64(538))"
4,745.6666666666666,104.0,3.0,0.1179135326082772,1284.60205078125,"(np.int64(103), np.int64(745), np.int64(106), np.int64(747))"
4,1730.1,116.9,6.0,0.23582706521655442,1194.74267578125,"(np.int64(116), np.int64(1728), np.int64(120), np.int64(1732))"
4,548.0,359.5,2.0,0.07860902173885147,1214.36572265625,"(np.int64(359), np.int64(548), np.int64(361), np.int64(549))"
4,1993.475,408.825,9.0,0.35374059782483164,1150.61474609375,"(np.int64(404), np.int64(1990), np.int64(415), np.int64(1998))"
4,1230.28125,660.96875,14.0,0.5502631521719603,1224.17724609375,"(np.int64(651), np.int64(1223), np.int64(673), np.int64(1241))"
4,1254.0,682.3333333333334,3.0,0.1179135326082772,1134.07861328125,"(np.int64(677), np.int64(1253), np.int64(691), np.int64(1256))"
4,1631.5,859.5,2.0,0.07860902173885147,1190.3634033203125,"(np.int64(859), np.int64(1631), np.int64(861), np.int64(1633))"
4,1049.5,1438.5,6.0,0.2358270652165544,1333.22900390625,"(np.int64(1438), np.int64(1048), np.int64(1440), np.int64(1052))"
4,63.2,1496.2,5.0,0.19652255434712868,1296.040771484375,"(np.int64(1495), np.int64(63), np.int64(1499), np.int64(65))"
4,1584.25,1560.0,4.0,0.15721804347770293,1188.903564453125,"(np.int64(1554), np.int64(1581), np.int64(1565), np.int64(1590))"
4,543.0,1951.5,2.0,0.07860902173885147,1288.454833984375,"(np.int64(1951), np.int64(543), np.int64(1953), np.int64(544))"
4,954.3333333333334,2007.6666666666667,3.0,0.1179135326082772,1260.43212890625,"(np.int64(2007), np.int64(954), np.int64(2009), np.int64(956))"
4,1214.4,2020.6,5.0,0.19652255434712868,1335.1673583984375,"(np.int64(2020), np.int64(1213), np.int64(2022), np.int64(1217))"
5,539.2727272727273,60.5,12.0,0.4716536692337914,1356.856201171875,"(np.int64(59), np.int64(532), np.int64(62), np.int64(545))"
5,234.5,92.0,2.0,0.07860894487229857,1139.0731201171875,"(np.int64(91), np.int64(233), np.int64(94), np.int64(237))"
5,745.6666666666666,105.33333333333333,3.0,0.11791341730844784,1254.0179443359375,"(np.int64(105), np.int64(745), np.int64(107), np.int64(747))"
5,1729.3,118.4,6.0,0.23582683461689571,1231.312255859375,"(np.int64(117), np.int64(1728), np.int64(121), np.int64(1732))"
5,488.25,278.25,3.0,0.11791341730844784,1136.8116455078125,"(np.int64(277), np.int64(487), np.int64(281), np.int64(490))"
5,1992.5,412.0,2.0,0.07860894487229857,1185.2840576171875,"(np.int64(409), np.int64(1990), np.int64(416), np.int64(1996))"
5,687.5,473.5,2.0,0.07860894487229857,1158.9462890625,"(np.int64(473), np.int64(687), np.int64(475), np.int64(689))"
5,1225.6,671.1,10.0,0.39304472436149285,1228.4569091796875,"(np.int64(669), np.int64(1224), np.int64(675), np.int64(1228))"
5,1634.5,858.5,2.0,0.07860894487229857,1147.593505859375,"(np.int64(856), np.int64(1630), np.int64(862), np.int64(1640))"
5,535.5,1424.0,2.0,0.07860894487229857,1331.066650390625,"(np.int64(1424), np.int64(535), np.int64(1425), np.int64(537))"
5,1049.4,1439.6,5.0,0.19652236218074642,1327.1376953125,"(np.int64(1439), np.int64(1048), np.int64(1441), np.int64(1052))"
5,63.0,1497.5,4.0,0.15721788974459713,1303.244140625,"(np.int64(1496), np.int64(63), np.int64(1500), np.int64(64))"
5,954.5,2009.0,2.0,0.07860894487229857,1203.07861328125,"(np.int64(2009), np.int64(954), np.int64(2010), np.int64(956))"
5,1214.25,2021.875,8.0,0.31443577948919427,1338.741943359375,"(np.int64(2021), np.int64(1212), np.int64(2024), np.int64(1218))"
