frame,x,y,area_px,area_Mm2,intensity,bbox
0,535.9583333333333,63.08333333333333,13.0,0.5109606398089115,1265.7314453125,"(np.int64(61), np.int64(531), np.int64(66), np.int64(540))"
0,1991.1666666666667,413.5,6.0,0.235827987604113,1154.1278076171875,"(np.int64(411), np.int64(1989), np.int64(418), np.int64(1996))"
0,1224.4083333333333,671.275,31.0,1.2184446026212508,1324.690673828125,"(np.int64(655), np.int64(1218), np.int64(688), np.int64(1236))"
0,1260.375,693.25,7.0,0.2751326522047985,1205.0662841796875,"(np.int64(687), np.int64(1252), np.int64(698), np.int64(1275))"
0,1649.0,758.8,5.0,0.19652332300342748,1203.404541015625,"(np.int64(757), np.int64(1648), np.int64(761), np.int64(1651))"
0,2019.1538461538462,797.7307692307693,26.0,1.021921279617823,1335.436767578125,"(np.int64(794), np.int64(2015), np.int64(801), np.int64(2024))"
0,1629.0,864.0,1.0,0.0393046646006855,1170.4794921875,"(np.int64(864), np.int64(1629), np.int64(865), np.int64(1630))"
0,536.0,882.0,1.0,0.0393046646006855,1143.3153076171875,"(np.int64(882), np.int64(536), np.int64(883), np.int64(537))"
0,999.0,1085.0,2.0,0.078609329201371,1171.742431640625,"(np.int64(1085), np.int64(998), np.int64(1086), np.int64(1001))"
0,659.0,1176.0,1.0,0.0393046646006855,1177.3702392578125,"(np.int64(1176), np.int64(659), np.int64(1177), np.int64(660))"
0,1636.875,1184.0,5.0,0.1965233230034275,1167.864990234375,"(np.int64(1181), np.int64(1636), np.int64(1188), np.int64(1638))"
0,472.3541666666667,1271.361111111111,19.0,0.7467886274130244,1207.8358154296875,"(np.int64(1268), np.int64(466), np.int64(1277), np.int64(476))"
0,534.0,1427.0,1.0,0.0393046646006855,1338.0069580078125,"(np.int64(1427), np.int64(534), np.int64(1428), np.int64(535))"
0,61.0,1501.0,1.0,0.0393046646006855,1149.6964111328125,"(np.int64(1501), np.int64(61), np.int64(1502), np.int64(62))"
0,509.5,1663.0,2.0,0.078609329201371,1165.0289306640625,"(np.int64(1662), np.int64(509), np.int64(1665), np.int64(511))"
0,1095.0,1726.0,1.0,0.0393046646006855,1248.6707763671875,"(np.int64(1726), np.int64(1095), np.int64(1727), np.int64(1096))"
0,541.0,1954.5,2.0,0.078609329201371,1236.728271484375,"(np.int64(1954), np.int64(541), np.int64(1956), np.int64(542))"
0,510.4,2012.6,5.0,0.19652332300342748,1327.7705078125,"(np.int64(2011), np.int64(510), np.int64(2015), np.int64(512))"
0,952.5,2011.5,4.0,0.157218658402742,1309.5576171875,"(np.int64(2011), np.int64(952), np.int64(2013), np.int64(954))"
1,533.0,61.142857142857146,14.0,0.5502647663075411,1325.582275390625,"(np.int64(60), np.int64(531), np.int64(64), np.int64(536))"
1,1727.0,119.0,1.0,0.03930462616482436,1165.451171875,"(np.int64(119), np.int64(1727), np.int64(120), np.int64(1728))"
1,1366.0,320.5,2.0,0.07860925232964872,1176.4788818359375,"(np.int64(320), np.int64(1366), np.int64(322), np.int64(1367))"
1,1991.5,411.3333333333333,4.0,0.15721850465929743,1192.882568359375,"(np.int64(408), np.int64(1990), np.int64(416), np.int64(1996))"
1,1222.3947368421054,671.421052631579,20.0,0.7860925232964872,1325.490478515625,"(np.int64(665), np.int64(1221), np.int64(675), np.int64(1226))"
1,1253.5,688.5,2.0,0.07860925232964872,1134.343994140625,"(np.int64(684), np.int64(1252), np.int64(694), np.int64(1256))"
