event_id,n_detections,frame_start,frame_end,lifetime_frames,lifetime_seconds,x_centroid,y_centroid,x_std,y_std,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width_px,bbox_height_px,peak_intensity,mean_intensity,total_area_Mm2,mean_area_Mm2,total_area_km2,mean_area_km2,original_cluster_id
1,5,0,3,4,40.0,488.9531504329005,112.43790151515152,5.949494972046833,5.181770897555841,480.0,105.92708333333333,496.6479166666667,121.0,17.647916666666674,16.07291666666667,1344.70556640625,1100.6606689453124,1.6219753160388415,0.3243950632077683,1621975.3160388414,324395.0632077683,0
2,28,0,27,28,280.0,431.838437159599,131.08743278796086,1.9067224371565255,2.1295137522063894,428.25,126.5,435.5952380952381,134.6875,8.345238095238074,9.1875,1095.113037109375,985.1177498953683,5.373851821952547,0.19192327935544812,5373851.821952547,191923.27935544812,1
3,2,0,1,2,20.0,60.08333333333333,170.83333333333331,0.41666666666666785,0.1666666666666714,59.666666666666664,170.66666666666666,60.5,171.0,1.8333333333333357,1.3333333333333428,1868.798828125,1817.9501342773438,0.1609582799734837,0.08047913998674185,160958.2799734837,80479.13998674185,2
4,6,0,5,6,60.0,1735.4528546332895,179.5294411506368,1.2935024989214432,1.5694262115231181,1733.6,177.2,1737.608695652174,181.45454545454547,5.008695652174083,5.254545454545479,1095.0927734375,1030.7465006510417,1.3495853633375894,0.22493089388959822,1349585.3633375894,224930.89388959823,3
5,22,0,23,24,240.0,76.22292071195903,214.19641677009133,2.7726539725364443,3.4778233759796082,70.4,209.2941176470588,82.85714285714286,219.6,13.457142857142856,11.305882352941182,2247.1220703125,1350.6168767755682,5.559650309489573,0.2527113777040715,5559650.309489573,252711.3777040715,4
6,2,0,2,3,30.0,1816.6507936507937,220.78571428571428,0.3492063492063835,5.214285714285708,1816.3015873015872,215.57142857142858,1817.0,226.0,1.698412698412767,11.428571428571416,979.8931884765625,979.8901977539062,0.17334094861466062,0.08667047430733031,173340.94861466062,86670.47430733031,5
7,2,0,1,2,20.0,1406.017857142857,393.0178571428571,0.2678571428571104,0.2678571428571388,1405.75,392.75,1406.2857142857142,393.2857142857143,1.5357142857142208,1.5357142857142776,979.8946533203125,979.8939208984375,0.1361955115847584,0.0680977557923792,136195.5115847584,68097.7557923792,6
8,28,0,18,19,190.0,986.4428913348556,559.9725023517566,8.382680113089869,10.891727892139745,977.5833333333333,543.0,1000.35,572.4166666666667,23.766666666666765,30.416666666666742,1388.799560546875,1056.8132978166852,3.268860205566298,0.1167450073416535,3268860.2055662978,116745.0073416535,7
9,7,0,6,7,70.0,1961.5113014253322,621.5030855199223,0.9672582656273324,3.5795093832518514,1960.0126984126982,616.3333333333333,1963.0208333333335,626.7916666666666,4.008134920635257,11.458333333333371,1479.041748046875,1134.8315952845983,1.4981793145792377,0.21402561636846254,1498179.3145792377,214025.61636846254,8
10,3,0,2,3,30.0,158.22222222222223,880.3333333333334,0.5499719409228745,0.2721655269758932,157.5,880.0,158.83333333333334,880.6666666666666,2.333333333333343,1.6666666666666288,1134.9765625,1083.2694091796875,0.1361959397433401,0.04539864658111337,136195.9397433401,45398.64658111337,9
11,2,0,1,2,20.0,1532.25,1233.75,0.25,0.25,1532.0,1233.5,1532.5,1234.0,1.5,1.5,1973.33251953125,1495.4642639160156,0.1609582799734837,0.08047913998674185,160958.2799734837,80479.13998674185,10
12,8,0,9,10,100.0,411.0385416666667,1504.4291666666666,0.33924286357432026,1.4269419029674695,410.6,1501.0,411.8333333333333,1506.0,2.2333333333332916,6.0,1717.321533203125,1184.1785202026367,0.3962100031539054,0.04952625039423818,396210.00315390545,49526.25039423818,11
13,4,0,3,4,40.0,59.83226169255581,1673.4140565317034,1.3449224380420226,4.289224325849142,58.55555555555556,1666.0,62.04621848739495,1676.2016806722688,4.490662931839395,11.201680672268822,1433.621826171875,1205.7086181640625,0.8047989640178034,0.20119974100445084,804798.9640178034,201199.74100445086,12
14,4,1,5,5,50.0,179.41964285714286,167.5297619047619,2.7985481613194474,2.7721069524429094,175.67857142857144,164.625,183.0,171.0,8.321428571428555,7.375,1017.60595703125,934.9258728027344,0.32192255421805765,0.08048063855451441,321922.55421805766,80480.63855451441,13
15,4,1,4,4,40.0,862.7166666666667,268.84375,3.9954661805601717,2.9598550956930305,856.0,264.0,866.0,272.0,11.0,9.0,1175.452392578125,1030.3934020996094,0.33430372433330646,0.08357593108332662,334303.7243333065,83575.93108332662,14
16,3,1,3,3,30.0,1910.16,661.15,1.8420278680483162,4.808263719888919,1908.72,657.0,1912.76,667.89,5.039999999999964,11.889999999999986,1817.624267578125,1315.8076985677083,0.9781443369609696,0.3260481123203232,978144.3369609696,326048.11232032324,15
17,3,1,3,3,30.0,246.84800384800386,775.4230399230399,0.8701289395037772,1.9676468348460912,245.7777777777778,773.1428571428571,247.9090909090909,777.9444444444445,3.1313131313131066,5.801587301587347,943.00634765625,942.9651082356771,0.29715628915382936,0.09905209638460978,297156.28915382933,99052.09638460979,16
18,2,1,2,2,20.0,73.0,1655.0,0.0,0.0,73.0,1655.0,73.0,1655.0,1.0,1.0,906.6795654296875,888.9076538085938,0.024762982468016132,0.012381491234008066,24762.982468016133,12381.491234008066,17
19,2,2,3,2,20.0,161.53125,167.984375,1.71875,3.484375,159.8125,164.5,163.25,171.46875,4.4375,7.96875,1017.6066284179688,1017.5813903808594,0.2352498676907211,0.11762493384536055,235249.8676907211,117624.93384536055,18
20,13,2,14,13,130.0,108.59080236003312,398.1184952867646,1.7209306792907575,1.0200270152662174,106.38461538461539,395.5,111.875,399.6363636363636,6.490384615384613,5.136363636363626,2912.015625,1860.8692251352163,1.3991695640213226,0.1076284280016402,1399169.5640213226,107628.4280016402,19
21,3,2,5,4,40.0,305.7468553459119,829.2625786163522,0.7402538433141949,4.156282896093699,304.74056603773585,825.2877358490566,306.5,835.0,2.759433962264154,10.712264150943383,3310.933349609375,1696.2454833984375,0.718132699979943,0.239377566659981,718132.699979943,239377.566659981,20
